£25K Expenditure M4,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount Paid,Invoice,Recalimable VAT
THEATRES,ELECTIVE SERVICES,29-Jul-15,MED SURG EQPT GENERAL,HARTSHEAD THEATRES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"6,262.10",,
THEATRES,ELECTIVE SERVICES,29-Jul-15,MED SURG EQPT GENERAL,DSEU,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,11.38,,
THEATRES,ELECTIVE SERVICES,29-Jul-15,MED SURG EQPT GENERAL,DSEU,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,228.05,,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,MED SURG EQPT GENERAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"2,100.36",,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,INCOME GENERATION SCHEMES,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"-1,250.00",,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"73,496.60",,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"4,734.02",,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"1,687.49",,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"1,667.18",,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,769.02,,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,242.62,,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,187.3,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,1.14,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,2.28,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,5.69,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,3.41,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,11.39,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,2.28,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,3.41,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,7.38,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,12.2,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,47.94,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,45.61,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"1,252.42",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,239.96,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,420.07,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,"14,699.32",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,-250,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,153.8,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,333.44,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,337.5,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,37.46,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,946.8,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970021010,48.52,"110,185.80","18,364.30"
ESTATES,ESTATES & FACILITIES,10-Jul-15,RATES,ESTATES OPERATIONS,TAMESIDE METROPOLITAN BOROUGH COUNCIL,Jul-15,"65,837.83","65,837.83",
CL - ACCRUALS,CL - SOFP,17-Jul-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,TUSKERDIRECT LTD,SIN204585,"36,884.59","36,884.59",
PATHOLOGY,EMERGENCY SERVICES,17-Jul-15,CONSULTANT,PATHOLOGY,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,323536,"37,143.00","37,143.00",
