 ,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction Number, Amount, Invoice Description
DFID,DFID,07/03/2014,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,kalpakaaru projects private limited ,100114-104 ,"£1,421.87",
DFID,DFID,07/03/2014,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,kalpakaaru projects private limited ,100114-104 ,"£1,421.87",
DFID,DFID,07/03/2014,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,kalpakaaru projects private limited ,100114-104 ,"£1,784.33",
DFID,DFID,07/03/2014,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,kalpakaaru projects private limited ,100114-104 ,"£2,162.20",
DFID,DFID,07/03/2014,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,kalpakaaru projects private limited ,100114-104 ,"£2,703.90",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,DAI Europe ,202596-105 ,"£157,536.78",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,DKT International ,202980-103 ,"£1,500,000.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202698-104 ,"£1,823.56",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202698-104 ,"£9,546.42",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202698-104 ,"£15,124.85",
DFID,DFID,07/03/2014,Aid Programme - Accountable Grant Payments ,East and Central Africa ,EQUITY GROUP FOUNDATION ,202657-103 ,"£237,668.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Vina Hotel ltd ,203008-103 ,"£6,691.20",
DFID,DFID,07/03/2014,DFID Purchased Relief Supplies ,West and Southern Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,202214-106 ,"£19,854.60",
DFID,DFID,07/03/2014,DFID Purchased Relief Supplies ,West and Southern Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,202214-106 ,"£25,608.44",
DFID,DFID,07/03/2014,Aid Programme - Voluntary contributions ,West and Southern Africa ,COMESA Zambia ,201927-107 ,"£6,957.53",
DFID,DFID,07/03/2014,Aid Programme - Voluntary contributions ,West and Southern Africa ,COMESA Zambia ,201927-107 ,"£86,864.09",
DFID,DFID,07/03/2014,Aid Programme - Voluntary contributions ,West and Southern Africa ,COMESA Zambia ,201927-107 ,"£96,759.01",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,114206-105 ,"£1,269.37",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£3,734.88",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£3,734.88",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£4,855.35",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£5,885.11",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£6,248.14",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104229-101 ,"£6,529.85",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£6,896.48",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,186.30",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,469.76",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,469.76",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,469.77",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,469.77",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,469.77",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,469.77",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£7,469.77",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,114206-105 ,"£7,469.77",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£8,963.72",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,104223-101 ,"£8,963.72",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,INFRASTRUCTURE PROFESSIONALS ENTERPRISE ,203217-101 ,"£86,755.40",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,INFRASTRUCTURE PROFESSIONALS ENTERPRISE ,203217-101 ,"£86,755.40",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,OXFORD POLICY MANAGEMENT ,202744-101 ,"£100,260.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,ADAM SMITH INTERNATIONAL  LTD ,114234-102 ,"£306,893.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,National Testing Service ,202697-109 ,"£25,633.43",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,OXFORD POLICY MANAGEMENT ,202367-103 ,"£289,083.35",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,200608-101 ,"£7,867.03",
DFID,DFID,07/03/2014,Aid Programme - Trust Funds contributions ,International Finance Division ,IBRD (HSBC)  C/O THE WORLD BANK ,202935-101 ,"£2,500,000.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,IOD PARC ,203197-101 ,"£28,106.40",
DFID,DFID,07/03/2014,Aid Programme - Accountable Grant Payments ,Communications Division ,CHRISTIAN AID ,202197-101 ,"£547,667.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,International Finance Division ,Foreign & Commonwealth Office ,201723-102 ,£868.40,
DFID,DFID,07/03/2014,Data Network -Satellite ,Western Asia and Stabilisation Division ,SPECTRA  GROUP UK LTD ,203940-106 ,"£1,260.00",
DFID,DFID,07/03/2014,Data Network -Satellite ,Western Asia and Stabilisation Division ,SPECTRA  GROUP UK LTD ,203940-106 ,"£4,320.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,HTSPE LTD ,203035-102 ,£650.00,
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Mannion Daniels Limited ,203382-101 ,£820.31,
DFID,DFID,07/03/2014,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,202974-107 ,"£4,776.32",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Mannion Daniels Limited ,203382-101 ,"£34,810.35",
DFID,DFID,07/03/2014,Research & Development costs ,Research and Evidence Division ,SUNY CENTER FOR INTERNATIONAL DEVELOPMENT ,203241-101 ,"£1,498.74",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,CAB INTERNATIONAL ,112152-102 ,"£65,640.47",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202949-101 ,£880.25,
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,200581-117 ,"£1,125.32",
DFID,DFID,07/03/2014,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,China Agricultural University ,203174-101 ,"£27,053.59",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Policy Division ,Crown Agents. ,200706-102 ,"£24,856.12",
DFID,DFID,07/03/2014,Office Supplies ,Policy Division ,Foreign & Commonwealth Office ,201724-126 ,"£1,063.50",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Policy Division ,Foreign & Commonwealth Office ,201724-124 ,"£1,638.31",
DFID,DFID,07/03/2014,Aid Programme - Accountable Grant Payments ,Policy Division ,IUCN Mesoamerican and the Caribbean ,201724-123 ,"£522,706.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Policy Division ,IOD PARC ,203493-101 ,"£2,805.00",
DFID,DFID,07/03/2014,Fund monies to be managed and dispersed by the supplier ,East and Central Africa ,Crown Agents. ,203109-106 ,"£224,702.00",
DFID,DFID,07/03/2014,Fund monies to be managed and dispersed by the supplier ,East and Central Africa ,Crown Agents. ,203109-106 ,"£349,890.00",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,202851-102 ,"£171,802.11",
DFID,DFID,07/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,PricewaterhouseCoopers Pvt.Ltd ,202927-104 ,"£5,610.00",
DFID,DFID,10/03/2014,Training - Course Fees ,West and Southern Africa ,Recipient name withheld ,100254-103 ,£993.84,
DFID,DFID,10/03/2014,Telephone Usage & services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100011-110 ,£572.06,
DFID,DFID,10/03/2014,Vehicle Petrol & Oil ,Asia  Caribbean and Overseas Territories ,Nepal Oil Corporation ,100150-103 ,"£1,741.01",
DFID,DFID,10/03/2014,Data Network - land lines ,Business Solutions Division Level ,VODAFONE LIMITED ,200002-185 ,"£2,219.22",
DFID,DFID,10/03/2014,Data Network - land lines ,Business Solutions Division Level ,VODAFONE LIMITED ,200002-185 ,"£7,035.49",
DFID,DFID,10/03/2014,Training - Course Fees ,Human Resources ,Capita  Business Services ,100269-153 ,"£4,865.85",
DFID,DFID,10/03/2014,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,"£1,106.10",
DFID,DFID,10/03/2014,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,"£1,165.50",
DFID,DFID,10/03/2014,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,DMS AFRICA ,202586-101 ,"£10,142.05",
DFID,DFID,10/03/2014,Electricity ,Group Operations ,EDF ENERGY ,203717-101 ,"£7,667.02",
DFID,DFID,10/03/2014,Electricity ,Group Operations ,EDF ENERGY ,203717-101 ,"£12,182.16",
DFID,DFID,10/03/2014,Vehicle Repairs & Maintenance ,West and Southern Africa ,C.Woermann ( Ghana) Ltd ,101613-101 ,£844.69,
DFID,DFID,10/03/2014,Secure Staff Accommodation ,West and Southern Africa ,Supplier Name withheld ,101613-101 ,"£57,542.00",Secure Staff Accommodation - DFID Ghana
DFID,DFID,10/03/2014,Air fares ,West and Southern Africa ,SATGURU TRAVEL & TOURS SERVICE ,101618-101 ,£508.37,
DFID,DFID,10/03/2014,Secure Staff Accommodation ,West and Southern Africa ,Supplier Name withheld ,101620-101 ,"£2,858.79",
DFID,DFID,10/03/2014,Cleaning Costs ,West and Southern Africa ,Power - Sistemas de Energia ,101620-101 ,"£3,049.41",
DFID,DFID,10/03/2014,Furniture & Fittings ,West and Southern Africa ,Crown Agents. ,101622-105 ,"£2,360.00",
DFID,DFID,10/03/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101629-101 ,"£9,693.64",
DFID,DFID,10/03/2014,Hotels - Accommodation only ,East and Central Africa ,SORAS ,101628-101 ,"£1,255.98",
DFID,DFID,10/03/2014,Facilities Management payments ,East and Central Africa ,National Water and Sewerage Corp ,101635-101 ,£704.43,
DFID,DFID,10/03/2014,Oil - Other Utilities ,East and Central Africa ,TOTAL Uganda Ltd ,101635-101 ,"£2,601.69",
DFID,DFID,10/03/2014,Facilities Management payments ,East and Central Africa ,Kato Contractors Ltd ,101635-101 ,"£5,323.86",
DFID,DFID,10/03/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,101635-101 ,"£12,358.21",
DFID,DFID,10/03/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,101635-101 ,"£12,559.81",
DFID,DFID,10/03/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,101635-101 ,"£19,076.18",
DFID,DFID,10/03/2014,Hostile Environment Training ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,£802.14,
DFID,DFID,10/03/2014,Training - Course Fees ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,"£1,345.95",
DFID,DFID,10/03/2014,Telephone Usage & services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,"£1,830.60",
DFID,DFID,10/03/2014,Storage & Distribution costs ,Asia  Caribbean and Overseas Territories ,PICKFORDS LTD ,101603-101 ,£500.57,
DFID,DFID,10/03/2014,Storage & Distribution costs ,Asia  Caribbean and Overseas Territories ,PICKFORDS LTD ,101603-101 ,£775.68,
DFID,DFID,10/03/2014,Training - Travel & Subsistence ,Asia  Caribbean and Overseas Territories ,Saimon Overseas Ltd ,101603-101 ,"£1,290.77",
DFID,DFID,10/03/2014,Storage & Distribution costs ,Asia  Caribbean and Overseas Territories ,CROWN RELOCATIONS  UK ,101621-101 ,£529.30,
DFID,DFID,10/03/2014,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,New Madan Furnishers Pvt. Ltd. ,101621-103 ,£713.34,
DFID,DFID,10/03/2014,Vehicle Petrol & Oil ,Asia  Caribbean and Overseas Territories ,Nepal Oil Corporation ,101621-103 ,"£3,233.31",
DFID,DFID,10/03/2014,Hotels - Accommodation only ,Middle East & North Africa Division (MENAD) ,Recipient name withheld ,101619-101 ,"£1,254.21",
DFID,DFID,10/03/2014,Vehicle Repairs & Maintenance ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,201699-101 ,£566.21,
DFID,DFID,10/03/2014,Travel - Subsistence ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,201699-101 ,£654.29,
DFID,DFID,10/03/2014,Oil - Other Utilities ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,201699-101 ,£883.59,
DFID,DFID,10/03/2014,Training - Travel & Subsistence ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,201699-101 ,£909.26,
DFID,DFID,10/03/2014,Training - Travel & Subsistence ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,201699-101 ,"£1,275.23",
DFID,DFID,10/03/2014,Secure Staff Accommodation ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,201699-101 ,"£15,116.07",
DFID,DFID,10/03/2014,Hotels - Accommodation only ,Research and Evidence Division ,Recipient name withheld ,202392-103 ,£595.37,
DFID,DFID,10/03/2014,Taxi costs ,East and Central Africa ,VIVA SAFARIS ,202594-101 ,"£2,356.11",
DFID,DFID,10/03/2014,Data Network - land lines ,East and Central Africa ,Compter Plaza Ltd ,202594-101 ,"£3,488.12",
DFID,DFID,10/03/2014,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,DMS AFRICA ,202594-101 ,"£10,000.00",
DFID,DFID,10/03/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,202594-101 ,"£11,842.11",
DFID,DFID,10/03/2014,Data Network - land lines ,Business Solutions Division Level ,VODAFONE LIMITED ,203329-103 ,"£2,219.22",
DFID,DFID,10/03/2014,Data Network - land lines ,Business Solutions Division Level ,VODAFONE LIMITED ,203329-103 ,"£7,035.49",
DFID,DFID,10/03/2014,Hotels - Accommodation only ,Middle East & North Africa Division (MENAD) ,Recipient name withheld ,204055-101 ,£770.10,
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,TURNER & TOWNSEND ,201652-105 ,"£5,175.20",
DFID,DFID,10/03/2014,other information and communication technologies ,Business Solutions Division Level ,VODAFONE LIMITED ,200004-121 ,"£28,827.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,HTSPE LTD ,203164-104 ,"£16,837.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Government Actuary's Department ,204271-104 ,"£11,656.80",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,113961-106 ,"£7,632.69",
DFID,DFID,10/03/2014,Repairs  Maintenance and Alterations - Other Building Costs ,East and Central Africa ,Sebhatu & Sons  Security Service PLC ,202891-107 ,"£1,434.95",
DFID,DFID,10/03/2014,Repairs  Maintenance and Alterations - Other Building Costs ,East and Central Africa ,Sebhatu & Sons  Security Service PLC ,202891-107 ,"£1,434.95",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,East and Central Africa ,OXFORD POLICY MANAGEMENT ,202994-104 ,"£1,459.11",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Crown Agents. ,200221-105 ,"£306,796.90",
DFID,DFID,10/03/2014,DFID Purchased Relief Supplies ,West and Southern Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,202214-106 ,"£82,176.16",
DFID,DFID,10/03/2014,Aid Programme - Voluntary contributions ,West and Southern Africa ,COMESA (GBP) ,114050-111 ,"£1,159,363.96",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,HTSPE LTD ,201944-104 ,"£74,032.38",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,ADAM SMITH INTERNATIONAL  LTD ,203666-102 ,"£59,200.00",
DFID,DFID,10/03/2014,Hotels - Accommodation only ,West and Southern Africa ,Supplier Name withheld ,202098-101 ,"£1,009.31",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,ECORYS UK Ltd. ,104200-104 ,"£1,166.39",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,ECORYS UK Ltd. ,104200-104 ,"£13,340.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,ADAM SMITH INTERNATIONAL  LTD ,104190-102 ,"£198,196.29",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,203497-102 ,"£139,350.06",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,202311-102 ,"£496,685.61",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,The Outliers Development Services Pvt. Ltd.  ,203426-108 ,"£5,022.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,202368-103 ,"£1,919.35",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,ADAM SMITH INTERNATIONAL  LTD ,202328-102 ,"£224,080.40",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,ADAM SMITH INTERNATIONAL  LTD ,202328-102 ,"£275,733.24",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Middle East & North Africa Division (MENAD) ,OXFORD POLICY MANAGEMENT ,202564-103 ,"£29,900.00",
DFID,DFID,10/03/2014,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,HARVARD UNIVERSITY (OFFICE FOR SPONSERED PROGRAMS) ,203209-102 ,"£107,800.68",
DFID,DFID,10/03/2014,Aid Programme - Core contributions ,Research and Evidence Division ,The Innovative Vector Control Consortium ,204076-101 ,"£1,100,000.00",
DFID,DFID,10/03/2014,Aid Programme - Trust Funds contributions ,Research and Evidence Division ,   THE WORLD BANK ,203933-101 ,"£4,180,000.00",
DFID,DFID,10/03/2014,Print Services ,Communications Division ,Williams Lea ,201660-105 ,£934.08,
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203940-104 ,"£6,457.62",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203938-101 ,"£19,285.55",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203940-104 ,"£50,048.27",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,HTSPE LTD ,203035-102 ,"£10,340.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Middle East & North Africa Division (MENAD) ,OXFORD POLICY MANAGEMENT ,204007-102 ,"£8,102.40",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Middle East & North Africa Division (MENAD) ,OXFORD POLICY MANAGEMENT ,204007-102 ,"£30,295.56",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Mannion Daniels Limited ,203382-101 ,"£6,726.60",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Crown Agents. ,203775-107 ,"£19,742.39",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,114450-101 ,"£1,063.29",
DFID,DFID,10/03/2014,Aid Programme - Trust Funds contributions ,Western Asia and Stabilisation Division ,IBRD (HSBC)  C/O THE WORLD BANK ,201542-101 ,"£150,000.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,PRICEWATERHOUSECOOPERS ,200822-101 ,"£3,873.46",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,PRICEWATERHOUSECOOPERS ,200822-101 ,"£610,714.51",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,HTSPE LTD ,203193-101 ,"£50,288.40",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,OXFORD POLICY MANAGEMENT ,202708-103 ,"£18,553.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Policy Division ,Crown Agents. ,203146-102 ,"£5,791.12",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Policy Division ,GBRW LIMITED ,201733-107 ,£958.13,
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Policy Division ,PRICEWATERHOUSECOOPERS ,114370-105 ,"£17,000.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Policy Division ,WCMC ,203034-105 ,"£17,244.00",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Policy Division ,PRICEWATERHOUSECOOPERS ,114370-105 ,"£225,906.71",
DFID,DFID,10/03/2014,Project delivery costs - supplier services ,Policy Division ,PRICEWATERHOUSECOOPERS ,114370-104 ,"£407,143.01",
DFID,DFID,10/03/2014,DFID Purchased Relief Supplies ,East and Central Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,202513-101 ,"£308,841.48",
DFID,DFID,10/03/2014,Vehicle Purchase Costs ,Middle East & North Africa Division (MENAD) ,Crown Agents. ,202486-111 ,"£2,630.90",
DFID,DFID,11/03/2014,Training - Course Fees ,East and Central Africa ,Dar es SalaamSerna ,100082-101 ,£549.60,
DFID,DFID,11/03/2014,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Elias Taye Building Contractor ,100082-101 ,"£8,906.31",
DFID,DFID,11/03/2014,Air fares ,East and Central Africa ,Bon Voyage Travel Centre Ltd(USD) ,100230-101 ,£949.67,
DFID,DFID,11/03/2014,Hostile Environment Training ,Middle East & North Africa Division (MENAD) ,Pilgrims Group ,100146-101 ,£802.14,
DFID,DFID,11/03/2014,Legal costs ,Finance and Corporate Performance Division ,DTZ DEBENHAM TIE LEUNG ,100008-101 ,"£1,500.00",
DFID,DFID,11/03/2014,Contract & Agency Staff ,Group Operations ,MANPOWER PLC ,100161-101 ,"£1,491.06",
DFID,DFID,11/03/2014,Contract & Agency Staff ,Group Operations ,MANPOWER PLC ,100161-101 ,"£2,533.96",
DFID,DFID,11/03/2014,Contract & Agency Staff ,Group Operations ,MANPOWER PLC ,100161-101 ,"£4,271.61",
DFID,DFID,11/03/2014,Copywriting and Editorial Services ,Business Solutions Division Level ,Cabinet Office RM Shared Services ,200001-108 ,"£9,319.20",
DFID,DFID,11/03/2014,Training - Course Fees ,Research and Evidence Division ,UNIVERSITY OF SOUTHAMPTON ,100039-114 ,£700.00,
DFID,DFID,11/03/2014,Other travel costs ,Conflict Humanitarian and Security Division ,Crown Agents. ,100049-101 ,"£8,299.20",
DFID,DFID,11/03/2014,Hotels - Accommodation only ,Human Resources ,Dar es SalaamSerna ,100266-101 ,£673.54,
DFID,DFID,11/03/2014,Contract & Agency Staff ,Finance and Corporate Performance Division ,Search Consultancy Ltd ,100201-101 ,"£1,663.20",
DFID,DFID,11/03/2014,Contract & Agency Staff ,Finance and Corporate Performance Division ,Search Consultancy Ltd ,100201-101 ,"£1,663.20",
DFID,DFID,11/03/2014,Relocation costs ,West and Southern Africa ,Matisa Servicos  Lda ,101620-101 ,£609.49,
DFID,DFID,11/03/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£522.44,
DFID,DFID,11/03/2014,Hotels - Accommodation only ,East and Central Africa ,Southern Sun Hotels(T) Ltd (USD) ,101625-105 ,£624.33,
DFID,DFID,11/03/2014,Training - Course Fees ,East and Central Africa ,Dar es SalaamSerna ,101612-101 ,£543.73,
DFID,DFID,11/03/2014,Furniture & Fittings ,East and Central Africa ,Nakumatt Rwanda Limited ,101628-101 ,"£3,256.25",
DFID,DFID,11/03/2014,Vehicle Petrol & Oil ,Asia  Caribbean and Overseas Territories ,QUTAB SERVICE STATION ,201689-105 ,£877.48,
DFID,DFID,11/03/2014,Contract Catering Services ,Asia  Caribbean and Overseas Territories ,THE GOURMET FACTORY ,201689-105 ,"£1,183.50",
DFID,DFID,11/03/2014,Electricity ,Asia  Caribbean and Overseas Territories ,BSES RAJDHANI POWER LIMITED ,201689-105 ,"£3,205.65",
DFID,DFID,11/03/2014,Facilities Management payments ,Asia  Caribbean and Overseas Territories ,CB RICHARD ELLIS SOUTH ASIA PVT LTD ,201689-105 ,"£12,371.06",
DFID,DFID,11/03/2014,Training - Course Fees ,Western Asia and Stabilisation Division ,Recipient name withheld ,101624-101 ,£889.71,
DFID,DFID,11/03/2014,Hotels - Accommodation only ,Western Asia and Stabilisation Division ,Recipient name withheld ,201699-101 ,£943.45,
DFID,DFID,11/03/2014,Hotels - Accommodation only ,Policy Division ,Recipient name withheld ,202402-103 ,£955.20,
DFID,DFID,11/03/2014,Hotels - Accommodation only ,Western Asia and Stabilisation Division ,Recipient name withheld ,203944-108 ,£602.73,
DFID,DFID,11/03/2014,Hotels - Accommodation only ,Western Asia and Stabilisation Division ,Recipient name withheld ,203944-104 ,£607.36,
DFID,DFID,11/03/2014,Training - Travel & Subsistence ,Western Asia and Stabilisation Division ,Crown Agents. ,203944-102 ,"£2,300.61",
