Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type, , 
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112397,30.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112398,30.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112399,2.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112399,10.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112399,20.59,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112399,36.45,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112399,67.88,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,"Personal Expense, Name Witheld",111254,41.10,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - Default,Defence and Security Organisation - Regional Directorates,"Personal Expense, Name Witheld",111933,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Other Travel - Default,Defence and Security Organisation - Regional Directorates,"Personal Expense, Name Witheld",111933,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - Default,Defence and Security Organisation - Regional Directorates,"Personal Expense, Name Witheld",111933,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Taxi Services UK - Default,Investment Development - Global Operations,"Personal Expense, Name Witheld",112102,10.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - Default,Investment Development - Global Operations,"Personal Expense, Name Witheld",112102,20.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Other Travel - Default,Investment Development - Global Operations,"Personal Expense, Name Witheld",112102,30.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - Default,Investment Development - Global Operations,"Personal Expense, Name Witheld",112102,51.20,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112521,134.40,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Air Travel UK - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",112523,5.59,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",112523,7.05,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",112523,7.19,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",112523,118.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112524,7.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112525,70.25,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112526,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112526,6.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112526,11.64,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112526,25.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112526,70.20,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112526,146.25,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Other Travel - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",112528,4.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,09/09/2015,Other Travel - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",112528,4.60,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Rail Travel UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",110924,70.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",112675,15.56,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",112675,20.43,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",112675,23.92,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",112675,61.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",112675,70.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112677,2.16,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Rail Travel Overseas - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112677,3.41,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112677,3.74,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112677,39.43,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Taxi Services Overseas - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112677,51.01,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112678,22.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112679,3.70,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112679,8.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112679,18.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112680,3.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112680,49.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",112681,93.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112682,3.60,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112682,3.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112682,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112682,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112682,67.88,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112683,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112683,11.95,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112683,18.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112683,23.18,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112683,81.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",112685,30.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Other Travel - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112527,1.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Other Travel - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112527,2.30,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Other Travel - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112527,3.85,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Hospitality - UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112527,15.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Mileage Allowance UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112527,224.10,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Defence and Security Organisation - Regional Directorates,"Personal Expense, Name Witheld",112869,35.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112870,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112870,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112870,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112870,67.88,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112870,76.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112870,362.70,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Healthcare UK,"Personal Expense, Name Witheld",112871,5.20,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Healthcare UK,"Personal Expense, Name Witheld",112871,15.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Taxi Services UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111936,15.60,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Hospitality - UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111937,240.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111938,9.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111938,9.91,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Taxi Services UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111938,19.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111939,5.33,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111939,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111939,20.10,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111939,42.10,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112987,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112987,5.60,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112987,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112987,67.88,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - Default,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",112988,9.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - Default,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",112988,13.84,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",112989,2.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",112989,9.60,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",112989,10.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",112989,14.28,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",112989,17.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",112989,17.95,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",112989,500.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",112990,79.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",112991,1.30,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",112991,8.55,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",112991,10.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",112991,11.21,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",112991,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",112991,131.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - UKTI Education,"Personal Expense, Name Witheld",112992,31.97,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Rail Travel Overseas - UKTI (BIS) Devolved Admin,Trade Group - UKTI Education,"Personal Expense, Name Witheld",112992,54.05,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/09/2015,Hotel & Accommodation Overseas - UKTI (BIS) Devolved Admin,Trade Group - UKTI Education,"Personal Expense, Name Witheld",112992,423.64,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Hospitality - UK - Default,Defence and Security Organisation - Cyber Security Team,"Personal Expense, Name Witheld",112234,4.25,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Subsistence UK - Default,Defence and Security Organisation - Cyber Security Team,"Personal Expense, Name Witheld",112234,9.99,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Other Travel - Default,Defence and Security Organisation - Cyber Security Team,"Personal Expense, Name Witheld",112234,12.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Subsistence UK - Default,Defence and Security Organisation - Cyber Security Team,"Personal Expense, Name Witheld",112235,7.49,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",113088,2.42,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Investment Development - Global Operations,"Personal Expense, Name Witheld",113160,11.40,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Investment Development - Global Operations,"Personal Expense, Name Witheld",113160,20.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Investment Development - Global Operations,"Personal Expense, Name Witheld",113160,26.35,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Investment Development - Global Operations,"Personal Expense, Name Witheld",113160,44.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",113162,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",113162,8.70,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Hospitality - UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",113162,11.10,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",113162,39.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",113162,180.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Other Travel - Default,Trade Group - Service Delivery,"Personal Expense, Name Witheld",113163,4.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15/09/2015,Subsistence UK - Default,Trade Group - Service Delivery,"Personal Expense, Name Witheld",113163,20.00,,,EMPLOYEE,,,Administration,,
