Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,NORTH EAST,EVERSHEDS LLP,285851,2408.4
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,NORTH EAST,SAVILLS (L&P) LIMITED,286635,30000
Communities and Local Government,Homes and Communities Agency,15/04/2010,REV GRNTS PUB SECTOR EXCL L A,NORTH EAST,TEESSIDE PENSION FUND,286988,18000
Communities and Local Government,Homes and Communities Agency,15/04/2010,PANEL FEES PROPERTY SERVICES,NORTH WEST,GVA GRIMLEY,286246,6025.06
Communities and Local Government,Homes and Communities Agency,15/04/2010,PANEL FEES PROPERTY SERVICES,NORTH WEST,GVA GRIMLEY,286245,6033.31
Communities and Local Government,Homes and Communities Agency,15/04/2010,INTERNAL BUILDING MAINTENANCE,NORTH WEST,BRADLEY ENVIRONMENTAL CONSULTANTS LTD,287037,480
Communities and Local Government,Homes and Communities Agency,15/04/2010,DRAINS & SEWERS,NORTH WEST,J L HILL,287408,3023.95
Communities and Local Government,Homes and Communities Agency,15/04/2010,DRAINS & SEWERS,NORTH WEST,J L HILL,287409,3652.85
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,NORTH WEST,JOHNSON POOLE & BLOOMER,286958,1956
Communities and Local Government,Homes and Communities Agency,15/04/2010,LAND MAINT-AWAITING DEV/ DISP,NORTH WEST,WELDLAG (PRESTON) LTD,286713,750.22
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,NORTH WEST,EVERSHEDS LLP,287629,32
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,NORTH WEST,EVERSHEDS LLP,287629,9600
Communities and Local Government,Homes and Communities Agency,15/04/2010,PROMOTIONAL EVENTS,NORTH WEST,CITY INN MANCHESTER,287368,1750
Communities and Local Government,Homes and Communities Agency,15/04/2010,ECONOMIC CONSULTANCY PANEL,NORTH WEST,BBP REGENERATION LTD,285822,20871.25
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,BARRATT DEVELOPMENTS PLC,40744,21750
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,CDS HOUSING ASSOCIATION LIMITED,40712,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,PLUS HOUSING GROUP LIMITED,40726,902000
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-ENGINEERING,NORTH WEST,AOH LTD,287345,3200
Communities and Local Government,Homes and Communities Agency,15/04/2010,SERVICE CHARGE,NORTH WEST,CB RICHARD ELLIS,286618,106563.69
Communities and Local Government,Homes and Communities Agency,15/04/2010,OPEN MARKET VALUATION FEE,NORTH WEST,GVA GRIMLEY,286256,5987.5
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,WYG ENGINEERING LTD,287034,2000
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,PLACE MAKING,LIVERPOOL CITY COUNCIL,286513,506.38
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,SHARPE PRITCHARD,286382,524
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,SHARPE PRITCHARD,286380,1168
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,SHARPE PRITCHARD,286382,1769.46
Communities and Local Government,Homes and Communities Agency,15/04/2010,ENGINEERING CONSULTANTS,PLACE MAKING,ATKINS LTD,282438,845.28
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,GROUND CONTROL LIMITED,282410,475
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,SLP VEGETATION SOLUTIONS,286783,500
Communities and Local Government,Homes and Communities Agency,15/04/2010,PROPERTY,PLACE MAKING,GVA GRIMLEY,286651,738
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287452,333.84
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287475,452.14
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287404,548.6
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287442,679.8
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287452,689.64
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287486,750
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287402,972.4
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287397,1140.37
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287442,1273.7
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287475,1399.86
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287428,1502.72
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287417,1836.24
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287414,1932.4
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287465,2724.44
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287407,2846.42
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287438,4577.08
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,287418,5212.05
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,THOMPSON ESTATE MAINTENANCE,286778,247.35
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE MAINT-FUTURE CRA DIS,PLACE MAKING,THOMPSON ESTATE MAINTENANCE,286778,247.36
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,COMPLETE GROUND MANAGEMENT LTD,286785,200
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE MAINT-FUTURE CRA DIS,PLACE MAKING,COMPLETE GROUND MANAGEMENT LTD,286785,275
Communities and Local Government,Homes and Communities Agency,15/04/2010,LAND MAINT-AWAITING DEV/ DISP,PLACE MAKING,D & B RUDD & SON LTD,286375,4760
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,HEWITSONS SOLICITORS,285491,685.3
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,THOMPSON ESTATE MAINTENANCE,286780,1677.56
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,METRO ROD,286760,560
Communities and Local Government,Homes and Communities Agency,15/04/2010,OCCUPIED RATES,PLACE MAKING,TELFORD & WREKIN COUNCIL,283202,14904
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,SUNDERLAND CITY COUNCIL,286959,1351.25
Communities and Local Government,Homes and Communities Agency,15/04/2010,SECURITY,PLACE MAKING,PROFILE SECURITY SERVICES LTD,286770,780
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,PLACE MAKING,WARRINGTON BOROUGH COUNCIL,286739,608.11
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,PLACE MAKING,WARRINGTON BOROUGH COUNCIL,286740,988.18
Communities and Local Government,Homes and Communities Agency,15/04/2010,PROPERTY,PLACE MAKING,GVA GRIMLEY,287456,554
Communities and Local Government,Homes and Communities Agency,15/04/2010,PROPERTY,PLACE MAKING,LAMBERT SMITH HAMPTON,287476,774.6
Communities and Local Government,Homes and Communities Agency,15/04/2010,PROPERTY,PLACE MAKING,GVA GRIMLEY,286648,1172
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,THOMPSON ESTATE MAINTENANCE,286779,587.84
Communities and Local Government,Homes and Communities Agency,15/04/2010,LANDSCAPE MAINT-FUTURE CRA DIS,PLACE MAKING,THOMPSON ESTATE MAINTENANCE,286779,725.9
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-PROPERTY,PLACE MAKING,KING STURGE,287031,1250
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,WYG ENGINEERING LTD,281331,5000
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,DENTON WILDE SAPTE,286129,30
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,DENTON WILDE SAPTE,286129,804
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL SCALE FEES LEGAL,PLACE MAKING,DENTON WILDE SAPTE,286127,693.2
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL SCALE FEES LEGAL,PLACE MAKING,DENTON WILDE SAPTE,286128,1200
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,PINSENT MASONS,287033,791
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,DLA PIPER UK LLP,287030,1343.8
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,286125,999.75
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,283224,1039.74
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,285881,1053.07
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,BERWIN LEIGHTON PAISNER,287308,292
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,BERWIN LEIGHTON PAISNER,287308,16044.28
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,HEWITSONS SOLICITORS,286911,14200
Communities and Local Government,Homes and Communities Agency,15/04/2010,CONSULTANTS/MKT RESEARCH FEES,PLACE MAKING,BUILDING RESEARCH ESTABLISHMENT,287003,20000
Communities and Local Government,Homes and Communities Agency,15/04/2010,CONSULTANTS/MKT RESEARCH FEES,PLACE MAKING,BUILDING RESEARCH ESTABLISHMENT,287004,20000
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,CORNWALL COUNCIL,286842,6000
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,DESIGN FOR HOMES,286850,3000
Communities and Local Government,Homes and Communities Agency,15/04/2010,OTHER PROFESSIONAL FEES,PLACE MAKING,EDAW PLC,286049,14530.45
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,ICON DISPLAY LTD,286847,1525
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,PIPERS PROJECTS LTD,286829,3894
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,TCPA,286848,1650
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,PLACE MAKING,EVERSHEDS LLP,286725,2729.5
Communities and Local Government,Homes and Communities Agency,15/04/2010,I.T. CONSULTANTS FEES,PLACE MAKING,AMTEC CONSULTING PLC,287663,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,I.T. CONSULTANTS FEES,PLACE MAKING,AMTEC CONSULTING PLC,287667,5000
Communities and Local Government,Homes and Communities Agency,15/04/2010,I.T. CONSULTANTS FEES,PLACE MAKING,AMTEC CONSULTING PLC,287665,9500
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,285882,769.11
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,286103,769.11
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,286917,961.39
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,286918,961.39
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,LUCY WALKER RECRUITMENT LTD,286946,505.91
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,LUCY WALKER RECRUITMENT LTD,286945,549.9
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,LUCY WALKER RECRUITMENT LTD,286944,559.07
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,LUCY WALKER RECRUITMENT LTD,286921,659.88
Communities and Local Government,Homes and Communities Agency,15/04/2010,ENABLING BUSINESS & TECHNICAL,PLACE MAKING,PB COACHING MCD,287641,4230
Communities and Local Government,Homes and Communities Agency,15/04/2010,ENABLING BUSINESS & TECHNICAL,PLACE MAKING,PB COACHING MCD,287645,4755
Communities and Local Government,Homes and Communities Agency,15/04/2010,FINANCIAL INVESTIGATIONS CONSU,PLACE MAKING,REGENERIS CONSULTING LIMITED,283905,47709.12
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,ROBERT HALF INTERNATIONAL,286920,832.78
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,ROBERT HALF INTERNATIONAL,286919,849.44
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,GREENGAGE CONSULTING LTD,286890,29375
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,PINSENT MASONS,285404,1099.56
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,WALKGROVE LIMITED,286889,15370.47
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,285883,961.39
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,BADENOCH & CLARK,286099,961.39
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,BRAHM LIMITED,286881,1712.55
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,BRANDED3 LTD,286913,12039.64
Communities and Local Government,Homes and Communities Agency,15/04/2010,SECONDED STAFF COSTS,PLACE MAKING,CHARTERED INSTITUTE OF HOUSING,286882,7166.28
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,CLES CONSULTING  LTD,286884,14161.1
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,ENGAGE GROUP,286888,4371
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,LEDGARD JEPSON LIMITED,286916,869.5
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,LEDGARD JEPSON LIMITED,286877,1351.25
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,LEDGARD JEPSON LIMITED,286915,1650.88
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,LEDGARD JEPSON LIMITED,286893,6168.75
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,LUCY WALKER RECRUITMENT LTD,287795,-549.9
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,PLACE MAKING,LUCY WALKER RECRUITMENT LTD,286905,549.9
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,MWL PRINT GROUP,286879,581.63
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,MWL PRINT GROUP,286875,734.38
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,MWL PRINT GROUP,286887,820
Communities and Local Government,Homes and Communities Agency,15/04/2010,MISC PROFESSIONAL FEES,PLACE MAKING,THREE HUNDRED MILLION LTD,286914,752
Communities and Local Government,Homes and Communities Agency,15/04/2010,PHOTOGRAPHY,PLACE MAKING,THREE HUNDRED MILLION LTD,286797,3694.2
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286799,710.88
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286798,1124.48
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286795,1202.03
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286792,1803.04
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286794,1803.04
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286796,1803.04
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286793,4560.18
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286793,5350.95
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286789,5383.26
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286791,7528.81
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286790,8452.95
Communities and Local Government,Homes and Communities Agency,15/04/2010,PRINTING & STATIONERY,PLACE MAKING,THREE HUNDRED MILLION LTD,286787,21326.25
Communities and Local Government,Homes and Communities Agency,15/04/2010,PUBLICATIONS,PLACE MAKING,THREE HUNDRED MILLION LTD,286786,697.95
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,SOUTH EAST,BERWIN LEIGHTON PAISNER,287654,1581.72
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,SOUTH EAST,BERWIN LEIGHTON PAISNER,286084,2155.72
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,SOUTH EAST,TROWERS AND HAMLINS,285860,2289.6
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,SOUTH EAST,TROWERS AND HAMLINS,285860,5325
Communities and Local Government,Homes and Communities Agency,15/04/2010,GENERIC LEARNING,SOUTH EAST,QUALITY HOTEL READING,287648,200
Communities and Local Government,Homes and Communities Agency,15/04/2010,GENERIC LEARNING,SOUTH EAST,QUALITY HOTEL READING,287648,348.51
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,BELLWAY PLC,40742,19610
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,CATALYST COMMUNITIES HOUSING ASSOCIATION,40709,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,CATALYST COMMUNITIES HOUSING ASSOCIATION,40710,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,CATALYST COMMUNITIES HOUSING ASSOCIATION,40711,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,40707,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,40708,118957
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,WESTBURY PARTNERSHIPS - PROJECTS,40734,26242
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,WESTBURY PARTNERSHIPS - PROJECTS,40740,29625
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,WESTBURY PARTNERSHIPS - PROJECTS,40735,37492
Communities and Local Government,Homes and Communities Agency,15/04/2010,ENG CONSULTANTS FEES,SOUTH EAST,WYG ENGINEERING LTD,287656,1185
Communities and Local Government,Homes and Communities Agency,15/04/2010,AGENCY STAFF,SOUTH EAST,B RECRUITMENT,287380,530.95
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-LEGAL,SOUTH EAST,ADDLESHAW GODDARD,284094,15
Communities and Local Government,Homes and Communities Agency,15/04/2010,DISPOSAL FEES-LEGAL,SOUTH EAST,ADDLESHAW GODDARD,284094,11552.41
Communities and Local Government,Homes and Communities Agency,15/04/2010,LEGAL FEES,SOUTH EAST,ADDLESHAW GODDARD,284096,1000
Communities and Local Government,Homes and Communities Agency,15/04/2010,PANEL FEES PROPERTY SERVICES,SOUTH EAST,BERRYS,287601,1000
Communities and Local Government,Homes and Communities Agency,15/04/2010,PANEL FEES PROPERTY SERVICES,SOUTH EAST,BERRYS,287602,1000
Communities and Local Government,Homes and Communities Agency,15/04/2010,OCCUPIED RATES,SOUTH EAST,BRISTOL CITY COUNCIL,286824,10469.98
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286665,1328.96
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286666,1328.96
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286667,1328.96
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286661,1495.08
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286658,1827.32
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286659,1827.32
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286660,1827.32
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-VACANT RATES,SOUTH EAST,SOUTH OXFORDSHIRE DISTRICT COUNCIL,286657,2990.16
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,GALLIFORD TRY PLC,40743,19205
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,40727,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,40728,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,40729,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,40730,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,40731,1500
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,WESTBURY PARTNERSHIPS - PROJECTS,40736,18523
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,WESTBURY PARTNERSHIPS - PROJECTS,40738,23147
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,WESTBURY PARTNERSHIPS - PROJECTS,40739,23547
Communities and Local Government,Homes and Communities Agency,15/04/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,WESTBURY PARTNERSHIPS - PROJECTS,40737,23897
Communities and Local Government,Homes and Communities Agency,15/04/2010,MASTERPLANNING FEES EP ASSETS,SOUTH WEST,ALAN BAXTER & ASSOCIATES,286057,5143.67
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-ELECTRICITY,SOUTH EAST,BRITISH ENERGY GENERATION LTD,287460,2254.82
Communities and Local Government,Homes and Communities Agency,15/04/2010,PANEL FEES PROPERTY SERVICES,SOUTH WEST,CB RICHARD ELLIS,287608,2800
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-ELECTRICITY,SOUTH WEST,CORNWALL COLLEGE FURTHER EDUCATION CORP.,286634,69.83
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-ELECTRICITY,SOUTH WEST,CORNWALL COLLEGE FURTHER EDUCATION CORP.,286634,1246.91
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-ELECTRICITY,SOUTH WEST,CORNWALL COLLEGE FURTHER EDUCATION CORP.,286634,3754.1
Communities and Local Government,Homes and Communities Agency,15/04/2010,BUILDINGS-ELECTRICITY,SOUTH WEST,CORNWALL COLLEGE FURTHER EDUCATION CORP.,286633,4153.16
Communities and Local Government,Homes and Communities Agency,15/04/2010,GROUNDS MAINTENANCE GENERAL,SOUTH WEST,CORNWALL COLLEGE FURTHER EDUCATION CORP.,287443,1400
Communities and Local Government,Homes and Communities Agency,15/04/2010,OCCUPIED RATES,SOUTH WEST,CORNWALL COUNCIL,287398,11518.75
