 1 ORGANISATION NAME,2 PURPOSE OF SPEND,3 DIRECTORATE/ SERVICE RESPONSIBLE,4 START DATE,5 END DATE,6 AWARD AMOUNT (£),7 SUPPLIER/ BENFICIARY NAME,8 REGISTERED CHARITY NUMBER
ROCHDALE BOROUGH COUNCIL,HP/22/15 GRANT PAYMENT (HEYWOOD STATION 175TH ANNIVERSARY EVENT),NEIGHBOURHOODS,15/04/2016,15/04/2016,292.10,EAST LANCASHIRE LIGHT RAILWAY CO LTD,1107332
ROCHDALE BOROUGH COUNCIL,HP/25/14 GRANT PAYMENT (RAILWAY CARRAIGE RELOCATION),NEIGHBOURHOODS,01/04/2016,30/06/2016,1000.00,EAST LANCASHIRE LIGHT RAILWAY CO LTD,1107332
ROCHDALE BOROUGH COUNCIL,HP/25/16 GRANT PAYMENT (HEYWOOD TOWNSHIP ORIGIN SERVICES 2017),NEIGHBOURHOODS,01/04/2016,31/03/2017,4400.00,ROCHDALE HORNETS SPORTING FOUNDATION,1159601
ROCHDALE BOROUGH COUNCIL,HP/30/16 GRANT PAYMENT (POACHER 2017 INTERNATIONAL JAMBOREE - EQUIPMENT),NEIGHBOURHOODS,08/02/2017,31/03/2017,1536.54,12TH HEYWOOD OUR LADY AND  ST JOSEPHS SCOUT GROUP,
ROCHDALE BOROUGH COUNCIL,HW/01/16 GRANT PAYMENT (SANDON HOUSE REFURBISHMENT),NEIGHBOURHOODS,14/04/2016,03/10/2016,500.00,SANDON HOUSE COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,HW/05/15 GRANT PAYMENT (CONTRIBUTION TO HEYWOOD FOOD BANK),NEIGHBOURHOODS,01/04/2016,31/03/2017,300.00,HEYWOOD SVP FOOD BANK,
ROCHDALE BOROUGH COUNCIL,HW/10/15 GRANT PAYMENT (CONTRIBUTION TOWARDS A RECYCLING PENGUIN BIN FOR HARWOOD PARK PRIMARY SCHOOL),NEIGHBOURHOODS,18/04/2016,28/04/2016,250.00,HEYWOOD IN BLOOM,
ROCHDALE BOROUGH COUNCIL,"INNOVATION FUND - PETRUS VOLUNTEERING PROJECT, £15,000.",NEIGHBOURHOODS,01/04/2016,31/03/2017,15000.00,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,INNOVATION FUND - ROCHDALE BREAKFAST CLUB,NEIGHBOURHOODS,01/04/2016,31/03/2017,4860.00,THE ROYAL BRITISH LEGION ROCHDALE,
ROCHDALE BOROUGH COUNCIL,INNOVATION FUND - TO DELIVER ‘QUIDS IN’ FINANCIAL WORKSHOPS AND THE FINANCIAL RE-ENGAGEMENT WORKER IN THE PRIVATE RENTED SECTOR,NEIGHBOURHOODS,01/04/2016,31/03/2017,28057.00,THE BOND BOARD LIMITED,1040176
ROCHDALE BOROUGH COUNCIL,INNOVATION FUND - TO DELIVER COMPLEX WELFARE BENEFITS AND DEBT ADVICE AND SUPPORT FOR PEOPLE WITH LIFE CHANGING OR LONG TERM HEALTH CONDITIONS,NEIGHBOURHOODS,20/07/2016,31/03/2017,15000.00,ROCHDALE & DIST CITIZENS ADVICE BUREAU,
ROCHDALE BOROUGH COUNCIL,M/02/16 GRANT PAYMENT (GREAVE PLAY SCHEME),NEIGHBOURHOODS,08/07/2016,30/09/2016,425.32,GREAVE TENANTS & RESIDENTS ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,M/03/16 GRANT PAYMENT (BIRCLE LADS REMEMBERED - HERITAGE OPEN DAY PROMOTION),NEIGHBOURHOODS,01/04/2016,31/03/2017,158.00,PCC OF BIRCLE CHURCH,
ROCHDALE BOROUGH COUNCIL,M/04/16 GRANT PAYMENT (DEEPLISH COMMUNITY CENTRE WEBSITE),NEIGHBOURHOODS,06/06/2016,28/06/2016,500.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,M/06/16 GRANT PAYMENT (THEATRICAL COMMUNITY PRODUCTION OF FOOTLOOSE AT BAMFORD CHAPEL),NEIGHBOURHOODS,01/04/2016,31/03/2017,620.00,BAMFORD CHAPEL UNITED REFORMED CHURCH CHARITY,1128387
ROCHDALE BOROUGH COUNCIL,M/07/16 GRANT PAYMENT (ARNOLD BAGNALL COURT WELCOME EVENT),NEIGHBOURHOODS,06/02/2017,10/02/2017,600.00,ARNOLD BAGNALL CRT RESIDENTS SOCIAL FUND,
ROCHDALE BOROUGH COUNCIL,M/08/16 GRANT PAYMENT (BALDERSTONE AND KIRKHOLT COMMUNITY EVENT AND CHRISTMAS LIGHTS SWITCH ON),NEIGHBOURHOODS,01/04/2016,30/06/2016,1772.01,ST THOMAS CHURCH,
ROCHDALE BOROUGH COUNCIL,M/14/16 GRANT PAYMENT (ROOLEY MOOR NEIGHBOURHOOD FORUM LAUNCH EVENT),NEIGHBOURHOODS,25/01/2017,31/03/2017,767.47,ROOLEY MOOR NEIGHBOURHOOD FORUM CIO,1165601
ROCHDALE BOROUGH COUNCIL,M/16/16 GRANT PAYMENT (INDEPENDENCE DAY AND POETRY EVENT),NEIGHBOURHOODS,14/04/2016,30/04/2016,400.00,MULTICULTURAL RESOURCE CENTRE,1127743
ROCHDALE BOROUGH COUNCIL,M/21/16 GRANT PAYMENT (MCRC LAUNCH EVENT),NEIGHBOURHOODS,19/07/2016,31/03/2017,368.00,MULTICULTURAL RESOURCE CENTRE,1127743
ROCHDALE BOROUGH COUNCIL,M/23/16 GRANT PAYMENT (PORTABLE PA SYSTEM AND LANDSCAPING EQUIPMENT),NEIGHBOURHOODS,12/12/2016,31/12/2016,399.99,KIRKHOLT BOWLING CLUB,
ROCHDALE BOROUGH COUNCIL,M/24/16 GRANT PAYMENT (WINTER WONDERLAND IN BALDERSTONE PARK EVENT),NEIGHBOURHOODS,02/12/2016,02/12/2016,125.00,FRIENDS OF BALDERSTONE PARK,
ROCHDALE BOROUGH COUNCIL,M/26/15 GRANT PAYMENT (COOKER),NEIGHBOURHOODS,01/04/2016,31/03/2017,260.00,SUDDEN & BRIMROD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,M/39/16 GRANT PAYMENT (MCRC WEBSITE),NEIGHBOURHOODS,01/04/2016,30/09/2016,175.00,MULTICULTURAL RESOURCE CENTRE,1127743
ROCHDALE BOROUGH COUNCIL,M/41/13 GRANT PAYMENT (TABLES AND TROLLEY),NEIGHBOURHOODS,04/07/2016,09/07/2016,770.00,10TH ROCHDALE SCOUT GROUP,
ROCHDALE BOROUGH COUNCIL,M/42/16 GRANT PAYMENT (MCRC LAPTOP),NEIGHBOURHOODS,14/04/2016,30/04/2016,399.00,MULTICULTURAL RESOURCE CENTRE,1127743
ROCHDALE BOROUGH COUNCIL,M/43/16 GRANT PAYMENT (BOILER REPLACEMENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,550.00,ROCHDALIANS FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,M/45/16 GRANT PAYMENT (ARNOLD BAGNALL COURT SOCIAL EVENT),NEIGHBOURHOODS,05/07/2016,31/03/2017,100.00,ARNOLD BAGNALL CRT RESIDENTS SOCIAL FUND,
ROCHDALE BOROUGH COUNCIL,M/46/16 GRANT PAYMENT (KIRKHOLT PANTRY PUBLICITY),NEIGHBOURHOODS,01/04/2016,31/03/2017,150.00,OUR LOCAL PANTRY,
ROCHDALE BOROUGH COUNCIL,M/48/15 GRANT PAYMENT (TAYLOR PARK BRIDLEWAY),NEIGHBOURHOODS,01/02/2017,31/03/2017,1920.00,ROCHDALE AND BURY BRIDLEWAYS ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,M/49/16 GRANT PAYMENT (FOOTBALL KITS FOR ROCHDALE ST CLEMENTS FC),NEIGHBOURHOODS,01/04/2016,31/03/2017,500.00,ROCHDALE ST CLEMENTS FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,M/53/15 GRANT PAYMENT (DEEPLISH COMMUNITY CENTRE FAMILY FUN DAY),NEIGHBOURHOODS,01/04/2016,09/04/2016,350.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,M/54/15 GRANT PAYMENT (SPARTH CHILDREN`S GROUPS ARTS & CRAFTS),NEIGHBOURHOODS,24/06/2016,07/07/2016,250.00,SPARTH COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,M/56/15 GRANT PAYMENT (MWA INTERNATIONAL WOMEN`S DAY),NEIGHBOURHOODS,01/04/2016,31/03/2017,250.00,MULTICULTURAL WOMEN`S ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,M/57/14 GRANT PAYMENT (NORDEN OLD LIBRARY SECURITY GATE),NEIGHBOURHOODS,11/10/2016,31/03/2017,427.00,NORDEN COMMUNITY TRUST,1122737
ROCHDALE BOROUGH COUNCIL,M/57/16 GRANT PAYMENT (MOVEMENT & MEMORIES AND MEET & EAT COMMUNITY PROJECTS),NEIGHBOURHOODS,01/04/2016,31/03/2017,467.68,SPOTLAND METHODIST CHURCH,
ROCHDALE BOROUGH COUNCIL,M/60/15 GRANT PAYMENT (JACK MCCANN SELF HELP),NEIGHBOURHOODS,01/04/2016,31/03/2017,1302.00,JACK MCCANN COURT RESIDENTS ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,M/60/16 GRANT PAYMENT (GOING DIGITAL),NEIGHBOURHOODS,01/04/2016,31/03/2017,990.00,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,M/61/16 GRANT PAYMENT (CREATIVE ENGLISH PROJECT),NEIGHBOURHOODS,19/05/2016,22/08/2016,800.00,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,M/65/15 GRANT PAYMENT (POTHOHARI (POTHWARI) POETRY EVENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,1000.00,MULTICULTURAL RESOURCE CENTRE,1127743
ROCHDALE BOROUGH COUNCIL,ME/06/16 GRANT PAYMENT (BOXING EQUIPMENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,230.00,BOARSHAW AMATEUR BOXING CLUB,
ROCHDALE BOROUGH COUNCIL,ME/06/16 GRANT PAYMENT (BOXING EQUIPMENT),NEIGHBOURHOODS,27/03/2017,31/03/2017,230.00,BOARSHAW AMATEUR BOXING CLUB,
ROCHDALE BOROUGH COUNCIL,ME/06/16 GRANT PAYMENT (BOXING EQUIPMENT),NEIGHBOURHOODS,27/03/2017,31/03/2017,230.00,BOARSHAW AMATEUR BOXING CLUB,
ROCHDALE BOROUGH COUNCIL,ME/06/16 GRANT PAYMENT (BOXING EQUIPMENT),NEIGHBOURHOODS,27/03/2017,31/03/2017,230.00,BOARSHAW AMATEUR BOXING CLUB,
ROCHDALE BOROUGH COUNCIL,ME/06/16 GRANT PAYMENT (BOXING EQUIPMENT),NEIGHBOURHOODS,27/03/2017,31/03/2017,147.00,BOARSHAW AMATEUR BOXING CLUB,
ROCHDALE BOROUGH COUNCIL,MEF/02/16 GRANT PAYMENT (MIDDFEST 2016),NEIGHBOURHOODS,01/04/2016,31/03/2017,15500.00,MIDDLETON ROUND TABLE,
ROCHDALE BOROUGH COUNCIL,MH/01/16 GRANT PAYMENT (HOLLIN EMB ARTS & CRAFTS),NEIGHBOURHOODS,04/07/2016,01/09/2016,500.00,HOLLIN ESTATE MANAGEMENT BOARD,
ROCHDALE BOROUGH COUNCIL,MP/03/16 GRANT PAYMENT (THE RECOVERY TOOLKIT),NEIGHBOURHOODS,01/04/2016,31/03/2017,4500.00,ROCHDALE CONNECTION TRUST,1074736
ROCHDALE BOROUGH COUNCIL,MP/04/16 GRANT PAYMENT (MIDDLETON TOWNSHIP ASSERTIVE OUTREACH PROJECT),NEIGHBOURHOODS,20/07/2016,31/03/2017,2250.00,EARLY BREAK,1072052
ROCHDALE BOROUGH COUNCIL,MP/10/16 GRANT PAYMENT (MIDDLETON TOWNSHIP ORIGIN SERIES 2017),NEIGHBOURHOODS,01/04/2016,31/03/2017,4360.00,ROCHDALE HORNETS SPORTING FOUNDATION,1159601
ROCHDALE BOROUGH COUNCIL,MP/13/16 GRANT PAYMENT (MY WORLD PROJECT),NEIGHBOURHOODS,01/01/2017,31/03/2017,2500.00,STATUS 4 ALL,1139781
ROCHDALE BOROUGH COUNCIL,MP/14/15 GRANT PAYMENT (FOOTBALL KIT),NEIGHBOURHOODS,01/07/2016,30/09/2016,750.00,MIDDLETON COLTS FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,MS/03/15 GRANT PAYMENT (ST THOMAS MORE CHURCH HALL WATER BOILER),NEIGHBOURHOODS,01/04/2016,31/03/2017,600.00,CHURCH HALL USERS,
ROCHDALE BOROUGH COUNCIL,MTC/05/15 GRANT PAYMENT (MILLS HILL STATION PLANTERS),NEIGHBOURHOODS,14/04/2016,31/03/2017,1470.40,FRIENDS OF ROCHDALE MILLS HILL,
ROCHDALE BOROUGH COUNCIL,MTC/06/16 GRANT PAYMENT (BUILDING SECURITY AT MIDDLETON GYMNASTICS CLUB),NEIGHBOURHOODS,12/11/2016,12/11/2016,1428.00,MIDDLETON GYMNASTICS CLUB,
ROCHDALE BOROUGH COUNCIL,MTC/08/15 GRANT PAYMENT (INSTRUMENTS),NEIGHBOURHOODS,04/07/2016,24/07/2016,10993.00,MIDDLETON BAND,
ROCHDALE BOROUGH COUNCIL,MTC/10/16 GRANT PAYMENT (LIGHTHOUSE PROJECT LIGHTING FOR NEW PREMISES),NEIGHBOURHOODS,27/03/2017,31/03/2017,3601.44,INSPIRE MIDDLETON,
ROCHDALE BOROUGH COUNCIL,MTCN/01/15 GRANT PAYMENT,NEIGHBOURHOODS,14/04/2016,24/06/2016,516.38,JOKERS PARENT AND TODDLER GROUP,
ROCHDALE BOROUGH COUNCIL,MW/01/16 GRANT PAYMENT (COMMUNITY PARTY IN THE PARK FOR THE QUEEN`S 90TH BIRTHDAY CELEBRATIONS),NEIGHBOURHOODS,01/04/2016,31/03/2017,500.00,THE ANGEL PROJECT,
ROCHDALE BOROUGH COUNCIL,"MW/02/16, MH/02/16, MS/01/16 & MN/01/16 GRANT PAYMENT (MEMORIES ARE MADE OF THIS)",NEIGHBOURHOODS,01/04/2016,31/03/2017,500.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,"MW/02/16, MH/02/16, MS/01/16 & MN/01/16 GRANT PAYMENT (MEMORIES ARE MADE OF THIS)",NEIGHBOURHOODS,01/04/2016,31/03/2017,500.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,"MW/02/16, MH/02/16, MS/01/16 & MN/01/16 GRANT PAYMENT (MEMORIES ARE MADE OF THIS)",NEIGHBOURHOODS,01/04/2016,31/03/2017,500.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,"MW/02/16, MH/02/16, MS/01/16 & MN/01/16 GRANT PAYMENT (MEMORIES ARE MADE OF THIS)",NEIGHBOURHOODS,13/03/2017,31/03/2017,200.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,MW/03/16 GRANT PAYMENT (NEIGHBOURS DAY EVENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,400.00,BURNSIDE CENTRE ACCOUNT,1145309
ROCHDALE BOROUGH COUNCIL,PAYMENT FOR PROVISION OF SUPPORT IN DEALING WITH BENEFIT CAP CASES FOR A 6 MONTH PERIOD UNTIL END OF APRIL 2017.,NEIGHBOURHOODS,01/04/2016,31/03/2017,18691.00,THE BOND BOARD LIMITED,1040176
ROCHDALE BOROUGH COUNCIL,PEER MENTOR AND LEADERSHIP PROGRAMME - PHASE 2,NEIGHBOURHOODS,01/02/2017,31/03/2017,2000.00,ROCHDALE BANGLADESHI PARTNERSHIP PROJECT,
ROCHDALE BOROUGH COUNCIL,PEF/02/16 GRANT PAYMENT (WARDLE VILLAGE FETE 2016),NEIGHBOURHOODS,01/04/2016,31/03/2017,1125.50,CRAFT COTTAGE COMMUNITY ARTS,
ROCHDALE BOROUGH COUNCIL,PEF/06/15 GRANT PAYMENT (LITTLEBOROUGH RUSHBEARING FESTIVAL 2016),NEIGHBOURHOODS,01/04/2016,31/03/2017,3000.00,LITTLEBOROUGH EVENTS & ASSOCIATION FORUM,
ROCHDALE BOROUGH COUNCIL,PF/03/16 GRANT PAYMENT (PENNINES TOWNSHIP ASSERTIVE OUTREACH PROJECT),NEIGHBOURHOODS,19/07/2016,22/02/2017,2250.00,EARLY BREAK,1072052
ROCHDALE BOROUGH COUNCIL,"PF/06/16 GRANT PAYMENT (OPENING UP LONG CAUSEWAY, WATERGROVE)",NEIGHBOURHOODS,15/09/2016,30/09/2016,588.00,WARDLE CIVIC SOCIETY,
ROCHDALE BOROUGH COUNCIL,PF/08/16 GRANT PAYMENT (PENNINES TOWNSHIP ORIGIN SERIES 2017),NEIGHBOURHOODS,01/04/2016,31/03/2017,4360.00,ROCHDALE HORNETS SPORTING FOUNDATION,1159601
ROCHDALE BOROUGH COUNCIL,PF/10/16 GRANT PAYMENT (LADYBARN ACCESS/CAR PARK/BOWLING GREEN),NEIGHBOURHOODS,01/08/2016,13/08/2016,5000.00,MILNROW LADY BARN  BOWLING CLUB,
ROCHDALE BOROUGH COUNCIL,PF/13/16 GRANT PAYMENT (WARDLE EVENTS & ACTIVITIES),NEIGHBOURHOODS,22/08/2016,31/08/2016,1000.00,WARDLE CIVIC SOCIETY,
ROCHDALE BOROUGH COUNCIL,PF/15/16 GRANT PAYMENT (PENNINES IN BLOOM 2017),NEIGHBOURHOODS,01/04/2016,31/03/2017,3865.15,PENNINES IN BLOOM,
ROCHDALE BOROUGH COUNCIL,PF/25/15 GRANT PAYMENT (HELPING OUR LOCAL WILDLIFE - ECO ACTIVITIES FOR YOUNG PEOPLE PROJECT),NEIGHBOURHOODS,03/11/2016,31/03/2017,1700.00,NATUREED C I C,
ROCHDALE BOROUGH COUNCIL,PF/25/16 GRANT PAYMENT (MILNROW MORRIS TROUPE DRESSES),NEIGHBOURHOODS,01/04/2016,24/10/2016,2000.00,MILNROW MORRIS TROUPE,
ROCHDALE BOROUGH COUNCIL,PF/27/16 GRANT PAYMENT (WATERGROVE IMPROVEMENTS),NEIGHBOURHOODS,01/04/2016,31/03/2017,2256.00,PENNINES IN BLOOM,
ROCHDALE BOROUGH COUNCIL,PF/29/14 GRANT PAYMENT (CONTRIBUTION FOR GATES AND LOCKS TO IMPROVE SECURITY AT THE CABINS),NEIGHBOURHOODS,01/04/2016,31/03/2017,300.00,WARDLE FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,PF/29/14 GRANT PAYMENT (GARY SEYMOUR ROOFER AND GENERAL BUILDER INVOICE FOR ROOF REPAIR - BALANCE OF INVOICE),NEIGHBOURHOODS,01/04/2016,31/03/2017,1520.00,WARDLE FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,PF/29/14 GRANT PAYMENT (GARY SEYMOUR ROOFER AND GENERAL BUILDER INVOICE FOR ROOF REPAIR - PROPORTION (60%) PAYMENT OF INVOICE),NEIGHBOURHOODS,01/04/2016,31/03/2017,2280.00,WARDLE FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,PF/29/14 GRANT PAYMENT (TRACKER FOR RIDE ON LAWNMOWER WITH FIVE YEARS SUBSCRIPTION),NEIGHBOURHOODS,19/10/2016,30/11/2016,514.80,WARDLE FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,"PF/30/15 GRANT PAYMENT (BIODIVERSITY AROUND MILNROW, LITTLEBOROUGH AND WARDLE)",NEIGHBOURHOODS,01/04/2016,31/03/2017,1590.00,ROCHDALE FIELD NATURALISTS SOCIETY,
ROCHDALE BOROUGH COUNCIL,PF/32/15 GRANT PAYMENT (GREATER MANCHESTER MORRIS DANCING CHAMPIONSHIPS 2016),NEIGHBOURHOODS,01/04/2016,31/03/2017,986.70,ST ANNS MORRIS TROUPE,
ROCHDALE BOROUGH COUNCIL,PF/33/15 GRANT PAYMENT (LITTLEBOROUGH COACH HOUSE ALARM SYSTEM),NEIGHBOURHOODS,01/04/2016,31/03/2017,847.20,LITTLEBOROUGH COACH HOUSE TRUST LIMITED,510788
ROCHDALE BOROUGH COUNCIL,PF/34/15 GRANT PAYMENT ( OLYMPIC FESTIVAL),NEIGHBOURHOODS,04/07/2016,13/08/2016,837.00,HARE HILL HOUSE,
ROCHDALE BOROUGH COUNCIL,PF/35/15 GRANT PAYMENT (LITTLEBOROUGH ARTS FESTIVAL 2016 - LANTERN PARADE),NEIGHBOURHOODS,14/04/2016,17/07/2016,1000.00,LITTLEBOROUGH ARTS FESTIVAL,1156946
ROCHDALE BOROUGH COUNCIL,PF/38/15 GRANT PAYMENT (UPGRADE THE VISITOR EXPERIENCE AT ELLENROAD ENGINE HOUSE),NEIGHBOURHOODS,01/04/2016,31/03/2017,2000.00,ELLENROAD TRUST,700197
ROCHDALE BOROUGH COUNCIL,"PITCH IMPROVEMENTS TO MOSSWAY FOOTBALL PITCH (INC SAND DRESSING , AERATION AND LEVELS).",NEIGHBOURHOODS,01/04/2016,31/03/2017,3780.00,HORNETS RUGBY LEAGUE,
ROCHDALE BOROUGH COUNCIL,PTC/05/16 GRANT PAYMENT (CELLAR RESTORATION),NEIGHBOURHOODS,29/12/2016,01/01/2017,5000.00,MOORHOUSE METHODIST CHURCH,
ROCHDALE BOROUGH COUNCIL,PTC/12/15 GRANT PAYMENT (REFURBISHMENT OF LITTLEBOROUGH UNITED REFORMED CHURCH),NEIGHBOURHOODS,01/04/2016,31/03/2017,3500.00,LITTLEBOROUGH UNITED REFORMED CHURCH,
ROCHDALE BOROUGH COUNCIL,PW/05/16 & PF/20/16 GRANT PAYMENT (ST ANN`S CHURCH ROOF REPAIRS),NEIGHBOURHOODS,01/04/2016,31/03/2017,238.00,PAROCHIAL CHURCH COUNCIL OF ST ANNS ROCHDALE,
ROCHDALE BOROUGH COUNCIL,PW/05/16 & PF/20/16 GRANT PAYMENT (ST ANN`S CHURCH ROOF REPAIRS),NEIGHBOURHOODS,01/04/2016,31/03/2017,762.00,PAROCHIAL CHURCH COUNCIL OF ST ANNS ROCHDALE,
ROCHDALE BOROUGH COUNCIL,PW/07/16 GRANT PAYMENT (ROLLER SHUTTERS FOR HARE HILL HOUSE),NEIGHBOURHOODS,01/04/2016,30/04/2016,2000.00,MOOREND DEVELOPMENT TRUST LIMITED,1115997
ROCHDALE BOROUGH COUNCIL,PW/08/16 GRANT PAYMENT (HARE HILL PARK WOOLLEN WOODS 2017),NEIGHBOURHOODS,14/04/2016,31/03/2017,500.00,LITTLEBOROUGH ARTS FESTIVAL,1156946
ROCHDALE BOROUGH COUNCIL,QUARTER 1 FUNDING (01/04/16-30/06/16),NEIGHBOURHOODS,01/04/2016,31/03/2017,16425.00,BRENTWOOD,1004389
ROCHDALE BOROUGH COUNCIL,QUARTER 2 FUNDING (01/07/16-30/09/16),NEIGHBOURHOODS,01/04/2016,30/06/2016,16425.00,BRENTWOOD,1004389
ROCHDALE BOROUGH COUNCIL,QUARTER 3 FUNDING (01/10/16-31/12/16),NEIGHBOURHOODS,01/07/2016,30/09/2016,16425.00,BRENTWOOD,1004389
ROCHDALE BOROUGH COUNCIL,QUARTER 4 FUNDING (01/01/17-31/03/17),NEIGHBOURHOODS,01/10/2016,31/12/2016,16425.00,BRENTWOOD,1004389
ROCHDALE BOROUGH COUNCIL,RBC FUNDING FOR LINKS 2 PROJECT BY CARTWHEEL ARTS    COST = £2000.00,NEIGHBOURHOODS,01/04/2016,31/03/2017,2000.00,CARTWHEEL ARTS,
ROCHDALE BOROUGH COUNCIL,ROCHDALE DIVERSITY AWARDS 2017,NEIGHBOURHOODS,01/04/2016,31/03/2017,2750.00,KASHMIR YOUTH PROJECT,
ROCHDALE BOROUGH COUNCIL,ROCHDALE INFRASTRUCTURE GRANT,PUBLIC HEALTH,01/04/2016,31/03/2017,32500.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,700561
ROCHDALE BOROUGH COUNCIL,ROCHDALE INFRASTRUCTURE GRANT,PUBLIC HEALTH,01/04/2016,31/03/2017,32500.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,700561
ROCHDALE BOROUGH COUNCIL,ROCHDALE INFRASTRUCTURE GRANT,PUBLIC HEALTH,01/04/2016,31/03/2017,32500.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,700561
ROCHDALE BOROUGH COUNCIL,ROCHDALE INFRASTRUCTURE GRANT,PUBLIC HEALTH,01/04/2016,31/03/2017,32500.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,700561
ROCHDALE BOROUGH COUNCIL,RP/04/16 GRANT PAYMENT (KIRKY KITCHEN SOFT PLAY AREA),NEIGHBOURHOODS,01/07/2016,30/09/2016,4150.00,ST THOMAS CHURCH,
ROCHDALE BOROUGH COUNCIL,RP/14/15 GRANT PAYMENT (FRIENDS OF TOURCOING ASSOC CELEBRATION OF 50 YEARS OF CIVIC TWINNED TOWN FRIENDSHIP),NEIGHBOURHOODS,01/04/2016,17/04/2016,500.00,FRIENDS OF TOURCOING ASSOCIATIO,
ROCHDALE BOROUGH COUNCIL,RP/16/15 GRANT PAYMENT (ST THOMAS CHURCH SOUND SYSTEM),NEIGHBOURHOODS,01/10/2016,31/12/2016,5400.00,ST THOMAS CHURCH,
ROCHDALE BOROUGH COUNCIL,SALARIES OF STAFF AT BACK O` TH MOSS COMMUNITY CENTRE FOR NOVEMBER 2016,NEIGHBOURHOODS,01/04/2016,31/03/2017,2091.55,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,
ROCHDALE BOROUGH COUNCIL,SALARIES OF STAFF AT BACK O` TH MOSS COMMUNITY CENTRE FOR OCTOBER 2016,NEIGHBOURHOODS,01/04/2016,31/03/2017,2121.55,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,
ROCHDALE BOROUGH COUNCIL,SMALL BUSINESS GRANT,ECONOMY,01/04/2016,31/03/2017,500.00,MOOREND DEVELOPMENT TRUST LIMITED,1115997
ROCHDALE BOROUGH COUNCIL,SMALL BUSINESS GRANT,ECONOMY,01/04/2016,31/03/2017,500.00,MOOREND DEVELOPMENT TRUST LIMITED,1115997
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES DSB/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,12500.00,BARNARDO SERVICES LTD,216250
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES DSB/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,12500.00,BARNARDO SERVICES LTD,216250
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES DSB/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,12500.00,BARNARDO SERVICES LTD,216250
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES DSB/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,12500.00,BARNARDO SERVICES LTD,216250
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,10000.00,HOME START ROCHDALE BOROUGH,1108837
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,10000.00,HOME START ROCHDALE BOROUGH,1108837
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,10000.00,HOME START ROCHDALE BOROUGH,1108837
