Merchant Category,Supplier Name,Service,Summary of Purpose of Expenditure,Date,Net Amount
Equipment Supplies,ESE Ltd,Environmental & Regulatory Services,Waste Management Equipment,30/03/2017,"-13,419.00"
ICT Consultancy / Support,ESTEEM SYSTEMS LTD,Planning Services,Information and Communications Technology,07/03/2017,"2,320.00"
ICT Consultancy / Support,ESTEEM SYSTEMS LTD,Planning Services,Information and Communications Technology,27/03/2017,"1,030.00"
Construction / Building Services,Eurolink Modular Buildings Ltd,Capital Expenditure,Capital Expenditure - Works,31/03/2017,"7,215.00"
Legal Services,EVERSHEDS LLP,Financing & Investment Income & Exp,Fees and Charges,31/03/2017,"200,000.00"
ICT Consultancy / Support,Exertis Micro-P,Planning Services,Furniture and Equipment,15/03/2017,750.00
ICT Consultancy / Support,Exertis Micro-P,Planning Services,Furniture and Equipment,15/03/2017,120.00
Digital / Media Services,EXTERION MEDIA (UK ) LTD,Childrens & Educational Services,Publicity and Promotion,10/03/2017,"2,750.00"
Digital / Media Services,EXTERION MEDIA (UK ) LTD,Planning Services,Publicity and Promotion,10/03/2017,"1,650.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,24/03/2017,"8,490.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,24/03/2017,"8,490.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,24/03/2017,"8,490.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,24/03/2017,"8,490.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,24/03/2017,"8,490.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,24/03/2017,"8,490.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"5,837.64"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"5,997.64"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"8,652.64"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"8,490.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"7,630.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"7,630.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"7,630.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"7,630.00"
Construction / Building Services,F BAMFORD (ENGINEERING) LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"5,416.00"
Construction / Building Services,Fabrifen Ltd,Capital Expenditure,Capital Expenditure - Works,21/03/2017,"14,157.15"
Construction / Building Services,Fabrifen Ltd,Capital Expenditure,Capital Expenditure - Works,30/03/2017,"14,869.94"
Social Care Services,Fairfield Care Lltd,Childrens & Educational Services,Care Payments,20/03/2017,756.00
Social Care Services,Fairfield Residential,Childrens & Educational Services,Care Payments,01/03/2017,"11,172.84"
Social Care Services,Fairfield Residential,Adult Social Care,Care Payments,06/03/2017,-488.35
Social Care Services,Fairfield Residential,Adult Social Care,Care Payments,06/03/2017,"21,462.40"
Social Care Services,Fairfield Residential,Adult Social Care,Care Payments,22/03/2017,983.04
Social Care Services,Fairfield View Care Ltd,Adult Social Care,Care Payments,06/03/2017,"2,725.00"
Social Care Services,Fern Bank Community,Adult Social Care,Care Payments,27/03/2017,"2,897.14"
Educational Supplies,FFT Education Ltd,Childrens & Educational Services,Furniture and Equipment,30/03/2017,621.50
Communications and Technology,FIBRELITE PLC,Capital Expenditure,Information and Communications Technology,10/03/2017,"2,420.00"
Communications and Technology,FIBRELITE PLC,Capital Expenditure,Information and Communications Technology,13/03/2017,590.00
Communications and Technology,FIBRELITE PLC,Central Services to the public,Information and Communications Technology,02/03/2017,685.00
Communications and Technology,FIBRELITE PLC,Capital Expenditure,Information and Communications Technology,13/03/2017,"1,975.00"
Communications and Technology,FIBRELITE PLC,Capital Expenditure,Information and Communications Technology,17/03/2017,"2,485.00"
Communications and Technology,FIBRELITE PLC,Capital Expenditure,Information and Communications Technology,17/03/2017,585.00
Educational Supplies,FINDEL EDUCATION LTD,Childrens & Educational Services,Furniture and Equipment,01/03/2017,749.97
Social Care Services,FIRBANK NURSING HOME,Adult Social Care,Care Payments,06/03/2017,"-3,335.76"
Social Care Services,FIRBANK NURSING HOME,Adult Social Care,Care Payments,06/03/2017,"-1,089.70"
Social Care Services,FIRBANK NURSING HOME,Adult Social Care,Care Payments,06/03/2017,"19,554.29"
Social Care Services,FIRBANK NURSING HOME,Adult Social Care,Care Payments,06/03/2017,"10,312.50"
Social Care Services,FIRBANK NURSING HOME,Adult Social Care,Care Payments,06/03/2017,781.25
Social Care Services,FIRBANK NURSING HOME,Adult Social Care,Care Payments,06/03/2017,"2,055.00"
Security / Safety,Fire Protection Association,Central Support Costs,Professional Fees,02/03/2017,"1,375.00"
Education Services,FIRST STEPS (ORRISHMERE) PRE SCHOOL,Childrens & Educational Services,Expenses and Allowances,16/03/2017,600.62
Charity/Third Sector,Fitzroy Support,Adult Social Care,Care Payments,17/03/2017,"12,282.50"
Charity/Third Sector,Fitzroy Support,Adult Social Care,Care Payments,28/03/2017,"24,620.00"
Charity/Third Sector,Fitzroy Support,Adult Social Care,Care Payments,29/03/2017,"1,190.00"
Childcare Provision,Fledglings Education and Childcare,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,09/03/2017,"5,200.32"
Heritage,Foley Conservation,Capital Expenditure,Furniture and Equipment,24/03/2017,590.00
Transport and Travel,FONETAX 07 LTD,Childrens & Educational Services,Leasing /Transport Hire,08/03/2017,678.00
Transport and Travel,FONETAX 07 LTD,Childrens & Educational Services,Leasing /Transport Hire,08/03/2017,678.00
Health Services,Foodsync CIC,Public Health,Supplies and services,31/03/2017,"3,000.00"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,10/03/2017,"1,875.00"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,16/03/2017,"3,042.50"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,06/03/2017,"1,092.50"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,21/03/2017,510.00
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,24/03/2017,"1,615.00"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,28/03/2017,850.00
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,28/03/2017,"2,142.50"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,28/03/2017,517.50
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,28/03/2017,"2,292.50"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,28/03/2017,665.00
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,28/03/2017,"1,880.00"
Forensics / Laboratories,Forensics Ltd,Central Services to the public,Fees and Charges,28/03/2017,765.00
Social Care Services,FORESIGHT RESIDENTIAL LTD,Adult Social Care,Care Payments,06/03/2017,-402.25
Social Care Services,FORESIGHT RESIDENTIAL LTD,Adult Social Care,Care Payments,06/03/2017,"3,906.40"
Environmental Services,Forest Fuels Ltd,Central Support Costs,Utilities,17/03/2017,677.56
Social Care Services,Fostering Ltd,Childrens & Educational Services,Care Payments,01/03/2017,"3,196.00"
Foster Care,FOSTERING SOLUTIONS LTD,Childrens & Educational Services,Care Payments,01/03/2017,"3,020.96"
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,30.00
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,30.00
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,120.00
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,"3,240.19"
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,85.00
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,310.00
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,51.00
Printing Services,FRANK ASPINALL & CO,Central Support Costs,Publicity and Promotion,23/03/2017,290.00
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,06/03/2017,"-4,597.50"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,06/03/2017,"10,485.00"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,27/03/2017,-450.00
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,27/03/2017,"7,178.57"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,27/03/2017,"1,671.43"
Social Care Services,FRESHFIELD CARE LTD,Adult Social Care,Care Payments,27/03/2017,246.43
Social Care Services,Fullwood Care,Childrens & Educational Services,Care Payments,01/03/2017,"8,400.00"
Furniture and Furnishings,FURNITURE STATION (Furniture),Housing (General Fund) Services,Furniture and Equipment,21/03/2017,"2,831.00"
Printing Services,Fusion Signs & Graphics,Capital Expenditure,Signage,30/03/2017,"3,017.22"
Social Care Services,Future Directions CIC,Adult Social Care,Care Payments,16/03/2017,"9,878.40"
Social Care Services,Future Directions CIC,Adult Social Care,Care Payments,16/03/2017,"9,878.40"
Social Care Services,Future Directions CIC,Adult Social Care,Care Payments,27/03/2017,"15,977.80"
Social Care Services,Future Directions CIC,Adult Social Care,Care Payments,21/03/2017,"65,081.58"
Construction / Building Services,FW SHERRATT LTD,Cultural & Related Services,Repairs and Maintenance,29/03/2017,"1,788.50"
Cleaning Services,G A Hoaereu t/a Concept Cleaning,Adult Social Care,Cleaning,13/03/2017,752.00
Transport and Travel,G.B. Coaches Ltd,Childrens & Educational Services,Leasing /Transport Hire,01/03/2017,780.00
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,16/03/2017,"2,300.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,20/03/2017,"2,300.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,20/03/2017,"1,840.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Adult Social Care,Professional Fees,28/03/2017,"2,300.00"
Insurance Services,Gallagher Bassett (Imprest),Central Support Costs,Insurance,24/03/2017,"100,000.00"
Surveyor,Gardiner & Theobald LLP,Capital Expenditure,Professional Fees,16/03/2017,"12,750.00"
Surveyor,Gardiner & Theobald LLP,Capital Expenditure,Professional Fees,16/03/2017,"14,750.00"
Books / Magazines / Media,Gardners Books Ltd,Cultural & Related Services,Publicity and Promotion,31/03/2017,676.68
Transport and Travel,GARY BEARDSELL - Taxis,Childrens & Educational Services,Leasing /Transport Hire,22/03/2017,"1,206.00"
Education Services,Gatley Primary School (Academy),Childrens & Educational Services,Fees and Charges,08/03/2017,"6,966.01"
Utilities,Gazprom Energy,Central Support Costs,Utilities,10/03/2017,"37,618.34"
Utilities,Gazprom Energy,Central Support Costs,Utilities,10/03/2017,"2,670.52"
Utilities,Gazprom Energy,Central Support Costs,Utilities,17/03/2017,"40,706.67"
Utilities,Gazprom Energy,Central Support Costs,Utilities,17/03/2017,"2,732.61"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,01/03/2017,"14,520.64"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Supplies and services,10/03/2017,"5,324.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,09/03/2017,"1,921.88"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,13/03/2017,"3,031.88"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,09/03/2017,"11,651.11"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,09/03/2017,"6,082.70"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,09/03/2017,"2,741.40"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,13/03/2017,"60,688.50"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,07/03/2017,"6,275.92"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,10/03/2017,"186,991.30"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,14/03/2017,"1,681.35"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,14/03/2017,"30,213.13"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,14/03/2017,"26,583.71"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,14/03/2017,"26,086.52"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"208,973.66"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,23/03/2017,"469,008.12"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"72,422.84"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,21/03/2017,"59,943.49"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,21/03/2017,"2,067.96"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"8,682.07"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"4,910.34"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Repairs and Maintenance,23/03/2017,"9,542.81"
Construction / Building Services,GEORGE COX & SONS LTD,Cultural & Related Services,Supplies and services,30/03/2017,"1,238.83"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Supplies and services,30/03/2017,"2,570.14"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"1,500.00"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Repairs and Maintenance,30/03/2017,863.56
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"2,220.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"1,725.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"1,900.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"1,500.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"5,261.88"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,28/03/2017,"260,557.81"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,28/03/2017,"50,747.62"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,28/03/2017,"24,988.64"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,28/03/2017,"20,108.08"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,28/03/2017,"26,028.04"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,28/03/2017,"16,637.23"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,28/03/2017,"15,174.29"
Construction / Building Services,GEORGE COX & SONS LTD,Highways & Transport Services,Repairs and Maintenance,28/03/2017,"1,067.41"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,29/03/2017,"5,548.61"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"54,138.20"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Fees,29/03/2017,"1,230.44"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,32.38
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,30/03/2017,"3,362.62"
Health Advice / Awareness,GEORGE HOUSE TRUST,Public Health,Service Contract Payments,06/03/2017,"1,185.75"
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,10/03/2017,824.00
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,30/03/2017,"1,598.00"
Psychology / Assessment Services,Geraldine Chang,Childrens & Educational Services,Professional Fees,30/03/2017,"1,077.00"
Childcare Provision,GLEN JAKES NURSERY,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,09/03/2017,"2,305.02"
Other Public Sector Organisation,GMP (Precept Payments Only),"Agency, Third Party and System",Other Payments,21/03/2017,"1,188,887.00"
Building Services,Goldshield Securus Limited,Capital Expenditure,Capital Expenditure - Works,17/03/2017,"2,797.83"
Legal Services,GORVINS SOLICITORS,Capital Expenditure,Supplies and services,17/03/2017,"2,677.50"
Legal Services,GORVINS SOLICITORS,Capital Expenditure,Supplies and services,17/03/2017,"2,677.50"
Construction / Building Services,GR BAYLEY (ELEC CONTRACTORS) LTD,Capital Expenditure,Capital Expenditure - Works,23/03/2017,"3,697.63"
Professional / Trade Body,Greater Manchester Chamber of Comme,Planning Services,Publicity and Promotion,20/03/2017,"10,000.00"
Professional / Trade Body,Greater Manchester Chamber of Comme,Planning Services,Publicity and Promotion,20/03/2017,"-10,000.00"
Professional / Trade Body,Greater Manchester Chamber of Comme,Planning Services,Publicity and Promotion,28/03/2017,"10,000.00"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,02/03/2017,"10,047.79"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Highways Maintenance,06/03/2017,"10,600.86"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Highways Maintenance,06/03/2017,500.00
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,02/03/2017,"4,475.55"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Highways Maintenance,09/03/2017,927.20
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,09/03/2017,"1,098.00"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Highways Maintenance,09/03/2017,"1,494.43"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Highways Maintenance,09/03/2017,927.20
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,09/03/2017,"2,184.41"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,09/03/2017,"1,585.79"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Supplies and services,27/03/2017,"2,024.25"
Other Public Sector Organisation,GREATER MANCHESTER FIRE & CIVIL DEF,"Agency, Third Party and System",Other Payments,21/03/2017,"444,269.00"
Other Public Sector Organisation,GREATER MANCHESTER FIRE & CIVIL DEF,"Agency, Third Party and System",Other Payments,21/03/2017,"79,646.00"
Local Authority,Greater Manchester Pension Fund,Corporate & Democratic Core,Other Payments,01/03/2017,"2,030,895.50"
Local Authority,Greater Manchester Pension Fund,Non Distributed Costs,Other Payments,01/03/2017,"64,800.00"
Local Authority,Greater Manchester Pension Fund,Corporate & Democratic Core,Other Payments,31/03/2017,"2,019,589.88"
Local Authority,Greater Manchester Pension Fund,Non Distributed Costs,Other Payments,31/03/2017,"64,800.00"
Other Public Sector Organisation,GREATER MANCHESTER WASTE DISPOSAL A,Environmental & Regulatory Services,Third party payments - Levies,21/03/2017,"1,557,800.00"
Education Services,GREENBANK SCHOOL,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,09/03/2017,"2,013.99"
Construction / Building Services,GROUNDWORK & LEISURE SERVICES LTD,Cultural & Related Services,Grounds Maintenance,13/03/2017,"42,086.00"
Construction / Building Services,GROUNDWORK & LEISURE SERVICES LTD,Cultural & Related Services,Grounds Maintenance,27/03/2017,"15,856.10"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,"-3,261.90"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,"-1,039.65"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,-946.50
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,"5,185.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,"12,495.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,"1,067.50"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,"3,687.50"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,06/03/2017,"1,571.43"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,27/03/2017,-78.86
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,27/03/2017,548.57
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,27/03/2017,"3,977.14"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,27/03/2017,"3,977.14"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,27/03/2017,"2,055.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,27/03/2017,"1,135.71"
Social Care Services,GROVE LODGE CARE HOME LTD,Adult Social Care,Care Payments,27/03/2017,"1,178.57"
NHS Organisation,Gtr M/cr West Mental NHS Trust,Adult Social Care,Care Payments,15/03/2017,"3,864.00"
NHS Organisation,Gtr M/cr West Mental NHS Trust,Adult Social Care,Care Payments,24/03/2017,"2,208.00"
Books / Magazines / Media,Guide ID,Cultural & Related Services,Furniture and Equipment,15/03/2017,556.47
Legal Services,Gunnercooke LLP,Planning Services,Legal Fees,27/03/2017,"5,498.00"
Surveyor,GVA GRIMLEY LLP,Planning Services,Professional Fees,09/03/2017,"2,537.70"
Office Equipment,H JENKINSON & CO LTD,Adult Social Care,Furniture and Equipment,17/03/2017,"2,099.61"
Office Equipment,H JENKINSON & CO LTD,Central Services to the public,Furniture and Equipment,10/03/2017,138.94
Office Equipment,H JENKINSON & CO LTD,Central Services to the public,Furniture and Equipment,10/03/2017,115.50
Office Equipment,H JENKINSON & CO LTD,Central Services to the public,Furniture and Equipment,10/03/2017,89.77
Office Equipment,H JENKINSON & CO LTD,Central Services to the public,Furniture and Equipment,10/03/2017,48.80
Office Equipment,H JENKINSON & CO LTD,Central Services to the public,Furniture and Equipment,10/03/2017,251.60
Office Equipment,H JENKINSON & CO LTD,Childrens & Educational Services,Furniture and Equipment,10/03/2017,"1,771.00"
Office Equipment,H JENKINSON & CO LTD,Childrens & Educational Services,Furniture and Equipment,10/03/2017,664.00
Office Equipment,H JENKINSON & CO LTD,Childrens & Educational Services,Furniture and Equipment,10/03/2017,35.98
Office Equipment,H JENKINSON & CO LTD,Childrens & Educational Services,Furniture and Equipment,10/03/2017,140.94
Office Equipment,H JENKINSON & CO LTD,Childrens & Educational Services,Furniture and Equipment,10/03/2017,93.00
Office Equipment,H JENKINSON & CO LTD,Planning Services,Furniture and Equipment,23/03/2017,618.03
Office Equipment,H JENKINSON & CO LTD,Childrens & Educational Services,Furniture and Equipment,27/03/2017,"1,470.20"
Housing Services,H3 Group,Housing (General Fund) Services,Third party payments - Private/Voluntary Sector,30/03/2017,500.00
Sports/Outdoor Activities,HAGS-SMP Ltd,Cultural & Related Services,Grounds Maintenance,22/03/2017,"1,353.15"
Social Care Services,Halliwell Homes Ltd,Childrens & Educational Services,Care Payments,01/03/2017,"17,980.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"-3,773.40"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"9,230.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"1,950.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"13,038.06"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"5,888.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"-5,718.14"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"-11,202.14"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"-4,659.43"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Adult Social Care,Care Payments,27/03/2017,"-4,271.15"
Professional / Consultancy Services,Hapus LTD,Central Support Costs,Information and Communications Technology,10/03/2017,"5,000.00"
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,01/03/2017,142.80
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,01/03/2017,894.20
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,01/03/2017,108.80
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,01/03/2017,836.40
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,15/03/2017,129.20
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,15/03/2017,890.80
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,15/03/2017,142.80
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,15/03/2017,880.60
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,22/03/2017,956.16
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,29/03/2017,146.20
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,29/03/2017,748.00
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,29/03/2017,142.80
Social Care Services,HARBEX NURSING & CARE,Adult Social Care,Care Payments,29/03/2017,890.80
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"-7,249.45"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"-9,225.20"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"-1,862.95"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"-1,912.90"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"40,926.86"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"30,200.00"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"7,656.25"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,"14,843.75"
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,781.25
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,781.25
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,781.25
Social Care Services,Harbour Healthcare Ltd,Adult Social Care,Care Payments,06/03/2017,781.25
