,,,,,,,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT GENERAL,GENERAL SURGERY,,,"1,560.00",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT GENERAL,GENERAL SURGERY,,,50.00,0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT GENERAL,GENERAL SURGERY,,,10.00,"26,520.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,CLEANING MATERIALS,DOMESTIC SERVICES,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90239267,"29,785.99","34,998.54 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90247678,"273,451.19","328,141.43 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90247679,"148,645.81","178,374.97 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90247684,"63,423.66","76,108.39 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90247685,"51,617.19","61,940.63 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90256324,"273,451.19","328,141.43 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90256325,"148,645.81","178,374.97 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90256330,"63,423.66","76,108.39 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,EXTERNAL CONTRACTS : DOMESTICS,DOMESTIC SERVICES,,7410/90256331,"51,617.19","61,940.63 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,CLEANING MATERIALS,DOMESTIC SERVICES,,7410/90260872,"24,752.81","29,703.37 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,EXTERNAL CONTRACTS : OTHER HOTEL SERVICES,FACILITIES,NATIONAL CAR PARKS LTD,114413,"21,810.39","26,172.47 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,EXTERNAL CONTRACTS : OTHER HOTEL SERVICES,FACILITIES,,114589,"26,522.92","31,827.51 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,SERVICES FROM OTHER NHS BODIES,PATHOLOGY,NHS BLOOD AND TRANSPLANT,801478,"-26,014.82","<26,014.82>",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,SERVICES FROM OTHER NHS BODIES,PATHOLOGY,,801571,"254,597.60","254,597.60 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,NHS BSA PRESCRIPTION PRICING DIVISION,1000023832,"209,837.98",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"1,868.75",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,"1,654.13",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"1,530.04",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,984.76,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,900.38,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,876.28,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,763.94,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,369.94,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,360.63,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,345.02,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,199.58,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,161.84,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,110.63,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,85.93,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,58.52,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,42.78,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,39.07,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,35.04,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,18.96,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,16.81,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,8.11,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,4.70,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,-13.13,"220,260.69 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000024414,"292,899.40",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"2,813.68",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"2,061.64",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,903.04,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,765.22,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,763.30,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,741.09,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,569.46,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,563.42,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,387.89,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,326.54,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,321.93,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,250.50,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,231.70,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,192.64,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,91.34,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,78.06,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,74.08,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,71.69,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,42.71,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,31.09,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,29.75,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,17.79,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,13.23,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,8.91,"304,250.10 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000024997,"244,101.24",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"2,259.27",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"2,245.29",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,972.44,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,778.84,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,705.90,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,547.80,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,392.81,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,375.55,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,347.95,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,347.08,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,331.50,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,305.12,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,266.21,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,201.61,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,88.96,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,81.93,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,62.00,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,61.96,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,54.44,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,9.74,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,9.52,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RESEARCH AND DEVELOPMENT,,,7.06,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,5.03,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,3.83,"254,563.08 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000025288,"267,158.82",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"2,296.91",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"2,258.17",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,"2,217.20",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,"1,117.43",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,689.43,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,609.07,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,544.07,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,459.21,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,293.71,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,289.86,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,196.97,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,182.96,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,179.19,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,164.87,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,152.40,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,128.29,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,102.14,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,65.94,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,54.08,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,40.96,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RESEARCH AND DEVELOPMENT,,,18.88,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,11.29,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,10.53,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,9.41,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,0.54,"279,252.33 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000025577,"225,237.35",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"3,602.77",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"1,970.62",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,"1,303.44",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,"1,291.03",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,"1,099.08",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,"1,056.35",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,963.40,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,949.13,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,765.80,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,576.03,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,283.87,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,256.85,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,235.89,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,221.73,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,190.23,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,189.18,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,181.08,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,101.15,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RESEARCH AND DEVELOPMENT,,,77.78,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,64.58,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,24.75,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,22.14,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,2.58,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,2.30,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,0.72,"240,669.83 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000025865,"235,711.99",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"2,388.07",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"2,277.03",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,"1,459.64",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,"1,083.51",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,991.00,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,916.49,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,815.67,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,552.58,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,548.97,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,479.09,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,301.64,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,226.29,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,153.70,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,140.01,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,130.51,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,92.83,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,91.04,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,83.36,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,67.46,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,61.61,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RESEARCH AND DEVELOPMENT,,,38.66,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,19.06,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,18.95,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,17.07,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,SURGERY MANAGEMENT,,,3.88,"248,670.11 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000026153,"241,452.03",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"2,267.59",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"2,173.17",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,"1,106.84",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,988.49,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,799.70,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,717.16,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,647.07,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,556.14,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,452.68,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,419.60,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,265.32,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,236.52,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,122.80,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,110.56,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,86.34,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,82.07,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RESEARCH AND DEVELOPMENT,,,74.97,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,74.30,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,52.06,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,38.43,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,27.73,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,19.06,0.00 ,,,,,
