Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-579349-143541,"96,302.00",Bio-Medical Centres,E1 8PR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-578959-143174,"96,735.00",Research Capability Funding,CV2 2DX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-579034-143296,"96,794.00",NIHR Diagnostic Evidence Co-operatives,W12 0HS,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,BIRMINGHAM UNIVERSITY OF,ERS-579007-143303,"96,924.00",Professorship Awards,B15 2TT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CAMBRIDGE UNIVERSITY OF,ERS-579006-143327,"97,271.50",Professorship Awards,CB2 1TN,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-578960-143265,"97,753.00",Research Capability Funding,LE5 4QF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-579281-143357,"100,105.00",Professorship Awards,SW7 2AZ,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-578941-143180,"100,845.00",Research Capability Funding,M6 8HD,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-579098-143211,"103,650.00",Research Capability Funding,LS9 7TF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-579195-143354,"104,701.00",Professorship Awards,SW7 2AZ,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SHEFFIELD UNIVERSITY OF,ERS-579039-143492,"104,990.00",Professorship Awards,S10 2UH,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,OXFORD UNIVERSITY OF,ERS-579173-143465,"107,918.00",Professorship Awards,OX1 2XN,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-579337-143222,"107,932.00",CRF's CRII,NW1 2BX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY COLLEGE LONDON UCL,ERS-579058-143414,"111,798.00",Professorship Awards,WC1E 6BT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-579345-143220,"112,231.00",Bio-Medical Centres,B15 2PR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-579356-143214,"112,276.00",Bio-Medical Centres,LS9 7TF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY COLLEGE LONDON UCL,ERS-579266-143424,"116,808.00",Professorship Awards,WC1E 6BT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,WARWICK UNIVERSITY OF,ERS-579382-143521,"117,872.00",Career Development Fellowship,CV4 7AL,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-579109-143228,"118,260.00",Research Capability Funding,UB9 6JH,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-579321-143167,"118,265.00",CRF's CRII,SE1 9RT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-579105-143275,"123,353.00",Research Capability Funding,NG7 2UK,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NHS BRISTOL CCG 11H,ERS-579013-143546,"123,838.00",Research Capability Funding,BS1 3NX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-579350-143187,"124,582.00",Bio-Medical Centres,OX4 2GX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-578945-143153,"128,045.00",Research Capability Funding,S5 7AU,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-578948-143148,"130,162.00",Research Capability Funding,SO52 9AB,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-579076-143539,"139,921.00",Research Capability Funding,E1 8PR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-578952-143104,"140,995.00",Research Capability Funding,BS99 1YF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-579363-143152,"149,710.00",CRF's CRII,SO52 9AB,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-579047-143155,"158,904.00",CLARHCs,S5 7AU,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-579158-143233,"163,036.00",Research Capability Funding,NE7 7DN,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-579099-143195,"165,980.00",Research Capability Funding,EC1V 2PD,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-579041-143538,"166,665.00",CLARHCs,E1 8PR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NHS LIVERPOOL CCG,ERS-579043-143552,"166,666.00",CLARHCs,L1 4AZ,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-579045-143147,"166,666.00",CLARHCs,NG3 6AA,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-579046-143185,"166,666.00",CLARHCs,OX4 2GX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-579048-143205,"166,666.00",CLARHCs,SW10 9NH,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-579051-143218,"166,666.00",CLARHCs,B15 2PR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-579062-143172,"170,469.00",CLARHCs,SE5 9RS,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-579052-143149,"172,704.00",CLARHCs,SO52 9AB,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-579050-143181,"174,413.00",CLARHCs,M6 8HD,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-579049-143141,"174,653.00",CLARHCs,EX2 5DW,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-579322-143299,"175,770.00",CRF's CRII,W12 0HS,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-579044-143224,"176,666.00",CLARHCs,CB1 5EE,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579325-143139,"178,771.00",CRF's CRII,CB2 2QQ,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-578956-143216,"181,238.00",Research Capability Funding,B15 2PR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-579042-143105,"181,241.00",CLARHCs,BS99 1YF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-579091-143190,"190,695.00",Research Capability Funding,WC1N 3JH,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-578937-143198,"195,071.00",Research Capability Funding,SM2  5PT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579330-143259,"202,384.00",CRF's CRII,M13 0JR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-579344-143269,"204,838.00",Bio-Medical Centres,LE5 4QF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-579336-143219,"214,303.00",CRF's CRII,B15 2PR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-579396-143182,"228,572.00",Saftey and Quality Research,M6 8HD,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-579341-143151,"241,818.00",Bio-Medical Centres,SO52 9AB,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-579395-143301,"242,380.00",Saftey and Quality Research,W12 0HS,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-579092-143163,"254,085.00",Research Capability Funding,SE1 9RT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-579352-143108,"280,684.00",Bio-Medical Centres,BS99 1YF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,LONDON SCHOOL OF ECONOMICS,ERS-579121-143430,"281,991.00",National School for Social Care Research,WC2A 2AE,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-579351-143236,"288,641.00",Bio-Medical Centres,NE7 7DN,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-579340-143277,"300,067.00",Bio-Medical Centres,NG7 2UK,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579343-143260,"305,363.00",Bio-Medical Centres,M13 0JR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-578946-143248,"333,333.00",Research Capability Funding,BR3 3BX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-578982-143240,"333,333.00",Research Capability Funding,OX4 2PG,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-578983-143221,"333,333.00",Research Capability Funding,NW1 2BX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579082-143138,"333,333.00",Research Capability Funding,CB2 2QQ,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-579156-143297,"333,333.00",Research Capability Funding,W12 0HS,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-579339-143196,"338,833.00",Bio-Medical Centres,EC1V 2PD,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-579346-143192,"628,827.00",Bio-Medical Centres,WC1N 3JH,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-579347-143200,"717,905.00",Bio-Medical Centres,SM2  5PT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-579226-143143,"876,133.00",Comprehensive Networks,EX2 5DW,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-579354-143250,"981,513.00",Bio-Medical Centres,BR3 3BX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-579230-143107,"1,034,835.00",Comprehensive Networks,BS99 1YF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-579342-143168,"1,092,567.00",Bio-Medical Centres,SE1 9RT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-579220-143102,"1,167,864.00",Comprehensive Networks,GU2 7XX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-579224-143298,"1,200,222.00",Comprehensive Networks,W12 0HS,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579227-143241,"1,207,229.00",Comprehensive Networks,OX4 2PG,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-579223-143203,"1,301,649.00",Comprehensive Networks,L7 8XP,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-579228-143150,"1,407,548.00",Comprehensive Networks,SO52 9AB,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579219-143258,"1,448,495.00",Comprehensive Networks,M13 0JR,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-579359-143300,"1,494,988.00",Bio-Medical Centres,W12 0HS,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-579221-143234,"1,520,452.00",Comprehensive Networks,NE7 7DN,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-579217-143267,"1,673,543.00",Comprehensive Networks,LE5 4QF,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-579218-143178,"1,690,335.00",Comprehensive Networks,NR4 7UY,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579357-143243,"1,773,003.00",Bio-Medical Centres,OX4 2PG,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-579355-143223,"1,826,317.00",Bio-Medical Centres,NW1 2BX,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-579225-143164,"2,119,949.00",Comprehensive Networks,SE1 9RT,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-579231-143157,"2,185,726.00",Comprehensive Networks,S5 7AU,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-579229-143176,"2,282,051.00",Comprehensive Networks,WV10 0QP,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-579358-143140,"2,363,642.00",Bio-Medical Centres,CB2 2QQ,PUBLIC,,,
,,14-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-579222-143540,"2,600,636.00",Comprehensive Networks,E1 8PR,PUBLIC,,,
,,15-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SALFORD UNIVERSITY OF,ERS-579433-143601,"28,830.00",Invention for Innovation,M5 4WT,PUBLIC,,,
,,15-Sep-17,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-552,"316,293.87",April 17 - March 18 CCN Charges -,SL1 2EJ,LARGE,,,
,,15-Sep-17,Policy Payments,GLOBAL AND PUBLIC HEALTH,FOREIGN AND COMMONWEALTH OFFICE (FCO),1097163,"54,910.00",FCO recharges -SPM Madrid -Platform charges,MK10 1PX,PUBLIC,,,
,,15-Sep-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,MULTI RESOURCE MARKETING LTD,134960,"55,877.16",Healthy Start Reimbursement Unit - admin costs,LE16 9NR,SME,,,
,,15-Sep-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,MULTI RESOURCE MARKETING LTD,134960,0.01,,LE16 9NR,SME,,,
,,15-Sep-17,ENDPBs Admin Revenue Grant in Aid,GLOBAL AND PUBLIC HEALTH,NHS BLOOD AND TRANSPLANT (NHSBT),955766,"5,509,000.00",NHS Blood and Transplant (NHSBT)'s 17/18 revenue allocation,LS15 7TW,PUBLIC,,,
,,15-Sep-17,Provisions cash payment,ACUTE CARE AND WORKFORCE ,NHS INJURY BENEFITS SCHEME,ERS-579473-143621,"4,343,259.21",Injury Benefit payments 1718,FY7 8LG,PUBLIC,,,
,,15-Sep-17,Consultancy/Professional Advice,FINANCE AND GROUP OPERATIONS,ITSUS CONSULTING LTD,I-1216,"29,405.00",CP1 Resilience Review,CF14 5GH,SME,,,
,,15-Sep-17,Secondees in invoiced costs,CHIEF SCIENTIFIC ADVISOR,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,54017656,"47,899.49",NA,WC1E 7HT,PUBLIC,,,
,,18-Sep-17,Professional fees,FINANCE AND GROUP OPERATIONS,PINSENT MASONS LLP,6334700,"33,108.84",CP1: Legal advice (call-off from GLD Panel Framework Agreement) – Year 1,LS1 5AB,LARGE,,,
,,18-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,HAFS-23191,"208,000.00",,L12 2AP,PUBLIC,,,
,,18-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,HAFS-23192,"350,000.00",,KT16 0PZ,PUBLIC,,,
,,18-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,KINGSTON HOSPITAL NHS FOUNDATION TRUST,HAFS-23193,"984,000.00",,KT2 7PU,PUBLIC,,,
,,18-Sep-17,Additions NHS FTs Capital Investment Loans,Holding CT Core,MEDWAY NHS FOUNDATION TRUST,HAFS-23194,"400,000.00",,ME7 5NY,PUBLIC,,,
,,18-Sep-17,Additions PDC Capital Support NHS T Permanent,Holding CT Core,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-23195,"1,000,000.00",,CM8 2TT,PUBLIC,,,
,,18-Sep-17,Additions PDC Capital Support NHS T Permanent,Holding CT Core,SURREY & SUSSEX HEALTHCARE NHS TRUST,HAFS-23196,"405,000.00",,RH1 5RH,PUBLIC,,,
,,18-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-23197,"183,000.00",,WA7 2DA,PUBLIC,,,
,,19-Sep-17,,ACUTE CARE AND WORKFORCE ,H M REVENUE & CUSTOM 948PX00194660,0040002110,"-1,167.30",PAYE NI AUG 17,NE98 1ZZ,PUBLIC,,,
,,19-Sep-17,,ACUTE CARE AND WORKFORCE ,H M REVENUE & CUSTOM 948PX00194660,0040002110,"1,761.00",PAYE NI AUG 17,NE98 1ZZ,PUBLIC,,,
,,19-Sep-17,,ACUTE CARE AND WORKFORCE ,H M REVENUE & CUSTOM 948PX00194660,0040002110,"58,556.17",PAYE NI AUG 17,NE98 1ZZ,PUBLIC,,,
,,19-Sep-17,,ACUTE CARE AND WORKFORCE ,H M REVENUE & CUSTOM 948PX00194660,0040002110,"42,567.16",PAYE NI AUG 17,NE98 1ZZ,PUBLIC,,,
,,19-Sep-17,Addition Clearing - SW LIC,COMMUNITY CARE,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,0000047899,"63,085.52","Capital-NME LSP Contract - Payment relating to Supplemental Trust Activity & Local Change Funding available to Lorenzo Trusts as per the Interim Agreement for May & June 2017					 ",ST2 8LD,PUBLIC,,,
,,19-Sep-17,Service charge,COMMUNITY CARE,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,0000047899,"329,594.53","Revenue- NME LSP Contract - Payment relating to Supplemental Trust Activity & Local Change Funding available to Lorenzo Trusts as per the Interim Agreement for May & June 2017					 ",ST2 8LD,PUBLIC,,,
,,19-Sep-17,Addition Clearing - SW LIC,COMMUNITY CARE,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,0000048028,"38,181.00","Capital-NME LSP Contract - Payment relating to Supplemental Trust Activity & Local Change Funding available to Lorenzo Trusts as per the Interim Agreement for May & June 2017					 ",ST2 8LD,PUBLIC,,,
,,19-Sep-17,Service charge,COMMUNITY CARE,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,0000048028,"164,755.53","Revenue- NME LSP Contract - Payment relating to Supplemental Trust Activity & Local Change Funding available to Lorenzo Trusts as per the Interim Agreement for May & June 2017					 ",ST2 8LD,PUBLIC,,,
,,19-Sep-17,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-551,"1,922,240.73",April 17 - March 18 Core Service Charges ,SL1 2EJ,LARGE,,,
,,19-Sep-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE ,PROFESSIONAL STANDARDS AUTHORITY,232,"7,439.42",PSA review of the NMC's handling of Fitness to Practise cases for midwives involved in the Morecambe Bay Investigation (2015): comms advice,SW1W 9SP,PUBLIC,,,
,,19-Sep-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE ,PROFESSIONAL STANDARDS AUTHORITY,232,"1,502.82",PSA review of the NMC's handling of Fitness to Practise cases for midwives involved in the Morecambe Bay Investigation (2015): legal advice,SW1W 9SP,PUBLIC,,,
,,19-Sep-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE ,PROFESSIONAL STANDARDS AUTHORITY,232,"26,067.50",PSA review of the NMC's handling of Fitness to Practise cases for midwives involved in the Morecambe Bay Investigation (2015): staffing and travel costs,SW1W 9SP,PUBLIC,,,
,,19-Sep-17,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584244845,"279,307.88",BT - MPLS Data connections,WS11 0JA,LARGE,,,
,,19-Sep-17,Addition Clearing - SW LIC,COMMUNITY CARE,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,57781528,"4,061.93",Capital- STAFA and Local Charge Cost Associated Papworth,CB3 8RE,PUBLIC,,,
,,19-Sep-17,Service charge,COMMUNITY CARE,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,57781528,"62,877.51","Revenue 17/18- STAFA and Local Change costs associated Papworth NHS Foundation Trust Lorenzo Deployment of the Lorenzo Project - April to June 17					 ",CB3 8RE,PUBLIC,,,
,,19-Sep-17,Addition Clearing - SW LIC,COMMUNITY CARE,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,57781529,"14,309.44",Capital- STAFA and Local Charge Cost Associated Papworth,CB3 8RE,PUBLIC,,,
