Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"-2,443.45",Care Payments,Social Community Care Supplies & Services  ,102267825,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"7,072.00",Care Payments,Social Community Care Supplies & Services  ,102267825,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"28,045.00",Care Payments,Social Community Care Supplies & Services  ,102267825,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"-6,641.05",Care Payments,Social Community Care Supplies & Services  ,102267825,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"4,480.00",Care Payments,Social Community Care Supplies & Services  ,102267825,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"17,005.00",Care Payments,Social Community Care Supplies & Services  ,102267825,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"-5,793.15",Care Payments,Social Community Care Supplies & Services  ,102267825,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-29,"1,562.00",Care Payments,Social Community Care Supplies & Services  ,102280267,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-29,"3,266.00",Care Payments,Social Community Care Supplies & Services  ,102280267,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-29,"2,485.00",Care Payments,Social Community Care Supplies & Services  ,102280267,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-24,26.07,Care Payments,Social Community Care Supplies & Services  ,1900554137,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,560.00,Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"3,466.50",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"8,976.00",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,-665.14,Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"1,920.00",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"9,230.00",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"-3,636.50",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,560.00,Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"5,541.05",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,-500.75,Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"4,530.00",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"4,480.00",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"13,354.31",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,-606.75,Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"-5,411.28",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"24,768.00",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"11,280.00",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"39,231.39",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"-7,141.95",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-07,"-9,581.50",Care Payments,Social Community Care Supplies & Services  ,102267782,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-29,"2,476.57",Care Payments,Social Community Care Supplies & Services  ,102280253,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-29,"2,059.00",Care Payments,Social Community Care Supplies & Services  ,102280253,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-29,-125.21,Care Payments,Social Community Care Supplies & Services  ,102280253,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-29,"2,960.86",Care Payments,Social Community Care Supplies & Services  ,102280253,Stockport,Services to People
Adult Social Care,BARCHESTER HEALTHCARE LTD,2015-09-24,31.60,Care Payments,Social Community Care Supplies & Services  ,1900554152,Stockport,Services to People
Adult Social Care,Barchester Healthcare Ltd,2015-09-07,"2,675.00",Care Payments,Social Community Care Supplies & Services  ,102267885,Stockport,Services to People
Adult Social Care,Barchester Healthcare Ltd,2015-09-07,-250.00,Care Payments,Social Community Care Supplies & Services  ,102267885,Stockport,Services to People
Adult Social Care,Barchester Prestbury Beaumont,2015-09-07,-256.00,Care Payments,Social Community Care Supplies & Services  ,102267823,Stockport,Services to People
Adult Social Care,Barchester Prestbury Beaumont,2015-09-07,"2,325.00",Care Payments,Social Community Care Supplies & Services  ,102267823,Stockport,Services to People
Planning Services,BARCLAYS ASSET & SALES FINANCE,2015-09-15,"25,382.00",Furniture and Equipment,Environmental Services Technical Equipment ,5100290798,Stockport,Corporate and Support Services
Childrens & Educational Services,BARNARDOS NORTH WEST,2015-09-02,"6,080.00",Care Payments,Social Community Care Supplies & Services  ,102264837,Stockport,Services to People
Public Health,BARNSLEY MBC,2015-09-04,"3,535.00",Fees and Charges,Fees and Charges,5100289893,Stockport,Services to People
Adult Social Care,BARTON BROOK NURSING HOME,2015-09-08,"3,288.33",Care Payments,Social Community Care Supplies & Services  ,102268470,Stockport,Services to People
Planning Services,BASEMAP LIMITED,2015-09-09,"1,050.00",Staff Training,Human Resources  ,5100290159,Stockport,Corporate and Support Services
Adult Social Care,BCL MANCHESTER,2015-09-29,155.58,Office Expenses,Facilities & Management Services  ,1900538869,Stockport,Services to People
Capital Expenditure,BCL MANCHESTER,2015-09-01,927.01,Office Expenses,Facilities & Management Services  ,1900548162,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-03,463.50,Office Expenses,Facilities & Management Services  ,1900550590,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-21,927.01,Office Expenses,Facilities & Management Services  ,1900552298,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-21,917.30,Office Expenses,Facilities & Management Services  ,1900552302,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-21,833.00,Office Expenses,Facilities & Management Services  ,1900552303,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-21,340.34,Office Expenses,Facilities & Management Services  ,1900552304,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-21,558.28,Office Expenses,Facilities & Management Services  ,1900552306,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-30,395.25,Office Expenses,Facilities & Management Services  ,1900553281,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-30,554.50,Office Expenses,Facilities & Management Services  ,1900553595,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-30,463.50,Office Expenses,Facilities & Management Services  ,1900553596,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-28,340.34,Office Expenses,Facilities & Management Services  ,5100285896,Stockport,Services to People
Capital Expenditure,BCL MANCHESTER,2015-09-25,833.00,Office Expenses,Facilities & Management Services  ,5100291789,Stockport,Services to People
Central Services to the public,BCL MANCHESTER,2015-09-03,217.18,Office Expenses,Stationery    ,5100290737,Stockport,Corporate and Support Services
Capital Expenditure,BCL MANCHESTER,2015-09-08,783.23,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",5100291354,Stockport,Services to People
Capital Expenditure,BDM NORTHWEST LTD,2015-09-09,"23,538.27",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550349,Stockport,Services to Place
Capital Expenditure,BDM NORTHWEST LTD,2015-09-11,"1,784.43",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550350,Stockport,Services to Place
Capital Expenditure,BDM NORTHWEST LTD,2015-09-11,"2,498.40",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550351,Stockport,Services to Place
Capital Expenditure,BDM NORTHWEST LTD,2015-09-09,701.79,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550352,Stockport,Services to Place
Capital Expenditure,BDM NORTHWEST LTD,2015-09-18,"3,076.55",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551607,Stockport,Services to Place
Capital Expenditure,BDM NORTHWEST LTD,2015-09-18,"12,849.18",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551608,Stockport,Services to Place
Capital Expenditure,BDM NORTHWEST LTD,2015-09-25,"11,929.66",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552587,Stockport,Services to Place
Capital Expenditure,BDM NORTHWEST LTD,2015-09-29,"1,249.20",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553755,Stockport,Services to Place
Childrens & Educational Services,BEACON COUNSELLING,2015-09-22,560.00,Professional Fees,Consultancy   ,1900552707,Stockport,Services to People
Childrens & Educational Services,BEACON COUNSELLING,2015-09-11,840.00,Fees and Charges,Human Resources Professional & Advisory Services ,5100291649,Stockport,Services to People
Adult Social Care,Beechwood Lodge,2015-09-07,"2,468.40",Care Payments,Social Community Care Supplies & Services  ,102267882,Stockport,Services to People
Adult Social Care,Beechwood Lodge,2015-09-07,-300.00,Care Payments,Social Community Care Supplies & Services  ,102267882,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"3,150.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552375,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"2,600.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552377,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"1,305.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552378,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"1,035.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552381,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"2,970.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552383,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"2,640.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552385,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"1,575.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552387,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,675.00,Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552390,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-09,"1,170.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,1900552394,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-25,"8,190.00",Leasing /Transport Hire,Vehicle Management Hire/Leasing ,5100291212,Stockport,Services to People
Childrens & Educational Services,BELLE VUE (MANCHESTER) LTD,2015-09-25,-390.00,Leasing /Transport Hire,Vehicle Management Hire/Leasing ,5100292321,Stockport,Services to People
Childrens & Educational Services,Berrick Computing Ltd,2015-09-18,135.00,Staff Training,Human Resources  ,1900553496,Stockport,Services to People
Childrens & Educational Services,Berrick Computing Ltd,2015-09-18,"1,580.00",Information and Communications Technology,Information Communication Technology  ,1900553496,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-07,"3,385.00",Care Payments,Social Community Care Supplies & Services  ,102267850,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-07,"-1,085.00",Care Payments,Social Community Care Supplies & Services  ,102267850,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-07,"5,475.00",Care Payments,Social Community Care Supplies & Services  ,102267850,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-07,"-3,261.25",Care Payments,Social Community Care Supplies & Services  ,102267850,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-07,"27,485.00",Care Payments,Social Community Care Supplies & Services  ,102267850,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-07,"-15,116.77",Care Payments,Social Community Care Supplies & Services  ,102267850,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-29,"3,625.00",Care Payments,Social Community Care Supplies & Services  ,102280276,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-29,"-1,325.00",Care Payments,Social Community Care Supplies & Services  ,102280276,Stockport,Services to People
Adult Social Care,BERRYCROFT MANOR LTD,2015-09-29,"39,900.00",Care Payments,Social Community Care Supplies & Services  ,102280297,Stockport,Services to People
Central Support Costs,BERRYMANS LACE MAWER LLP,2015-09-01,147.00,Legal Fees,Legal Services  ,1900550534,Stockport,Corporate and Support Services
Central Support Costs,BERRYMANS LACE MAWER LLP,2015-09-14,125.50,Legal Fees,Legal Services  ,1900552423,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,103.40,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900543244,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,243.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550482,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,234.40,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550483,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,121.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550484,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,112.20,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550486,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,294.80,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550487,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,53.50,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550488,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-10,66.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550524,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-04,86.40,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550527,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,235.20,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550529,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,457.54,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550530,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,364.20,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550532,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,968.51,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550533,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-01,292.60,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550535,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-04,939.80,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551284,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-10,731.90,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551386,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-04,640.53,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551537,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-04,542.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551539,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-04,380.20,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551540,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-04,368.30,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551541,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-10,153.40,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551864,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-14,43.47,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552424,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-14,105.60,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552425,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-14,220.80,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552426,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-14,508.20,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552708,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-23,168.79,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553465,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-23,68.60,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553467,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-23,748.02,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553470,Stockport,Corporate and Support Services
Capital Expenditure,BERRYMANS LACE MAWER LLP,2015-09-23,162.20,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553471,Stockport,Corporate and Support Services
Cultural & Related Services,BERTRAM LIBRARY SERVICES,2015-09-14,25.62,Library Equipment,Education Library Books ,1900550775,Stockport,Services to Place
Cultural & Related Services,BERTRAM LIBRARY SERVICES,2015-09-14,473.09,Library Equipment,Education Library Books ,1900550776,Stockport,Services to Place
Cultural & Related Services,BERTRAM LIBRARY SERVICES,2015-09-01,464.34,Library Equipment,Education Library Books ,1900550777,Stockport,Services to Place
Cultural & Related Services,BERTRAM LIBRARY SERVICES,2015-09-10,21.60,Library Equipment,Education Library Books ,1900551272,Stockport,Services to Place
Cultural & Related Services,BERTRAM LIBRARY SERVICES,2015-09-30,163.42,Library Equipment,Education Library Books ,1900552429,Stockport,Services to Place
Capital Expenditure,BETHELL CONSTRUCTION LTD,2015-09-16,"7,510.09",Supplies and services,Supplies and services,5100291262,Stockport,Services to Place
Capital Expenditure,BETHELL CONSTRUCTION LTD,2015-09-30,"156,212.57",Supplies and services,Supplies and services,5100291896,Stockport,Services to Place
Capital Expenditure,BETHELL CONSTRUCTION LTD,2015-09-16,"-7,510.09",Supplies and services,Supplies and services,5100291897,Stockport,Services to Place
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,-608.40,Information and Communications Technology,Information Communication Technology  ,1900552994,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,-235.34,Information and Communications Technology,Information Communication Technology  ,1900553011,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,239.40,Care Payments,Social Community Care Supplies & Services  ,102264763,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,"2,252.25",Care Payments,Social Community Care Supplies & Services  ,102264763,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,"1,086.75",Care Payments,Social Community Care Supplies & Services  ,102264763,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,841.05,Care Payments,Social Community Care Supplies & Services  ,102264763,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,85.05,Care Payments,Social Community Care Supplies & Services  ,102264763,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,258.30,Care Payments,Social Community Care Supplies & Services  ,102264764,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,"2,056.95",Care Payments,Social Community Care Supplies & Services  ,102264764,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,954.45,Care Payments,Social Community Care Supplies & Services  ,102264764,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,655.20,Care Payments,Social Community Care Supplies & Services  ,102264764,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,72.45,Care Payments,Social Community Care Supplies & Services  ,102264764,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-09,151.20,Care Payments,Social Community Care Supplies & Services  ,102269668,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,220.50,Care Payments,Social Community Care Supplies & Services  ,102273350,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,"2,249.10",Care Payments,Social Community Care Supplies & Services  ,102273350,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,856.80,Care Payments,Social Community Care Supplies & Services  ,102273350,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,620.55,Care Payments,Social Community Care Supplies & Services  ,102273350,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,34.65,Care Payments,Social Community Care Supplies & Services  ,102273350,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,126.00,Care Payments,Social Community Care Supplies & Services  ,102273351,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,"2,389.05",Care Payments,Social Community Care Supplies & Services  ,102273351,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,639.45,Care Payments,Social Community Care Supplies & Services  ,102273351,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,396.90,Care Payments,Social Community Care Supplies & Services  ,102273351,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,85.05,Care Payments,Social Community Care Supplies & Services  ,102281111,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,"1,697.85",Care Payments,Social Community Care Supplies & Services  ,102281111,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,459.90,Care Payments,Social Community Care Supplies & Services  ,102281111,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,201.60,Care Payments,Social Community Care Supplies & Services  ,102281111,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,91.35,Care Payments,Social Community Care Supplies & Services  ,102281112,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,"1,622.25",Care Payments,Social Community Care Supplies & Services  ,102281112,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,362.25,Care Payments,Social Community Care Supplies & Services  ,102281112,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,179.55,Care Payments,Social Community Care Supplies & Services  ,102281112,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,6.30,Care Payments,Social Community Care Supplies & Services  ,102264794,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,182.70,Care Payments,Social Community Care Supplies & Services  ,102264794,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,22.05,Care Payments,Social Community Care Supplies & Services  ,102264794,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,"1,820.70",Care Payments,Social Community Care Supplies & Services  ,102264794,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,12.60,Care Payments,Social Community Care Supplies & Services  ,102264795,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,144.90,Care Payments,Social Community Care Supplies & Services  ,102264795,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,6.30,Care Payments,Social Community Care Supplies & Services  ,102264795,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-02,"1,622.25",Care Payments,Social Community Care Supplies & Services  ,102264795,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,31.50,Care Payments,Social Community Care Supplies & Services  ,102273376,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,163.80,Care Payments,Social Community Care Supplies & Services  ,102273376,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,15.75,Care Payments,Social Community Care Supplies & Services  ,102273376,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,"1,946.70",Care Payments,Social Community Care Supplies & Services  ,102273376,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,34.65,Care Payments,Social Community Care Supplies & Services  ,102273377,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,201.60,Care Payments,Social Community Care Supplies & Services  ,102273377,Stockport,Services to People
