Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,PMS,Contractual ,Lambourn & Batley,,"39,078.48"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,Ophthalmic,Stand Alone,Blyth Vision Plus,,38387.87
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,PMS,Contractual ,Dr Quilliam & Partners,,37637.85
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,PMS,Contractual ,Cameron & Hunt,,36414.72
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,PMS,Contractual ,Dr Ford & Partners Haydon Bridge,,"36,300.54"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,PMS,Contractual ,Belford MG,,35564.87
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),18/03/2011,Drugs,Contractual ,Dr Anderson & Partners,,"33,779.97"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,PMS,Contractual ,Drs Winslow & Menage,,"32,529.31"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,PMS,Contractual ,Drs Leith & Bourne,,"32,329.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,GMS,Contractual ,Riversdale,,"32,236.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,PMS,Contractual ,Dr Foster & Partners,,"32,043.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),31/03/2011,PMS,Contractual ,Dr Horner,,"30,781.58"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,PMS,Contractual ,Dr Ford & Partners Haydon Bridge,,28607.01
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,PMS,Contractual ,Guidepost MG,,27496.36
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,Ophthalmic,Stand Alone,Specsavers Cramlington,,26091.24
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,Ophthalmic,Stand Alone,Aaron Ltd,,25979.87
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NEWCASTLE PCT,64001035,32320
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,SERVICES FROM PCTS,CENTRAL FINANCE,NEWCASTLE PCT,64001042,37656.86
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),23/03/2011,HEALTHCARE - PCTS,CENTRAL FINANCE,NEWCASTLE PCT,64001087,1297128
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),23/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NEWCASTLE PCT,64900176,-32320
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,210036,124239
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),23/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,210583,50194
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),24/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,211267,124239
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65001115,25327.43
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),15/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65001158,1698338
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),23/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65001187,44611
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),30/03/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65001228,1698338
Department of Health,Nothumberland Primary Care Trust,04/03/2011,(INTERNAL) RECHARGE : RECEIVED,CORPORATE RECHARGE,NEWCASTLE PCT,64001050,432027
