Y (Latitude),X (Longitude),Stone type,Name,Commissioned by,Location,Inscription/Notes,Interpretation/Description,Link to Image
50.367575,-4.1722487,Military Stones,PPP-Ad AH 9 Admiralty Boundary Stone,Admiralty,Prospect RowSet approximately 40 metres south east of Prospect Row at chest height in wall. To right of garage doors,†No 'Fouled anchor' 9 †Incised,,https://lh3.googleusercontent.com/proxy/q0BkDvTF3l2XtUngFzZgEr1EK4vKsR7xzgHNBBLZf1HzRjxvqF_KNErx0-lYJ92YawI5-3tgLpeAV6M3vrDK7PKa1Zo9P9pv9sQ9n4OyUjhOh6zgbMaP6w4xn5Z6GL1KVCd7WYnqm_t2_Mrf53UzXnXVh977bdFSqZbkOvkElayfHDXPeDD1eNc https://lh5.googleusercontent.com/proxy/GFI98h0zcZ-KUwx4J2KllZLEpN1MgKwIiBXT07AyUB3KWFqb7o0EjPul8-PTUf86hX3YwrdAIeT5LBgSLlxEYRIhjj-GDURvroMcBLPA97yJY08bGt28lz0IfcytjvdXSmsvd0y3YrULUy2WhGJaqANQPVCJNXAiIY-PxUJfwN9Nso0jfLuZHnQ
50.367575,-4.1722487,Military Stones,PPP-Ad AH 10 Admiralty Boundary Stone,Admiralty,Clowance Street†Set in wall†approx 50 metres south east of Clowance Street in rounded corner of wall at shoulder height. Faces north west.,No 'Fouled anchor' 1 ? Incised Seems to have been defaced ††Interpretation," Should read 10- ""0""",https://lh6.googleusercontent.com/proxy/S9vAw1w89vejNCP8ll6sQq69uxEkGQ8EaAuFmIxc8dMg3S-6AbXzaxnL8Wq-BRV2hhL0o0X9_XF8brySa_VHpHKm9bq5dM7vzsh0DjKPgGYFZVEGIgpfEZ-2M7u3j3jKRau3jdU-42xIBoHUNOBKBonAZEgBFsoiuV5Gv_oc_w4TZK9CQWDjezKn https://lh4.googleusercontent.com/proxy/8GsBeuwjI8ALMlj2nHTUbiFh13ZlJ60Nz8GB023OEAjtXdQs1WaThNQhOO1_fF009lBBONvxJtDCWIWIzxJKMFBATkphkmvuBu2bv95-lq4aWP-VaLXzP2khYwky-5c6WPJpGsJ8vOB16ouBDBvCUlsIwNpN7FaQ_SaY-k-io-i0-6ua4ZsU1mRt
50.367564,-4.1728107,Military Stones,PPP-Ad AH 11 Admiralty Boundary Stone,Admiralty,Prospect RowSet in wall to south and to rear of Prospect Row in rounded corner of wall (behind lamp post) on east side of car park at head height. Immediately above War Department Devonport Lines stone WD DL 13,†No 'Fouled anchor' 11 †Incised,,https://lh4.googleusercontent.com/proxy/5oOENeMHHnJn-wu-zxomOk56p3y43Tel5sJUG1vI5aRpD2hroEnseEyvO-0c2vCywQOYCiIiJ1hYwBIyWbmG9rvtpxWoY5w-a7xienCS6qh7Qw_-WsgtSM7j38pTdaJp6eO83kuobafMaZ3GQlk5iGArdpHuMFPXxIIc1-sTpCUL_sCrItGPy6rL https://lh3.googleusercontent.com/proxy/u81yCUgL6YNpvx4yFQU7oBtNYoC0HeaVwKlz5LguZAS2UGmtmv1J4Ui9aLA9QnvwUFzdWqACNgeC-2TBcSOZUPPMhgVEALT-Uw1JgWOzf59DsK0aISOrooDJoj-n-wJbCx8MRajdkTANooQL8AgAMXaFV-VwNc57udxNr0LOZ_d-gfcx1w9eIjyD
50.367292,-4.1729389,Military Stones,PPP-Ad AH 13 Admiralty Boundary Stone,Admiralty,Prospect RowTo the south and rear of Prospect Row at corner of wall on west side of small car park. Set low down above kerb.,†No 'Fouled anchor' 13 †Incised,,https://lh4.googleusercontent.com/proxy/eiaUScFWEi8jKT0FViiSQZngoyGbTUOSltivUegVzWpVUNSbMAi0ipnHAn0kI5xgaV43SJQK0QGmcxoiUPQXLYh6dFqoetxHAEjyAaJqPHdZioX4XZOktfzGNEJvevL7GQpxKgNEoqyfeiuAceS_CQjKGVOOWei8KMJyAFXqDAVXjTeIjiWqKunX https://lh6.googleusercontent.com/proxy/9Jg3wNcMLqkuC_SnsZ5JYKPWYwxltQ7O7QAzqBvQVVo0s39bx-F4LhsIBJWh0H3gG6zDYrIdVep8FwglsC5JYHoHjAvW1MvKxyiye-8Ynu4oREIWiE-Gt_h4XY4WNMjTdgWgiUruT-icZXkGWEF0aMW82OsRQhrXOSHltQYcS-Dhs_dWNSpayCQo
50.367377,-4.173224,Military Stones,PPP-Ad AH 15 Admiralty Boundary Stone,Admiralty,Prospect RowSet against wall to rear of Prospect Row†,No 'Fouled anchor' 15 † Incised,†,https://lh6.googleusercontent.com/proxy/R-3xidg2EdBQmVY_UDknpajVqYv-BWG9wKyqCydk0sJBj2rjYRBKRHi1JDG9QNIzLl5ibtaTIEX8buTQlpQ-I2aG4eQqNRB45EoAaO1ku-eepgKhsSlr7aao4GAT-Y6-EHwqVowtmqga0Z_w0YvITCRm6_NlmaV7BtphEFeLRi1f-nMM270auHDA https://lh5.googleusercontent.com/proxy/F-AtWevQX1qsn13K0pPUyD67cVkUTOluj6bBoqKkx5SfXDgh17LSUxAcevWFvqlrcGGCf09_mgIf7wKYv5LPprWaXNaw-ANzvKVXgAagtJRR7TvL7pXkyJdc7AK7lrpFtSZ04MxVgTCGfa31ViVftqPFvtahjzhoLfFUpJFoTLacCnHyYxo9YIul
50.36711,-4.17372,Military Stones,PPP-Ad AH 18 Admiralty Boundary Stone,Admiralty,"Mount WiseAt Seymour House, high on north face of perimeter wall of car park. Viewed from Prospect Row (north east corner of games court).",†No 'Fouled anchor' 18 † Incised,,https://lh3.googleusercontent.com/proxy/j7lfVS3TUN3yu-Cqn_7X8VWbHCXQF5F3rCt2zV05-Ez5kErPw6gVzLw0UxqtZKZ6LIc8aqY5dP-U1zS4BpcG3j2Z13coy4lrsc0ftOKF_21N5JzH_wVs998P7GZCZomJ5zgWbSFQNWFaG8USDZYG63ppauYqFeK_ujfVNig8slcb0N8 https://lh3.googleusercontent.com/proxy/rHmFXtEM3OPKEyKvOqAQ29nDiGsUXDXyxRh7Ww1FOfWciON_6GeyMA0mkt0wzNTgeUP0D9G8cMXuKpWf8GeVBIih0PMJVt36EYF88zYsFqZYDw-kyrxdhaosYnS6Th-L54ltaKAgHjtXoOpjCMXu9VVUTB1b49EExcH4slVakYAEMOM
50.367091,-4.1740547,Military Stones,PPP-Ad AH 19 Admiralty Boundary Stone,Admiralty,Mount WiseSet in south perimeter wall of Seymour House - north side of road at start of railings,†No 19 / 'Fouled anchor' †Incised†,,https://lh3.googleusercontent.com/proxy/oQjznkK9-5TlcGMn_FMnJthKVGCuVCNEw4ilewGCRYHMpeubgDhERbhBSLLJouj9wF40CCMRNAotDpiGSDz1ApS3_zC1oaaFfZ1Y3cpMuisJSLp9zycCY3Vy2ud6_kHWzAZ1B0xMkrAisJpXfJ_7bBaR1w6Abl_cLLOtRKmKtQNvcRaSwmhdizui https://lh6.googleusercontent.com/proxy/WRZlFd1NPdrhBspLPgiTOzI89ISeqZX5JxBzyf2LujP1P_tWIMYB45DOKo6yciWtAlCG1KtZDwaIfa9i77UDrFpC_EQe5-9UDE-YzENZSR-I0cCrzuM_ffxyNQCZKOC5ld1ETlJKLrj1y5m-m-WlqiK_oGgU-4WWZLVcAB99bJy8islfIvZlyGWN
50.367004,-4.1739101,Military Stones,PPP-Ad AH 20 †Admiralty Boundary Stone,Admiralty,Mount WiseSet in south perimeter wall of Seymour House on north side of road - 10 metres west of entrance to House,No 20 / 'Fouled Anchor' †Incised,†,https://lh5.googleusercontent.com/proxy/rxRa9TpUNqgpsywM9OhkSxfidwuQY5Qu1LQOAE8gil3ZqF5vn0DreB9FqExbm_zkMAILU2Jbl4oMZk3lMNfIusMNmpnvk104Z5iAdCEn9lNNA0jUy1CMde5Dx1yH42F9mhokNItflVrJHW50A56oQ7a7KjcRQptytXMvdF6ZhRVo2KfaCYgB0kga https://lh6.googleusercontent.com/proxy/bMj_QLQJASRD15qBpwduMgND7tr6Jzv_Hrr9o-UvidPb6y2pBFXLrfyv06h558woIAV48MaH8SNHs-8U5k5l7SBhbbCwPT0QzIEWahiEqaHtnXIlFUo3-63C-TOsrIoiVlAiYiVsLIz6Axfwbc_HGLC9EWVubUPxvXIvj9OUnpXFKdl8jBmWEBZC
50.36702,-4.173067,Military Stones,PPP-Ad AH 21 Admiralty Boundary Stone,Admiralty,Mount WiseOn private property. †Inside grounds of Seymour House. Set in wall low down opposite front door and facing south.,†VR/2A † Incised Interpretation, Victoria Regina,https://lh4.googleusercontent.com/proxy/EX6q-crphBoxUisKT6gViZvHrzMB7JVYqiTCNEA6aWK9uN-5qprkV2sThTHss4WpMrSw0J0_0lIbrSlTfPBu8atk_CrZ_m7f995v2DtSYaKYJ2aQozRKrYlVmLM7h3mIZ3x4YaRJ3ttp2M0dc6XCQQQWhKirDi0RxkNIgs2oip5D8J_oKTD-RIXb https://lh5.googleusercontent.com/proxy/3nrrzf6d6_7dTyqWf0PsfNuyRmK78CIcPQXgPTd0_B6vjDZefmDBTonLah7M1iSiX_9WExsQqcxQ0ImMGjkzVide9R_Ommrx-5WsqNYISBtYxUVP_QcV0GbBTyDSzzfaIwFcMQ8r5SqzUWSw4AgGHMqLFxRpESQ72wzKRE0q3lb4r86NnXWgV22_
50.3983,-4.20422,Military Stones,PPP-Ad BPD 1 Admiralty Boundary Stone,Admiralty,"Bull Point, St BudeauxOn shoreline to south of basin at Bull Point in restricted area- no public access†On revised boundary with Admiralty and War Department s. Also recorded as WD BPD(R) 19. ",†South face, 'Fouled anchor'/ 1 / BOUNDARY / EXTENDS IN A / SW BY W /DIRECTION West face,https://lh3.googleusercontent.com/proxy/kxz3ZwpgCWRH3r4HvqDrVqp9z3KXN5nd5Xq3Belxara20MBK5nhcQjVIdJGGhnXXsP9p3RFX9P_kY-0kxdXo4L_-34B1k0YE7nHiT5H5h9twGAE-KZShnnMBSQfTmE8RniPvoABNQcm8d_tytGafWa_lLUw89pZPKardRpCBld624fGW https://lh6.googleusercontent.com/proxy/K07_BxOOVLdbTgz6PtqqrmiJ8F_YLSfDjHJecrN8SvEQ_iygaWv--LR6x3un59ZyRx0Grg2e58IOl21E8yHnpgwQ8oJb1m7oxPaV-2ji1fB9HpjQSCEYbeZoMxsUVS6fMltzdAnParwqZDqvVJ2zwGfgCgzDvauN5J0br83q50Nq4ZTt https://lh6.googleusercontent.com/proxy/HASzdIZ26ga5ltrWw1YJiOzH17owchQNJxC3p4WFcimRGZ-l5VLxlCS07LmWwL-B60R-ecihmjJ8RStcGEalExDJMymdX6KIGpUph0JJusBqnSrAtc2-gXu5yDAdMfB6dYIwgUyTZWDECHC9z6LEg8MvJwqGpKW3G-may7NA8qdfiyAX https://lh5.googleusercontent.com/proxy/86dYC-_48_iiAtSXlbjZpeR3mPRxlH57N3nMk2u8VNcIQtIu0EQ5u8vTlK30UblXHtB74gKKLpRpfhQGGHJziSwtCvhIvOC97aXqEJdy2ou24dW8oIcbuDZp7r7HC9F8Uq7eP7y2ZDMpTfsoimsAwGp4
50.39847,-4.20391,Military Stones,PPP-Ad BPD 2 Admiralty Boundary Stone,Admiralty,"Bull Point, St Budeaux†A Bull Point Depot marker on revised boundary with Admiralty and War Department s. Also recorded as WD BPD(R) 18. †Not in area of public access. Against wall in fenced area to NE of Ad BPD 1.", South face, 'Fouled anchor' / 2 West face,https://lh4.googleusercontent.com/proxy/ihCy4JXzgLJghqnHXL5WjK5aQxw8BeFgT6n5GxvebQbgaIuFcb47WW1BlvNxH0si5Cg5EakT-ai6Eag0dPdZ_DMI0wmdHSqKJiq8pTPBzODP70QjxpAy3H9jNoNEDxyh5Z2lpxsuHt6zRWODMnRN3xJgwK9cYD5QOkQ2cTeBFn0Mqkks
50.39888,-4.20285,Military Stones,PPP-Ad BPD 3 Admiralty Boundary Stone,Admiralty,"Near Kinterbury RoadA Bull Point Depot marker comprising two stones set in wall, above War Department stone WD BPD(R)†On outside wall of depot near Kinterbury Road. Located NE of Admiralty marker PPP-Ad BPD 2"," Upper stone of two ""Fouled anchor"" Lower stone of two ""3"" † †Incised",,https://lh3.googleusercontent.com/proxy/C88otHusZVV7UaU0gDp1AVXpVpB5AlQFVZRpT2icxtIbw7mlZqLesNfzi5Qxd6lL5srmI4D32douLUiPLDyXnqiNwdIP5hJ1CZnqNldhdIO_CWNhO_JHk6i2-yQ8BwW1zSOzXNs2rt777Ly6g6O2J_30chL3rEjXHbkopSRUy0g2GhFF https://lh6.googleusercontent.com/proxy/s5FzuB-Bba5s7tt4sxWAOcQCA_1A8kDNyBaKbsnw2oaY4X2N5K0ti5DFaxZmKegHvdF6rFKUtOJx3FrG2SX9u9AI78gwg7JCz5_tvTnDqJGpe4aNnbkjh0tLaKXqO_XjdWbZzq7PcAzSDQM-FJI5gjcnTf_fQxtRHc0yABN4AfEPFOI9 https://lh4.googleusercontent.com/proxy/qmox5lYbMb7yeGLPnTuRIksJWPl2U5ncj3hsbbzr_hNjX1woVft4xAwidhlptZEF6HgDFcIjuHzsEMZjuD1KMFezc8EjDe2nz1mVax97GvfWYd4z-cdACTuAgFA5xNxzglk9r0Go_yQzBNJ5Zdmp_pNEE3a1e1fUCDPcDLIMnm8W2NZd
50.39966,-4.20388,Military Stones,PPP-Ad BPD 4A Admiralty Boundary Stone,Admiralty,"Near Kinterbury Road, St Budeaux†Located NE of Admiralty marker PPP-Ad BPD 4","† No 4 / A / ""Fouled anchor"" †Incised",,https://lh6.googleusercontent.com/proxy/5Esn3oDvzDEIAI_109_QHjTl_WOwCcmFuqAQTkWU0k1iB9A76nw5BlpYRDN6IvH9At7nlVK0SDTuBB3QRBufHcCoHrp3mHTJitleoHxzD6TfZ4cseT83_vLRjF-DmBFYLaTrWBCpPtQpm8CRxhfNrnTZMx88YNAnl8PkBzBkRHnramAKwA
50.39802,-4.20062,Military Stones,PPP-Ad BPD 4B Admiralty Boundary Stone,Admiralty,"Near Kinterbury Road, St Budeaux†Located SE of Admiralty marker PPP-Ad BPD 4A","No 4 / B / ""Fouled anchor"" †Incised",,https://lh6.googleusercontent.com/proxy/2I8lpXpa_SlZfF3EUpj5kp4faGXfMHNtF12kILLc8G8mmZkaQME_xnpNY6QK3SGCUawT3CehlpRFGdtaPg7TKrmT9QmTzb-CeAwBnZJx1GFH4ZuP-0JVym9plHenb-lb4fCPplqjZb2T2ApTGsERhUEY6maAa8NiTwydyIZdizFga0jzIg https://lh4.googleusercontent.com/proxy/6YZD4srqpEL91oVQdmTA037yTj2aiPrV89XMnmBiAUAIJsmSElBMAbkeHVZtJ8twEcrxL2E8xCgYu1ctU3545lhy_49UXFqy1QpkPtK4zLxu-G8pluaSnyY2OGbgRMr1ZkbqKRaLDc8dy-hlKXmdBqabN29nnkyE3s4EsKymUIuzlle6jA
50.39957,-4.20351,Military Stones,PPP-Ad BPD 4-2 Admiralty Boundary Stone,Admiralty,"Near Kinterbury Road, St BudeauxIn corner of wall near Kinterbury Road. Located NW of Admiralty marker PPP-Ad BPD 2","†No 4 / ""Fouled anchor"" †Incised",,https://lh3.googleusercontent.com/proxy/em3xk-83pLP1lzKulsd-_--Rcy3f1OJA5RT1_BoL47yqZDAch32sJJk8fQ5WCE_kJjw8Mq2J7-ZrqvcULPyloZ8yjX72qDEjxxk4ESbmh9Eb_1TvNU_Gc9btPN1cCzU4W3tValckolIjY_hrG69vJC1qMLDjJsj-VzfaIm9J86arVcW3zB4 https://lh3.googleusercontent.com/proxy/Ya4byu51un_fHC3rZMpPRMiYkfroxEXz26S1F7Rjggd16KaQaA4OtSKCk2FudvwWe3VuZRA8s1vbWwZCnIxBYr4-VrdFxduza4YA3g6GQYo50YCCFjEpRFDv9w5s7pvkVvAm3C8nJ43T4CQsUZW3jArD13Dv6Nf9r2-3eFqylUFacycBKas
50.39808,-4.2004,Military Stones,PPP-Ad BPD 5-1 Admiralty Boundary Stone,Admiralty,"Near Kinterbury Road, St BudeauxSet in wall above War Department marker WD BPR 15.†On corner of wall facing NW near Kinterbury Road. Around corner of wall from Admiralty marker PPP-Ad BPD 4B","†""Fouled anchor"" † Incised",,https://lh4.googleusercontent.com/proxy/czl_HNkttJDFjZZ7jkxmRGULu6hGDumqfUEP-WhiLbNfYyGgvDQY8PrsYXIboQ7xaCh4eiU7oLTdoWy2R1hWwRadUsJX-gF4EWuWed9CQ8suvrqpq52Uasrpk4aNOM01Te5lZSCxIOS81dByCG3o43WWT6-izrxnDxetkhADe37I5gmMxig https://lh5.googleusercontent.com/proxy/MAYULwayNuYQwrPSWqj7pf1zNUpVhly95-SsS9qxBYoy408cBYs3BL4DywdoUSRVwHI6fK1KH2lG6rhh99wVxdjRscYzDQXvbSFao-MlffbQ6Z8vhifEkrL_GX_6qI9fRYS9yw_3gKz3lexHzSOt50IcYLjbOHaW4ttasVQQsU4ZuRIB https://lh4.googleusercontent.com/proxy/Dru1XanpA9aNnxlmMjJkoKBGLRpIdWYtnoERV3Ri2x98pUslrsp3bdbl3_Q7SWcHR6Uwmh_vEBaS_McCkTgsXuaTIrNJzitpTNyG7F8foVoNCK7xy88D5NjY8mizZnglFOqkbtw4a1Cb1kKFj6V8Zztccx6a4SB3kb393F-ecuMJOy4D
50.39808,-4.2004,Military Stones,PPP-Ad BPD 5-2 Admiralty Boundary Stone,Admiralty,"Near Kinterbury Road, St BudeauxSet in wall above War Department marker WD BPD (R) 15.On corner of wall near Kinterbury Road. Located NE of Admiralty marker PPP-Ad BPD 4B","†""Fouled anchor"" 5 †Incised",,https://lh6.googleusercontent.com/proxy/3J6HLi2ct6IOfSjKqGSmLB1DLQy7l92qHc9P03EKXDVR3O69KzGQgnJtlqArs77Ixw5KXRjGgz9ze-gocsqFc7jl0KlqcZtQ8Y4WBb0e337YEtxlrTjpJUenyi3iC0VMkrRBUgvRPD4JaGc-i4xe0iFtd7mMfJM45M1h8qbaZLqhvCwPgwg https://lh5.googleusercontent.com/proxy/MAYULwayNuYQwrPSWqj7pf1zNUpVhly95-SsS9qxBYoy408cBYs3BL4DywdoUSRVwHI6fK1KH2lG6rhh99wVxdjRscYzDQXvbSFao-MlffbQ6Z8vhifEkrL_GX_6qI9fRYS9yw_3gKz3lexHzSOt50IcYLjbOHaW4ttasVQQsU4ZuRIB https://lh4.googleusercontent.com/proxy/Dru1XanpA9aNnxlmMjJkoKBGLRpIdWYtnoERV3Ri2x98pUslrsp3bdbl3_Q7SWcHR6Uwmh_vEBaS_McCkTgsXuaTIrNJzitpTNyG7F8foVoNCK7xy88D5NjY8mizZnglFOqkbtw4a1Cb1kKFj6V8Zztccx6a4SB3kb393F-ecuMJOy4D
50.39742,-4.19932,Military Stones,PPP-Ad BPD 6 Admiralty Boundary Stone,Admiralty,"Kinterbury Road, St BudeauxIn sensitive area at south west end of Kinterbury Road. No public right of way. In wall to right of gate to Bull Point Depot. Located above War Department marker WD BPD 14","†""Fouled anchor"" / 6 † Incised",,https://lh5.googleusercontent.com/proxy/f5ZQYGxsh7iWlc1HgIUGbfsxw2pG22bed1o4Vr63ZZkHtsPBhWcVmp_fqGcLgNYHjh6pV6W_Z89zy_e7azRReD1m3-9Kcr3hAIgE7edGwH-xxhmiZXmxc-RjYz3BQnrsEXe0-erfPHKVNfypcfCQFDChHeSHzXo8xJYPD8l3sKmpheUC https://lh3.googleusercontent.com/proxy/BtEednuT18DrnXGNrzyNkcihLue_1d9GQxR4MA_1BsFc9nI1IVUJoIAyZRwZjPfdI-Wkg33AEM_qNVhITXXE_3FYbgt0-y89AebhCmYRY6KiBNvA6uKnOF6nvckFevugdoiMS-LGvaqyR2YxEGAvVw3VdT4V6K55-TW8DW2NGMve0-47
50.39845,-4.19846,Military Stones,PPP-Ad BPD 7 Admiralty Boundary Stone,Admiralty,"Kinterbury Road, St BudeauxAt gateway to sports field on west side of road. Likely private property.†A Bull Point Depot marker on revised boundary.†",South-east face, 'Fouled anchor' / 7 South-west face,https://lh6.googleusercontent.com/proxy/4DCMB10FvpiGv0vq1HQQKHnv-RVHGFd2Jn_cjcrYmzYndM8T43vOUxOzi_O5Z6ftE6PufMDh9Y4Sj_9qJo8_5aObFG4rPUmIQfAUV4CvDrb6veyCQFTEnnH_yOkgo3_-6rc0-o0Ec5ITB3z59ykW6mHXit1UNyIt0RHBnjgdjpUctTmf https://lh3.googleusercontent.com/proxy/YYGRQOc6fQ9IsJThFtTImcUz1XyngX1s2tI7PKqXAxBneABFMUQSeUxOjLS0fOPqQuiR1tq-dYGjH0W5wqyX6Rw2mCUJvqn5SGDQfdVFWI3ROmuuNE9huOOwrs0UTgXHb4gTTGrkRz4HrsHwpWhl0qKBpD11BVgRUiGc_t1MnP2_8Ko2
50.3978,-4.18417,Military Stones,PPP-Ad BPD 26 Admiralty Boundary Stone,Admiralty,"Weston Mill Lake, St Budeaux†In centre of stream west of railway line. At head of small inlet creek to Weston Mill Lake. To west of railway line.†Found laying face downward and re-erected by survey team.Inscribed"," †26 / ""Fouled anchor"" †Incised",,https://lh6.googleusercontent.com/proxy/Jg7aUhZtsAP4jpkEdabQeb91yiw4NFJnp7kTPFVNik3_9pgNAeOYfTEmT1vWTanqDWcORZ1AmrAmE_4PcPptdT5-3IB6bgKuhwlSXggYavoAtzKUdufdXd090ZQxqQiz6Id3728jbC0tCcd5GIv0qe58CLXpSLBLODpdCwQCtSDOGjvq https://lh4.googleusercontent.com/proxy/1HW4ZZlya4jRMEy4y5hih7sB8jNyj8LAdoDGHFLfbvc4uNl3Sf4DEn924d_tSR63CB8pVk9sOY3Ky3fOYEHzoliDI1Xc_QvFALRvDlK3yZHmBVAPZmTXTVGi8Hv1rc-D6iy0YnxboEMux1w71xvT7x75YiAW1I6OV6Dq9ykPTJovjJEh https://lh5.googleusercontent.com/proxy/6XtbrhMf1Zbm77WNRR7RBbVjBr7aodeVvI-Z55ZU1M6ScTOyTRwnAjNc_xlaONFAkWdlq0NWVbTLx0T_uUW0YZDqVRUF8tcy075DZGpGWOwPIMLhCLqF4kHfYOMVCK3W7vYjjAF1JylIdkCpBi11mPFWhU_uZskcP4LuOtExlgiMQjhv
50.39762,-4.18407,Military Stones,PPP-Ad BPD 27 Admiralty Boundary Stone,Admiralty (?),"Weston Mill Lake, St BudeauxWest of railway line. At head of small inlet creek in Weston Mill Lake. Close to Ad BPD 28 and MOD BPD 27 (probably placed as a replacement).Interpretation",Thought to be a Bull Point Depot marker. Only the post remains.Inscription,Identity plate missing. Assumed 'Fouled anchor' / No 27. †Interpretation,https://lh3.googleusercontent.com/proxy/5amXDUQRnT9wEKGK-_wNikDjMajFll69lNTVGv38SJX9AtZEvpNoVOcOTM5BcprmtUPxwTy4xtyQDz5aSZeuveFVdGiVwgkJTjoNdC5qEEfCzAzricknDne2TElRAum4Hb7SFZWvzneBray5apUKzeGjXl23A_aoB-tvKsDK2GMjvRDd
50.39762,-4.18407,Military Stones,PPP-Ad BPD 28 Admiralty Boundary Stone,Admiralty,"Weston Mill Lake, St BudeauxWest of railway line. At head of small inlet creek to Weston Mill Lake. Close to other markers Ad BPD 27 and MOD BPD 27",Fouled anchor / No 28 †Inscribed†Description, A flat topped square metal plate. Similar to a GWR marker.,https://lh6.googleusercontent.com/proxy/Qt7atl7hCFe27Ciy2UuUoBpenvIjwGKUqLHjXK2GbR-RBp-7uySrw-W9pV2573-1BLTAcqs2OaN0nkM6oWG69oT1C0NABDZ-oGPVI6Vt3dacLhe0BkziS681W1z4oJ6SBnOGtRUvutPh3g12tgjSuap8VP-2Ta1EmtXzRhaU8wlFZ87Y https://lh3.googleusercontent.com/proxy/4mHO0Ct8NBjEkzkVXYCf5L1v3kxHDaAzt1BWPj_0Ew3h8NWqQifDRV5SOkqr-3dyUEskcnyiL4em6LiPsGOoqIJvICXtyE9OfbHXHJytRX9-TOqk8LVZ_gIspUhPensBEWoaRCvWSYdY6WLap_Du-395vAS0CrH3bHBbbqDin4YO6kxu https://lh4.googleusercontent.com/proxy/0eql6y8Hlr8r1DONBZuTFdkLluLZ6flIVDm7660zdfHgAQt-DDvcFEJFSeYDV9e2XDyAeFEOu7XpvjhPFjXTGw7W6XD1br1SfKxMAYfbFKadzt7ErP5WrEUgRtj43_-ihX-fHVcHbGSl1OnmfhOFYmQtFCONUHTKvakLOtzmO5fbQeL6
50.39626,-4.18377,Military Stones,PPP-Ad BPD 30 Admiralty Boundary Stone,Admiralty,"Weston Mill Lake, St BudeauxWest of bridge on north side of Weston Mill Lake. In mud near shoreline","†""Fouled anchor"" / No 30 † Raised lettering Description", Square metal plate on top of upright section of rail.,https://lh5.googleusercontent.com/proxy/F9YQe1mQmj67VLx3D6XIseb2qNdObtv4LHmDXY0Nm1iA7kUWCtBpQ6fMPwH1-1t0B-fEfUQseecZSQ_kgw2FjCH3Hxvi4klJpa3dMPchBAvHQBdaAAUwP8TVw05rxFGRg4xtPFkfhj_l3c375AvJ2xcGumEYdTNVPmlMj1NOLNEuTAPr https://lh3.googleusercontent.com/proxy/yTrm792Lgho2GCkibzwlUd2HKQ9CHR5vDONtChcqoCo24LjjtopdIV_P3eKDP55IcKg-vd4CO2uR8LE4dLX-lsNsdYk3KxKde6QgWui6Enyag0UzHGHg66x0FaEKpWIOUAcKk_Up6h7p4SGBBx06OpEVWPCfzy9_4nCbEzFKTkIs3I4f https://lh4.googleusercontent.com/proxy/4UuT5KY8FqJt11yrDOjk-UQozzUTtAei-1-N_nOWvI8EZMWEgGt3r3tfitpGHOParD86G4oYeNSzFxBv19n3UCLlFhqbT2BKw0L98lM0B8lkzYFSLjRO_BAdU31RzeDyjqjwCreCaHOWd8tEXHhYEdvVyZARG4SKSbuqYHDPCeshq9tu
50.32009,-4.10549,Military Stones,PPP-Ad CGS 1 Admiralty Boundary Stone,Admiralty,"Wembury PointWest Hill, Wembury Point, on north east end of access road. By corner of wall opposite house no 22",†No 1 / 'Fouled anchor' † IncisedInterpretation,"†A Cambridge Gunnery School marker (HMS Cambridge, Wembury)",https://lh6.googleusercontent.com/proxy/jvQkO0cz1WeMkyV_jsR0C0tvZgBi3pfihPMPVgE-yX0WhKeCU4NytvI5alEK9gTJVpA5BDu5lpemZK3RTMBYbemGKglSpsJ5H5EGgvtpiMmcv3qBxWueEbC4d7KnqIFT1nxMoZuKwxoXcqdWpY4xSnJNGYR4peXuppEiMuVkhpmofTiV https://lh3.googleusercontent.com/proxy/fvUUf7TRS1O9pulKwSTCbI2EFpsaY8Rq2pY7CIo4axDkZrzgXjl2SRK3dJI-RslOWIhR9C4WoSBV7bDCdWxuPTUcdqgpMR6VyjrDFtrV7QboDNKDUfSom-2FJi59kwAX-JsU6wGgODSjvF4bs0sdw80xHLbwzm_v360uKXqx4aa6XtOG
50.31941,-4.10309,Military Stones,PPP-Ad CGS 2 Admiralty Boundary Stone,Admiralty,Wembury PointNear entrance to National Trust car park †on Spring Road †and on north side. NOTE, †The car park is small and not marked by the National Trust as a visitor car parkInscription,†No 2 / 'Fouled anchor' † IncisedInterpretation,https://lh4.googleusercontent.com/proxy/_KBDMKiQgBVwioMWVGQuKf9Kjb_CGZrgKy58dkgAK7hYGwxRpGKGk6bDDrddaDifl-u0teSmK2-c04QLmkdxbS3ToWvdHzMrSE_4d8aloVhb99ozCPmr9lbNyxvTMCO7ncRgej96Zxnlv7MfcxwSSYSKL83UWf6YcoTrqZFibXJ0GB5- https://lh3.googleusercontent.com/proxy/f23rRKr-LJu5S6Fx0TMbOsuYcmE5fwOhY5jVb_iyezLF01hXaIlE9YZSyEss-cpmCkYH0VRXc94LNG1BOkRx28ivItmeLqSy6d0E91-mZYmjivx1vAccix2D0YuqfxEilJXV2OvxJUH9MGoDPla_SOBg1vQa6wiqLnom2C8Q2viJpee4
