OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate,Amount,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042954,DEBT104567,Tewkesbury Borough Council,R4400-PLP101,Services - Professional Fees,26/02/2016,669.81,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,L & C Trust set up costs,14042584,70016928,The Cheltenham Trust,R1100-SUP104,Agency Staff,19/02/2016,5680.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14042570,8.50028E+11,The Midcounties Co-operative,B6170-BAL100,Short Term Revenue Creditors (incl RIA) - Other entities and individuals,19/02/2016,3043.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14042581,3083,The Rock,R6280-GBD001,Grants,12/02/2016,2428.73,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14042569,80 Pennine Road,The Surveying Practice - Client Account,C1107-CAH028,Building Works,12/02/2016,13984.28,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Alarms,14042822,3IN / 10273006,Tunstall Healthcare (UK) Limited,R4000-SPP002,Equipment Purchase,26/02/2016,2220.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Alarms,14042797,3SE 99008477,Tunstall Healthcare (UK) Limited,R1652-SPP002,Training Fees (External),26/02/2016,525.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14042535,60007246,Ubico Limited,R5001-WST001,TPP - Major External Contractors,09/02/2016,100665.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trade Waste,14042535,60007246,Ubico Limited,R5001-TRW001,TPP - Major External Contractors,09/02/2016,43815.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Centres,14042535,60007246,Ubico Limited,R5001-RYC004,TPP - Major External Contractors,09/02/2016,43681.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bring Sites,14042535,60007246,Ubico Limited,R5001-RYC005,TPP - Major External Contractors,09/02/2016,11303.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14042535,60007246,Ubico Limited,R5001-RYC006,TPP - Major External Contractors,09/02/2016,115078.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Green Waste,14042535,60007246,Ubico Limited,R5001-RYC002,TPP - Major External Contractors,09/02/2016,25513.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14042535,60007246,Ubico Limited,R5001-OPS001,TPP - Major External Contractors,09/02/2016,43088.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Highways Agency Verges & Trees,14042535,60007246,Ubico Limited,R5001-ESR001,TPP - Major External Contractors,09/02/2016,23720.83,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14042535,60007246,Ubico Limited,R5001-OPS002,TPP - Major External Contractors,09/02/2016,49405.83,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Arle Road Nursery Operations,14042535,60007246,Ubico Limited,R5001-OPS101,TPP - Major External Contractors,09/02/2016,14624.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Street Cleaning,14042535,60007246,Ubico Limited,R5001-STC001,TPP - Major External Contractors,09/02/2016,68776.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Public Conveniences,14042535,60007246,Ubico Limited,R5001-REG019,TPP - Major External Contractors,09/02/2016,6239.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14042535,60007246,Ubico Limited,R2071-HRA110,Open Spaces and Grassed Areas,09/02/2016,27755.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14042535,60007246,Ubico Limited,R5001-CPK001,TPP - Major External Contractors,09/02/2016,7300.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Centres,14042536,60007335,Ubico Limited,R5001-RYC004,TPP - Major External Contractors,05/02/2016,43681.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bring Sites,14042536,60007335,Ubico Limited,R5001-RYC005,TPP - Major External Contractors,05/02/2016,11303.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14042536,60007335,Ubico Limited,R5001-RYC006,TPP - Major External Contractors,05/02/2016,115078.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Green Waste,14042536,60007335,Ubico Limited,R5001-RYC002,TPP - Major External Contractors,05/02/2016,25513.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14042536,60007335,Ubico Limited,R5001-OPS001,TPP - Major External Contractors,05/02/2016,43088.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Highways Agency Verges & Trees,14042536,60007335,Ubico Limited,R5001-ESR001,TPP - Major External Contractors,05/02/2016,23720.83,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14042536,60007335,Ubico Limited,R5001-OPS002,TPP - Major External Contractors,05/02/2016,49405.83,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Arle Road Nursery Operations,14042536,60007335,Ubico Limited,R5001-OPS101,TPP - Major External Contractors,05/02/2016,14624.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Street Cleaning,14042536,60007335,Ubico Limited,R5001-STC001,TPP - Major External Contractors,05/02/2016,68776.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Public Conveniences,14042536,60007335,Ubico Limited,R5001-REG019,TPP - Major External Contractors,05/02/2016,6239.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14042536,60007335,Ubico Limited,R2071-HRA110,Open Spaces and Grassed Areas,05/02/2016,27755.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14042536,60007335,Ubico Limited,R5001-CPK001,TPP - Major External Contractors,05/02/2016,7300.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14042536,60007335,Ubico Limited,R5001-WST001,TPP - Major External Contractors,05/02/2016,100665.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trade Waste,14042536,60007335,Ubico Limited,R5001-TRW001,TPP - Major External Contractors,05/02/2016,43815.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14042626,2.50001E+13,Valuation Office Agency (VOA),R4400-DEV001,Services - Professional Fees,26/02/2016,2560.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14042817,2.50001E+13,Valuation Office Agency (VOA),R4400-DEV001,Services - Professional Fees,26/02/2016,3960.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14042565,YS55 VDM,Vehicle Solutions,R4964-CPK001,Insurance Excess,19/02/2016,888.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulky Household Waste,14042824,16-Feb,Vision 21,R4401-WST004,Services - Fees and Charges,26/02/2016,3275.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14042384,UK10/012016/8702,Vodafone Limited,R4507-SUP005,Comms - Mobile Telephones,12/02/2016,2536.48,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14042490,33113976,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,12/02/2016,78996.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14042489,33113985,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,12/02/2016,5697.16,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14042489,33113985,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,12/02/2016,504.86,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,2020 Vision,14042716,33114759,West Oxfordshire District Council,R4400-COR102,Services - Professional Fees,26/02/2016,11200.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Built Environment,14042716,33114759,West Oxfordshire District Council,R4531-SUP040,IT - Purchase of Software,26/02/2016,1870.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Gloucestershire Airport,14042803,A-01-16-04,York Aviation LLP,R4400-AIR101,Services - Professional Fees,26/02/2016,2000.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Gloucestershire Airport,14042804,A-01-16-05,York Aviation LLP,R4411-AIR101,Consultancy Fees,26/02/2016,1370.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Gloucestershire Airport,14042365,999881,Guardian News & Media Limited,R4317-AIR101,Non Staff Advertising,05/02/2016,760.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Rent Control,14042546,Rent Refund (M Garwe),REDACTED,R9910-HRA900,Refund of Overpiad Rent,12/02/2016,575.96,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14042558,refund 260116 mitie,REDACTED,B6170-BAL100,Short Term Revenue Creditors (incl RIA) - Other entities and individuals,12/02/2016,6672.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Rent Control,14042543,Rent Refund (K I Holliday),REDACTED,R9910-HRA900,Refund of Overpiad Rent,12/02/2016,1236.77,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Rent Control,14042541,Rent Refund (M Joynes),REDACTED,R9910-HRA900,Refund of Overpiad Rent,12/02/2016,520.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Rent Control,14042621,018720 00 3,REDACTED,R9910-HRA900,Refund of Overpiad Rent,19/02/2016,505.90,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14042582,SF185 02.16,REDACTED,R6280-GBD001,Grants,12/02/2016,1000.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,New Heating Installations,14042975,New Gas Supplies 180216,Wales & West Utilities,C1107-CAH009,Building Works,26/02/2016,1240.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,New Heating Installations,14042911,2 Gas Meters Whaddon Ave,Wales and West Utilities Limited,C1107-CAH009,Building Works,19/02/2016,864.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cakebridge Place development,14042575,2373173,Western Power Distribution,C1107-CAH034,Building Works,19/02/2016,1536.66,
,,,,,,,,,,
Purchase Card Data,,,,,,,,,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Legal Expenses And Court Costs,10017672,R4420,HM COURTS SERVICE,R4420-LTC001,Council Tax Collection - Legal fees,24/02/2016,876.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Legal Expenses And Court Costs,10017626,R4420,HM COURTS SERVICE,R4420-LTC001,Council Tax Collection - Legal fees,19/02/2016,951.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Legal Expenses And Court Costs,10017581,R4420,HM COURTS SERVICE,R4420-LTC001,Council Tax Collection - Legal fees,12/02/2016,1263.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Training Expenses,10017626,R1650,UNIVERSITY FEES -REDACTED,R1650-DEV001,Development control - Training Fees,19/02/2016,1775.00,
