Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department For Transport,Highways Agency,09/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD235131,1347,HAL00010545/XXXXX/25000038532012,SW19 4DT
Department For Transport,Highways Agency,09/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,527912,75446.15,Invoice number INQL/100156. Date 06/06/12. Amount 78726.42. Exclu VAT 65605.35,DY4 0HH
Department For Transport,Highways Agency,09/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,527913,23510.06,Invoice number INQL/100157. Date 06/06/12. Amount 24532.24. Exclu VAT 20443.53,DY4 0HH
Department For Transport,Highways Agency,09/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,527911,13923.69,Apps and Certs Receipt - APC24387,OX4 4DQ
Department For Transport,Highways Agency,09/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,527911,14250.26,Apps and Certs Receipt - APC24387,OX4 4DQ
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,527900,3947.38,,GU14 7BF
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,527901,159503.45,,GU14 7BF
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,527902,15469.98,,GU14 7BF
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,527903,44292.14,,GU14 7BF
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,TARMAC LIMITED,527932,14531.74,Apps and Certs Receipt - APC24918,DN22 8SG
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Structures - Capital,MAJOR PROJECTS,CORDEROY CONTRACT SERVICES LTD,527945,20696.38,,ME18 5NN
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,527923,333374.16,Area 5 Structures Residual Duties - Boston Manor to 25/6/12,OL1 9LH
Department For Transport,Highways Agency,09/07/2012,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,527924,294441.57,Area 5 Structures Residual Duties - Boston Manor to 4/7/12,OL1 9LH
Department For Transport,Highways Agency,09/07/2012,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,COLAS LTD,527950,43044.87,,RH10 4NF
Department For Transport,Highways Agency,09/07/2012,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,527951,33947.95,,HP19 8BP
Department For Transport,Highways Agency,09/07/2012,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,VARIABLE MESSAGE SIGNS LTD,527947,23000,,NE31 2JZ
Department For Transport,Highways Agency,09/07/2012,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,VARIABLE MESSAGE SIGNS LTD,527949,75053.33,,NE31 2JZ
Department For Transport,Highways Agency,09/07/2012,TOS operational Vehicle consumables,TRAFFIC MANAGEMENT DIRECTORATE,PRO-TECT SAFETY SIGNS,527895,1087.69,coldharbour consumables -June - invoice 19923-#1087.69,BS24 6TA
Department For Transport,Highways Agency,09/07/2012,TOS operational Vehicle consumables,TRAFFIC MANAGEMENT DIRECTORATE,PRO-TECT SAFETY SIGNS,527897,2147.55,Weatherhill consumables - june 2012 - invoice 20148-#2147.55,BS24 6TA
Department For Transport,Highways Agency,09/07/2012,TOS operational Vehicle consumables,TRAFFIC MANAGEMENT DIRECTORATE,PRO-TECT SAFETY SIGNS,527898,1638.03,Easton Lane consumables - june 2012- invoice 19983-#1638.03,BS24 6TA
Department For Transport,Highways Agency,09/07/2012,TOS operational Vehicle consumables,TRAFFIC MANAGEMENT DIRECTORATE,PRO-TECT SAFETY SIGNS,527899,1666.91,DRC consumables - june 2012 - invoice 20149-#1666.91,BS24 6TA
Department For Transport,Highways Agency,09/07/2012,TOS operational Vehicle livery,TRAFFIC MANAGEMENT DIRECTORATE,COMPUTACENTER (UK) LTD,527906,2425.82,CNN-214 Mitsubishi L200 PVID,AL10 9TW
Department For Transport,Highways Agency,10/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,523412,-669.89,Apps and Certs Receipt - APC18551,M2 5JB
Department For Transport,Highways Agency,10/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,524949,-1327.2,Apps and Certs Receipt - APC20521,M2 5JB
Department For Transport,Highways Agency,10/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,1623.92,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527961,42247.87,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527962,3970.6,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,595.19,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527980,55536.07,Apps and Certs Receipt - APC24424,M2 5JB
Department For Transport,Highways Agency,10/07/2012,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,HERTFORDSHIRE COUNTY COUNCIL,528012,2500,HA Contribution to Gunnels Wood Sustainable Travel:,SG13 7XP
Department For Transport,Highways Agency,10/07/2012,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,WILTSHIRE COUNCIL,528007,1083.36,,SN15 1ER
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-1063.71,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-629.8,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-5342.04,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,408.98,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,230.52,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,358.99,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,67042.62,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,1384.81,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,1624.17,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527961,454.55,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527961,6301.53,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527961,5958.36,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527961,58721.03,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527961,22386.39,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527962,187.44,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,113.57,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,2494.39,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,128.07,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,1859.76,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,527955,7918,Error Correction - Invoice 12009538 - Receipted on behalf of NOMG IMS Team,KT18 5BW
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,527956,26743.03,New receipt for June's Imbiber Beads Diesel Project (PIN 526441),KT18 5BW
Department For Transport,Highways Agency,10/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,528009,9161.86,Work carried out in May (revisited),RG21 4HJ
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,521672,-215.86,Apps and Certs Receipt - APC16607,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,524949,-6685.03,Apps and Certs Receipt - APC20521,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,524949,-2004.46,Apps and Certs Receipt - APC20521,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-13455.82,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-26152.92,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527960,87.31,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527960,1893.62,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527962,17074.27,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527962,29003,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,525756,-8000,,GU14 7BF
Department For Transport,Highways Agency,10/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MCPHILLIPS (WELLINGTON) LTD,527996,135313.42,Apps and Certs Receipt - APC25266,TF1 4FG
Department For Transport,Highways Agency,10/07/2012,Lands Costs,MAJOR PROJECTS,EVERSHEDS LLP,527994,783.4,OPD LE6063 Land at Ratcliffe on the Wreake ,CF10 5BT
Department For Transport,Highways Agency,10/07/2012,Lands Costs,MAJOR PROJECTS,MOUCHEL LIMITED,LOMD238456,715.15,HAL66666642//90108183,OL1 9LH
Department For Transport,Highways Agency,10/07/2012,Lands Costs,MAJOR PROJECTS,TREASURY SOLICITOR,527990,2103.5,OPS Land at Pridhamsleigh April - May 2012,WC2B 4TS
Department For Transport,Highways Agency,10/07/2012,Lands Costs,MAJOR PROJECTS,TREASURY SOLICITOR,LOMD238457,1096.5,HAL00006726//121537,WC2B 4TS
Department For Transport,Highways Agency,10/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,ASHBOURNE ASSESSMENT SYSTEMS LTD,527971,750,904957,OX25 3SX
Department For Transport,Highways Agency,10/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527969,5078.3,6078,NE3 1HN
Department For Transport,Highways Agency,10/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527983,976.5,6095,NE3 1HN
Department For Transport,Highways Agency,10/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527984,1810,6098,NE3 1HN
Department For Transport,Highways Agency,10/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527985,1903,7004,NE3 1HN
Department For Transport,Highways Agency,10/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROAD MANAGEMENT SERVICES (GLOUCESTER) LTD,527998,54562,,EH2 1DF
Department For Transport,Highways Agency,10/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROAD MANAGEMENT SERVICES (GLOUCESTER) LTD,527999,1335685.23,,EH2 1DF
Department For Transport,Highways Agency,10/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROADLINK (A69) LTD,526325,-83910.6,PART PAYMENT OF INVOICE RL1233 DATED 01 JUNE 2012,NE43 7TN
Department For Transport,Highways Agency,10/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,SHEPPEY ROUTE LTD,528011,959839.61,A249 Stockbury (M2) to Sheerness DBFO - June 2012,ME10 2PG
Department For Transport,Highways Agency,10/07/2012,Protective clothing & uniforms,TRAFFIC MANAGEMENT DIRECTORATE,BURLINGTON UNIFORMS LTD,527952,163153.69,June 2012 - TO Uniform order (inv. 409957),EN3 7PX
Department For Transport,Highways Agency,10/07/2012,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,527988,1039.74,,RH10 1TX
Department For Transport,Highways Agency,10/07/2012,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,528003,4137.59,,RH10 1TX
Department For Transport,Highways Agency,10/07/2012,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EDF ENERGY (NON CIS) CHARGES,528004,4512.62,,RH10 1TX
Department For Transport,Highways Agency,10/07/2012,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EON ENERGY (NON CIS) CHARGES,527965,543.65,,NG1 6HD
Department For Transport,Highways Agency,10/07/2012,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EON ENERGY (NON CIS) CHARGES,527966,6522.46,,NG1 6HD
Department For Transport,Highways Agency,10/07/2012,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EON ENERGY (NON CIS) CHARGES,527970,5194.44,,NG1 6HD
Department For Transport,Highways Agency,10/07/2012,RM - Electricity costs,NETWORK DELIVERY & DEVELOPMENT,EON ENERGY (NON CIS) CHARGES,527972,2218.39,,NG1 6HD
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,526506,-4428.65,,KT18 5BW
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,527957,18182.08,Lot 1 June 2012,KT18 5BW
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,528001,16062.96,A23 Site Assurance - June 2012,KT18 5BW
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,ENTERPRISEMOUCHEL LIMITED,527961,1130.05,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD238448,1354.2,HAL00006924/XXXXX/91078108,CF10 5BT
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD238449,3058.7,HAL00001226/XXXXX/91078314,CF10 5BT
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD238452,19276.69,00004965XXXXXI,CF10 5BT
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD238461,28942.48,00003768,CF10 5BT
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,FAITHFUL & GOULD,527986,22347.94,,WR5 1TX
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,GENESYS TELECOMMUNICATIONS LTD,528018,978.4,Inv No 00001530 dated 28/6/12. M62 J25 to 30 MMS. Genesys stage payment 6 C-0678 rev 2,GU14 7BF
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,527989,59426.32,"Inv: 892, Dtd 22/6/12, M1 J39 to J42 MMS MPN, Hyder/Halcrow, working period May, TBF.",GU2 7AR
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,527992,45921.38,M25 Sec 5 - HHJV June 2012,GU2 7AR
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,527993,30614.26,M25 Sec 2 - HHJV June 2012,GU2 7AR
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,LOMD238460,4669.19,HAL55555550//90107189,OL1 9LH
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,NATIONAL GRID PLC (CIS) DIVERT/CONNECT,519822,-510441.32,Payment of invoice 1000/87815,WV1 9NZ
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,TREASURY SOLICITOR,528014,678,,WC2B 4TS
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD236489,970,HAL00011830/XXXXX/25000214372011,SW19 4DT
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD237122,1559,HAL00011506/XXXXX/25000214432011,SW19 4DT
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD238331,544,HAL00012154/XXXXX/25000038542012,SW19 4DT
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,523409,-13966.46,Apps and Certs Receipt - APC18566,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,524949,-20306.77,Apps and Certs Receipt - APC20521,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-19.65,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-73707.95,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,2654.79,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,1650.25,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,2995.55,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,3173.84,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,230.51,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,3115.09,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,7298.6,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527961,253.15,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527962,3037.97,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527962,1994.06,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527962,106941.85,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527963,731.5,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,14.27,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,128.16,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,509.68,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,81.64,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527964,46.82,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,514966,-1477.67,Apps and Certs Receipt - APC12134,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,516544,-8392.28,Apps and Certs Receipt - APC12801,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,519733,-1329.41,Apps and Certs Receipt - APC14968,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,521672,-420.49,Apps and Certs Receipt - APC16607,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,523409,-1033.33,Apps and Certs Receipt - APC18566,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,523412,-166.47,Apps and Certs Receipt - APC18551,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,524949,-2182.17,Apps and Certs Receipt - APC20521,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,526527,-54665.33,Apps and Certs Receipt - APC22657,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527959,76566.83,Apps and Certs Receipt - APC24483,M2 5JB
Department For Transport,Highways Agency,10/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,527960,8072.13,Apps and Certs Receipt - APC24483,M2 5JB
