Department ,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name, Component Code, Amount, Invoice Description
DFID,DFID,20/10/2014,Data Network -Satellite ,East and Central Africa ,Foreign & Commonwealth Office ,202913-104 ,£973.94,
DFID,DFID,02/10/2014,Air fares ,East and Central Africa ,Bon Voyage Travel Centre Ltd(USD) ,203213-103 ,£802.29,
DFID,DFID,02/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,203382-101 ,"£413,300.00",
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,201433-104 ,£822.93,
DFID,DFID,10/10/2014,Computer Software Licenses ,Business Solutions Division Level ,SITEIMPROVE LTD ,200002-196 ,"£4,350.00",
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,201739-101 ,"£1,063.71",
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,201739-101 ,"£1,467.84",
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,201739-101 ,"£1,543.26",
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,201739-101 ,£797.00,
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,201739-101 ,£901.26,
DFID,DFID,22/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,201739-101 ,"£1,808.71",
DFID,DFID,27/10/2014,Hostile Environment Training ,Asia  Caribbean and Overseas Territories ,Pilgrims Group ,201739-101 ,"£1,321.13",
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,201739-101 ,"£1,074.76",
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,201739-101 ,£790.66,
DFID,DFID,08/10/2014,Training Providers/Facilitation Services ,Asia  Caribbean and Overseas Territories ,The Knowledge Academy Limited ,201739-101 ,£879.00,
DFID,DFID,20/10/2014,Vehicle Petrol & Oil ,West and Southern Africa ,Foreign & Commonwealth Office ,100256-105 ,£552.02,
DFID,DFID,13/10/2014,Vehicle Repairs & Maintenance ,West and Southern Africa ,S MacNeillie & Son Limited ,101622-103 ,"£5,200.00",
DFID,DFID,21/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£954.67,
DFID,DFID,21/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,"£10,955.54",
DFID,DFID,21/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£506.77,
DFID,DFID,27/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£990.12,
DFID,DFID,27/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£734.76,
DFID,DFID,23/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£861.29,
DFID,DFID,23/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£777.74,
DFID,DFID,23/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£752.15,
DFID,DFID,22/10/2014,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£955.10,
DFID,DFID,26/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,Aziz Halim Khair Choudhury  Chartered Accountants ,203228-105 ,"£6,175.35",
DFID,DFID,13/10/2014,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,101625-102 ,£769.99,
DFID,DFID,06/10/2014,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,101625-102 ,£735.24,
DFID,DFID,28/10/2014,Hotels - Accommodation only ,West and Southern Africa ,Foreign & Commonwealth Office ,201763-101 ,£596.83,
DFID,DFID,30/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,Earth Innovation Institute ,203034-105 ,"£6,500.00",
DFID,DFID,13/10/2014,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,HARVARD UNIVERSITY (OFFICE FOR SPONSERED PROGRAMS) ,201227-135 ,"£125,768.97",
DFID,DFID,20/10/2014,Aid Programme - Poverty Reduction Budget Support ,West and Southern Africa ,Ministry of Finance and Economic Development Sierra Leone ,203585-101 ,"£2,937,500.00",
DFID,DFID,23/10/2014,Project delivery costs â€“ supplier services ,Western Asia Division ,Aghaz Consulting ,203029-104 ,"£4,154.73",
DFID,DFID,13/10/2014,Medical/Health Services ,Finance and Corporate Performance Division ,Foreign & Commonwealth Office ,202836-103 ,£515.19,
DFID,DFID,21/10/2014,Medical/Health Services ,Finance and Corporate Performance Division ,Foreign & Commonwealth Office ,202836-103 ,£741.03,
DFID,DFID,30/10/2014,Air fares ,Western Asia Division ,Corporate Travel Provider ,100011-110 ,"£1,581.02",
DFID,DFID,28/10/2014,Oil - Other Utilities,Western Asia Division ,Foreign & Commonwealth Office ,100011-110 ,"£2,142.59",
DFID,DFID,30/10/2014,Air fares ,Western Asia Division ,Corporate Travel Provider ,100011-110 ,"£1,623.13",
DFID,DFID,09/10/2014,Generators & spares ,Western Asia Division ,Foreign & Commonwealth Office ,100011-110 ,"£2,698.60",
DFID,DFID,14/10/2014,Aid Programme - Voluntary contributions ,East and Central Africa ,United Nations General Trust Fund Account ,202974-108 ,"£391,000.00",
DFID,DFID,14/10/2014,Aid Programme - Voluntary contributions ,East and Central Africa ,United Nations General Trust Fund Account ,202974-108 ,"£100,823.00",
DFID,DFID,08/10/2014,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,Research into Results Ltd ,203665-101 ,"£125,739.00",
DFID,DFID,30/10/2014,Air fares ,International Finance Division ,Corporate Travel Provider ,204686-101 ,£599.86,
DFID,DFID,30/10/2014,Air fares ,International Finance Division ,Corporate Travel Provider ,204686-101 ,£623.20,
DFID,DFID,17/10/2014,Hotels - Accommodation only ,International Finance Division ,Recipient name withheld ,204686-101 ,£637.30,
DFID,DFID,01/10/2014,Project delivery costs â€“ supplier services ,Middle East  Humanitarian & Security Division ,ADAM SMITH INTERNATIONAL  LTD ,203792-101 ,"£70,000.00",
DFID,DFID,29/10/2014,Other Building Products ,Group Operations ,ENVIRONMENT AGENCY ,203717-101 ,"£1,290.00",
DFID,DFID,01/10/2014,Other Building Products ,Group Operations ,The Carbon Trust Standard Company Ltd ,203717-101 ,"£5,500.00",
DFID,DFID,01/10/2014,Postage Costs ,Group Operations ,PITNEY BOWES (RECREDIT FRANKING M/C) ,203717-101 ,"£1,000.00",
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,203874-102 ,£594.24,
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,203874-102 ,£553.65,
DFID,DFID,13/10/2014,Air fares ,Research and Evidence Division ,Recipient name withheld ,203874-102 ,£569.35,
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,203874-102 ,£697.91,
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,203874-102 ,£519.86,
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,203874-102 ,"£1,006.56",
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,203874-102 ,£522.18,
DFID,DFID,13/10/2014,Hotels - Accommodation only ,Research and Evidence Division ,Recipient name withheld ,203874-102 ,£960.55,
DFID,DFID,13/10/2014,Hotels - Accommodation only ,Research and Evidence Division ,Recipient name withheld ,203874-102 ,£873.07,
DFID,DFID,02/10/2014,Hotels - Accommodation only ,Research and Evidence Division ,Recipient name withheld ,203874-102 ,£730.67,
DFID,DFID,30/10/2014,Air fares ,Communications Division ,Corporate Travel Provider ,203902-101 ,£702.46,
DFID,DFID,10/10/2014,Sundry Building Supplies ,Research and Evidence Division ,Foreign & Commonwealth Office ,202392-101 ,"£1,735.36",
DFID,DFID,09/10/2014,Facilities Management payments ,Research and Evidence Division ,Foreign & Commonwealth Office ,202392-101 ,£540.06,
DFID,DFID,10/10/2014,Secure Staff Accommodation ,Research and Evidence Division ,Foreign & Commonwealth Office ,202392-101 ,"£2,231.47",
DFID,DFID,23/10/2014,Secure Staff Accommodation ,Research and Evidence Division ,Foreign & Commonwealth Office ,202392-101 ,"£15,206.63",
DFID,DFID,20/10/2014,Secure Staff Accommodation ,Research and Evidence Division ,Foreign & Commonwealth Office ,202392-101 ,"£2,231.47",
DFID,DFID,06/10/2014,Hotels - Accommodation only ,Research and Evidence Division ,Recipient name withheld ,202392-102 ,"£1,056.19",
DFID,DFID,07/10/2014,Hotels - Accommodation only ,Research and Evidence Division ,Recipient name withheld ,202392-102 ,£730.03,
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,202392-105 ,£581.46,
DFID,DFID,30/10/2014,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,202392-105 ,£581.46,
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,202403-101 ,£744.16,
DFID,DFID,10/10/2014,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,£510.86,
DFID,DFID,10/10/2014,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,£638.57,
DFID,DFID,08/10/2014,Electricity ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,£540.70,
DFID,DFID,10/10/2014,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,£618.35,
DFID,DFID,10/10/2014,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,£528.72,
DFID,DFID,08/10/2014,Office Equipment - Maintenance ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,£756.09,
DFID,DFID,10/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,£555.46,
DFID,DFID,10/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,£582.45,
DFID,DFID,10/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,£554.86,
DFID,DFID,28/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£1,053.56",
DFID,DFID,10/10/2014,Electricity ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£4,945.42",
DFID,DFID,10/10/2014,Secure Staff Accommodation ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£6,513.48",
DFID,DFID,08/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,£646.45,
DFID,DFID,09/10/2014,Water charges ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£1,411.25",
DFID,DFID,28/10/2014,Water charges ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£1,739.32",
DFID,DFID,28/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,£579.58,
DFID,DFID,28/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£2,364.87",
DFID,DFID,22/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£1,496.68",
DFID,DFID,20/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-103 ,"£1,676.62",
DFID,DFID,28/10/2014,Printer Consumables ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-104 ,"£5,250.12",
DFID,DFID,20/10/2014,Vehicle Petrol & Oil ,West and Southern Africa ,Foreign & Commonwealth Office ,101638-105 ,"£1,492.49",
DFID,DFID,21/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£740.68,
DFID,DFID,14/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£803.51,
DFID,DFID,14/10/2014,Furniture & Fittings ,West and Southern Africa ,Mr Eze Samson ,101622-105 ,"£1,580.85",
DFID,DFID,14/10/2014,Furniture & Fittings ,West and Southern Africa ,Mr Eze Samson ,101622-105 ,"£1,684.37",
DFID,DFID,14/10/2014,Furniture & Fittings ,West and Southern Africa ,Mr Eze Samson ,101622-105 ,£969.07,
DFID,DFID,02/10/2014,Vehicle Repairs & Maintenance ,West and Southern Africa ,S MacNeillie & Son Limited ,101622-105 ,£552.83,
DFID,DFID,14/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£691.39,
DFID,DFID,29/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£673.35,
DFID,DFID,21/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£740.68,
DFID,DFID,29/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£673.35,
DFID,DFID,29/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£673.35,
DFID,DFID,14/10/2014,Furniture & Fittings ,West and Southern Africa ,Mr Eze Samson ,101622-105 ,£969.07,
DFID,DFID,29/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£727.21,
DFID,DFID,14/10/2014,Furniture & Fittings ,West and Southern Africa ,Mr Eze Samson ,101622-105 ,"£1,879.83",
DFID,DFID,29/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£673.35,
DFID,DFID,14/10/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£691.39,
DFID,DFID,29/10/2014,Courier & Bag Services ,West and Southern Africa ,DHL International Nigeria Lltd ,101622-105 ,£629.28,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£804.56,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£666.96,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£660.56,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£627.66,
DFID,DFID,30/10/2014,Hotels - Accommodation only ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£886.95,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£718.40,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£625.66,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£710.76,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£718.40,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,£687.66,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Supplier Name withheld ,101622-106 ,"£1,170.26",
DFID,DFID,30/10/2014,Air fares ,International Relations Division ,Corporate Travel Provider ,201711-101 ,£717.30,
DFID,DFID,13/10/2014,Data Network - land lines ,International Relations Division ,Foreign & Commonwealth Office ,201711-101 ,£657.37,
DFID,DFID,27/10/2014,Hotels - Accommodation only ,International Relations Division ,Foreign & Commonwealth Office ,201711-101 ,£767.85,
DFID,DFID,07/10/2014,Hotels - Accommodation only ,International Relations Division ,Recipient name withheld ,201711-101 ,£717.99,
DFID,DFID,30/10/2014,Air fares ,International Relations Division ,Corporate Travel Provider ,201711-101 ,£843.58,
DFID,DFID,23/10/2014,Data Network - land lines ,International Relations Division ,Foreign & Commonwealth Office ,201711-101 ,£670.32,
DFID,DFID,13/10/2014,Mobile telephones & accessories ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,£549.28,
DFID,DFID,21/10/2014,Vehicle Repairs & Maintenance ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,£725.80,
DFID,DFID,23/10/2014,UK Staff overseas - Flexi Travel Allowance ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,£614.41,
DFID,DFID,23/10/2014,Electricity ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,£816.28,
DFID,DFID,21/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,"£1,606.58",
DFID,DFID,27/10/2014,Mobile telephones & accessories ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,£629.24,
DFID,DFID,27/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,"£4,156.20",
DFID,DFID,27/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,"£1,284.11",
DFID,DFID,27/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-105 ,"£4,618.00",
DFID,DFID,09/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203601-108 ,£995.11,
DFID,DFID,30/10/2014,Air fares ,Policy Division ,Corporate Travel Provider ,202402-107 ,£683.47,
DFID,DFID,09/10/2014,Hotels - Accommodation only ,Policy Division ,Recipient name withheld ,202402-107 ,£598.32,
DFID,DFID,30/10/2014,Hotels - Accommodation only ,West and Southern Africa ,Recipient name withheld ,101637-102 ,£584.18,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101637-102 ,£972.46,
DFID,DFID,30/10/2014,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101637-102 ,£650.26,
DFID,DFID,02/10/2014,Hotels - Accommodation only ,Middle East  Humanitarian & Security Division ,Recipient name withheld ,203938-103 ,£554.41,
DFID,DFID,21/10/2014,Secure Staff Accommodation ,Policy Division ,Supplier Name withheld ,201086-105 ,"£6,558.40",
DFID,DFID,16/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,203382-114 ,"£600,000.00",
DFID,DFID,30/10/2014,Air fares ,Finance and Corporate Performance Division ,Corporate Travel Provider ,202437-101 ,£578.27,
DFID,DFID,20/10/2014,Training Providers/Facilitation Services ,Finance and Corporate Performance Division ,Capita  Business Services ,202437-101 ,"£28,585.36",Costs for Senior Civil Service (SCS) Commercial leadership course attended by 20 SCS in Ashridge on  1-3 October 2014
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,204053-101 ,"£1,188.86",
DFID,DFID,09/10/2014,Facilities Management payments ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,204053-101 ,£540.06,
DFID,DFID,09/10/2014,Facilities Management payments ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,204053-101 ,£540.06,
DFID,DFID,27/10/2014,Mobile telephones & accessories ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,204053-101 ,£528.03,
DFID,DFID,21/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,204053-101 ,"£31,310.92",Secure staff accommodation costs  for 12 months rental period for Sept 2014 - Aug 2015  
DFID,DFID,30/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,204053-101 ,£798.06,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-103 ,£621.68,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£667.28,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£796.16,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£912.30,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£572.30,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£572.30,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£912.30,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£907.16,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£976.89,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-106 ,£976.89,
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,203944-108 ,£976.89,
DFID,DFID,08/10/2014,Secure Staff Accommodation ,West and Southern Africa ,Supplier Name withheld ,202909-110 ,"£8,859.62",
DFID,DFID,30/10/2014,Air fares ,East and Central Africa ,Corporate Travel Provider ,101625-106 ,£639.26,
DFID,DFID,30/10/2014,Air fares ,East and Central Africa ,Corporate Travel Provider ,101625-106 ,£697.26,
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£1,502.58",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£6,556.74",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£2,574.83",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£18,031.01",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£2,764.76",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£1,758.38",
DFID,DFID,08/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£1,351.67",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£2,349.53",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£1,764.43",
DFID,DFID,28/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-102 ,"£18,470.63",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-104 ,"£2,023.83",
DFID,DFID,10/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-104 ,"£3,021.67",
DFID,DFID,20/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-104 ,£706.23,
DFID,DFID,20/10/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204007-104 ,"£1,855.99",
DFID,DFID,20/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,202978-106 ,£748.15,
DFID,DFID,20/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,Foreign & Commonwealth Office ,202978-106 ,£748.14,
DFID,DFID,22/10/2014,Aid Programme - Accountable Grant Payments ,East and Central Africa ,Save the Children Fund UK ,204092-103 ,"£165,013.00",
DFID,DFID,10/10/2014,Generators & spares ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,£649.12,
DFID,DFID,10/10/2014,Secure Staff Accommodation ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£1,084.87",
DFID,DFID,28/10/2014,Secure Staff Accommodation ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£1,795.96",
DFID,DFID,28/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£1,801.26",
DFID,DFID,10/10/2014,Hotels - Accommodation only ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,£790.23,
DFID,DFID,28/10/2014,Secure Staff Accommodation ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£1,736.24",
DFID,DFID,20/10/2014,Project delivery costs â€“ supplier services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£1,119.95",
DFID,DFID,30/10/2014,Air fares ,Middle East  Humanitarian & Security Division ,Corporate Travel Provider ,204055-101 ,£501.96,
DFID,DFID,22/10/2014,Secure Staff Accommodation ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£17,748.33",
DFID,DFID,28/10/2014,Secure Staff Accommodation ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£21,549.07",
DFID,DFID,01/10/2014,Hotels - Accommodation only ,Middle East  Humanitarian & Security Division ,Recipient name withheld ,204055-101 ,£963.62,
DFID,DFID,20/10/2014,Project delivery costs â€“ supplier services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,"£1,049.31",
DFID,DFID,20/10/2014,Generators & spares ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,£723.72,
DFID,DFID,20/10/2014,Project delivery costs â€“ supplier services ,Middle East  Humanitarian & Security Division ,Foreign & Commonwealth Office ,204055-101 ,£607.21,
DFID,DFID,17/10/2014,Project delivery costs â€“ supplier services ,Middle East  Humanitarian & Security Division ,SARAH LADBURY ,204071-101 ,"£11,200.00",
DFID,DFID,28/10/2014,Aid Programme - Joint programme contribution ,Finance and Corporate Performance Division ,NEPAD (International Partnership for Africa Fisheries) ,204296-102 ,"£10,200.00",
