DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,NON MEAT FIELD OPS,REDFERN TRAVEL LTD,1011703391,420.50,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",REDFERN TRAVEL LTD,1011703451,420.03,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703391,414.03,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,"AGRICULTURAL, PROCESS & ENVIRONMENTAL CONTAMINANTS",REDFERN TRAVEL LTD,1011703391,393.50,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,REGULATING OUR FUTURE,REDFERN TRAVEL LTD,1011703451,391.46,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,REGULATORY & INTERNATIONAL,REDFERN TRAVEL LTD,1011703391,379.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Wales and West 4 ,REDFERN TRAVEL LTD,1011703451,369.40,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,"PLANNING, PERFORMANCE & CHANGE",REDFERN TRAVEL LTD,1011703391,360.44,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,"ANIMAL FEED, TSEs & ABPs",REDFERN TRAVEL LTD,1011703391,354.12,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,INTERNAL AUDIT,REDFERN TRAVEL LTD,1011703451,353.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,SCIENTIFIC METHODS AND LABORATORY POLICY,REDFERN TRAVEL LTD,1011703391,352.20,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,"ANIMAL FEED, TSEs & ABPs",REDFERN TRAVEL LTD,1011703451,341.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,"PLANNING, PERFORMANCE & CHANGE",REDFERN TRAVEL LTD,1011703451,340.14,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,North 2,REDFERN TRAVEL LTD,1011703391,333.80,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,ANALYSIS & RESEARCH BRANCH,REDFERN TRAVEL LTD,1011703391,331.35,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,INFORMATION & KNOWLEDGE MANAGMENT,REDFERN TRAVEL LTD,1011703451,322.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,REGULATORY & INTERNATIONAL,REDFERN TRAVEL LTD,1011703451,318.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Wales and West 1 (England),REDFERN TRAVEL LTD,1011703391,316.15,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,FOOD INCIDENTS AND RESILIENCE PROG,REDFERN TRAVEL LTD,1011703451,301.80,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,East 4,REDFERN TRAVEL LTD,1011703391,301.70,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,"PLANNING, PERFORMANCE & CHANGE",REDFERN TRAVEL LTD,1011703391,297.90,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,DIGITAL,REDFERN TRAVEL LTD,1011703451,296.30,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,North 1,REDFERN TRAVEL LTD,1011703391,270.60,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,REGULATING OUR FUTURE,REDFERN TRAVEL LTD,1011703451,258.82,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,INTERNAL AUDIT,REDFERN TRAVEL LTD,1011703391,258.20,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,COMMS,REDFERN TRAVEL LTD,1011703391,251.96,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,ANIMAL FEED,REDFERN TRAVEL LTD,1011703451,251.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CHEMICAL RISK ASSESSMENT UNIT,REDFERN TRAVEL LTD,1011703451,250.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",REDFERN TRAVEL LTD,1011703391,249.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Wales and West 4 ,REDFERN TRAVEL LTD,1011703391,246.93,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CHIEF SCIENTIST  ,REDFERN TRAVEL LTD,1011703391,240.50,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,REGULATORY & INTERNATIONAL,REDFERN TRAVEL LTD,1011703451,231.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,LEGAL  BRANCH A & INVESTIGATIONS,REDFERN TRAVEL LTD,1011703451,227.80,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,ORGANISATIONAL DEVELOPMENT,REDFERN TRAVEL LTD,1011703451,226.41,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,SCIENTIFIC METHODS AND LABORATORY POLICY,REDFERN TRAVEL LTD,1011703451,225.62,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,MICRO FOOD SAFETY BRANCH,REDFERN TRAVEL LTD,1011703391,215.77,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Wales and West 2 (England),REDFERN TRAVEL LTD,1011703451,202.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",REDFERN TRAVEL LTD,1011703451,190.13,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,FOOD CRIME UNIT ADMIN,REDFERN TRAVEL LTD,1011703391,189.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,NON MEAT FIELD OPS,REDFERN TRAVEL LTD,1011703391,182.52,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,NON MEAT FIELD OPS,REDFERN TRAVEL LTD,1011703451,181.52,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,PROCUREMENT,REDFERN TRAVEL LTD,1011703451,163.20,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,INTERNAL AUDIT,REDFERN TRAVEL LTD,1011703451,160.20,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,CHEMICAL RISK ASSESSMENT UNIT,REDFERN TRAVEL LTD,1011703391,154.79,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,FOOD ADDITIVES,REDFERN TRAVEL LTD,1011703391,153.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,MEAT HYGIENE POLICY,REDFERN TRAVEL LTD,1011703391,153.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,FOOD HYGIENE POLICY,REDFERN TRAVEL LTD,1011703391,151.20,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,ANIMAL FEED,REDFERN TRAVEL LTD,1011703391,150.10,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,SCIENTIFIC METHODS AND LABORATORY POLICY,REDFERN TRAVEL LTD,1011703391,150.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,CHIEF SCIENTIST  ,REDFERN TRAVEL LTD,1011703391,145.49,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,"EMPLOYEE RELATIONS, SYSTEMS & DATA",REDFERN TRAVEL LTD,1011703451,144.80,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,FOOD ADDITIVES,REDFERN TRAVEL LTD,1011703391,143.94,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Wales and West 1 (England),REDFERN TRAVEL LTD,1011703451,138.80,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Wales and West 4 ,REDFERN TRAVEL LTD,1011703451,138.30,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",REDFERN TRAVEL LTD,1011703391,137.08,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",REDFERN TRAVEL LTD,1011703451,135.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,ALLERGY & INTOLERANCE,REDFERN TRAVEL LTD,1011703391,135.28,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CHEMICAL RISK ASSESSMENT UNIT,REDFERN TRAVEL LTD,1011703391,128.10,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,FINANCE BRANCH,REDFERN TRAVEL LTD,1011703391,126.60,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,ANIMAL FEED,REDFERN TRAVEL LTD,1011703391,123.50,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,"AGRICULTURAL, PROCESS & ENVIRONMENTAL CONTAMINANTS",REDFERN TRAVEL LTD,1011703391,120.08,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,FOOD CRIME UNIT ADMIN,REDFERN TRAVEL LTD,1011703451,117.20,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,PROCUREMENT,REDFERN TRAVEL LTD,1011703391,115.90,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,CORPORATE SUPPORT UNIT,REDFERN TRAVEL LTD,1011703391,110.13,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,REGULATORY & INTERNATIONAL,REDFERN TRAVEL LTD,1011703451,110.13,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,CHEMICAL RISK ASSESSMENT UNIT,REDFERN TRAVEL LTD,1011703451,108.98,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,INFORMATION & KNOWLEDGE MANAGMENT,REDFERN TRAVEL LTD,1011703451,103.01,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703391,99.78,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,East 3,REDFERN TRAVEL LTD,1011703451,95.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,FOOD CRIME UNIT PROG,REDFERN TRAVEL LTD,1011703391,94.98,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,LEGAL  BRANCH A & INVESTIGATIONS,REDFERN TRAVEL LTD,1011703451,90.90,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Wales and West 1 (Wales),REDFERN TRAVEL LTD,1011703391,89.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,INFORMATION & KNOWLEDGE MANAGMENT,REDFERN TRAVEL LTD,1011703391,85.60,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,SCIENTIFIC METHODS AND LABORATORY POLICY,REDFERN TRAVEL LTD,1011703391,84.81,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,DIGITAL,REDFERN TRAVEL LTD,1011703391,84.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,OPERATIONAL DELIVERY ,REDFERN TRAVEL LTD,1011703451,83.46,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,NON MEAT FIELD OPS,REDFERN TRAVEL LTD,1011703451,81.59,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,CHIEF SCIENTIST  ,REDFERN TRAVEL LTD,1011703451,80.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,East 3,REDFERN TRAVEL LTD,1011703451,80.13,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,East 2,REDFERN TRAVEL LTD,1011703391,80.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,North 4,REDFERN TRAVEL LTD,1011703451,78.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,East 1,REDFERN TRAVEL LTD,1011703451,77.10,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,MICRO FOOD SAFETY BRANCH,REDFERN TRAVEL LTD,1011703391,72.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,North 4,REDFERN TRAVEL LTD,1011703451,70.40,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,MICRO FOOD SAFETY BRANCH,REDFERN TRAVEL LTD,1011703451,70.30,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,East 4,REDFERN TRAVEL LTD,1011703451,69.90,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,INPORT & EXPORTS TEAM,REDFERN TRAVEL LTD,1011703451,66.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
