Newcastle City Council Invoices over £250 paid in February 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,CRAMLINGTON HOUSE CARE HOME,6142830,Revenue,1MG20,Ind Res Care Elderly,"-2,209.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,CRAMLINGTON HOUSE CARE HOME,6142830,Revenue,1MG20,Ind Res Care Elderly,"8,017.36 ",
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,11/02/2014,CRANLEA N H,6142851,Revenue,4WX13,Ind Sector Client Loan Fund,"3,521.40 ",
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,11/02/2014,CRANLEA N H,6142851,Revenue,4WX13,Ind Sector Client Loan Fund,"1,592.92 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,CRANLEA N H,6142851,Revenue,1MG20,Ind Res Care Elderly,"-4,164.14 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,CRANLEA N H,6142851,Revenue,1MG20,Ind Res Care Elderly,"-1,983.48 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,CRANLEA N H,6142851,Revenue,1MG20,Ind Res Care Elderly,"36,576.17 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,CRANLEA N H,6142851,Revenue,1MG20,Ind Res Care Elderly,"9,503.14 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,CRANLEA N H,6142851,Revenue,3WH93,Continuing Care,"-15,832.57 ",
Environment & Regeneration,Facility Services Store                ,Supplies & Services,24/02/2014,CRB SOLUTIONS,6151307,Revenue,1KFN7,Gosforth Jnr Academy,285.00 ,
Chief Executive's,CD - Central Policy Unit         ,Supplies & Services,21/02/2014,CREATIVE SPACE MANAGEMENT LTD,6156228,Revenue,1V605,Toffee Factory,"3,000.00 ",
Chief Executive's,"CD - Audit, Insurance & Risk NOR       ",Supplies & Services,13/02/2014,CRIF DECISION SOLUTIONS LTD,6145337,Revenue,3RM18,Insurance Control Susp-Financ,"10,000.00 ",
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,14/02/2014,CRISIS UK,6145495,Revenue,1EA65,Skills For Jobs Project,312.50 ,
Children's Services,Educ Cowgate S/Start       ,Supplies & Services,27/02/2014,CROCODILE MOBILE CRECHE,6165190,Revenue,1EEB1,C&B CC Central Costs,555.00 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/02/2014,CROMWELL POLYTHENE LTD,6153681,Revenue,3KIMD,Other Stores Stock Account,"2,079.60 ",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,04/02/2014,CROMWELL POLYTHENE LTD,6136514,Revenue,3KIMD,Other Stores Stock Account,"2,079.60 ",
Environment & Regeneration,Highways                               ,Supplies & Services,20/02/2014,CROMWELL POLYTHENE LTD,6152703,Revenue,3KIMF,Highways Stock Account,866.50 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,12/02/2014,CROSSLING LTD,6105680,Revenue,3KIMD,Other Stores Stock Account,253.73 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,12/02/2014,CROSSLING LTD,6105680,Revenue,3KIMD,Other Stores Stock Account,60.43 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/02/2014,CROSSLING LTD,6148932,Revenue,1KVEM,Mechanical Stand Alone Works,372.85 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/02/2014,CROSSLING LTD,6148950,Revenue,1KR1E,Response East,299.00 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/02/2014,CROSSLING LTD,6149020,Revenue,3KIMD,Other Stores Stock Account,182.30 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/02/2014,CROSSLING LTD,6131763,Revenue,3KIMD,Other Stores Stock Account,399.68 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/02/2014,CROSSLING LTD,6131766,Revenue,1KR5E,Gas Serv East,290.00 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/02/2014,CROSSLING LTD,6131777,Revenue,3KIMD,Other Stores Stock Account,452.52 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/02/2014,CROSSLING LTD,6131795,Revenue,1KR1C,Response Central,279.00 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/02/2014,CROSSLING LTD,6149020,Revenue,3KIMD,Other Stores Stock Account,91.50 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/02/2014,CROSSLING LTD,6131729,Revenue,3KIMD,Other Stores Stock Account,243.16 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/02/2014,CROSSLING LTD,6149092,Revenue,3KIMD,Other Stores Stock Account,234.58 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/02/2014,CROSSLING LTD,6149155,Revenue,3KIMD,Other Stores Stock Account,802.71 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/02/2014,CROSSLING LTD,6131729,Revenue,3KIMD,Other Stores Stock Account,178.30 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/02/2014,CROSSLING LTD,6149092,Revenue,3KIMD,Other Stores Stock Account,67.76 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/02/2014,CROSSLING LTD,6149155,Revenue,3KIMD,Other Stores Stock Account,67.43 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,27/02/2014,CROSSLING LTD,6160012,Revenue,1KVWC,Minor Works Contracts,70.00 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,27/02/2014,CROSSLING LTD,6160125,Revenue,1KR8L,Wide District Heating,299.00 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,27/02/2014,CROSSLING LTD,6160012,Revenue,1KVWC,Minor Works Contracts,210.00 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,27/02/2014,CROSSLING LTD,6160029,Revenue,3KIMD,Other Stores Stock Account,329.99 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,06/02/2014,CROSSLING LTD,6131777,Revenue,3KIMD,Other Stores Stock Account,111.00 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/02/2014,CROSSLING LTD,6148960,Revenue,3KIMD,Other Stores Stock Account,82.00 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25/02/2014,CROSSLING LTD,6106753,Revenue,1KVEM,Mechanical Stand Alone Works,90.09 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,06/02/2014,CROSSLING LTD,6131770,Revenue,3KIMD,Other Stores Stock Account,327.20 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/02/2014,CROSSLING LTD,6148960,Revenue,3KIMD,Other Stores Stock Account,174.40 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,18/02/2014,CROSSLING LTD,6149147,Revenue,3KIMD,Other Stores Stock Account,327.20 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25/02/2014,CROSSLING LTD,6106753,Revenue,1KVEM,Mechanical Stand Alone Works,169.03 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,27/02/2014,CROSSLING LTD,6160119,Revenue,3KIMD,Other Stores Stock Account,424.03 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,27/02/2014,CROSSLING LTD,6160133,Revenue,3KIMD,Other Stores Stock Account,327.20 ,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,24/02/2014,CROSSLING LTD,6160088,Revenue,1KEMV,Blacksmiths,313.61 ,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,13/02/2014,CROSSLING LTD,6143792,Revenue,1KEMV,Blacksmiths,313.60 ,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,13/02/2014,CROSSLING LTD,6143792,Revenue,1KEMV,Blacksmiths,-0.02 ,
Environment & Regeneration,Highways                               ,Supplies & Services,20/02/2014,CROSSLING LTD,6148894,Revenue,3KIMF,Highways Stock Account,289.66 ,
Environment & Regeneration,Highways                               ,Supplies & Services,20/02/2014,CROSSLING LTD,6148967,Revenue,3KIMF,Highways Stock Account,117.68 ,
Environment & Regeneration,Highways                               ,Supplies & Services,06/02/2014,CROSSLING LTD,6131946,Revenue,3KIMF,Highways Stock Account,254.36 ,
Environment & Regeneration,Highways                               ,Supplies & Services,20/02/2014,CROSSLING LTD,6148967,Revenue,3KIMF,Highways Stock Account,177.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2014,CROSSLING LTD,6159977,Revenue,3KIMF,Highways Stock Account,99.84 ,
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2014,CROSSLING LTD,6159990,Revenue,3KIMF,Highways Stock Account,304.64 ,
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2014,CROSSLING LTD,6159994,Revenue,3KIMF,Highways Stock Account,412.80 ,
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2014,CROSSLING LTD,6160146,Revenue,3KIMF,Highways Stock Account,52.80 ,
Environment & Regeneration,Highways                               ,Supplies & Services,13/02/2014,CROSSLING LTD,6143100,Revenue,3KIMF,Highways Stock Account,322.60 ,
Environment & Regeneration,Highways                               ,Supplies & Services,13/02/2014,CROSSLING LTD,6143110,Revenue,3KIMF,Highways Stock Account,504.08 ,
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2014,CROSSLING LTD,6159977,Revenue,3KIMF,Highways Stock Account,388.40 ,
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2014,CROSSLING LTD,6160145,Revenue,3KIMF,Highways Stock Account,447.20 ,
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2014,CROSSLING LTD,6160146,Revenue,3KIMF,Highways Stock Account,213.02 ,
Environment & Regeneration,Highways                               ,Supplies & Services,06/02/2014,CROSSLING LTD,6131946,Revenue,3KIMF,Highways Stock Account,92.86 ,
Environment & Regeneration,Highways                               ,Supplies & Services,13/02/2014,CROSSLING LTD,6143100,Revenue,3KIMF,Highways Stock Account,30.00 ,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,26/02/2014,CRUDDAS PARK SURGERY,6163504,Revenue,1EA65,Skills For Jobs Project,416.66 ,
Environment & Regeneration,Cityworks East End Pool    ,Supplies & Services,28/02/2014,CRYO SERVICE LTD,6167344,Revenue,1KL1D,East End Pool,490.30 ,
Environment & Regeneration,Cityworks Elswick          ,Supplies & Services,17/02/2014,CRYO SERVICE LTD,6147902,Revenue,1KL1E,Elswick Pool,254.35 ,
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,26/02/2014,CRYO SERVICE LTD,6164148,Revenue,1KL1G,Gosforth Pool,297.80 ,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,24/02/2014,CSIT YORKSHIRE LTD,6159764,Revenue,1CM00,IT Management & Admin,940.00 ,
Environment & Regeneration,CW Security Services             ,Supplies & Services,24/02/2014,CSL(COMMUNICATIONS)LTD,6158942,Revenue,1KJ81,Void Service,624.00 ,
HRA,HRA Invest/Del             ,Supplies & Services,12/02/2014,CUSTOM GROUP LTD,6139649,Revenue,1HRA8,HRA - Investment Related Expe,437.19 ,
HRA,HRA Invest/Del             ,Supplies & Services,21/02/2014,CUSTOM GROUP LTD,6154428,Revenue,1HRA8,HRA - Investment Related Expe,502.93 ,
HRA,HRA Invest/Del             ,Transfer Payments,27/02/2014,CUSTOM GROUP LTD,6154429,Revenue,1HFDA,HRA Inv Del-Disabled Adapts,800.56 ,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2014,D R SUMMERS PROPERTY MAINTENANCE,6142284,Revenue,1MG70,Equipt & Adaptations Elderly,350.00 ,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2014,D R SUMMERS PROPERTY MAINTENANCE,6142289,Revenue,1MG70,Equipt & Adaptations Elderly,460.00 ,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2014,D R SUMMERS PROPERTY MAINTENANCE,6142270,Revenue,1MG70,Equipt & Adaptations Elderly,360.00 ,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2014,D R SUMMERS PROPERTY MAINTENANCE,6142276,Revenue,1MG70,Equipt & Adaptations Elderly,350.00 ,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2014,D R SUMMERS PROPERTY MAINTENANCE,6142277,Revenue,1MG70,Equipt & Adaptations Elderly,680.00 ,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2014,D R SUMMERS PROPERTY MAINTENANCE,6142278,Revenue,1MG70,Equipt & Adaptations Elderly,580.00 ,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2014,D R SUMMERS PROPERTY MAINTENANCE,6142293,Revenue,1MG70,Equipt & Adaptations Elderly,300.00 ,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,06/02/2014,DAF TRUCKS N.V,6131470,Revenue,1KENB,Fleet Workshops OH,424.99 ,
Environment & Regeneration,Cityworks Elswick          ,Supplies & Services,21/02/2014,DALESAUNA LTD,6153501,Revenue,1KL1E,Elswick Pool,392.83 ,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,13/02/2014,DALESPRINT SUPPLIES,6143064,Revenue,1CP17,Digital Printing,165.00 ,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,13/02/2014,DALESPRINT SUPPLIES,6143064,Revenue,1CP17,Digital Printing,180.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,DALTONS CARE HOME,6142832,Revenue,1MK20,Ind Res Care LD,"12,600.00 ",
Children's Services,Educ School Planning    ,Supplies & Services,26/02/2014,DARLINGTON BOROUGH COUNCIL,6164151,Revenue,1E322,Childrens Improvement Funding,"1,853.84 ",
Chief Executive's,CD - Legal Services              ,Supplies & Services,20/02/2014,DATASTOR,6152422,Revenue,1CM00,IT Management & Admin,"1,206.44 ",
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,10/02/2014,DATASTOR,6139415,Revenue,1CM00,IT Management & Admin,497.46 ,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,20/02/2014,DATASTOR,6153939,Revenue,1CX50,Technical Refresh,444.69 ,
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,10/02/2014,DATASTOR,6139470,Revenue,1CF00,Payroll,290.57 ,
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,24/02/2014,DATASTOR,6159821,Revenue,1CF00,Payroll,322.57 ,
Chief Executive's,CD - Revenues & Benefits         ,Supplies & Services,20/02/2014,DATASTOR,6154385,Revenue,1CR01,Revenues & Benefits Managemnt,345.72 ,
Chief Executive's,CD - Democratic Service          ,Supplies & Services,06/02/2014,DATASTOR,6139414,Revenue,1FK04,Committee,836.00 ,
Chief Executive's,CD - Democratic Service          ,Supplies & Services,21/02/2014,DATASTOR,6155865,Revenue,1FK04,Committee,"1,372.50 ",
Children's Services,Schools Payment Agency                 ,Premises,17/02/2014,DATASUPPLIES (STATIONERY) LTD,6148249,Revenue,1E+97,Bridgewater Centre,"1,279.00 ",
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,24/02/2014,DATATRON DOCUMENT IMAGE ARCHIVING LTD(F),6158451,Revenue,1KTC2,Technical Consultancy,538.65 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DAV HOMES LTD,6161347,Revenue,1MG10,Ind Nursing Care Elderly,"3,810.24 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DAV HOMES LTD,6161347,Revenue,1MG10,Ind Nursing Care Elderly,"4,995.50 ",
Children's Services,Childrens Services Support       ,Transport,14/02/2014,DAVID JOHNSON TAXIS,6145482,Revenue,1MG70,Equipt & Adaptations Elderly,"1,500.00 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,DEFOE  COURT CARE HOME,6142796,Revenue,1MG20,Ind Res Care Elderly,-611.32 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,DEFOE  COURT CARE HOME,6142796,Revenue,1MG20,Ind Res Care Elderly,"1,964.28 ",
Children's Services,West Riverside S/Start           ,Supplies & Services,21/02/2014,DELL COMPUTER CORPORATION LTD,6155037,Revenue,1EEG1,W River CC Central Costs,"4,250.00 ",
Chief Executive's,CD - Regional & European Prog    ,Third Party Payments,13/02/2014,DELOITTE & TOUCHE,6145658,Revenue,1VP13,Reg And Europe Prog Team,"5,000.00 ",
Environment & Regeneration,NS: Admin & Finance        ,Capital Expenditure,17/02/2014,DELTA ELECTRICAL & MECHANICAL SERVICES,6140702,Capital,2DP02,Devt Capital CC,"10,750.00 ",
Environment & Regeneration,CW Security Services             ,Supplies & Services,10/02/2014,DELTA ONE SECURITY SERVICES LTD,6141366,Revenue,1KJ31,Security - Manned Guards,599.96 ,
Environment & Regeneration,CW Security Services             ,Supplies & Services,24/02/2014,DELTA ONE SECURITY SERVICES LTD,6158946,Revenue,1KJ31,Security - Manned Guards,621.23 ,
Environment & Regeneration,CW Security Services             ,Supplies & Services,18/02/2014,DELTA ONE SECURITY SERVICES LTD,6149945,Revenue,1KJ31,Security - Manned Guards,616.98 ,
Environment & Regeneration,CW Security Services             ,Supplies & Services,04/02/2014,DELTA ONE SECURITY SERVICES LTD,6136698,Revenue,1KJ31,Security - Manned Guards,599.96 ,
Environment & Regeneration,CW Security Services             ,Supplies & Services,04/02/2014,DELTA ONE SECURITY SERVICES LTD,6136761,Revenue,1KJ31,Security - Manned Guards,663.78 ,
Environment & Regeneration,CW Security Services             ,Supplies & Services,04/02/2014,DELTA ONE SECURITY SERVICES LTD,6136765,Revenue,1KJ31,Security - Manned Guards,599.96 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14/02/2014,DEMENTIA CARE PARTNERSHIP,6146677,Revenue,1MG50,Ind Home Spot Pur Elderly,"2,619.18 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26/02/2014,DEMENTIA CARE PARTNERSHIP,6163917,Revenue,1MG50,Ind Home Spot Pur Elderly,"4,333.38 ",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,DEMENTIA CARE PARTNERSHIP,6156224,Revenue,1MX51,SP Block Subsidy,"30,272.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/02/2014,DEMENTIA CARE PARTNERSHIP,6141572,Revenue,1MG60,Ind Day Care Elderly,"13,170.26 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DEMENTIA CARE PARTNERSHIP,6153855,Revenue,1MG50,Ind Home Spot Pur Elderly,"11,487.63 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DEMENTIA CARE PARTNERSHIP,6153855,Revenue,1MH50,Ind Home Spot Pur PD,"7,086.44 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DEMENTIA CARE PARTNERSHIP,6153855,Revenue,1MK54,Dom Care Own Tenancy LD,97.52 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DEMENTIA CARE PARTNERSHIP,6153855,Revenue,1MM50,Ind Home - Spot Pur MH,255.99 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DEMENTIA CARE PARTNERSHIP,6153855,Revenue,3WH96,Continuing Care-Dom Payments,"4,049.30 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,DEMENTIA CARE PARTNERSHIP,6152111,Revenue,1MG50,Ind Home Spot Pur Elderly,"32,058.90 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,DEMENTIA CARE PARTNERSHIP,6152111,Revenue,1MH50,Ind Home Spot Pur PD,"1,078.14 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,DEMENTIA CARE PARTNERSHIP,6152111,Revenue,1MM50,Ind Home - Spot Pur MH,"1,078.14 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DENE PARK HOUSE,6161317,Revenue,1MG10,Ind Nursing Care Elderly,"-6,755.95 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DENE PARK HOUSE,6161317,Revenue,1MG20,Ind Res Care Elderly,"-7,888.52 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DENE PARK HOUSE,6161317,Revenue,1MG10,Ind Nursing Care Elderly,"24,826.64 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DENE PARK HOUSE,6161317,Revenue,1MG20,Ind Res Care Elderly,"19,303.92 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DENE PARK HOUSE,6161317,Revenue,3WH93,Continuing Care,"4,366.32 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DENE PARK HOUSE,6161375,Revenue,1MG10,Ind Nursing Care Elderly,"1,756.64 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DENECROFT,6161304,Revenue,1MG20,Ind Res Care Elderly,"-4,895.24 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DENECROFT,6161304,Revenue,1MG20,Ind Res Care Elderly,"13,777.92 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,DENESIDE COURT CARE HOME,6142835,Revenue,1MK20,Ind Res Care LD,-197.48 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,DENESIDE COURT CARE HOME,6142835,Revenue,1MK20,Ind Res Care LD,"5,400.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,DENESIDE COURT CARE HOME,6142835,Revenue,1MK20,Ind Res Care LD,"5,000.00 ",
Children's Services,Childrens Stationery       ,Supplies & Services,20/02/2014,DENTON BURN COMMUNITY ASSOCIATION,6153875,Revenue,1EEK1,Fenham Childrens Centre,432.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154273,Revenue,1E+212,Transport Special,570.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154274,Revenue,1E+212,Transport Special,336.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154275,Revenue,1E+212,Transport Special,448.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154277,Revenue,1E+212,Transport Special,590.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154280,Revenue,1E+212,Transport Special,414.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139436,Revenue,1E+212,Transport Special,500.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139437,Revenue,1E+212,Transport Special,560.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139442,Revenue,1E+212,Transport Special,570.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139443,Revenue,1E+212,Transport Special,336.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139444,Revenue,1E+212,Transport Special,448.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139445,Revenue,1E+212,Transport Special,506.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139463,Revenue,1E+212,Transport Special,760.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153792,Revenue,1E+212,Transport Special,843.84 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153800,Revenue,1E+212,Transport Special,660.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153809,Revenue,1E+212,Transport Special,440.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154246,Revenue,1E+212,Transport Special,518.90 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154247,Revenue,1E+212,Transport Special,774.80 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154249,Revenue,1E+212,Transport Special,"1,026.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154266,Revenue,1E+212,Transport Special,450.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154267,Revenue,1E+212,Transport Special,414.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154268,Revenue,1E+212,Transport Special,560.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154269,Revenue,1E+212,Transport Special,700.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154270,Revenue,1E+212,Transport Special,560.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154272,Revenue,1E+212,Transport Special,300.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154279,Revenue,1E+212,Transport Special,437.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154281,Revenue,1E+212,Transport Special,380.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154282,Revenue,1E+212,Transport Special,540.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,20/02/2014,DENTON TRAVEL,6154283,Revenue,1E+212,Transport Special,540.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153797,Revenue,1E+212,Transport Special,660.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153802,Revenue,1E+212,Transport Special,"1,000.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153806,Revenue,1E+212,Transport Special,910.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153807,Revenue,1E+212,Transport Special,400.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6153811,Revenue,1E+212,Transport Special,450.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154084,Revenue,1E+212,Transport Special,560.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154086,Revenue,1E+212,Transport Special,600.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154250,Revenue,1E+212,Transport Special,558.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154251,Revenue,1E+212,Transport Special,"1,026.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154254,Revenue,1E+212,Transport Special,504.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154256,Revenue,1E+212,Transport Special,760.00 ,
