Site,Chart 1:Number of cases included in chart,Chart 1:Admitted to orthopaedic ward within 4 hours (n),Chart 1:Admitted to orthopaedic ward after 4 hours (n),Chart 1:Not admitted to orthopaedic ward (n),Chart 1:Unknown (n),Chart2:Number of cases included in chart,Chart2:Routine by orthogeriatrician (n),Chart2:All other reviews (n),Chart2:No assessment (n),Chart2:Unknown (n),Chart3:Number of cases included in chart,"Chart3:GA, GA+nerve block (n)","Chart3:SA, SA+epidural(CSE), SA+nerve block (n)","Chart3:GA+SA, GA+epidural (n)",Chart3:Unknown and other (n),Chart4:Number of cases included in chart,"Chart4:Surgery on day of, or day after, admission (n)",Chart4:Surgery two or more calendar days after admission (n),Chart4:No surgery performed (n),Chart4:Unknown (n),Chart5:Number of cases included in chart,Chart5:Internal fixation (n),Chart5:Arthroplasty (n),Chart5:No operation (n),Chart5:Unknown and other (n),Chart6:Number of cases included in chart,Chart6:Arthroplasty (n),Chart6:Internal fixation (n),Chart6:No operation (n),Chart6:Unknown and other (n),Chart7:Number of cases included in chart,Chart7:Cemented (n),Chart7:Uncemented (n),Chart8:Number of cases included in chart,Chart8:Total hip replacement (n),Chart8:Other operation or unknown (n),Chart9:Number of cases included in chart,Chart9:Internal fixation SHS (n),Chart9:Internal fixation – not SHS (n),Chart9:Arthroplasty (n),Chart9:No operation (n),Chart9:Unknown and other (n),Chart10:Number of cases included in chart,Chart10:Internal fixation – all intramedullary nail (n),Chart10:Internal fixation –all other (n),Chart10:Arthroplasty (n),Chart10:No operation (n),Chart10:Unknown and other (n),Chart11:Number of cases included in chart,Chart11:Surgery (n),Chart11:No surgery (n),Chart11:Unknown (n),Chart12:Number of cases included in chart,Chart12:Reoperation within 30 days (n),Chart12:No reoperation within 30 days (n),Chart12:Unknown (n),Chart13:Number of cases included in chart,Chart13:Continued from pre-admission (n),Chart13:Started on this admission (n),Chart13:Awaits DXA scan (n),Chart13:Awaits bone clinic assessment (n),Chart13:Assessed – no bone protection medication needed/appropriate (n),Chart13:No assessment or action taken (n),Chart13:Unknown (n),Chart14:Number of cases included in chart,Chart14:Yes (n),Chart14:No or unknown (n),Chart15:Number of cases included in chart,Chart15:Pressure ulcers (n),Chart15:No pressure ulcers (n),Chart15:Unknown (n),Chart16:Number of cases included in chart,Chart16:Own home/sheltered housing (n),Chart16:Rehabilitation unit (n),Chart16:Acute hospital (n),Chart16:Residential care (n),Chart16:Nursing care (n),Chart16:Dead (n),Chart16:Other (n),Chart16:Unknown (n),Chart17:Number of cases included in chart,Chart17:Own home/sheltered housing (n),Chart17:Residential care (n),Chart17:Nursing care (n),Chart17:Rehabilitation unit (n),Chart17:Acute hospital (n),Chart17:Already in hospital (n),Chart17:Other (n),Chart17:Unknown (n),Chart18:Number of cases included in chart,Chart18:Mean length of acute stay (days),Chart18:Mean length of post-acute stay (days),Chart19:No. of cases eligible for mortality analysis,Chart19:Raw mortality rate within 30 days (%),Chart19:Adjusted mortality rate with 30 days (%),Chart20:No. of cases eligible for return home from home analysis,Chart20:Raw return home rate by 30 days (%),Chart20:Adjusted return home rate by 30 days (%),Chart21:Number of cases included in chart,Chart21:Ineligible - met 9 criteria,Chart21:Ineligible - met 8 criteria (n),Chart21:Ineligible - met 7 criteria (n),Chart21:Ineligible - met 6 criteria (n),Chart21:Ineligible - met 5 criteria (n),Chart21:Ineligible - met 4 criteria (n),Chart21:Ineligible - met 3 criteria (n),Chart21:Ineligible - met 2 criteria (n),Chart21:Ineligible - met 1 criteria (n),Chart21:Ineligible - met 0 criteria (n),Regional table:Number of cases submitted,Regional table:Admitted to orthopaedic ward within 4 hours (%),Regional table:Surgery on the day of or day after admission (%),Regional table:Senior geriatric review within 72 hours of admission (%),Regional table:Abbreviated mental test performed (%),Regional table:Specialist falls assessment performed (%),Regional table:Bone health medication assessment performed (%),Regional table:Patients developing pressure ulcers (%),Regional table:Best practice tariff attainment (%),Regional table:Mortality 2011 to 2013 - crude (%),Regional table:Mortality 2011 to 2013 - casemix adjusted (%),Regional table:Returned home from home within 30 days - crude (%),Regional table:Return home from home within 30 days - casemix adjusted (%),Regional table:Mean length of total Trust stay [acute + post-acute] (days),Regional table:30 day follow up completion rate (%),Facilities audit:No. of hip fractures treated/annum,Facilities audit:Trauma service description,Facilities audit:Hours of designated trauma/week,Facilities audit:No. of WTE orthopaedic consultants,Facilities audit:No. of WTE orthopaedic middle grades,Facilities audit:Orthogeriatric consultant hours/week,Facilities audit:Orthogeriatric middle grade hours/week,Facilities audit:Orthogeriatric ward rounds/week,Facilities audit:No of. WTE fragility fracture nurses,Facilities audit:No. of WTE fracture liaison nurses,Facilities audit:Specific clerking proforma,Facilities audit:Falls clinic,Facilities audit:DXA on-site facility,Facilities audit:Data collected by,Facilities audit:Data entered by,Facilities audit:Enhanced recovery programme,Facilities audit:Early supported discharge service,Facilities audit:Access to rehabilitation beds
DID,395,169,224,0,*,416,87,309,20,0,416,243,157,8,8,416,264,145,7,0,90,29,60,*,0,162,133,26,*,*,202,154,48,59,*,57,125,112,*,*,*,*,28,7,21,0,0,0,416,409,7,0,375,*,193,181,384,65,262,15,*,39,*,0,384,383,*,384,*,379,*,382,198,47,*,62,42,28,0,0,416,297,49,44,*,*,17,*,0,323,12.4,12.7,1212,8.3,8.2,297,57.9,57.6,411,218,164,22,*,*,*,0,0,*,0,416,42.8,63.5,81.5,99.8,99.7,99.5,*,53,8.3,8.2,57.9,57.6,20.9,88.7,350,DGH,56,12,15,16,8,*,6,0,Yes,Con,Axial,Nurses,Admin,Yes,No,Yes
DRY,318,165,151,0,*,344,100,19,225,0,344,235,95,*,12,344,233,99,12,0,16,11,*,*,0,163,152,*,7,0,158,149,9,57,*,53,128,119,6,0,*,0,34,28,6,0,0,0,344,332,12,0,312,*,154,155,308,40,118,22,6,109,13,0,308,295,13,308,*,302,*,323,174,*,*,56,37,35,18,0,344,238,45,27,*,0,25,*,*,313,18.2,*,1053,8.2,7.3,238,47.1,50.1,354,166,114,45,14,8,*,6,0,0,0,344,51.9,67.7,73.8,98.8,95.8,95.8,*,46.9,8.2,7.3,47.1,50.1,25.1,46.4,352,DGH,45,9,9,6,0,*,*,0,Yes,Con,Axial,Nurses,Admin,No,No,No
DVH,324,59,252,8,*,340,8,187,145,0,340,108,194,10,28,340,244,81,15,0,36,*,31,*,0,147,141,*,*,*,178,164,14,77,20,57,126,115,*,0,8,*,21,6,14,0,*,0,340,325,15,0,309,*,272,36,304,36,226,28,*,8,*,0,304,300,*,304,12,289,*,324,109,98,0,41,40,32,*,0,340,261,46,21,0,0,12,0,0,125,20.1,*,988,10.7,11.1,261,42.5,44.7,341,214,87,24,8,*,*,*,0,0,0,340,18.2,71.8,91.8,97.6,98.7,98.7,*,62.8,10.7,11.1,42.5,44.7,19.5,92.9,363,DGH,28,7,11,40,40,*,*,0,Yes,Con,Peri,Nurses,Audit,Yes,No,Yes
EAL,138,17,93,*,27,140,72,63,*,0,140,45,73,6,16,140,92,42,6,0,29,10,16,*,0,44,38,*,*,0,58,34,24,19,*,16,54,49,0,*,*,0,10,*,8,0,0,0,140,134,6,0,122,0,0,122,126,10,74,15,*,20,*,0,126,109,17,126,*,120,*,126,63,19,*,*,15,13,*,8,140,118,*,17,*,0,*,0,0,445,27.4,0,230,7,6.8,118,52.5,51.6,130,64,26,12,6,10,9,*,0,0,0,140,12.3,65.7,87.1,90.7,86.5,97.6,*,49.2,7,6.8,52.5,51.6,20.5,0,160,DGH,20,*,6,12,*,*,*,*,Yes,Con,None,Nurses,Nurses,Yes,Yes,Yes
EBH,442,165,260,*,16,478,478,0,0,0,478,392,76,*,9,478,250,221,7,0,13,8,*,*,0,254,207,43,*,0,212,34,178,96,23,73,173,144,27,0,*,0,34,24,10,0,0,0,478,471,7,0,438,0,0,438,434,11,102,31,222,59,8,*,434,418,16,434,*,429,0,445,305,11,0,8,78,41,*,*,478,382,*,42,0,0,28,21,*,432,18.7,*,1418,7.3,6.6,382,53.7,61,485,194,141,83,36,24,*,*,0,0,0,478,37.3,52.3,94.4,91.2,96.3,97.9,*,40,7.3,6.6,53.7,61,27.4,*,480,DGH,49,11,12,28,12,6,0,0,Yes,Con,None,Admin,Admin,No,Yes,No
ENH,434,311,113,0,10,455,372,82,0,*,455,95,336,13,11,455,295,156,*,*,44,34,9,*,0,222,218,*,*,*,228,183,45,116,31,85,172,170,0,*,*,0,16,16,0,0,0,0,455,451,*,*,431,17,166,248,416,92,240,33,0,49,0,*,416,415,*,416,*,410,*,434,190,114,*,59,28,37,*,0,455,360,62,19,*,*,6,*,0,463,21.3,*,1373,11.1,11.8,360,51.7,50.7,469,315,140,6,*,*,0,*,0,0,*,455,71.7,64.8,96.7,99.3,99.8,99.5,*,67.2,11.1,11.8,51.7,50.7,19.8,45.4,480,DGH,60,10,*,12,40,*,*,0,Yes,Con,Axial,Nurses,Nurses,No,No,Yes
ESU,464,157,298,6,*,492,224,20,242,6,492,402,61,14,15,492,372,107,10,*,41,21,19,*,0,252,236,7,6,*,257,219,38,114,18,96,178,166,8,*,*,*,17,13,*,0,*,0,492,476,10,6,462,0,0,462,448,41,267,33,18,83,*,*,448,442,6,448,16,379,53,472,132,174,10,44,57,42,11,*,492,343,73,38,9,0,24,*,*,349,13.4,11.3,1408,8.5,9.6,343,33.2,31.9,508,311,139,37,9,*,*,*,*,*,*,492,33.8,75.6,84.8,97.8,98.7,98.7,*,61.2,8.5,9.6,33.2,31.9,21.9,*,540,DGH,55,9,9,34,40,*,*,*,Yes,Con,Axial,Nurses,Nurses,No,Yes,No
FAZ,361,137,215,7,*,382,172,0,210,0,382,311,66,*,*,382,325,52,*,0,56,37,18,0,*,160,147,8,*,*,167,164,*,65,14,51,135,119,14,*,0,0,31,26,*,0,*,0,382,377,*,0,353,0,0,353,346,27,150,0,76,88,*,0,346,346,0,346,*,343,*,358,241,*,*,21,54,35,0,0,382,288,36,35,*,*,15,*,0,133,24,*,1118,8.9,9.1,288,52.1,51.3,381,264,72,22,10,*,*,*,*,0,0,382,38,85.1,91.4,96.1,100,98.6,*,69.3,8.9,9.1,52.1,51.3,24.7,0,400,DGH,56,13,7,15,0,*,0,0,Yes,Con,Axial,Doctors,Admin,Yes,Yes,Yes
FGH,146,68,59,16,*,156,9,147,0,0,156,64,79,*,11,156,119,33,*,0,18,9,8,*,0,67,60,*,*,0,74,16,58,27,*,23,49,44,*,*,*,0,N/A,N/A,N/A,N/A,N/A,N/A,156,152,*,0,145,*,0,143,138,*,124,7,*,*,0,0,138,138,0,138,9,129,0,149,82,18,0,16,15,16,*,*,156,115,24,12,0,0,*,*,0,396,17.5,*,386,6,5.5,115,49.6,51.1,160,108,35,12,*,0,0,*,0,0,0,156,46.6,76.3,91.7,98.1,100,100,6.5,67.5,6,5.5,49.6,51.1,24.6,*,127,DGH,0,6,7,8,0,*,0,0,Yes,Con,None,Admin,Admin,Yes,Yes,No
FRM,399,112,283,*,*,417,92,325,0,0,417,131,251,14,21,417,313,86,17,*,30,8,16,6,0,247,221,17,8,*,238,191,47,156,29,127,117,102,12,*,*,0,22,20,*,0,*,0,417,400,17,0,383,11,318,54,377,24,332,*,0,11,*,*,377,377,0,377,23,351,*,398,220,46,*,29,57,38,*,0,417,331,32,35,*,0,13,*,0,405,22.6,*,1072,9.9,12,331,60.4,57.6,427,263,117,23,14,8,*,*,0,0,0,417,28.1,75.1,88.7,94.7,100,98.4,6.1,61.6,9.9,12,60.4,57.6,19.7,84.7,330,DGH,64,19.2,18,40,40,*,0,0,Yes,Con,Axial,Nurses,Nurses,Yes,No,Yes
FRY,428,74,328,15,11,454,383,31,39,*,454,427,9,16,*,454,366,87,*,0,24,9,15,0,0,262,232,30,0,0,249,248,*,150,39,111,138,126,9,*,*,0,30,25,*,0,0,0,454,453,*,0,415,9,348,58,416,37,289,44,*,43,*,0,416,416,0,416,20,396,0,416,275,6,*,39,54,36,*,*,454,367,36,26,0,*,19,*,*,200,10.4,11.8,1305,9,10,367,62.4,62.1,449,353,85,7,*,*,0,*,0,0,0,454,17.3,80.6,97.1,99.6,100,99.8,*,78.6,9,10,62.4,62.1,25.8,91.4,450,Tertiary,60,14,12,38,0,7.5,*,*,Yes,Con,Axial,Nurses,Nurses,Yes,Yes,No
GEO,234,59,147,23,*,247,*,80,162,0,247,146,47,26,28,247,172,67,8,0,20,9,9,*,0,121,107,8,*,*,116,114,*,30,7,23,73,63,10,0,0,0,33,22,10,0,*,0,247,239,8,0,216,*,0,215,220,50,152,*,*,*,9,0,220,219,*,220,6,210,*,224,94,57,7,12,29,23,*,0,247,183,10,34,*,*,14,0,0,242,12.6,*,588,8.5,6.8,183,42.6,46,237,39,44,63,50,23,15,0,*,*,0,247,25.2,69.6,32,81,99.5,95.9,*,16.5,8.5,6.8,42.6,46,22.2,0,265,Both,100,16,26,20,25,7,0,37.5,Yes,Con,Axial,Nurses,Nurses,Yes,Yes,Yes
GGH,247,144,96,*,*,254,185,21,48,0,254,149,71,7,27,254,153,87,14,0,53,7,42,*,*,86,76,*,*,*,132,96,36,34,12,22,77,51,*,*,*,13,N/A,N/A,N/A,N/A,N/A,N/A,254,240,14,0,230,*,121,106,229,9,178,20,*,15,*,0,229,229,0,229,25,202,*,244,104,40,*,63,*,25,*,0,254,192,49,*,*,0,6,*,0,332,16.3,0,778,12.1,10.7,192,60.4,64.3,255,120,86,32,10,*,*,0,*,0,0,254,58.3,60.2,84.6,90.2,100,99.1,10.9,47.1,12.1,10.7,60.4,64.3,13.1,56,269,DGH,24,6,7,9,9,*,*,*,Yes,Con,Axial,Nurses,Admin,No,No,No
GHS,339,94,234,0,11,356,331,*,22,0,356,268,85,0,*,356,254,100,*,*,39,20,18,*,0,161,143,18,0,0,164,22,142,83,11,72,144,136,6,*,0,0,10,7,*,0,0,0,356,355,*,0,331,6,231,94,334,20,81,35,12,176,10,0,334,322,12,334,8,325,*,332,184,69,0,22,31,22,*,*,356,298,28,18,0,0,9,*,0,414,16.3,*,1104,8.5,8.9,298,59.7,61.5,366,159,120,47,20,11,8,0,*,0,0,356,27.7,71.3,79.5,94.7,96.4,97,*,43.4,8.5,8.9,59.7,61.5,16.3,65.6,370,DGH,20,8,8,15,*,*,0,0,Yes,Con,Axial,Admin,Admin,No,Yes,No
GLO,410,268,134,*,6,441,280,44,117,0,441,143,245,40,13,441,349,85,7,0,36,22,13,*,0,229,223,*,*,*,236,232,*,108,39,69,165,68,95,0,*,0,11,10,*,0,0,0,441,434,7,0,413,*,409,0,399,32,198,66,10,84,9,0,399,389,10,399,11,388,0,420,191,94,*,31,52,40,9,0,441,342,30,39,6,0,22,*,0,94,13.6,0,1224,10.6,11.4,342,62,62.6,447,311,70,42,7,*,*,0,*,*,*,441,65.4,79.1,89.1,96.8,97.5,97.7,*,69.6,10.6,11.4,62,62.6,16.6,32.5,440,DGH,67.3,12,9,18,8,*,0,*,Yes,Con,Axial,Admin,Admin,No,No,Yes
GRA,85,60,22,0,*,99,34,36,29,0,99,21,71,*,*,99,82,15,*,0,13,*,9,*,0,44,42,*,*,0,52,50,*,19,*,14,33,32,0,*,0,0,N/A,N/A,N/A,N/A,N/A,N/A,99,97,*,0,92,0,0,92,94,*,13,0,17,9,51,0,94,51,43,94,*,54,36,94,40,*,0,16,27,*,*,0,99,72,9,17,0,0,*,0,0,309,22.1,16.9,294,5.8,6.2,72,56.9,59.3,97,29,*,*,*,*,8,15,19,12,*,99,70.6,82.8,47.5,80.8,54.3,45.7,*,29.9,5.8,6.2,56.9,59.3,13.6,0,130,DGH,28,*,*,17,0,*,0,*,Yes,Con,None,Doctors,Admin,No,No,Yes
GWH,266,33,171,38,24,279,172,98,9,0,279,83,161,30,*,279,210,64,*,0,15,*,10,0,0,165,107,49,*,6,122,89,33,47,0,47,70,62,*,0,*,*,10,7,*,0,0,0,279,274,*,0,257,0,83,174,255,53,91,23,*,81,*,*,255,254,*,255,*,254,0,261,165,23,*,22,24,20,*,*,279,210,32,18,*,*,12,*,0,256,13.7,16.7,886,6.1,5.3,210,76.7,82.9,277,163,82,22,8,*,0,0,0,0,0,279,12.4,75.3,86.4,94.3,99.6,99.2,*,58.8,6.1,5.3,76.7,82.9,22.3,68.2,286,DGH,48,9,6,13,0,*,0,*,Yes,Con,Axial,Nurses,Nurses,No,Yes,Yes
HAR,253,211,33,*,*,275,122,39,114,0,275,124,133,10,8,275,219,50,6,0,38,29,*,*,0,135,129,*,*,*,135,122,13,70,22,48,86,74,9,*,*,*,16,16,0,0,0,0,275,269,6,0,250,*,76,169,261,33,61,32,40,89,*,*,261,253,8,261,10,250,*,256,136,22,*,52,27,13,*,0,275,194,50,17,*,*,8,0,0,269,10.6,5.7,769,6.2,7.1,194,57.7,53.9,274,174,70,15,7,*,*,*,0,0,0,275,83.4,79.6,81.8,98.9,96.9,97.7,*,63.5,6.2,7.1,57.7,53.9,20.8,26.1,277,DGH,20,10,10,20,0,*,*,0,Yes,Con,Axial,Nurses,Nurses,Yes,No,Yes
HCH,285,96,176,*,8,295,89,164,42,0,295,14,222,17,42,295,208,80,*,*,38,20,17,*,0,156,115,37,0,*,136,120,16,78,13,65,71,62,*,*,*,*,15,*,13,0,0,0,295,290,*,*,271,*,0,270,262,34,107,24,*,71,23,0,262,235,27,262,*,80,177,275,162,50,*,11,19,31,*,0,295,236,28,17,*,0,*,*,0,169,14.6,8.3,829,10.4,10.3,236,60.6,58.1,284,88,91,47,30,18,9,*,0,0,0,295,33.7,70.5,62.4,94.9,89.7,91.2,*,31,10.4,10.3,60.6,58.1,16.3,0,360,DGH,24,10,9,6,6,*,*,0,Yes,Con,Axial,Nurses,HCAs,No,No,No
HIL,179,103,69,*,*,190,150,14,26,0,190,42,119,27,*,190,170,19,*,0,26,8,18,0,0,80,72,8,0,0,90,80,10,36,*,35,60,48,11,0,*,0,21,18,*,0,0,0,190,189,*,0,174,*,*,170,174,33,106,22,*,12,0,0,174,169,*,174,9,162,*,175,104,21,8,*,19,16,*,0,190,158,7,9,*,*,9,*,0,187,14,8.8,565,8.8,8.7,158,60.1,59.4,190,158,18,8,*,*,*,0,0,0,0,190,57.5,89.5,95.8,98.9,97.1,100,5.2,83.2,8.8,8.7,60.1,59.4,22.9,36.1,230,DGH,56,6,9,20,14,*,0,0,Yes,None,None,Doctors,Audit,No,No,No
HIN,185,98,86,0,*,205,171,33,*,0,205,82,111,8,*,205,159,45,*,0,31,25,6,0,0,102,101,*,0,0,107,20,87,55,8,47,57,56,*,0,0,0,13,7,6,0,0,0,205,204,*,0,188,0,0,188,195,18,122,15,25,14,*,0,195,192,*,195,*,190,0,189,111,26,0,32,11,9,0,0,205,163,25,6,0,0,11,0,0,83,25.4,*,525,5.7,5.9,163,61.3,61,197,134,55,*,*,0,0,0,0,0,0,205,53,77.6,93.2,100,98.5,99.5,*,68,5.7,5.9,61.3,61,22.8,0,200,DGH,40,6,*,20,0,*,0,*,Yes,Con,Axial,Doctors,Nurses,No,No,Yes
HOM,87,*,83,*,*,89,47,42,0,0,89,54,25,*,8,89,61,22,6,0,N/A,N/A,N/A,N/A,N/A,44,41,0,*,0,43,40,*,13,7,6,39,36,*,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,89,83,6,0,78,*,59,17,79,*,45,*,7,20,0,*,79,79,0,79,8,67,*,84,57,*,0,*,10,9,*,0,89,76,*,*,0,0,*,*,0,183,12.2,*,249,9.6,10.1,76,67.1,69.9,90,36,33,19,*,*,0,0,0,0,0,89,*,68.5,92.1,93.3,100,97.5,10.1,40,9.6,10.1,67.1,69.9,27.6,74.1,86,DGH,0,6,6,12,0,*,0,0,Yes,Nurse,Axial,Nurses,Nurses,No,Yes,Yes
HOR,184,87,96,0,*,189,103,*,83,*,189,121,65,0,*,189,165,23,0,*,N/A,N/A,N/A,N/A,N/A,99,86,13,0,0,86,83,*,53,12,41,79,72,6,0,0,*,N/A,N/A,N/A,N/A,N/A,N/A,189,188,0,*,183,0,0,183,166,13,124,14,*,10,0,0,166,166,0,166,0,166,0,183,76,45,0,18,20,23,*,0,189,145,22,16,0,0,*,*,0,507,17.2,*,513,11.1,N/A,145,42.8,48,190,163,24,*,0,0,0,0,*,*,0,189,47.3,87.3,98.4,99.5,100,100,0,85.8,11.1,N/A,42.8,48,14.1,0,175,DGH,0,*,6,25,0,*,0,*,No,Nurse,None,Admin,Doctors,No,Yes,Yes
HRI,505,254,230,0,21,545,310,216,19,0,545,291,239,*,10,545,324,213,8,0,61,53,*,*,0,308,270,33,*,*,279,222,57,163,27,136,138,91,43,*,*,0,24,16,8,0,0,0,545,537,8,0,503,0,0,503,509,175,145,50,*,133,*,0,509,508,*,509,*,504,*,511,333,*,*,94,40,31,9,0,545,365,94,50,0,*,23,8,0,446,17.4,6.6,1558,8.5,9.3,365,77.3,72.4,549,347,159,34,*,*,0,*,0,0,0,545,50.3,59.4,93.4,99.3,99.8,99.8,*,63.2,8.5,9.3,77.3,72.4,17.7,0,550,DGH,90,27,15,16,0,*,*,*,Yes,Con,Axial,Audit,Audit,No,No,Yes
HUD,447,251,189,*,*,484,128,226,130,0,484,100,350,*,30,484,302,155,26,*,56,39,9,8,0,225,207,*,13,0,219,151,68,95,*,91,164,109,48,*,*,0,38,35,*,0,*,0,484,457,26,*,425,7,413,*,439,83,236,*,*,45,65,*,439,108,331,439,9,424,6,449,220,61,*,72,48,42,*,0,484,352,65,32,*,0,32,0,0,240,10.6,6.3,1387,10.5,11,352,48.6,47.8,492,30,69,78,104,105,57,24,18,6,*,484,56.2,62.4,65.9,93.4,24.6,84.1,*,6.1,10.5,11,48.6,47.8,24,54.2,510,DGH,49,18,13,8,6,*,0,0,Yes,Con,Peri,Nurses,Admin,No,No,Yes
IOW,240,133,104,0,*,253,213,6,34,0,253,38,174,36,*,253,171,77,*,0,12,*,*,*,0,123,122,0,*,0,126,124,*,58,7,51,109,109,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,253,248,*,0,235,*,*,231,237,*,0,0,234,0,0,0,237,202,35,237,*,236,0,240,57,*,23,121,21,16,*,0,253,187,40,13,*,*,7,0,0,444,15.8,*,723,9,9.6,187,28.3,29,250,126,70,37,13,*,*,0,0,0,0,253,55.4,67.6,81.4,99.6,85.2,100,*,50.4,9,9.6,28.3,29,16.9,*,260,DGH,17.5,6,*,0,0,0,*,*,Yes,Con,Axial,Nurses,Nurses,No,Yes,Yes
IPS,437,372,63,*,*,466,330,*,134,0,466,193,228,6,39,466,315,135,15,*,31,20,6,*,0,252,232,13,*,*,238,238,0,119,0,119,159,131,23,0,*,0,24,24,0,0,0,0,466,451,15,0,432,*,94,335,434,56,188,62,11,111,*,*,434,433,*,434,*,431,0,447,239,64,*,54,34,31,23,0,466,375,52,16,6,0,15,*,0,331,14.5,5.3,1331,7.2,6.4,375,62.1,62.6,474,260,145,42,17,*,*,*,*,*,0,466,85.1,67.6,95.3,97.9,99.8,98.6,*,54.9,7.2,6.4,62.1,62.6,16.4,17.4,438,DGH,35,14,9,20,0,*,*,*,Yes,Con,Axial,Nurses,Nurses,No,No,Yes
JPH,339,138,186,12,*,352,121,34,197,0,352,151,188,*,9,352,229,115,8,0,29,17,10,*,*,171,163,*,*,0,175,158,17,90,13,77,134,117,13,0,*,*,10,7,*,*,0,0,352,344,8,0,333,7,272,54,327,48,175,29,0,73,*,0,327,325,*,327,18,307,*,341,169,54,10,65,19,23,*,0,352,273,45,15,*,*,12,*,0,103,25.3,*,1038,8.7,8,273,57.5,58.9,359,190,127,26,6,*,*,*,0,0,*,352,40.7,65.1,91.8,99.1,99.4,99.4,5.5,52.9,8.7,8,57.5,58.9,19.8,81.5,380,DGH,22.5,6,6,9,0,*,0,0,Yes,None,Axial,Nurses,Nurses,Yes,Yes,No
KCH,148,55,56,34,*,154,116,16,21,*,154,104,28,7,15,154,117,30,*,6,28,7,17,*,*,58,45,11,0,*,64,51,13,20,0,20,50,42,8,0,0,0,11,8,*,0,0,*,154,153,*,0,137,*,51,85,144,31,47,9,18,37,*,0,144,143,*,144,*,135,7,138,90,*,*,6,17,8,7,*,154,125,10,10,0,*,7,*,0,318,19.1,*,366,6,6.6,125,60,58.8,152,21,21,37,32,15,15,8,*,0,0,154,37.2,76,78.6,61.7,99.3,98.6,*,13.8,6,6.6,60,58.8,29.2,35.2,160,Both,36,16,20,8,30,*,*,*,Yes,Con,Peri,Doctors,Nurses,Yes,Yes,Yes
KGH,320,237,77,0,6,335,54,17,264,0,335,221,71,11,32,335,280,52,*,0,41,19,21,0,*,151,137,8,*,*,160,127,33,81,8,73,127,122,*,0,*,*,14,8,6,0,0,0,335,332,*,0,317,0,0,317,315,48,224,*,*,15,20,0,315,314,*,315,14,173,128,320,154,51,*,57,7,19,25,*,335,253,49,8,6,0,12,*,*,343,16.6,9.1,981,6.9,6.2,253,45.1,44.7,342,193,85,28,15,8,9,*,*,*,0,335,74.1,83.6,74.6,97,99.7,93.7,*,56.4,6.9,6.2,45.1,44.7,21,0,350,DGH,44,8,11,24,12,*,*,0,Yes,Con,Peri,Nurses,Nurses,No,Yes,Yes
KMH,354,251,99,*,*,375,6,369,0,0,375,121,245,*,6,375,285,90,0,0,49,39,10,0,0,227,212,15,0,0,222,61,161,110,*,105,72,66,6,0,0,0,27,26,0,0,0,*,375,375,0,0,344,*,*,339,340,15,124,129,15,57,0,0,340,338,*,340,*,330,9,344,232,0,0,0,14,31,67,0,375,293,38,22,*,*,16,*,0,298,16.3,*,1022,9.4,10.1,293,42.3,42.3,378,286,75,14,*,*,*,0,0,0,0,375,70.9,76,95.2,98.9,99.4,100,*,75.7,9.4,10.1,42.3,42.3,25.7,*,370,DGH,44,13,12,20,20,6,0,0,Yes,Con,Axial,Admin,Admin,No,No,No
KTH,304,43,258,0,*,322,144,112,66,0,322,110,188,13,11,322,271,40,8,*,34,20,11,*,0,159,154,*,*,0,165,165,0,86,10,76,115,104,7,0,*,*,13,13,0,0,0,0,322,314,8,0,292,0,0,292,295,47,226,*,0,19,0,0,295,294,*,295,*,290,0,300,148,67,*,31,24,23,6,0,322,249,46,11,6,0,9,*,0,291,16.7,*,925,6.8,8.8,249,53.8,52.2,312,227,60,21,*,*,0,0,0,0,0,322,14.1,84.2,95,99.1,99.7,100,*,72.8,6.8,8.8,53.8,52.2,16.3,*,350,DGH,48,11,8,40,0,*,0,0,Yes,Con,Axial,Nurses,Nurses,No,No,Yes
LDH,296,58,234,*,*,310,287,14,9,0,310,165,133,*,10,310,231,70,9,0,18,9,8,*,0,164,152,9,*,0,161,137,24,92,13,79,86,78,*,*,*,0,40,40,0,0,0,0,310,301,9,0,288,6,126,156,281,10,215,8,14,34,0,0,281,281,0,281,*,276,*,295,108,89,*,32,32,28,*,0,310,246,34,22,*,0,6,0,0,767,13.8,*,804,12.6,12.7,246,46.3,48,306,226,67,9,*,*,0,0,*,0,0,310,19.6,74.5,98.4,98.7,100,100,*,73.9,12.6,12.7,46.3,48,18.7,44.4,320,DGH,49.5,11,14,40,40,*,0,0,No,Con,Axial,Admin,Admin,Yes,Yes,Yes
LER,704,177,524,*,*,808,761,18,29,0,808,414,353,21,20,808,538,250,20,0,58,36,21,*,0,406,374,23,9,0,402,394,8,181,13,168,298,195,87,6,9,*,46,42,*,*,*,0,808,788,20,0,756,11,126,619,751,102,489,29,*,42,84,0,751,727,24,751,13,688,50,776,316,229,*,86,75,57,8,0,808,564,112,36,*,0,92,*,0,177,22.9,*,2332,8.7,8.1,564,44.5,45.5,812,384,252,104,32,18,14,*,*,*,0,808,25.1,66.6,92.2,97.9,96.8,88.8,*,47.3,8.7,8.1,44.5,45.5,17.3,16,800,Both,96,20,10,32,0,*,0,*,Yes,Con,Axial,Nurses,Audit,No,Yes,No
