Creditor Name ,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
REDACTED PERSONAL INFORMATION,-286.68, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,6285.92, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,588, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-49.68, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,5256, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,3080, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1840.4, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-35.04, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,4404.48, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-234.6, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1591, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-87.64, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,996, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-25.52, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,2415.2, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,840, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-30.92, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1712, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,858.8, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1015.88, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-190.32, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,2511.56, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1070, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,736, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,588, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,992, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-71.56, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1947.68, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,692, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1215.64, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-3.44, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,740, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-8, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,845.72, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-8, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,898.8, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,984.4, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,2800.44, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-255.4, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,3655.44, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,599.2, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,962, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-4.8, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,2512, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,988, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-9.44, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1333.28, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-258.52, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,800, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-261.88, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1574.92, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-34.16, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,4194.4, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-2080.8, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,604, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-34.12, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,603.84, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1480, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,6840, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-9.08, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,512, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1278.64, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-27.8, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1318.4, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-291.12, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,586.08, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,962, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1498.6, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-19.28, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,985.4, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,604, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-14.08, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1498, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-369.4, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,824, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,2439.6, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1280, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,781.44, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1155.6, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,2996, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-34.16, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1248, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,7788, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-4.72, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,690.86, 13/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1964, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,2372, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-12.48, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,508, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1720, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-268.28, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,631.32, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,840, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1222.72, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,970.8, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,1704, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-56.88, 13/10/2015,Adult and Older People,Direct Payment Income
REDACTED PERSONAL INFORMATION,1080, 13/10/2015,Childrens Services,Prof Serv Con Adv Non Curric
REDACTED PERSONAL INFORMATION,3368, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,880, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,6000, 13/10/2015,Adult and Older People,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,-761.84, 13/10/2015,Adult and Older People,Direct Payment Income
THE METRO CENTRE,33100, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
GREENWICH MIND,18200, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
GREENWICH MENCAP,18200, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
GREENWICH CARERS CENTRE,13750, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
ADVOCACY FOR OLDER PEOPLE,6250, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
GREENWICH CARERS CENTRE,40000, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
GREENWICH CARERS CENTRE,18200, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
FIRST STEP TRUST,25000, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
AGE UK BROMLEY & GREENWICH,14192.5, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
GREENWICH LEISURE LIMITED,344124, 13/10/2015,Chief Executives,Services Private Contractor
INSTITUTE OF REVENUES RATING & VALUATION,1320, 13/10/2015,Chief Executives,Training Expenses
HAMPTON`S RESOURCING LTD,2940.3, 13/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,3600, 13/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,3600, 13/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,2880, 13/10/2015,Childrens Services,Agency Staff
GREENWICH LEISURE LIMITED,147802.8, 13/10/2015,Chief Executives,Services Private Contractor
ABEL ALARM COMPANY LTD,710.4, 13/10/2015,Housing Services HRA,Equipment
ABEL ALARM COMPANY LTD,699.6, 13/10/2015,Housing Services HRA,Equipment
DNA WORLDWIDE GROUP LTD,502.8, 13/10/2015,Childrens Services,Legal Fees
JP CONTRACTORS,17015.31, 13/10/2015,Planned Maintenance,Roofs
BREYER GROUP PLC,468624.98, 13/10/2015,Planned Maintenance,Roofs
TOPCOAT CONSTRUCTION LTD,36153.92, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
ENVIROCURE LTD,1807.92, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
BIRCHCROFT INTEGRATED SERVICES LTD,7888.88, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
ARGENT FM LIMITED,10749.78, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
BOUYGUES E & S INFRASTRUCTURE LTD,221451.49, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
JMP CONSULTANTS LTD,14660.1, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
PROJECT CENTRE LIMITED,32119.39, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
J B RINEY & CO LTD,6973.82, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
J B RINEY & CO LTD,893798.68, 13/10/2015,Regeneration Enterprise Skills,Expenditure Payments
MEARS LTD,87149.1, 13/10/2015,Capital Housing Revenue Acc,Refurbishment
D CATCHESIDES LTD,8666.93, 13/10/2015,Capital Housing Revenue Acc,Roofs
OPENVIEW SECURITY SOLUTIONS LTD,47408.86, 13/10/2015,Housing Services HRA,Door Entry Phone
ABACUS CARE GREENWICH,2673, 13/10/2015,Adult and Older People,Agency Staff
RE-GEN (UK) CONSTRUCTION LTD,39644.04, 13/10/2015,Housing Services HRA,Electrical Testing
RE-GEN (UK) CONSTRUCTION LTD,-6776.76, 13/10/2015,Corporate Accounts,Tax Withheld
DOVETAIL EQUIPMENTLIMITED,1218, 13/10/2015,Chief Executives,Vehicle Hire External Hired
MI COMPUTSOLUTIONS,12497.9, 13/10/2015,Regeneration Enterprise and Sk,Services Private Contractor
ERITH CONTRACTORS LTD,2064, 13/10/2015,Capital Housing Revenue Acc,Asbestos
GATESHEAD COUNCIL,725.28, 13/10/2015,Comm Safety and Environment,Training Expenses
BIRLEM LIMITED,7043.4, 13/10/2015,NS Heating and Lighting,Oil
ORCHARD FENCING,547.02, 13/10/2015,Housing Services,Materials
TANK CONSULTING LTD,7400, 13/10/2015,Comm Safety and Environment,Consultants
GAD PA AGENCY,14350, 13/10/2015,Adult and Older People,Grants To Voluntary Organ
LONDON BOROUGH OF SOUTHWARK,85082.8, 13/10/2015,Comm Safety and Environment,Services Joint Authorities
GREENWICH SERVICE PLUS LIMITED,1600.3, 13/10/2015,Childrens Services,Cleaning Services - Contract
GREENWICH SERVICE PLUS LIMITED,1600.3, 13/10/2015,Childrens Services,Cleaning Services - Contract
GREENWICH SERVICE PLUS LIMITED,1537, 13/10/2015,Regeneration Enterprise and Sk,Cleaning Services - Contract
TRANSPORT FOR LONDON,85051.33, 13/10/2015,Regeneration Enterprise and Sk,Contribution TCSU
REDACTED PERSONAL INFORMATION,850, 13/10/2015,Childrens Services,Cont To Post Adoption Ce
AVANTE CARE AND SUPPORT LTD,2885.72, 13/10/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,5274.64, 13/10/2015,Adult and Older People,Supported Living
REDACTED PERSONAL INFORMATION,3771.4, 13/10/2015,Adult and Older People,Services Private Contractor
KITES CHILDREN SERVICES LIMITED,13714.2, 13/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,12394.2, 13/10/2015,Adult and Older People,Supported Living
REDACTED PERSONAL INFORMATION,1800, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,792, 13/10/2015,Adult and Older People,Voluntary Bodies Other Care
ACTION ON HEARING LOSS,4505.52, 13/10/2015,Adult and Older People,Services Private Contractor
BEST VALUE HOME CARE SERVICES UK LTD,658.97, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
BEST VALUE HOME CARE SERVICES UK LTD,688.52, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
BEST VALUE HOME CARE SERVICES UK LTD,688.52, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
BEST VALUE HOME CARE SERVICES UK LTD,691.6, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
BEST VALUE HOME CARE SERVICES UK LTD,719.4, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,719.4, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,719.4, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,1554, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,1569.6, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,1569.6, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,1569.6, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,1569.6, 13/10/2015,Adult and Older People,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,1548.72, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
BEST VALUE HOME CARE SERVICES UK LTD,1548.72, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
BEST VALUE HOME CARE SERVICES UK LTD,1161.54, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
BEST VALUE HOME CARE SERVICES UK LTD,590.72, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCAR,2954.76, 13/10/2015,Adult and Older People,ISF Personal Care
LONDON COMMUNITY HOMECARE LTD,876.12, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
LONDON COMMUNITY HOMECARE LTD,879.2, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,5407.02, 13/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,4490.04, 13/10/2015,Childrens Services,Agency Placements
LONDON COMMUNITY HOMECARE LTD,902.52, 13/10/2015,Adult and Older People,ISF Personal Care
LONDON COMMUNITY HOMECARE LTD,915.6, 13/10/2015,Adult and Older People,ISF Personal Care
LONDON COMMUNITY HOMECARE LTD,688.24, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
LONDON COMMUNITY HOMECARE LTD,691.32, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,3258.9, 13/10/2015,Childrens Services,Agency Placements
LONDON COMMUNITY HOMECARE LTD,791.34, 13/10/2015,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,3473.1, 13/10/2015,Childrens Services,Agency Placements
LONDON COMMUNITY HOMECARE LTD,667.08, 13/10/2015,Adult and Older People,ISF Personal Care
LONDON COMMUNITY HOMECARE LTD,820.77, 13/10/2015,Adult and Older People,ISF Personal Care
LONDON COMMUNITY HOMECARE LTD,807.69, 13/10/2015,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,2521.2, 13/10/2015,Adult and Older People,Vehicle Hire
ANAHITA REHABILITATION CENTRE LLP,4714.29, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
ANAHITA REHABILITATION CENTRE LLP,4071.43, 13/10/2015,Adult and Older People,Services Private Contractor
BUPA CARE HOMES (CFHCARE) LIMITED,2515.33, 13/10/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,3491.1, 13/10/2015,Childrens Services,Agency Placements
BUPA CARE HOMES (CFHCARE) LIMITED,2515.33, 13/10/2015,Adult and Older People,Private Sector Nursing Homes
BUPA CARE HOMES (CFHCARE) LIMITED,1676.89, 13/10/2015,Adult and Older People,Private Sector Nursing Homes
BUPA CARE HOMES (CFHCARE) LIMITED,1214, 13/10/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5236.5, 13/10/2015,Childrens Services,Agency Placements
BUPA CARE HOMES (CFHCARE) LIMITED,2493.69, 13/10/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,612, 13/10/2015,Adult and Older People,Client Support
REDACTED PERSONAL INFORMATION,3832, 13/10/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,1224.92, 13/10/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,2037.6, 13/10/2015,Adult and Older People,Private Sector Nursing Homes
QEF INDEPENDENT LIVING SERVICES,5012, 13/10/2015,Adult and Older People,Services Private Contractor
QEF INDEPENDENT LIVING SERVICES,7122.52, 13/10/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,6775.71, 13/10/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,3552, 13/10/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,711.33, 13/10/2015,Adult and Older People,PS Residential Respite Care
NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCAR,525, 13/10/2015,Adult and Older People,ISF Personal Care
NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCAR,613.44, 13/10/2015,Adult and Older People,ISF Personal Care
ASK (GREENWICH) LTD,1004378.71, 13/10/2015,Adult and Older People,Block Contracts
REDACTED PERSONAL INFORMATION,1697.38, 13/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,684.18, 13/10/2015,Childrens Services,Agency Placements
FOUR SEASONS (NO 7) LTD T/A CHARLTON PARK CARE HOM,2721.04, 13/10/2015,Adult and Older People,Private Home Help Domest Misc
MAYOR`S OFFICE FOR POLICING AND CRIME,2035.19, 13/10/2015,Comm Safety and Environment,Policing Team
AEQUITAS LEGAL,7500, 13/10/2015,Corporate,Insurance Claims
BLOOMBERG FINANCE LP,16, 13/10/2015,Chief Executives,MIsc
BLOOMBERG FINANCE LP,5366.27, 13/10/2015,Corporate Accounts,Logotech Charges
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,46.63, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1380.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1861.02, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1259.05, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,435.22, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,435.22, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,435.22, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1365.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,432.29, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1505.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1345.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,432.29, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,378.25, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,54.04, 14/10/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1229.28, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,1108.8, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,595.46, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,855.64, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
