£25K Expenditure October 2015,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount Paid,Invoice Amount,Reclaimable VAT
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,"1,344.22",
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,213.30,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,"3,306.81",
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,"13,213.43",
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,-250.00,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,76.48,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,380.12,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,311.90,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,21.90,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,946.80,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,-6.50,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,,48.52,
CA - OTHER RECEIVABLES,Tameside Hospital NHS Foundation Trust,20-Oct-2015,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970024368,"120,648.85",1.00,"20,108.14"
ESTATES,Tameside Hospital NHS Foundation Trust,09-Oct-15,RATES,ESTATES OPERATIONS,TAMESIDE METROPOLITAN BOROUGH COUNCIL,OCT 2015 RATES,65837.38,65837.38,
