TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND. To be submitted to: richard.barlow@education.gsi.gov.uk,,,,,,,
Organisation - TRAINING AND DEVELOPMENT AGENCY,,,,,,,
Month - October 2011,,,,,,,
Dept,Entity,Date,Expense Type,Area,Supplier,Transaction,Amount
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,University of Northumbria,60009031,"255,732.64"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF OXFORD,60009032,"94,973.28"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF OXFORD,60009033,"67,103.70"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF PLYMOUTH,60009037,"355,852.04"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF PLYMOUTH,60009039,"31,616.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF PORTSMOUTH,60009044,"58,467.06"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF PORTSMOUTH,60009046,"56,519.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF ROEHAMPTON,60009052,"609,918.06"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF ROEHAMPTON,60009054,"50,616.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SHEFFIELD,60009059,"61,844.48"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SHEFFIELD,60009060,"48,464.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SOUTHAMPTON,60009064,"219,809.34"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SOUTHAMPTON,60009066,"97,478.80"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SOUTHAMPTON,60009068,"26,727.30"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SUNDERLAND,60009074,"349,482.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SUNDERLAND,60009075,"43,194.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SUNDERLAND,60009076,"89,056.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SUSSEX,60009085,"75,602.32"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SUSSEX,60009086,"35,193.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF SUSSEX,60009087,"95,528.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF THE WEST OF ENGLAND (UWE),60009096,"330,030.12"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF THE WEST OF ENGLAND (UWE),60009098,"49,780.50"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WARWICK,60009191,"196,352.84"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WARWICK,60009193,"62,944.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WARWICK,60009194,"25,096.50"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,ITT RECRUITMENT,UNIVERSITY OF WARWICK,60009200,"84,640.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WINCHESTER,60009103,"391,087.94"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WINCHESTER,60009105,"29,640.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WOLVERHAMPTON,60009106,"255,761.78"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WOLVERHAMPTON,60009107,"26,324.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WOLVERHAMPTON,60009108,"73,824.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WOLVERHAMPTON,60009109,"77,707.15"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WORCESTER,60009119,"358,880.72"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WORCESTER,60009121,"54,816.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF WORCESTER,60009123,"31,676.80"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF YORK,60009128,"66,630.02"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF YORK,60009129,"62,632.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNVERSITY OF CHICHESTER,60009132,"387,671.04"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNVERSITY OF CHICHESTER,60009134,"34,768.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,YORK ST JOHN UNIVERSITY,60009158,"318,318.78"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,Yorkshire and Derbyshire Train,60009161,"27,222.25"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,ITT RECRUITMENT,Yorkshire and Derbyshire Train,60009165,"79,120.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,EDGE HILL UNIVERSITY,60008401,"-34,365.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LEEDS METROPOLITAN UNIVERSITY,60008504,"-34,280.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,Liverpool John Moores Univ,60008531,"-34,670.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,LONDON SOUTH BANK UNIVERSITY,60008555,"-28,560.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,MANCHESTER METROPOLITAN UNIVERSITY,60008574,"-31,040.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIV OF NOTTINGHAM,60008860,"-60,220.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF GLOUCESTERSHIRE,60008969,"-43,290.00"
