Newcastle City Council Invoices over £250 paid in July 2013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,
HRA,HRA Finance                            ,Premises,41471,BELL DECORATING GROUP,5932086,Revenue,1HBAP,Planned Assets & Programming H,"19,974.16 ",,,,,,,,,,,
HRA,HRA Finance                            ,Premises,41471,BELL DECORATING GROUP,5932087,Revenue,1HBAP,Planned Assets & Programming H,"54,188.16 ",,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,41459,BELL TRUCK SALES LTD,5920387,Revenue,1KESH,Light Workshop Routine RepairK,512.63 ,,,,,,,,,,,
Environment & Regeneration,Cityworks Parks & C/side   ,Supplies & Services,12/07/2013,BELLE TENTS,5937693,Revenue,1KL6N,East End Parks               K,650.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41471,BELLE VUE HOUSE,5939879,Revenue,1MG10,Ind Nursing Care Elderly     M,"-1,547.06 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/07/2013,BELLE VUE HOUSE,5939879,Revenue,1MG20,Ind Res Care Elderly         M,"-2,564.16 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BELLE VUE HOUSE,5939879,Revenue,1MG10,Ind Nursing Care Elderly     M,"13,920.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BELLE VUE HOUSE,5939879,Revenue,1MG20,Ind Res Care Elderly         M,"9,504.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BELLE VUE HOUSE,5939879,Revenue,3WH71,Free Nursing Care Self FunderM,439.16 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BELLE VUE HOUSE,5939879,Revenue,3WH77,Free Nursing Care Com Care   M,"4,211.79 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BELLE VUE HOUSE,5939879,Revenue,3WH78,Fre Nursing Care Out Of Area M,"2,634.96 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BELLE VUE HOUSE,5939945,Revenue,3WH71,Free Nursing Care Self FunderM,878.32 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BELLE VUE HOUSE,5939945,Revenue,3WH78,Fre Nursing Care Out Of Area M,"1,043.56 ",,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,15/07/2013,BELZONA POLYMERICS LIMITED,5935549,Revenue,1KVWC,Minor Works Contracts        K,"1,802.50 ",,,,,,,,,,,
HRA,CD - Corporate Services NOR            ,Premises,41478,BEN HOARE BELL,5946112,Revenue,1HRA1,HRA-General                  H,300.00 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,41467,BENFIELD MOTORS GROUP,5916719,Revenue,1KESA,Heavy Workshop Routine RepairK,232.95 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,41467,BENFIELD MOTORS GROUP,5916719,Revenue,1KESB,Heavy Workshop Code 5 RepairsK,232.95 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BENTLEY COURT CARE HOME,5926855,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,886.60 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BENTLEY COURT CARE HOME,5956123,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,886.60 ",,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,41467,BENWELL BARBERS,5937682,Revenue,1EA65,Skills For Jobs Project      M,833.60 ,,,,,,,,,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,41463,BERENDSEN,5932859,Revenue,1KF08,GOSFORTH CIVIC               K,281.92 ,,,,,,,,,,,
Environment & Regeneration,HRA Enviro Serv             ,Supplies & Services,41459,BERENDSEN,5929327,Revenue,1KF08,GOSFORTH CIVIC               K,401.40 ,,,,,,,,,,,
Adult & Culture,Libraries/Galaxy Payments              ,Supplies & Services,41485,BERTRAM LIBRARY SERVICES,5954842,Revenue,1EJ13,Stock Services               M,413.02 ,,,,,,,,,,,
Adult & Culture,Libraries/Galaxy Payments              ,Supplies & Services,41485,BERTRAM LIBRARY SERVICES,5954898,Revenue,1EJ13,Stock Services               M,732.39 ,,,,,,,,,,,
Adult & Culture,Social Services-Care Support           ,Supplies & Services,41457,BETTER DAYS,5927089,Revenue,1MK94,Skills For People            M,"3,974.88 ",,,,,,,,,,,
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,25/07/2013,BETTER DAYS,5949199,Revenue,1KN21,Elswick Ward                 F,562.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,41465,BIC ELECTRONICS,5935550,Revenue,3KIMF,Highways Stock Account       K,672.50 ,,,,,,,,,,,
Chief Executives,CD - Markets                     ,Supplies & Services,02/07/2013,BIC PLC,5927344,Revenue,1DR03,Grainger Market              F,"1,071.00 ",,,,,,,,,,,
Chief Executives,CD - Markets                     ,Supplies & Services,23/07/2013,BIC PLC,5947902,Revenue,1DR03,Grainger Market              F,"1,071.00 ",,,,,,,,,,,
Adult & Culture,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,25/07/2013,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1MR01,Customer Services & MarketingM,622.58 ,,,,,,,,,,,
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,41480,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1FT70,YHN Recoverable Comm&MarketinF,320.52 ,,,,,,,,,,,
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,25/07/2013,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1CR32,Council Tax Administration   F,101.41 ,,,,,,,,,,,
Childrens Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,41480,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1E328,Central Initiatives          E,184.14 ,,,,,,,,,,,
City Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,25/07/2013,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1CC50,CSC MANAGEMENT               C,22.09 ,,,,,,,,,,,
City Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,25/07/2013,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1CS00,Benefits Staff               C,437.08 ,,,,,,,,,,,
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,41480,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1VH06,FHU Private Housing Team     K,2.70 ,,,,,,,,,,,
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,41480,BIG WORD INTERPRETING SERVICES,5950295,Revenue,1D500,Food Safety & Training       K,16.44 ,,,,,,,,,,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Third Party Payments,41484,BIKERIGHT LIMITED,5954079,Revenue,1KE88,Transport Road Safety        K,"4,960.00 ",,,,,,,,,,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Third Party Payments,41484,BIKERIGHT LIMITED,5954080,Revenue,1KE88,Transport Road Safety        K,"3,440.00 ",,,,,,,,,,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Third Party Payments,41484,BIKERIGHT LIMITED,5954081,Revenue,1KE88,Transport Road Safety        K,"3,080.00 ",,,,,,,,,,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Third Party Payments,41484,BIKERIGHT LIMITED,5954082,Revenue,1KE88,Transport Road Safety        K,"6,280.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41457,BILTON HALL NURSING HOME,5926852,Revenue,1MG20,Ind Res Care Elderly         M,-550.12 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/07/2013,BILTON HALL NURSING HOME,5956120,Revenue,1MG20,Ind Res Care Elderly         M,-550.12 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BILTON HALL NURSING HOME,5926852,Revenue,1MG20,Ind Res Care Elderly         M,"1,600.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BILTON HALL NURSING HOME,5956120,Revenue,1MG20,Ind Res Care Elderly         M,"1,600.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/07/2013,BIRCHDALE CARE HOME,5926769,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41485,BIRCHDALE CARE HOME,5956028,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BIRCHDALE CARE HOME,5926769,Revenue,1MG20,Ind Res Care Elderly         M,"1,720.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BIRCHDALE CARE HOME,5956028,Revenue,1MG20,Ind Res Care Elderly         M,"1,720.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/07/2013,BISHOPSGATE LODGE CARE HOME,5926839,Revenue,1MG10,Ind Nursing Care Elderly     M,-515.76 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/07/2013,BISHOPSGATE LODGE CARE HOME,5956107,Revenue,1MG10,Ind Nursing Care Elderly     M,-515.76 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02/07/2013,BISHOPSGATE LODGE CARE HOME,5926839,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,721.56 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BISHOPSGATE LODGE CARE HOME,5956107,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,721.56 ",,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,41477,BLAKE HOPKINSON ARCHITECTURE L.L.P.,5946320,Revenue,1KVWC,Minor Works Contracts        K,"1,562.50 ",,,,,,,,,,,
Childrens Services,Educ Willow Ave            ,Supplies & Services,16/07/2013,BLAKEMORE FOODSERVICE,5939299,Revenue,1E462,Dunstanburgh Rd Comm C C P   E,333.83 ,,,,,,,,,,,
Childrens Services,Educ Dunstanburgh          ,Supplies & Services,29/07/2013,BLAKEMORE FOODSERVICE,5953334,Revenue,1E462,Dunstanburgh Rd Comm C C P   E,279.05 ,,,,,,,,,,,
Adult & Culture,Publishing                 ,Supplies & Services,41465,BLP PRINTING & PACKAGING LTD,5918845,Revenue,1EJ17,Publications                 M,"3,200.00 ",,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,41456,BLUE MACHINERY (SCOTLAND) LTD,5924999,Revenue,1KESY,Fleet Services Hire Office   K,"2,100.00 ",,,,,,,,,,,
Environment & Regeneration,NS: Waste Management       ,Transport,41481,BLUE MACHINERY (SCOTLAND) LTD,5947019,Revenue,1KE23,Sandhills                    K,"2,000.00 ",,,,,,,,,,,
Environment & Regeneration,NS: Waste Management       ,Transport,41481,BLUE MACHINERY (SCOTLAND) LTD,5947850,Revenue,1KE23,Sandhills                    K,"1,800.00 ",,,,,,,,,,,
Chief Executives,CD - Legal Services              ,Capital Expenditure,09/07/2013,BOND DICKINSON LLP,5935201,Capital,2FT14,Property Services            F,"12,814.50 ",,,,,,,,,,,
Chief Executives,CD - Area Based Grant            ,Supplies & Services,41464,BOND DICKINSON LLP,5935202,Revenue,1RB16,Transformation Costs         R,820.00 ,,,,,,,,,,,
Childrens Services,CD - Legal Services              ,Supplies & Services,41464,BOND DICKINSON LLP,5935213,Revenue,1E867,Academy Conversion Costs     E,"2,316.00 ",,,,,,,,,,,
Environment & Regeneration,CD - Legal Services              ,Supplies & Services,41463,BOND DICKINSON LLP,5932850,Revenue,1KE22,Wast2Resourse                K,504.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25/07/2013,BORDER HEATING SPARES,5951217,Revenue,1KR5E,Gas Serv East                K,385.72 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/07/2013,BOWLAND LODGE,5939891,Revenue,1MG20,Ind Res Care Elderly         M,"-8,435.20 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41471,BOWLAND LODGE,5939891,Revenue,1MH20,Ind Res Care PD              M,329.79 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41471,BOWLAND LODGE,5939891,Revenue,1MM20,Ind Res Care MH              M,"-1,672.48 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BOWLAND LODGE,5939891,Revenue,1MG20,Ind Res Care Elderly         M,"34,572.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,16/07/2013,BOWLAND LODGE,5939891,Revenue,1MH20,Ind Res Care PD              M,548.57 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BOWLAND LODGE,5939891,Revenue,1MM20,Ind Res Care MH              M,"6,352.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BOWLAND LODGE,5939891,Revenue,3WH93,Continuing Care              M,"4,435.71 ",,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,12/07/2013,BOXER CHEMICALS LTD,5930988,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,476.00 ,,,,,,,,,,,
Environment & Regeneration,Outer West Pool            ,Premises,41485,BOXER CHEMICALS LTD,5956321,Revenue,1KL1C,Outer West Pool              K,443.40 ,,,,,,,,,,,
Chief Executives,CD - Corporate Services NOR            ,Premises,41456,BRABNERS LLP,5927212,Revenue,1DZ05,Cruddas Park Shops           F,"15,000.00 ",,,,,,,,,,,
Chief Executives,CD - Corporate Services NOR            ,Premises,41456,BRABNERS LLP,5927217,Revenue,1DZ05,Cruddas Park Shops           F,"75,000.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41457,BRACKENBRAE,5926794,Revenue,1MK20,Ind Res Care LD              M,-349.40 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/07/2013,BRACKENBRAE,5956053,Revenue,1MK20,Ind Res Care LD              M,-533.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRACKENBRAE,5926794,Revenue,1MK20,Ind Res Care LD              M,"1,560.28 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRACKENBRAE,5956053,Revenue,1MK20,Ind Res Care LD              M,"1,560.28 ",,,,,,,,,,,
Environment & Regeneration,E&R Fairer Housing            ,Capital Expenditure,41485,BRAMBLEDOWN LANDSCAPE SERVICES LTD,5955274,Capital,2N401,Capital General              K,480.70 ,,,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,41477,BRAMBLES FOODS LTD,5934940,Revenue,1KF07,BANQUETING SUITE             K,253.45 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/07/2013,BRAMPTON COURT,5926743,Revenue,1MG10,Ind Nursing Care Elderly     M,"-2,039.32 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/07/2013,BRAMPTON COURT,5926743,Revenue,1MG20,Ind Res Care Elderly         M,"-1,352.51 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/07/2013,BRAMPTON COURT,5926743,Revenue,1MM20,Ind Res Care MH              M,-311.40 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/07/2013,BRAMPTON COURT,5926744,Revenue,1MG10,Ind Nursing Care Elderly     M,-607.50 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/07/2013,BRAMPTON COURT,5956005,Revenue,1MG10,Ind Nursing Care Elderly     M,"-4,769.01 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/07/2013,BRAMPTON COURT,5956005,Revenue,1MG20,Ind Res Care Elderly         M,-853.87 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/07/2013,BRAMPTON COURT,5956005,Revenue,1MM20,Ind Res Care MH              M,211.31 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02/07/2013,BRAMPTON COURT,5926743,Revenue,1MG10,Ind Nursing Care Elderly     M,"13,439.16 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02/07/2013,BRAMPTON COURT,5926743,Revenue,1MG20,Ind Res Care Elderly         M,"11,928.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02/07/2013,BRAMPTON COURT,5926743,Revenue,1MH10,Ind Nursing Care PD          M,"1,816.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRAMPTON COURT,5926743,Revenue,1MK10,Ind Nursing Care LD          M,456.64 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRAMPTON COURT,5926743,Revenue,1MM20,Ind Res Care MH              M,"1,816.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRAMPTON COURT,5926743,Revenue,3WH77,Free Nursing Care Com Care   M,"3,239.36 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRAMPTON COURT,5926743,Revenue,3WH93,Continuing Care              M,"20,594.16 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRAMPTON COURT,5926744,Revenue,1MG10,Ind Nursing Care Elderly     M,"2,345.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02/07/2013,BRAMPTON COURT,5926744,Revenue,3WH77,Free Nursing Care Com Care   M,548.95 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRAMPTON COURT,5926883,Revenue,3WH78,Fre Nursing Care Out Of Area M,"1,317.48 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956005,Revenue,1MG10,Ind Nursing Care Elderly     M,"23,221.16 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956005,Revenue,1MG20,Ind Res Care Elderly         M,"8,199.69 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956005,Revenue,1MH10,Ind Nursing Care PD          M,"1,816.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956005,Revenue,1MK10,Ind Nursing Care LD          M,456.64 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956005,Revenue,1MM20,Ind Res Care MH              M,"-1,232.29 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956005,Revenue,3WH77,Free Nursing Care Com Care   M,"5,529.27 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956005,Revenue,3WH93,Continuing Care              M,"18,193.96 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,BRAMPTON COURT,5956157,Revenue,3WH78,Fre Nursing Care Out Of Area M,"1,317.48 ",,,,,,,,,,,
Environment & Regeneration,Invoice,Supplies & Services,41456,BRANDON HIRE PLC,5893038,Revenue,1KR1E,Response East                K,673.20 ,,,,,,,,,,,
Environment & Regeneration,Outer West Pool            ,Supplies & Services,41480,BRENNTAG UK LTD,5950940,Revenue,1KL1C,Outer West Pool              K,504.15 ,,,,,,,,,,,
Environment & Regeneration,Outer West Pool            ,Supplies & Services,41480,BRENNTAG UK LTD,5950941,Revenue,1KL1C,Outer West Pool              K,504.15 ,,,,,,,,,,,
Environment & Regeneration,Cityworks Elswick          ,Supplies & Services,41465,BRENNTAG UK LTD,5935718,Revenue,1KL1E,Elswick Pool                 K,504.15 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41471,BRIARDENE MH,5939908,Revenue,1MG10,Ind Nursing Care Elderly     M,"-6,039.91 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41471,BRIARDENE MH,5939908,Revenue,1MG20,Ind Res Care Elderly         M,"-7,718.20 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,16/07/2013,BRIARDENE MH,5939908,Revenue,1MG10,Ind Nursing Care Elderly     M,"19,454.42 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BRIARDENE MH,5939908,Revenue,1MG20,Ind Res Care Elderly         M,"24,848.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BRIARDENE MH,5939908,Revenue,3WH77,Free Nursing Care Com Care   M,"3,408.94 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BRIARDENE MH,5939908,Revenue,3WH78,Fre Nursing Care Out Of Area M,878.32 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BRIARDENE MH,5939908,Revenue,3WH93,Continuing Care              M,"4,057.41 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BRIARDENE MH,5939909,Revenue,1MG10,Ind Nursing Care Elderly     M,650.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BRIARDENE MH,5939950,Revenue,3WH71,Free Nursing Care Self FunderM,"2,195.80 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,BRIARDENE MH,5939950,Revenue,3WH78,Fre Nursing Care Out Of Area M,439.16 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41457,BRIDGE VIEW CARE HOME,5926786,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41485,BRIDGE VIEW CARE HOME,5956044,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,BRIDGE VIEW CARE HOME,5926786,Revenue,1MG20,Ind Res Care Elderly         M,"1,842.60 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41485,BRIDGE VIEW CARE HOME,5956044,Revenue,1MG20,Ind Res Care Elderly         M,"1,842.60 ",,,,,,,,,,,
Environment & Regeneration,Walker Activity Dome       ,Supplies & Services,41457,BRITISH BUSEN JUDO ASSOCIATION,5927159,Revenue,1KL2D,WAD                          K,560.00 ,,,,,,,,,,,
Environment & Regeneration,Walker Activity Dome       ,Supplies & Services,41484,BRITISH BUSEN JUDO ASSOCIATION,5953045,Revenue,1KL2D,WAD                          K,525.00 ,,,,,,,,,,,
HRA,HRA - Utility Payments                 ,Supplies & Services,41467,BRITISH GAS,5937409,Revenue,1HRA3,Misc Feasibility Study/SurveyH,288.78 ,,,,,,,,,,,
Adult & Culture,NS: Energy              ,Premises,41472,BRITISH GAS BUSINESS,5883416,Revenue,1MM30,Beech Grove Road             M,807.63 ,,,,,,,,,,,
Adult & Culture,Social Services                        ,Premises,17/07/2013,BRITISH GAS BUSINESS,5691152,Revenue,1MN30,Asylum Seekers Adults        M,376.58 ,,,,,,,,,,,
Adult & Culture,Utilities                              ,Premises,17/07/2013,BRITISH GAS BUSINESS,5683559,Revenue,1EJ33,Brinkburn Centre             M,525.44 ,,,,,,,,,,,
Adult & Culture,Adult Serv Capability's    ,Premises,22/07/2013,BRITISH GAS BUSINESS,5944443,Revenue,1MW03,Capabilities                 M,396.66 ,,,,,,,,,,,
Chief Executives,NS: Energy              ,Premises,17/07/2013,BRITISH GAS BUSINESS,5942251,Revenue,1DY54,Blackfriars                  F,"1,725.45 ",,,,,,,,,,,
Chief Executives,NS: Energy              ,Premises,17/07/2013,BRITISH GAS BUSINESS,5942252,Revenue,1DY54,Blackfriars                  F,672.63 ,,,,,,,,,,,
Chief Executives,NS: Energy              ,Premises,17/07/2013,BRITISH GAS BUSINESS,5942283,Revenue,1DQ9R,S&M Jesmond Vale             F,261.47 ,,,,,,,,,,,
Chief Executives,CD - Finance & Resources NOR           ,Premises,17/07/2013,BRITISH GAS BUSINESS,5753520,Revenue,1DY49,Wards Building/Waygood       F,377.19 ,,,,,,,,,,,
Childrens Services,Utilities                              ,Premises,17/07/2013,BRITISH GAS BUSINESS,5707689,Revenue,1E371,Benfield Sports-Partner Cont E,"6,333.17 ",,,,,,,,,,,
Environment & Regeneration,Utilities                              ,Premises,41472,BRITISH GAS BUSINESS,5683575,Revenue,1V073,Historic Monumnets           K,602.52 ,,,,,,,,,,,
HRA,HRA - Utility Payments                 ,Premises,41472,BRITISH GAS BUSINESS,5942014,Revenue,1HP01,Comm. Centres - Citywide     H,270.19 ,,,,,,,,,,,
HRA,NS: Energy              ,Premises,41472,BRITISH GAS BUSINESS,5883418,Revenue,1HGB4,G.H - OAP Bungalows - GEN    H,"1,118.98 ",,,,,,,,,,,
HRA,NS: Energy              ,Premises,41472,BRITISH GAS BUSINESS,5904280,Revenue,1HGB4,G.H - OAP Bungalows - GEN    H,549.65 ,,,,,,,,,,,
HRA,NS: Energy              ,Premises,41472,BRITISH GAS BUSINESS,5904287,Revenue,1HGB4,G.H - OAP Bungalows - GEN    H,566.59 ,,,,,,,,,,,
HRA,NS: Energy              ,Premises,41472,BRITISH GAS BUSINESS,5904289,Revenue,1HGB4,G.H - OAP Bungalows - GEN    H,394.03 ,,,,,,,,,,,
HRA,NS: Energy              ,Premises,41473,BRITISH GAS BUSINESS,5943373,Revenue,1HGB4,G.H - OAP Bungalows - GEN    H,"1,875.94 ",,,,,,,,,,,
HRA,Utilities                              ,Premises,41472,BRITISH GAS BUSINESS,5683546,Revenue,1HGA3,D.H - Cruddas Park           H,662.16 ,,,,,,,,,,,
HRA,Utilities                              ,Premises,41472,BRITISH GAS BUSINESS,5683547,Revenue,1HGA3,D.H - Cruddas Park           H,534.89 ,,,,,,,,,,,
HRA,Utilities                              ,Premises,41472,BRITISH GAS BUSINESS,5683558,Revenue,1HGB4,G.H - OAP Bungalows - GEN    H,363.10 ,,,,,,,,,,,
HRA,Utilities                              ,Premises,41472,BRITISH GAS BUSINESS,5707690,Revenue,1HV01,HRA Advisory Services-CitywidH,223.55 ,,,,,,,,,,,
HRA,Utilities                              ,Premises,41472,BRITISH GAS BUSINESS,5707690,Revenue,1HE42,HRA Gosforth NHD Office      H,462.24 ,,,,,,,,,,,
