Newcastle City Council Invoices over £250 paid in May 2013,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BEACON FARM CARE CENTRE,5873993,Revenue,1MG20,Ind Res Care Elderly         M,"1,822.88 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BEECHWOOD HOUSE CARE HOME,5873909,Revenue,1MG20,Ind Res Care Elderly         M,"-1,444.08 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BEECHWOOD HOUSE CARE HOME,5873909,Revenue,1MG20,Ind Res Care Elderly         M,"3,117.20 ",,,,,,,,,,,,
Adult & Culture,Social Services                        ,Employees,03/05/2013,BEELEAF INSTITUTE FOR CONTEMPORARY PSYCH,5858250,Revenue,1MP12,MESMAC                       M,400.00 ,,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/05/2013,BELL CONTROL SOLUTIONS LTD,5875773,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,265.00 ,,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,07/05/2013,BELL CONTROL SOLUTIONS LTD,5852704,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,"3,267.00 ",,,,,,,,,,,,
HRA,Invoice,Premises,23/05/2013,BELL CONTROL SOLUTIONS LTD,5890509,Revenue,1HP01,Comm. Centres - Citywide     H,720.00 ,,,,,,,,,,,,
HRA,HRA Finance                            ,Premises,29/05/2013,BELL DECORATING GROUP,5886133,Revenue,1HBAP,Planned Assets & Programming H,"28,466.75 ",,,,,,,,,,,,
HRA,HRA Finance                            ,Premises,29/05/2013,BELL DECORATING GROUP,5886221,Revenue,1HBAP,Planned Assets & Programming H,"1,483.37 ",,,,,,,,,,,,
Chief Executives,CD - Finance & Resources NOR           ,Supplies & Services,09/05/2013,BELL TRUCK SALES LTD,5870946,Revenue,3RM18,INSURANCE CONTROL SUSP-FINANCF,"6,568.58 ",,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,08/05/2013,BELL TRUCK SALES LTD,5868447,Revenue,1KESH,Light Workshop Routine RepairK,258.00 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,31/05/2013,BELL TRUCK SALES LTD,5891721,Revenue,1KESH,Light Workshop Routine RepairK,266.63 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,16/05/2013,BELL TRUCK SALES LTD,5867236,Revenue,1KESA,Heavy Workshop Routine RepairK,280.28 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,24/05/2013,BELL TRUCK SALES LTD,5872099,Revenue,1KESA,Heavy Workshop Routine RepairK,898.23 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,14/05/2013,BELL TRUCK SALES LTD,5867064,Revenue,1KESH,Light Workshop Routine RepairK,265.76 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,29/05/2013,BELL TRUCK SALES LTD,5891719,Revenue,1KESH,Light Workshop Routine RepairK,313.00 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,02/05/2013,BELL TRUCK SALES LTD,5867241,Revenue,1KESH,Light Workshop Routine RepairK,587.24 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BELLE VUE HOUSE,5887113,Revenue,1MG10,Ind Nursing Care Elderly     M,"-2,902.04 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BELLE VUE HOUSE,5887113,Revenue,1MG20,Ind Res Care Elderly         M,"-2,541.04 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BELLE VUE HOUSE,5887113,Revenue,1MG10,Ind Nursing Care Elderly     M,"11,968.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BELLE VUE HOUSE,5887113,Revenue,1MG20,Ind Res Care Elderly         M,"11,456.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BELLE VUE HOUSE,5887113,Revenue,3WH71,Free Nursing Care Self FunderM,443.52 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BELLE VUE HOUSE,5887113,Revenue,3WH77,Free Nursing Care Com Care   M,"2,828.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BELLE VUE HOUSE,5887113,Revenue,3WH78,Fre Nursing Care Out Of Area M,"-2,944.69 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BELLE VUE HOUSE,5887190,Revenue,3WH71,Free Nursing Care Self FunderM,887.04 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BELLE VUE HOUSE,5887190,Revenue,3WH78,Fre Nursing Care Out Of Area M,-328.12 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,07/05/2013,BELZONA POLYMERICS LIMITED,5861899,Revenue,1KVWC,Minor Works Contracts        K,"2,333.47 ",,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/05/2013,BELZONA POLYMERICS LIMITED,5868814,Revenue,1KVWC,Minor Works Contracts        K,"2,339.50 ",,,,,,,,,,,,
Environment & Regeneration,Cityworks  Eldon           ,Supplies & Services,21/05/2013,BENDCRETE CLIMBING WALLS LTD,5879972,Revenue,1KL2B,Eldon Leisure                K,650.00 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,30/05/2013,BENFIELD MOTORS GROUP,5882896,Revenue,1KESH,Light Workshop Routine RepairK,"1,697.74 ",,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,01/05/2013,BENFIELD MOTORS GROUP,5853889,Revenue,1KESG,Light Workshop Code 5 RepairsK,320.19 ,,,,,,,,,,,,
Adult & Culture,NS: Admin & Finance        ,Capital Expenditure,03/05/2013,BENTINCKS LIMITED,5862847,Capital,2WH20,Temporary Accommodation      M,712.50 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BENTLEY COURT CARE HOME,5873990,Revenue,1MG10,Ind Nursing Care Elderly     M,"3,705.82 ",,,,,,,,,,,,
Adult & Culture,Libraries/Galaxy Payments              ,Supplies & Services,15/05/2013,BERTRAM LIBRARY SERVICES,5879654,Revenue,1EJ13,Stock Services               M,471.07 ,,,,,,,,,,,,
Adult & Culture,Libraries/Galaxy Payments              ,Supplies & Services,31/05/2013,BERTRAM LIBRARY SERVICES,5887675,Revenue,1EJ13,Stock Services               M,401.78 ,,,,,,,,,,,,
Adult & Culture,NS: Asset Man              ,Premises,13/05/2013,BESAM LTD,5878389,Revenue,1MG63,Minories Day Centre          M,"2,695.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BETHANY HOUSE CARE HOME,5873985,Revenue,1MG20,Ind Res Care Elderly         M,-123.38 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BETHANY HOUSE CARE HOME,5873986,Revenue,1MG20,Ind Res Care Elderly         M,-493.52 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BETHANY HOUSE CARE HOME,5873985,Revenue,1MG20,Ind Res Care Elderly         M,420.50 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BETHANY HOUSE CARE HOME,5873986,Revenue,1MG20,Ind Res Care Elderly         M,"1,682.00 ",,,,,,,,,,,,
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,14/05/2013,BETTER DAYS,5879072,Revenue,1KN30,Blakelaw Ward                F,275.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BEWICK LODGE,5887103,Revenue,1MG10,Ind Nursing Care Elderly     M,476.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BEWICK LODGE,5887103,Revenue,1MG10,Ind Nursing Care Elderly     M,"-1,788.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BEWICK LODGE,5887103,Revenue,3WH77,Free Nursing Care Com Care   M,-434.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BEWICK LODGE,5887103,Revenue,3WH93,Continuing Care              M,"2,222.80 ",,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,28/05/2013,BIC ELECTRONICS,5875920,Revenue,3KIMF,Highways Stock Account       K,"1,312.50 ",,,,,,,,,,,,
Childrens Services,Benfield Secon/High School             ,Supplies & Services,30/05/2013,BIC PLC,5891432,Revenue,1E339,Benfield Sports  Centre      E,296.40 ,,,,,,,,,,,,
Adult & Culture,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,01/05/2013,BIG WORD INTERPRETING SERVICES,5870752,Revenue,1MR01,Customer Services & MarketingM,902.50 ,,,,,,,,,,,,
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,01/05/2013,BIG WORD INTERPRETING SERVICES,5870752,Revenue,1FT70,YHN Recoverable Comm&MarketinF,234.59 ,,,,,,,,,,,,
Childrens Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,01/05/2013,BIG WORD INTERPRETING SERVICES,5870752,Revenue,1E328,Central Initiatives          E,194.76 ,,,,,,,,,,,,
City Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,01/05/2013,BIG WORD INTERPRETING SERVICES,5870752,Revenue,1CC50,CSC MANAGEMENT               C,21.89 ,,,,,,,,,,,,
City Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,01/05/2013,BIG WORD INTERPRETING SERVICES,5870752,Revenue,1CS00,Benefits Staff               C,364.10 ,,,,,,,,,,,,
City Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,01/05/2013,BIG WORD INTERPRETING SERVICES,5870752,Revenue,1CC26,CONTACT CENTRE MANAGEMENT    C,1.48 ,,,,,,,,,,,,
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,01/05/2013,BIG WORD INTERPRETING SERVICES,5870752,Revenue,1VH06,FHU Private Housing Team     K,82.09 ,,,,,,,,,,,,
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,07/05/2013,BIKERIGHT LIMITED,5861925,Capital,2DP02,Devt Capital CC              K,"5,000.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BILTON HALL NURSING HOME,5873987,Revenue,1MG20,Ind Res Care Elderly         M,-539.32 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BILTON HALL NURSING HOME,5873987,Revenue,1MG20,Ind Res Care Elderly         M,"1,600.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BIRCHDALE CARE HOME,5873894,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BIRCHDALE CARE HOME,5873894,Revenue,1MG20,Ind Res Care Elderly         M,"1,720.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BISHOPSGATE LODGE CARE HOME,5873973,Revenue,1MG10,Ind Nursing Care Elderly     M,-507.08 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BISHOPSGATE LODGE CARE HOME,5873973,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,721.56 ",,,,,,,,,,,,
Environment & Regeneration,NS: Street Lighting PFI    ,Third Party Payments,17/05/2013,BLACHERE WONDERLAND ILLUMINATIONS UK LTD,5882852,Revenue,1KE92,Christmas Lights             K,"25,747.71 ",,,,,,,,,,,,
Environment & Regeneration,NS: Street Lighting PFI    ,Third Party Payments,17/05/2013,BLACHERE WONDERLAND ILLUMINATIONS UK LTD,5882853,Revenue,1KE92,Christmas Lights             K,"42,197.98 ",,,,,,,,,,,,
Childrens Services,Schools Payment Agency                 ,Supplies & Services,30/05/2013,BLACK & WHITE CONSUMABLES LTD,5881666,Revenue,1E+162,Sir Charles Parsons          E,562.31 ,,,,,,,,,,,,
Adult & Culture,Invoice,Supplies & Services,20/05/2013,BLACKWELL'S BOOKSHOP,5884831,Revenue,1EJ96,Fun With Numbers             M,463.88 ,,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/05/2013,BLAKE HOPKINSON ARCHITECTURE L.L.P.,5889696,Revenue,1KVWC,Minor Works Contracts        K,"4,687.50 ",,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/05/2013,BLAKE HOPKINSON ARCHITECTURE L.L.P.,5889697,Revenue,1KVWC,Minor Works Contracts        K,"1,562.50 ",,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/05/2013,BLAKE HOPKINSON ARCHITECTURE L.L.P.,5889706,Revenue,1KVWC,Minor Works Contracts        K,"1,937.50 ",,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/05/2013,BLAKE HOPKINSON ARCHITECTURE L.L.P.,5889707,Revenue,1KVWC,Minor Works Contracts        K,"1,125.00 ",,,,,,,,,,,,
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,28/05/2013,BLAKELAW WARD COMMUINTY PARTNERSHIP,5893059,Revenue,1V62L,Community Budget PB          K,"13,500.00 ",,,,,,,,,,,,
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,28/05/2013,BLAKELAW WARD COMMUINTY PARTNERSHIP,5893060,Revenue,1V62L,Community Budget PB          K,"22,000.00 ",,,,,,,,,,,,
Childrens Services,Educ Dunstanburgh          ,Supplies & Services,20/05/2013,BLAKEMORE FOODSERVICE,5883441,Revenue,1E462,Dunstanburgh Rd Comm C C P   E,454.91 ,,,,,,,,,,,,
Childrens Services,Educ Dunstanburgh          ,Supplies & Services,31/05/2013,BLAKEMORE FOODSERVICE,5875806,Revenue,1E462,Dunstanburgh Rd Comm C C P   E,440.26 ,,,,,,,,,,,,
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,02/05/2013,BLUE MACHINERY (SCOTLAND) LTD,5871317,Revenue,1KEWQ,Sandhills Depot              K,"4,200.00 ",,,,,,,,,,,,
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,02/05/2013,BLUE MACHINERY (SCOTLAND) LTD,5871371,Revenue,1KEWQ,Sandhills Depot              K,"2,000.00 ",,,,,,,,,,,,
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,02/05/2013,BLUE MACHINERY (SCOTLAND) LTD,5871389,Revenue,1KEWQ,Sandhills Depot              K,"2,700.00 ",,,,,,,,,,,,
Environment & Regeneration,CD - Regional & European Prog    ,Supplies & Services,30/05/2013,BLUE SKY THINK LLP,5895589,Revenue,1DD9F,Ncle Enteprs Packg Deliv ActvK,500.00 ,,,,,,,,,,,,
Childrens Services,Educ Linhope PRU           ,Supplies & Services,10/05/2013,BNP PARIBAS,5838135,Revenue,1E+254,Linhope PRU                  E,309.92 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/05/2013,BOC LTD,5844561,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,429.99 ,,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,28/05/2013,BOC LTD,5892964,Revenue,1KR8L,CW District Heating          K,"1,049.95 ",,,,,,,,,,,,
Chief Executives,CD - Legal Services              ,Capital Expenditure,20/05/2013,BOND DICKINSON LLP,5885361,Capital,2FT14,Property Services            F,"20,454.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BOWLAND LODGE,5887128,Revenue,1MG20,Ind Res Care Elderly         M,"-8,317.73 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BOWLAND LODGE,5887128,Revenue,1MH20,Ind Res Care PD              M,-978.90 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BOWLAND LODGE,5887128,Revenue,1MM20,Ind Res Care MH              M,"-1,662.04 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BOWLAND LODGE,5887128,Revenue,1MG20,Ind Res Care Elderly         M,"29,941.85 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BOWLAND LODGE,5887128,Revenue,1MH20,Ind Res Care PD              M,"4,920.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BOWLAND LODGE,5887128,Revenue,1MM20,Ind Res Care MH              M,"6,352.00 ",,,,,,,,,,,,
Environment & Regeneration,Cityworks Elswick          ,Premises,13/05/2013,BOXER CHEMICALS LTD,5853317,Revenue,1KL1E,Elswick Pool                 K,320.85 ,,,,,,,,,,,,
Adult & Culture,Invoice,Supplies & Services,20/05/2013,BPH DATA LTD,5884832,Revenue,1EJ12,ICT                          M,762.50 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BRACKENBRAE,5873925,Revenue,1MK20,Ind Res Care LD              M,-349.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRACKENBRAE,5873925,Revenue,1MK20,Ind Res Care LD              M,"1,560.28 ",,,,,,,,,,,,
HRA,HRA C.C.A.S.               ,Supplies & Services,15/05/2013,BRADY FLOORING CONTRACTORS,5880527,Revenue,1HJ01,HRA Sheltered HSG-Citywide   H,"11,414.00 ",,,,,,,,,,,,
Childrens Services,Adult - Learning & Development   ,Supplies & Services,23/05/2013,BRAIN INJURY REHABILITATION TRUST,5890242,Revenue,1MB20,Workforce Reform             E,345.00 ,,,,,,,,,,,,
Childrens Services,Educ Dunstanburgh          ,Supplies & Services,08/05/2013,BRAKE BROS FOODSERVICE LTD,5865745,Revenue,1E462,Dunstanburgh Rd Comm C C P   E,451.60 ,,,,,,,,,,,,
Chief Executives,CD - Mansion House               ,Supplies & Services,22/05/2013,BRAKES,5849009,Revenue,1FN02,Mansion House                F,343.21 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BRAMPTON COURT,5873867,Revenue,1MG10,Ind Nursing Care Elderly     M,-108.09 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BRAMPTON COURT,5873867,Revenue,1MG20,Ind Res Care Elderly         M,"-1,158.32 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BRAMPTON COURT,5873867,Revenue,1MM20,Ind Res Care MH              M,-311.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5873867,Revenue,1MG10,Ind Nursing Care Elderly     M,"4,798.34 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5873867,Revenue,1MG20,Ind Res Care Elderly         M,"7,372.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5873867,Revenue,1MH10,Ind Nursing Care PD          M,"1,816.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5873867,Revenue,1MK10,Ind Nursing Care LD          M,"1,191.81 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5873867,Revenue,1MM20,Ind Res Care MH              M,"1,816.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5873867,Revenue,3WH77,Free Nursing Care Com Care   M,849.16 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5873867,Revenue,3WH93,Continuing Care              M,"30,560.39 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRAMPTON COURT,5874021,Revenue,3WH78,Fre Nursing Care Out Of Area M,"1,324.02 ",,,,,,,,,,,,
Childrens Services,Schools Payment Agency                 ,Premises,03/05/2013,BRENNTAG UK LTD,5872307,Revenue,1E+162,Sir Charles Parsons          E,475.15 ,,,,,,,,,,,,
Environment & Regeneration,Outer West Pool            ,Supplies & Services,02/05/2013,BRENNTAG UK LTD,5871313,Revenue,1KL1C,Outer West Pool              K,504.15 ,,,,,,,,,,,,
Environment & Regeneration,Cityworks Elswick          ,Supplies & Services,28/05/2013,BRENNTAG UK LTD,5893255,Revenue,1KL1E,Elswick Pool                 K,504.15 ,,,,,,,,,,,,
Environment & Regeneration,Invoice,Supplies & Services,20/05/2013,BRENNTAG UK LTD,5884809,Revenue,1KL1B,City Pool                    K,314.90 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BRIARDENE MH,5887149,Revenue,1MG10,Ind Nursing Care Elderly     M,"-5,390.01 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,BRIARDENE MH,5887149,Revenue,1MG20,Ind Res Care Elderly         M,"-7,265.09 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887149,Revenue,1MG10,Ind Nursing Care Elderly     M,"17,558.43 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887149,Revenue,1MG20,Ind Res Care Elderly         M,"23,028.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887149,Revenue,3WH77,Free Nursing Care Com Care   M,"3,953.72 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887149,Revenue,3WH78,Fre Nursing Care Out Of Area M,887.04 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887149,Revenue,3WH93,Continuing Care              M,"28,424.02 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887150,Revenue,3WH93,Continuing Care              M,258.31 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887197,Revenue,3WH71,Free Nursing Care Self FunderM,"4,282.90 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,BRIARDENE MH,5887197,Revenue,3WH78,Fre Nursing Care Out Of Area M,443.52 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BRIDGE VIEW CARE HOME,5819532,Revenue,1MG20,Ind Res Care Elderly         M,-476.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BRIDGE VIEW CARE HOME,5851294,Revenue,1MG20,Ind Res Care Elderly         M,-479.10 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,BRIDGE VIEW CARE HOME,5873916,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRIDGE VIEW CARE HOME,5819532,Revenue,1MG20,Ind Res Care Elderly         M,"1,842.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRIDGE VIEW CARE HOME,5851294,Revenue,1MG20,Ind Res Care Elderly         M,"1,842.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,BRIDGE VIEW CARE HOME,5873916,Revenue,1MG20,Ind Res Care Elderly         M,"1,842.60 ",,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,21/05/2013,BRISTOL STREET - NEWCASTLE,5872165,Revenue,1KESH,Light Workshop Routine RepairK,346.38 ,,,,,,,,,,,,
Chief Executives,CD - Finance & Resources NOR           ,Premises,08/05/2013,BRITISH GAS TRADING LTD,5859837,Revenue,1DY49,Wards Building/Waygood       F,388.89 ,,,,,,,,,,,,
Childrens Services,Educ Newbiggin S/Start     ,Premises,29/05/2013,BRITISH GAS TRADING LTD,5894472,Revenue,1EEJ7,Newburn Childrens Centre     E,788.09 ,,,,,,,,,,,,
Environment & Regeneration,E&R ERS&PP                 ,Supplies & Services,30/05/2013,BRITISH GEOLOGICAL SURVEY,5895401,Revenue,1D519,Contaminated Land Risk SurvysK,485.00 ,,,,,,,,,,,,
Environment & Regeneration,Invoice,Supplies & Services,15/05/2013,BRITISH PARKING ASSOCIATION,5880426,Revenue,1V204,Car Parking Infrastructure   K,"3,185.00 ",,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,24/05/2013,BRITISH STANDARDS INSTITUTION,5892016,Revenue,1HBSP,Planned Service&Plant Maint  H,"13,566.00 ",,,,,,,,,,,,
Environment & Regeneration,CW Security Services          ,Supplies & Services,15/05/2013,BRITISH TELECOM PLC,5868054,Revenue,1KJ71,Security Control Room        K,"4,295.46 ",,,,,,,,,,,,
Adult & Culture,Utilities                              ,Supplies & Services,09/05/2013,BRITISH TELECOMMUNICATIONS PLC,5875439,Revenue,1DF32,City Centre Tic              M,113.67 ,,,,,,,,,,,,
Adult & Culture,Utilities                              ,Supplies & Services,09/05/2013,BRITISH TELECOMMUNICATIONS PLC,5875439,Revenue,1DF71,High Bridge Studios & GalleryM,428.30 ,,,,,,,,,,,,
Adult & Culture,Utilities                              ,Supplies & Services,09/05/2013,BRITISH TELECOMMUNICATIONS PLC,5875439,Revenue,1EA34,Skills For Life FE Resources M,81.60 ,,,,,,,,,,,,
Adult & Culture,Utilities                              ,Supplies & Services,09/05/2013,BRITISH TELECOMMUNICATIONS PLC,5875439,Revenue,1EA56,Resources West FE            M,374.77 ,,,,,,,,,,,,
Adult & Culture,Utilities                              ,Supplies & Services,09/05/2013,BRITISH TELECOMMUNICATIONS PLC,5875439,Revenue,1EJ01,Administration               M,34.37 ,,,,,,,,,,,,
Adult & Culture,Utilities                              ,Supplies & Services,09/05/2013,BRITISH TELECOMMUNICATIONS PLC,5875439,Revenue,1EJ61,West End Branch Library      M,37.89 ,,,,,,,,,,,,
