"AP Invoices over £xxx  Amount Paid > £xxx (Payment Date)  Parameters: Ledger ID : '2097' , AP Payment Date Start : '01-FEB-2015' , AP Payment Date End : '28-FEB-2015' , AP - Minimum Payment Limit : '25000'  Report Ran: 27-FEB-15 01.00.50 PM",,,,,,,,,,,
,,,,,,,,,,,
Org Code:RMPN,Ledger Id:2097,,,,,,,,,,
,,,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount,Invoice Amount,Reclaimable VAT,Description,Line Type
RADIOGRAPHY,Tameside NHS Foundation Trust,01-Feb-15,CONTRACTUAL CLINICAL SERVICES,RADIOGRAPHY,RADIOLOGY MANAGEMENT SOLUTIONS LTD,62,"30,468.00","25,390.00","5,078.00",V5059346 1-31/12/14,Item
PATHOLOGY,Tameside NHS Foundation Trust,19-Feb-15,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,839181,"60,239.76","60,239.76",,V5061712 MONTHLY CONTRACT BLOOD FEB 15,Nonrecoverable Tax
CA - PREPAYMENTS,Tameside NHS Foundation Trust,19-Feb-15,PREPAYMENTS < ONE YEAR,CA - PREPAYMENTS NON PFI,AAH PHARMACEUTICALS LTD,Dec-14,"187,566.22","187,566.22",,V5061410 EXCEEDED PURCHASES DECEMBER 2014,Item
CA - PREPAYMENTS,Tameside NHS Foundation Trust,26-Feb-15,PREPAYMENTS < ONE YEAR,CA - PREPAYMENTS NON PFI,AAH PHARMACEUTICALS LTD,Feb-15,"125,000.00","125,000.00",,V5061554 DRUGS PREPAYMENT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
RADIOGRAPHY,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,RADIOGRAPHY,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
GYNAECOLOGY,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,GYNAECOLOGY SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
OBSTETRICS,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,OBSTETRICS SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
OBSTETRICS,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,OBSTETRICS SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
ELECTIVE SERVICE MANAGER,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,ELECTIVE - DENTAL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
UROLOGY,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,UROLOGY,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HARTSHEAD THEATRES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HARTSHEAD THEATRES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,DSEU,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,DSEU,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,INCOME GENERATION SCHEMES,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Item
OBSTETRICS,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,OBSTETRICS SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,DSEU,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
ELECTIVE SERVICE MANAGER,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,ELECTIVE - DENTAL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
GYNAECOLOGY,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,GYNAECOLOGY SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
UROLOGY,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,UROLOGY,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
RADIOGRAPHY,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,RADIOGRAPHY,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
OBSTETRICS,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,OBSTETRICS SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,DSEU,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HARTSHEAD THEATRES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HARTSHEAD THEATRES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT GENERAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,INCOME GENERATION SCHEMES,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,,,,V5061878 SYNERGY CONTRACT FEB 2015,Recoverable Tax
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,SYNERGY HEALTH (UK) LTD,GB002/CD970015345,"74,963.94","89,956.73","14,992.79",V5061878 SYNERGY CONTRACT FEB 2015,Nonrecoverable Tax
ESTATES,Tameside NHS Foundation Trust,26-Feb-15,ELECTRICITY,ESTATES OPERATIONS,NPOWER LTD,LGURYWHY,"130,312.25","136,845.96","6,533.71",V5063058 ELECTRIC JANUARY 2015,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,01-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,LIAISON V A T CONSULTANCY LTD,PAYMENT ON ACCOUNT,"100,000.00",0,"100,000.00",V5061407 PAYMENT ON ACCOUNT FOR WEEK 43,Nonrecoverable Tax
INFORMATION,Tameside NHS Foundation Trust,01-Feb-15,COMPUTER MAINTENANCE,IT,PARITY MEDICAL,PC76019,"37,515.60","37,515.60",,091014-TGH-SUPPCS-JI REVII support and maintenance for your 84x bed deployment of Philips Careservant Patient Entertainment units - 30.11.2014-29.11.2015,Item
ESTATES,Tameside NHS Foundation Trust,10-Feb-15,RATES,ESTATES OPERATIONS,TAMESIDE METROPOLITAN BOROUGH COUNCIL,RATES FEB 2015,"79,753.01","79,753.01",,V5061877 RATES & COUNCIL TAX FEB 2015,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,TUSKERDIRECT LTD,SIN192521,"36,148.09","36,148.09",,V5063673 FEB 2015 DEDUCT,Nonrecoverable Tax
CORPORATE,Tameside NHS Foundation Trust,26-Feb-15,INSURANCE COSTS,CORPORATE,GRIFFITHS & ARMOUR,SRD00013923,"27,876.94","27,876.94",,V5062815 PREPAY 313154 01-02 TO 31-01-2016 COMMERCIAL COMBINED,Nonrecoverable Tax
ESTATES,Tameside NHS Foundation Trust,26-Feb-15,WATER,ESTATES OPERATIONS,UNITED UTILITIES,uu-INV00260175,"34,522.73","34,522.73",,V5061412 WATER AND WASTEWATER 28.10.2014 - 27.12.2014,Item
ESTATES,Tameside NHS Foundation Trust,26-Feb-15,WATER,ESTATES OPERATIONS,UNITED UTILITIES,uu-INV00295167,"36,741.33","36,741.33",,V5061880 WATER AND WASTE WATER 24.09.2014 - 25.12.2015,Nonrecoverable Tax
