Month of Year,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
201610,landlord registration scheme,5,1.6,20.00%,12.50%,00:03:49,2.8
201610,lawyer,5,3,20.00%,0.00%,00:02:05,3.6
201610,Leeds,5,1,0.00%,0.00%,00:01:26,3.4
201610,letter of entitlement,5,3,20.00%,6.67%,00:07:14,5.8
201610,licence check,5,1.6,20.00%,25.00%,00:00:41,2
201610,Licence renewal,5,1.6,40.00%,12.50%,00:01:46,2.4
201610,live chat,5,1.8,0.00%,22.22%,00:03:56,3.8
201610,liverpool,5,2,20.00%,0.00%,00:01:07,1.6
201610,loans,5,1,20.00%,40.00%,00:03:27,4.2
201610,Londonderry,5,1.6,20.00%,12.50%,00:01:41,1.6
201610,M2,5,1.4,20.00%,14.29%,00:01:04,1
201610,MA1,5,1.8,60.00%,0.00%,00:00:56,2
201610,Maps,5,2,20.00%,40.00%,00:01:10,2
201610,masters degree,5,1.6,20.00%,25.00%,00:01:37,2.2
201610,maternity grant,5,1.4,20.00%,14.29%,00:02:06,4.6
201610,Maternity pay,5,1.2,0.00%,16.67%,00:02:33,3
201610,Mechanic,5,1.8,20.00%,0.00%,00:00:51,1.4
201610,mental health,5,1,20.00%,0.00%,00:02:54,1.6
201610,Mortgages – a beginner’s guide,5,1.4,0.00%,85.71%,00:37:12,48.2
201610,mot history,5,1.4,40.00%,14.29%,00:01:41,1.2
201610,Mot history,5,2.8,80.00%,0.00%,00:04:53,0.6
201610,motor tax,5,1.6,20.00%,25.00%,00:00:44,2
201610,moving house,5,1.2,20.00%,16.67%,00:10:18,4.4
201610,NEW INFORMATION ON ESA,5,1.4,100.00%,0.00%,00:00:48,0.2
201610,Newcastle,5,2.2,60.00%,0.00%,00:00:55,2.2
201610,non domestic rates,5,2,0.00%,0.00%,00:02:03,3.4
201610,Nottingham,5,1,20.00%,20.00%,00:00:28,1
201610,number plate,5,1.2,40.00%,33.33%,00:00:18,0.6
201610,Number plates,5,1,100.00%,0.00%,00:00:00,0
201610,Numbers,5,1.4,0.00%,0.00%,00:07:27,4.4
201610,off road,5,1,0.00%,80.00%,00:01:36,1.2
201610,opening times,5,1.6,40.00%,0.00%,00:00:58,1.2
201610,operators licence,5,1.4,20.00%,57.14%,00:01:54,0.6
201610,paramedic,5,1.2,0.00%,16.67%,00:04:37,3.2
201610,parking fine,5,1,0.00%,40.00%,00:05:38,1.8
201610,pay a bus lane,5,1,0.00%,0.00%,00:02:19,1.8
201610,payment,5,3.2,0.00%,25.00%,00:02:16,0.4
201610,pe teacher,5,2,0.00%,20.00%,00:01:28,2.4
201610,pension credits,5,1,0.00%,20.00%,00:04:30,3.2
201610,Pension credits,5,3,20.00%,13.33%,00:04:35,3.6
201610,Phone number for blue badge,5,1.6,0.00%,12.50%,00:03:49,2
201610,photography,5,1,20.00%,40.00%,00:05:09,2.8
201610,Pip phone number,5,1.6,20.00%,12.50%,00:01:20,2
201610,Pregnancy,5,2.2,60.00%,9.09%,00:00:56,0.6
201610,Premium bonds,5,1.8,60.00%,0.00%,00:05:04,0.4
201610,probation time in work,5,1.2,80.00%,0.00%,00:04:28,0.2
201610,procurement,5,1,0.00%,0.00%,00:00:59,1.2
201610,provisional driving licence,5,1.2,0.00%,0.00%,00:00:33,1
201610,Provisional license fee,5,2.2,40.00%,0.00%,00:00:42,1.2
201610,PSV,5,2.2,40.00%,0.00%,00:02:44,2
201610,public appointment,5,1.2,0.00%,0.00%,00:01:44,1
201610,public appointment vacancies,5,1.2,0.00%,16.67%,00:03:14,1.2
201610,public holidays,5,1.2,20.00%,0.00%,00:00:34,1
201610,rates exemption,5,1.6,40.00%,12.50%,00:00:40,0.6
201610,rates payment,5,1.2,0.00%,33.33%,00:02:05,1.4
201610,Rates payment,5,1.6,20.00%,25.00%,00:01:36,1
201610,re test,5,1.2,20.00%,33.33%,00:01:11,0.8
201610,re test mot,5,1.4,20.00%,28.57%,00:00:59,2.6
201610,re-test,5,1.8,40.00%,11.11%,00:01:24,2
201610,recruitment,5,1,0.00%,20.00%,00:00:35,1.2
201610,regulated activity,5,1.2,0.00%,0.00%,00:03:00,1.4
201610,Renew provisional licence,5,2.8,20.00%,7.14%,00:03:49,2.2
201610,report a street light,5,1,0.00%,20.00%,00:12:01,4.4
201610,Research,5,2.4,40.00%,0.00%,00:01:12,2
201610,Road closure,5,1.6,80.00%,0.00%,00:00:12,0.4
201610,road safety presentation,5,6,0.00%,13.33%,00:18:28,16.4
201610,road service,5,1.6,40.00%,12.50%,00:01:09,0.6
201610,Road service,5,1.2,40.00%,16.67%,00:02:08,2.4
201610,Sandwell taxi operator,5,1.6,100.00%,0.00%,00:09:35,0
201610,Saving credit,5,4.8,20.00%,0.00%,00:02:13,0.8
201610,savings,5,1.4,0.00%,42.86%,00:03:39,2
201610,school,5,1.2,0.00%,66.67%,00:01:16,4.4
201610,search birth records,5,1.2,0.00%,0.00%,00:00:37,2
201610,self employed worksheet,5,1.2,0.00%,16.67%,00:02:32,1.8
201610,septic tanks,5,1.6,0.00%,12.50%,00:04:12,1.6
201610,Severe disability premium,5,2,0.00%,10.00%,00:05:00,2.2
201610,Should you pay off your mortgage early?,5,1,0.00%,80.00%,00:02:06,1.8
201610,smp,5,1,0.00%,0.00%,00:00:43,1.6
201610,Social fund number,5,1,20.00%,40.00%,00:02:08,2
201610,social security agency,5,1.2,0.00%,33.33%,00:10:08,2.6
201610,Social security agency,5,2,20.00%,0.00%,00:06:49,3.2
201610,special needs,5,1.8,20.00%,22.22%,00:00:54,2.2
201610,SSP,5,1.4,20.00%,28.57%,00:01:10,2
201610,ssp1 form,5,1.4,0.00%,28.57%,00:02:41,2.6
201610,statutory sick pay,5,1,0.00%,0.00%,00:01:24,1.4
201610,stocking,5,1.6,0.00%,0.00%,00:01:23,2.2
201610,Stockport,5,1.8,40.00%,11.11%,00:03:44,1.8
201610,Street directory,5,1.8,0.00%,22.22%,00:07:01,5.2
201610,STREET LIGHTING,5,1.2,0.00%,0.00%,00:06:32,3
201610,Street lighting fault,5,3.4,20.00%,0.00%,00:09:25,2.2
201610,Sunderland,5,1,40.00%,20.00%,00:00:30,0.6
201610,Sure start,5,1.2,0.00%,16.67%,00:08:06,4.2
201610,tax my car,5,1.6,20.00%,37.50%,00:00:43,0.6
201610,TAXI,5,1,20.00%,0.00%,00:00:44,1.6
201610,Taxi licence,5,1,0.00%,0.00%,00:05:04,3
201610,taxi licensing,5,1.4,0.00%,0.00%,00:01:58,4.8
201610,Taxi theory,5,1.4,20.00%,0.00%,00:00:56,1.4
201610,taxis,5,1.6,20.00%,25.00%,00:12:12,5.2
201610,Tbl554x,5,1,100.00%,0.00%,00:00:00,0
201610,tenders,5,1.4,40.00%,28.57%,00:00:23,1.2
201610,theory driving test,5,1.4,0.00%,14.29%,00:02:28,3.4
201610,theory test booking,5,1.6,0.00%,12.50%,00:04:21,4.8
201610,theory test centres,5,1,20.00%,20.00%,00:00:56,2.4
201610,theory test certificate,5,3.2,20.00%,6.25%,00:01:44,1.4
201610,Theory test location,5,1,80.00%,0.00%,00:00:04,0.2
201610,Theory tests,5,1.2,0.00%,0.00%,00:01:19,2.4
201610,Track a fault,5,1.6,20.00%,50.00%,00:01:44,3.2
201610,Track application,5,2,0.00%,10.00%,00:07:10,1.6
201610,traffic lights,5,1,0.00%,0.00%,00:00:31,1.4
201610,Training,5,1.8,20.00%,22.22%,00:03:03,1.2
201610,Ulster Covenant,5,1.2,20.00%,0.00%,00:10:09,1.4
201610,university,5,5.6,20.00%,0.00%,00:04:52,6
201610,urgent passport,5,1.2,20.00%,16.67%,00:00:41,0.6
201610,utr number,5,1,80.00%,0.00%,00:00:17,0.6
201610,v149,5,1.2,20.00%,50.00%,00:01:31,1.2
201610,V5C,5,1.4,20.00%,28.57%,00:00:39,0.6
201610,Vehicle check,5,1.6,0.00%,25.00%,00:09:04,4.2
201610,vehicle licensing,5,2,40.00%,10.00%,00:03:33,1.4
201610,Vehicle licensing,5,1,0.00%,20.00%,00:03:31,1.4
201610,vehicle test,5,1,0.00%,20.00%,00:01:25,2.4
201610,view driving licence,5,2,20.00%,0.00%,00:01:10,1.4
201610,Volunteer,5,1.6,40.00%,25.00%,00:00:47,0.8
201610,water,5,1,20.00%,20.00%,00:03:12,1.4
201610,what LMI tells us,5,1.2,20.00%,33.33%,00:01:46,1
201610,whistleblowing,5,1,20.00%,0.00%,00:00:04,0.8
201610,winter,5,2.4,20.00%,33.33%,00:20:34,17
201610,work experiance,5,1.4,40.00%,0.00%,00:01:59,1.2
201610,Www.gov.uk/vehicletax,5,1.4,40.00%,14.29%,00:00:17,0.4
201610,www.nidirect.gov.uk,5,2.6,40.00%,15.38%,00:02:05,1
201610,young people and alcohol,5,1.6,20.00%,0.00%,00:00:30,0.8
201611,Mot,219,1.26,15.53%,9.45%,00:01:53,2.27
201611,careers,155,1.36,5.81%,11.37%,00:03:45,2.81
201611,blue badge,143,1.42,6.29%,6.40%,00:05:46,3.7
201611,esa,132,1.51,9.09%,31.16%,00:04:23,2.83
201611,Theory test,132,1.31,6.06%,6.36%,00:02:48,2.73
201611,mot,114,1.25,4.39%,19.72%,00:02:25,2.49
201611,Birth certificate,111,1.35,6.31%,2.67%,00:02:27,1.67
201611,rates,111,1.21,5.41%,20.15%,00:02:56,2.89
201611,car tax,105,1.49,38.10%,20.51%,00:01:18,1.1
201611,attendance allowance,103,1.48,6.80%,7.89%,00:05:20,3.39
201611,Rates,103,1.44,10.68%,14.19%,00:03:18,2.16
201611,access ni,102,1.43,21.57%,17.81%,00:03:45,3.26
201611,Crisis loan,102,1.59,10.78%,9.88%,00:03:36,2.72
201611,carers allowance,95,1.49,7.37%,11.97%,00:03:55,2.52
201611,Jobs,93,2.01,33.33%,11.76%,00:01:29,1.65
201611,jobs,92,1.37,29.35%,18.25%,00:01:59,2.27
201611,driving test,91,1.3,3.30%,5.08%,00:02:10,2.69
201611,Pip,91,1.27,12.09%,9.48%,00:02:16,1.71
201611,Contact number,90,1.49,17.78%,16.42%,00:03:02,2.12
201611,Esa,89,1.58,20.22%,24.11%,00:02:57,1.99
201611,ESA,89,1.39,16.85%,29.03%,00:03:31,2.74
201611,tax,87,1.13,35.63%,19.39%,00:01:16,1.39
201611,winter fuel payment,87,1.52,8.05%,11.36%,00:09:04,5.33
201611,birth certificate,86,1.12,6.98%,5.21%,00:02:35,2.15
201611,theory test,86,1.14,3.49%,14.29%,00:02:56,2.92
201611,Car tax,83,1.39,36.14%,20.87%,00:01:04,1.19
201611,Parking ticket,82,1.09,4.88%,1.12%,00:02:31,1.95
201611,Blue badge,81,1.26,6.17%,3.92%,00:03:28,2.05
201611,Driving test,81,1.16,2.47%,1.06%,00:04:17,2.74
201611,Attendance allowance,80,1.86,11.25%,10.07%,00:04:07,2.68
201611,Phone number,78,1.29,20.51%,13.86%,00:02:29,2.36
201611,social fund,76,1.32,10.53%,17.00%,00:04:55,3.96
201611,parking ticket,74,1.09,1.35%,1.23%,00:02:16,2.05
201611,pension credit,70,1.64,5.71%,12.17%,00:04:51,2.7
201611,community care grant,69,1.32,1.45%,18.68%,00:03:24,3.09
201611,Carers allowance,66,1.42,9.09%,11.70%,00:04:36,2.73
201611,crisis loan,66,1.35,6.06%,15.73%,00:03:18,2.79
201611,dla,66,1.38,10.61%,15.38%,00:04:13,2.71
201611,pip,66,1.27,9.09%,16.67%,00:05:02,2.95
201611,Budgeting loan,65,1.35,3.08%,13.64%,00:02:01,2.82
201611,Social fund,64,1.39,14.06%,12.36%,00:04:17,4.25
201611,Income support,63,1.57,17.46%,13.13%,00:03:51,2
201611,apprenticeships,59,1.63,6.78%,16.67%,00:09:14,6.36
201611,Enhanced check,59,1.31,5.08%,6.49%,00:05:27,2.93
201611,accessni,57,1.3,7.02%,16.22%,00:06:14,4.96
201611,income support,57,1.49,10.53%,18.82%,00:04:06,2.18
201611,street lighting,56,1.18,7.14%,7.58%,00:02:38,2.38
201611,enhanced check,55,1.36,5.45%,6.67%,00:04:54,3.09
201611,birth certificates,54,1.43,0.00%,9.09%,00:03:29,2.41
201611,Driving licence,53,1.45,13.21%,20.78%,00:01:33,1.49
201611,PIP,53,1.23,3.77%,21.54%,00:02:04,2.19
201611,proni,53,1.28,9.43%,11.76%,00:08:11,5.21
201611,sorn,52,1.62,19.23%,17.86%,00:02:04,2
201611,Contact,49,1.61,32.65%,24.05%,00:02:23,1.29
201611,Housing benefit,49,1.59,14.29%,12.82%,00:05:04,2.78
201611,Winter fuel payment,49,1.67,14.29%,9.76%,00:04:04,2.98
201611,phone number,48,1.58,16.67%,10.53%,00:02:12,3.08
201611,Community care grant,46,1.46,6.52%,8.96%,00:04:08,3.46
201611,Street lighting,46,1.26,6.52%,3.45%,00:03:11,2.04
201611,Book driving test,44,1.52,2.27%,2.99%,00:04:35,2.77
201611,Change of address,44,1.89,36.36%,7.23%,00:03:11,1.89
201611,Sorn,44,1.75,20.45%,14.29%,00:02:10,2.09
201611,state pension,44,1.64,15.91%,19.44%,00:03:45,2.34
201611,Access ni,43,1.42,25.58%,21.31%,00:02:54,1.67
201611,Dla,43,1.3,6.98%,32.14%,00:01:58,2.19
201611,employment and support allowance,43,1.37,6.98%,15.25%,00:05:00,2.16
201611,log in,43,1.47,16.28%,9.52%,00:02:21,2.98
201611,housing benefit,42,1.45,4.76%,14.75%,00:05:02,2.26
201611,budgeting loan,41,1.24,4.88%,19.61%,00:03:47,2.32
201611,groni,41,1.37,4.88%,1.79%,00:02:32,3.1
201611,Tax,41,1.37,31.71%,26.79%,00:01:09,1.05
201611,Book mot,40,1.18,2.50%,2.13%,00:01:36,2.25
201611,tax credits,40,1.62,22.50%,26.15%,00:03:16,1.42
201611,skills in demand,39,2.13,43.59%,2.41%,00:03:10,1.36
201611,careers a-z,38,1.34,7.89%,3.92%,00:01:32,1.37
201611,change of address,38,1.53,34.21%,17.24%,00:01:19,1.5
201611,Practical test,38,1.21,2.63%,2.17%,00:01:29,2.29
201611,Theory,37,1.11,2.70%,4.88%,00:04:11,2.73
201611,vehicle tax,37,1.49,35.14%,18.18%,00:01:27,1.7
201611,Careers,36,1.44,11.11%,13.46%,00:02:25,3.31
201611,Crisis loans,36,1.42,16.67%,9.80%,00:02:30,3
201611,driving licence,36,1.5,8.33%,20.37%,00:03:14,2.58
201611,work experience,36,1.39,5.56%,4.00%,00:04:06,4.03
201611,DLA,35,1.29,11.43%,24.44%,00:04:15,2.17
201611,employment support allowance,35,1.23,0.00%,18.60%,00:05:20,2.51
201611,MOT,35,1.26,8.57%,22.73%,00:03:10,2.09
201611,child benefit,34,1.85,26.47%,17.46%,00:02:53,1.56
201611,family history,34,1.44,8.82%,12.24%,00:07:45,4.91
201611,marriage,34,1.18,5.88%,12.50%,00:10:25,4.15
201611,probate,34,1.59,2.94%,7.41%,00:08:22,4
201611,ulster covenant,34,1.44,8.82%,6.12%,00:04:24,1.91
201611,Vehicle tax,33,1.36,39.39%,15.56%,00:01:03,1.03
201611,ema,32,1.62,6.25%,19.23%,00:03:43,3.44
201611,Employment and support allowance,32,1.44,9.38%,23.91%,00:03:21,1.81
201611,Marriage,31,1.35,3.23%,23.81%,00:03:25,2.77
201611,passport,31,1.26,3.23%,5.13%,00:02:14,2.32
201611,Taxi,31,1.29,19.35%,17.50%,00:04:53,3.35
201611,Budget loan,30,1.37,6.67%,14.63%,00:03:24,2.87
201611,discretionary support,30,1.47,33.33%,34.09%,00:00:59,0.77
201611,DL1,30,1.5,23.33%,17.78%,00:01:51,1.73
201611,Loans,30,1.43,16.67%,37.21%,00:03:16,2.73
201611,taxi,30,1.7,0.00%,21.57%,00:06:01,3.6
201611,winter fuel payments,30,2.17,6.67%,4.62%,00:04:47,3.7
201611,church records,29,1.76,10.34%,1.96%,00:04:24,3.28
201611,community care grants,29,1.52,13.79%,22.73%,00:05:17,3.59
201611,wills,29,1.9,3.45%,18.18%,00:07:12,5.93
201611,Change address,28,1.43,14.29%,20.00%,00:04:37,2.29
201611,Child benefit,28,2.04,28.57%,8.77%,00:02:21,2.04
201611,Child maintenance,28,1.61,3.57%,13.33%,00:03:31,2.14
201611,dl1,28,1.46,17.86%,17.07%,00:01:25,1.89
201611,Log in,28,1.46,28.57%,24.39%,00:02:55,2.18
201611,parking,28,1.29,0.00%,25.00%,00:03:28,2.79
201611,retest,28,1.21,7.14%,17.65%,00:03:15,3.96
201611,Telephone number,28,1.32,17.86%,21.62%,00:02:57,1.86
201611,contact number,27,1.52,18.52%,9.76%,00:03:22,2.52
201611,crisis loans,27,1.48,3.70%,32.50%,00:04:38,2.63
201611,Marriage certificate,27,1.33,14.81%,8.33%,00:01:46,1.7
201611,Pension credit,27,1.96,0.00%,16.98%,00:10:20,4.52
201611,State pension,27,1.81,22.22%,16.33%,00:03:37,1.63
201611,birth records,26,1.54,7.69%,25.00%,00:04:39,4
201611,book driving test,26,1.27,0.00%,0.00%,00:02:11,2.54
201611,cold weather payment,26,1.15,3.85%,23.33%,00:04:38,4.81
201611,fees,26,1.12,3.85%,51.72%,00:03:04,2.19
201611,login,26,1.38,26.92%,11.11%,00:02:01,2.81
201611,practical test,26,1.08,3.85%,0.00%,00:02:38,2.27
201611,Road tax,26,1.54,53.85%,17.50%,00:01:14,0.58
201611,Belfast,25,1.48,24.00%,13.51%,00:02:06,2.24
201611,Birth certificates,25,1.8,16.00%,4.44%,00:04:37,1.96
201611,Book theory test,25,1.4,8.00%,5.71%,00:01:28,2.64
201611,Budgeting loans,25,1.64,0.00%,21.95%,00:02:50,3.36
201611,forms,25,1.92,16.00%,31.25%,00:02:40,2.04
201611,national insurance,25,1.64,16.00%,12.20%,00:04:53,1.56
201611,Not,25,1.08,8.00%,77.78%,00:00:27,0.4
201611,Retest,25,1.6,0.00%,12.50%,00:02:36,3.68
201611,theory,25,1.44,0.00%,8.33%,00:05:19,3.08
201611,Address,24,1.38,4.17%,36.36%,00:03:00,1.92
201611,births,24,1.54,0.00%,5.41%,00:03:24,3.29
201611,Challenge parking ticket,24,1.42,0.00%,2.94%,00:04:26,1.54
201611,Probate,24,1.25,4.17%,10.00%,00:02:56,1.83
201611,apply for disclosure certificates,23,1.35,8.70%,29.03%,00:04:00,5.17
201611,benefits,23,1.57,0.00%,11.11%,00:05:10,5.65
201611,Births,23,2.57,30.43%,11.86%,00:02:50,3.04
201611,child maintenance,23,1.39,17.39%,12.50%,00:06:31,6.35
201611,Cold weather payment,23,1.96,4.35%,8.89%,00:03:52,6.57
201611,Ema,23,1.39,4.35%,25.00%,00:03:21,2.52
201611,Grants,23,2.48,13.04%,12.28%,00:04:49,3.17
201611,name change,23,1.26,4.35%,20.69%,00:06:20,2.74
201611,universal credit,23,1.09,4.35%,12.00%,00:03:55,1.96
201611,winter fuel,23,1.26,8.70%,6.90%,00:04:24,3
201611,winter fuel allowance,23,1.17,4.35%,18.52%,00:02:26,2.3
201611,Winter fuel allowance,23,1.7,17.39%,2.56%,00:04:33,3.74
201611,Apply for disclosure certificates,22,1.91,13.64%,11.90%,00:07:41,5.05
201611,budgeting loans,22,1.55,18.18%,2.94%,00:03:29,2.59
201611,Employment support allowance,22,1.45,9.09%,12.50%,00:03:43,1.82
201611,grants,22,2.82,36.36%,12.90%,00:02:52,2
201611,Mot retest,22,2.18,22.73%,10.42%,00:01:48,2.36
201611,notice of appeal,22,1.18,4.55%,26.92%,00:03:17,3
201611,pay rates,22,1.18,0.00%,7.69%,00:01:07,1.82
201611,Apprenticeships,21,1.48,19.05%,9.68%,00:02:45,4
201611,census,21,1.48,9.52%,22.58%,00:02:42,2.33
201611,cv builder,21,1.1,4.76%,4.35%,00:02:33,1
201611,death,21,1.81,4.76%,15.79%,00:05:32,3.1
201611,Driving license,21,1.52,4.76%,31.25%,00:01:25,1.14
201611,EMA,21,1.24,4.76%,19.23%,00:01:07,2.33
201611,genealogy,21,1.76,14.29%,2.70%,00:03:34,3.1
201611,hc1,21,2.38,4.76%,0.00%,00:06:28,3.43
201611,marriage certificate,21,1.43,0.00%,23.33%,00:02:39,1.95
201611,marriage index search,21,1.24,4.76%,0.00%,00:02:10,1.57
201611,marriage records,21,2.81,0.00%,11.86%,00:06:16,4.24
201611,public appointments,21,1.52,9.52%,3.12%,00:05:32,3
201611,blue badge application form,20,1.15,0.00%,8.70%,00:02:13,1.8
201611,Divorce,20,1.65,45.00%,12.12%,00:02:13,1.2
201611,heating allowance,20,3.3,15.00%,16.67%,00:03:29,2.05
201611,landlord registration,20,1.15,0.00%,8.70%,00:07:34,2.4
201611,Loan,20,1.6,15.00%,12.50%,00:04:19,3.15
201611,mot retest,20,1.5,15.00%,20.00%,00:01:56,1.4
201611,Parking,20,1.25,15.00%,12.00%,00:03:57,2.4
201611,register,20,1.65,5.00%,21.21%,00:05:58,3.4
201611,Register,20,1.6,40.00%,18.75%,00:05:14,4.9
201611,scamwise,20,1.55,10.00%,9.68%,00:03:52,3
201611,Census,19,2.05,15.79%,15.38%,00:03:15,3
201611,death certificate,19,1.53,15.79%,10.34%,00:02:34,2.63
201611,disability living allowance,19,1.84,15.79%,22.86%,00:02:33,1.68
201611,dvla,19,1.47,15.79%,10.71%,00:03:39,2.84
201611,enhanced,19,1.26,0.00%,12.50%,00:03:38,3.95
201611,finance support,19,1.47,10.53%,14.29%,00:04:11,3.21
201611,Job seekers,19,1.37,5.26%,11.54%,00:05:15,3.32
201611,job seekers allowance,19,1.32,0.00%,20.00%,00:04:09,2.95
201611,pension,19,1.11,15.79%,19.05%,00:04:46,2.74
201611,power of attorney,19,1.32,5.26%,16.00%,00:03:19,2.89
201611,state pension online,19,2.63,10.53%,10.00%,00:08:19,3.95
201611,Tax credits,19,1.37,26.32%,23.08%,00:05:18,1.05
201611,apply for an enhanced check through a registered body,18,1.28,0.00%,4.35%,00:04:36,3.06
201611,Apply for an enhanced check through a registered body,18,1.5,5.56%,7.41%,00:04:12,2
201611,apprenticeship levy,18,1.78,50.00%,9.38%,00:01:31,0.89
201611,book mot,18,1.11,0.00%,5.00%,00:02:54,2.78
201611,career starter,18,1.44,16.67%,7.69%,00:05:45,2.78
201611,check mot,18,1.39,27.78%,12.00%,00:01:40,2.56
201611,cold weather payments,18,1.83,5.56%,12.12%,00:03:42,5.28
201611,disclosure certificate,18,2.28,5.56%,14.63%,00:03:08,3.89
201611,disclosure certificates,18,2.89,0.00%,15.38%,00:05:18,5.78
201611,land registry,18,1.17,11.11%,0.00%,00:03:12,3.39
201611,landlords,18,1.22,50.00%,13.64%,00:04:14,1.17
201611,maternity,18,1.67,5.56%,16.67%,00:03:34,1.72
201611,Pension,18,2.06,5.56%,13.51%,00:03:22,2.33
201611,PRONI,18,1.17,11.11%,33.33%,00:07:39,4.83
201611,ssp,18,1.61,16.67%,17.24%,00:02:16,2.28
201611,Tax car,18,1.44,38.89%,15.38%,00:00:23,0.78
201611,Ulster covenant,18,2.33,5.56%,4.76%,00:06:07,2.89
201611,welfare reform,18,1.5,5.56%,14.81%,00:08:12,4.06
201611,1901 census,17,2.82,17.65%,14.58%,00:04:27,2.94
201611,1939 register,17,2.35,47.06%,15.00%,00:02:07,1.59
201611,Ballymena,17,1.29,29.41%,4.55%,00:03:17,2.41
201611,Benefits,17,2.06,11.76%,11.43%,00:06:32,4.59
201611,Budget loans,17,2.12,17.65%,8.33%,00:04:23,2.65
201611,dementia,17,1.53,5.88%,7.69%,00:06:03,5.24
201611,Disability living allowance,17,1.35,5.88%,13.04%,00:03:27,2.65
201611,driving license,17,1.18,11.76%,30.00%,00:07:31,3.53
201611,Finance support,17,1.35,23.53%,4.35%,00:03:12,3.12
201611,jsa,17,1.12,0.00%,5.26%,00:03:53,2.53
201611,loans,17,2,23.53%,20.59%,00:02:39,2.59
201611,Passport,17,1.53,17.65%,3.85%,00:01:59,1.35
201611,road tax,17,1.47,29.41%,20.00%,00:02:06,0.76
201611,street lights,17,1,0.00%,0.00%,00:01:12,2.06
201611,Widows pension,17,1.53,41.18%,11.54%,00:02:13,1.59
201611,Access NI,16,1.25,31.25%,10.00%,00:06:56,3.31
201611,change address,16,1.69,31.25%,11.11%,00:01:08,2.62
201611,check code,16,1.81,43.75%,10.34%,00:02:33,2.31
201611,enhanced disclosure,16,1.75,0.00%,3.57%,00:08:36,3.12
201611,maternity allowance,16,1.12,6.25%,22.22%,00:04:54,2.69
201611,Omagh,16,1.5,18.75%,12.50%,00:04:14,2.62
201611,practic test,16,1.06,6.25%,17.65%,00:05:15,2.31
201611,Proni,16,1.31,0.00%,14.29%,00:09:22,9.38
201611,road safety,16,1.38,0.00%,18.18%,00:10:53,16
201611,Street lights,16,1.25,0.00%,0.00%,00:01:42,2.19
201611,welfare changes,16,1.44,6.25%,21.74%,00:06:58,3.69
201611,Winter fuel payments,16,1.75,12.50%,3.57%,00:03:23,3.5
201611,2000302667,15,2.47,6.67%,5.41%,00:01:18,1.67
201611,apply for disclosure certificate,15,2.07,0.00%,6.45%,00:03:04,3.67
201611,birth,15,1.4,0.00%,28.57%,00:01:06,2
201611,blue badge scheme,15,1.2,0.00%,11.11%,00:05:42,2.8
201611,budget loan,15,1,0.00%,13.33%,00:01:27,2.93
201611,business rates,15,1.27,20.00%,15.79%,00:02:34,1.47
201611,Cancel mot,15,1.27,13.33%,10.53%,00:01:30,3
201611,career ideas,15,1.07,0.00%,0.00%,00:05:56,1.13
201611,carrers,15,1.33,0.00%,60.00%,00:00:24,0.8
201611,contact,15,1.6,13.33%,16.67%,00:01:17,2.33
201611,deaths,15,1.47,13.33%,13.64%,00:05:04,3.67
201611,divorce,15,1.53,13.33%,4.35%,00:02:09,4.13
201611,DL1 form,15,3.07,26.67%,8.70%,00:03:40,2.53
201611,Driving licence fees,15,2.07,0.00%,3.23%,00:02:46,1.8
201611,Fees,15,1.2,6.67%,44.44%,00:03:25,1.2
201611,Maternity,15,2.07,0.00%,9.68%,00:05:00,2.93
201611,notice of appeal form,15,1.27,0.00%,15.79%,00:06:41,2.33
201611,permitted work,15,2.47,46.67%,13.51%,00:01:38,2.27
201611,quiz,15,1.07,13.33%,18.75%,00:02:01,2.87
201611,savings credit,15,4.87,33.33%,1.37%,00:06:09,2.13
201611,sign in,15,1.33,40.00%,10.00%,00:02:39,3.2
201611,BLUE BADGE,14,1.79,7.14%,8.00%,00:01:16,2.07
201611,boiler replacement,14,1.57,0.00%,0.00%,00:02:52,3.79
201611,bridge to employment,14,1,0.00%,0.00%,00:08:23,4.71
201611,cancel mot,14,1.36,0.00%,0.00%,00:04:45,3.71
201611,Careers allowance,14,1.07,7.14%,40.00%,00:03:09,2
201611,challenge parking ticket,14,2.07,0.00%,6.90%,00:07:09,3.43
201611,Cold weather payments,14,2.14,7.14%,16.67%,00:04:22,3.71
201611,compensation,14,1.93,7.14%,11.11%,00:06:43,18.64
201611,cv,14,1.36,7.14%,5.26%,00:01:23,2
201611,Death,14,1,14.29%,14.29%,00:03:11,1.86
201611,Deaths,14,1.79,7.14%,20.00%,00:01:57,2
201611,Disclosure certificates,14,2,0.00%,10.71%,00:03:42,4.79
201611,DL1R,14,1.57,28.57%,13.64%,00:01:21,2.14
201611,Dva,14,1.43,21.43%,20.00%,00:04:26,2.64
201611,Forms,14,2.64,21.43%,21.62%,00:03:09,1.86
201611,Heating allowance,14,2.86,21.43%,17.50%,00:03:14,1.86
201611,holiday entitlement,14,1.36,14.29%,15.79%,00:02:43,1.43
201611,Login,14,1.57,35.71%,13.64%,00:06:02,5.64
201611,premium bonds,14,1.43,64.29%,5.00%,00:00:33,0.29
201611,Provisional,14,1.14,0.00%,25.00%,00:04:00,1.07
201611,Provisional licence,14,1.07,0.00%,13.33%,00:00:32,1.57
