UK Fig 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability of NGA networks: end 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of households (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,UK,FRA,FRA,GER,GER,GER,ITA,ITA,USA,USA,USA,CAN,CAN,JPN,AUS,AUS,ESP,ESP,NED,NED,NED,SWE,POL,POL,POL,BRA,BRA,BRA,RUS,IND,IND,CHN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed line voice retail revenues: 2007 to 2012 (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,67.2,64.7,57.9,54,50.9,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,26.9,24.9,23.2,21.4,19.7,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,13.8,12.8,11.7,10.8,9.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,10.4,10.2,9.6,9.3,8.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,7.6,7.4,7.2,6.8,6.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,8.7,8.1,7.5,6.9,6.6,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,9.3,8.5,7.3,6.6,5.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,5.9,5.8,5.4,5.1,4.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,13.3,14.2,13.8,13,12.5,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,19.1,17.3,13.5,11.8,9.7,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,5.1,5.4,5.3,5.5,5.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,5.7,5.6,5.2,4.6,4.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2.4,2.3,2.1,2.1,1.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,3.1,2.6,2.3,1.9,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,1.7,1.5,1.4,1.3,1.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,1.7,1.5,1.4,1.2,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,1,1,0.9,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoIP revenues as a proportion of fixed voice revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2007,2,4,1,2,4,3,8,10,0,9,4,0,0,,,,,,,,,,,,,,,,,,,,,
2012,6,9,5,10,19,0,21,37,11,27,14,8,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed line voice call volumes: 2007 and 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call minutes (billions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,CHN,,,,,,,,,,,,,,,,,,,
2007,149,104,198,102,809,72,113,19,68,26,28,9,24,214,0,,,,,,,,,,,,,,,,,,,
2012,103,111,178,77,469,0,56,13,61,21,15,6,13,172,164,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for USA and CAN exclude local and VoIP calls and include incoming mobile calls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly outbound minutes per fixed line: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,303,343,380,436,485,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,385,417,431,430,407,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,310,325,346,353,361,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,313,304,312,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,426,393,361,307,299,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,361,343,318,309,278,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,158,155,157,133,130,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,150,140,134,128,120,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,284,312,328,351,389,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,453,431,437,419,352,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,372,373,350,326,317,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,324,303,307,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,283,276,274,272,273,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,366,351,318,299,279,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,197,185,173,175,179,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,59,53,49,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for USA and CAN exclude local and VoIP calls and include incoming mobile calls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incumbent operator’s share of fixed voice call volumes: 2007 and 2012  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market share (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,
2007,48,55,51,62,64,70,66,61,55,63,66,,,,,,,,,,,,,,,,,,,,,,,
2012,39,48,50,48,0,64,51,49,45,50,58,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed exchange lines: 2007 and 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
2007,34,29,53,22,158,19,59,11,20,8,6,2,10,39,45,39,374,,,,,,,,,,,,,,,,,
2012,33,18,39,16,140,18,39,10,19,4,5,2,5,45,43,31,278,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband revenues: 2007 and 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue £bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2007,3,4,4,3,20,3,14,2,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
2012,4,7,5,4,32,4,20,2,3,2,1,0,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband as a proportion of total fixed revenues: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2007,22,30,21,23,23,26,34,20,29,37,31,16,21,,,,,,,,,,,,,,,,,,,,,
2012,30,59,35,36,41,40,53,34,41,53,43,26,41,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail fixed broadband average revenue per connection: 2007 to 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,42.68,43.31,44.56,44.66,44.44,43.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,30.52,30.77,31.09,31.04,30.98,31.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,26.33,25.97,26.97,28.16,28.92,30.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,23.85,25.81,27.62,27.61,27.02,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,23.62,23.36,22.81,22.57,22.16,21.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,26.24,25.52,24.13,23.12,21.01,19.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,17.18,15.82,15.07,13.96,14.18,14.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,17.84,16.15,15.18,14.9,14.54,14.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,21.84,21.54,23.42,24.33,25.47,25.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,24.41,23.76,23.06,22.22,21.96,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,23.9,20.45,18.95,20.3,20.87,20.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,26.24,25.52,24.13,23.12,21.01,19.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,11.16,10.12,10.53,10.07,9.26,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections (million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
2007,16,16,20,10,70,9,28,5,8,6,3,1,4,7,5,3,66,,,,,,,,,,,,,,,,,
2012,22,24,28,14,92,12,40,6,12,7,3,1,6,19,27,15,175,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail connection share of the three largest  fixed broadband providers: 2007 to 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2007,67,86,72,87,50,59,71,77,81,76,78,71,65,,,,,,,,,,,,,,,,,,,,,
2012,70,84,68,80,49,51,66,77,75,80,74,86,68,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total comparator country retail mobile telecoms revenue, by country type: 2007 to 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,83,85,84,85,85,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA/CAN,96,103,107,112,119,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS/JPN,65,61,61,62,66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIC,70,79,86,94,104,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,314,329,339,354,373,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total comparator country retail mobile telecoms revenue, by sector: 2007 to 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,007","2,008","2,009",2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice,248,248,242,238,235,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS,31,38,43,49,56,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile internet,34,42,53,67,82,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,314,329,339,354,373,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Retail mobile revenues, by service and country: 2007 and 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,
,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012
Voice,11,11,13,10,14,11,9,7,73,65,7,8,39,23,6,5,10,7,3,3,2,2,1,1,3,3,12,15,8,10,5,7,32,45
SMS,3,2,2,3,2,3,2,2,6,10,0,1,0,0,1,2,1,1,1,0,0,0,0,0,1,1,,,,,,,,
Internet,0,3,1,2,2,6,1,2,9,38,1,3,19,31,1,4,1,2,0,1,0,1,0,0,0,0,,,,,,,,
Total data,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,3,0,2,10,24
Total,14,16,15,15,18,19,12,11,88,112,8,12,57,54,8,11,12,10,4,4,2,3,2,1,3,4,13,20,9,14,5,9,43,69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly revenue per mobile connection: 2007 to 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,36.04,36.83,36.69,36.01,35,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,48.74,42.7,40.14,38.25,37.82,35.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,29.76,31.37,31.67,31.16,30.34,29.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,29.91,29.56,28.87,28.67,28.88,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,23.98,23.92,22.94,22.16,20.56,18.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,16.46,16.19,15.79,15.49,15.62,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,16.8,14.89,13.84,14.24,13.98,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,12.11,11.43,11.32,11.04,10.42,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,16.52,17.17,16.66,17.41,18.32,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,27.14,25.82,22.24,20.18,18.47,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,14.22,14.38,14.29,15.11,15.41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,20.7,19.75,18.21,17,15.71,14.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,9.58,8.89,8.29,7.56,6.92,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,7.16,7.15,6.56,6.43,6.14,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,7.27,6.69,6.24,5.95,5.83,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,4.59,5.12,4.79,4.9,4.85,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,2.34,1.9,1.33,0.94,0.8,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data as a proportion of total mobile service revenues: 2007 and 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,
,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012
SMS,19,15,11,18,13,15,17,14,7,9,4,4,0,0,15,15,12,6,14,11,10,13,20,10,16,26,,,,,,,,
Mobile internet,2,16,5,15,9,29,10,20,10,34,12,29,33,57,9,35,6,23,4,22,5,26,0,20,1,3,,,,,,,,
Total data,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,27.7,9,25.1,6,22,24,35
Total,20.9,31,15.9,33,22.3,44.4,27,34.2,16.7,42.5,15.8,33.1,32.5,57,23.7,50.2,17.8,28.8,18.5,32.9,15.5,38.2,19.9,30.8,17,29.4,7.4,27.7,9,25.1,6,22,24,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Excludes SMS revenues. CHN, USA and CAN data for total mobile service revenues includes revenues from incoming calls  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile voice call volumes: 2007 and 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
2007,106,100,76,98,2124,103,126,22,67,22,16,9,35,75,154,488,2508,,,,,,,,,,,,,,,,,
2012,132,119,110,144,2300,150,146,44,70,23,24,11,69,277,406,1801,6418,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Figures for USA, CAN and CHN include incoming calls ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile messaging volumes: 2007 and 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billins of messages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
