Supplier payments over £250 in April 2014,,,,,,,,
Body Name,Date,Transaction No.,Amount,Supplier Name,Expense Area,Expense Type,Expense Code,Service Area
South Lakeland District Council,16/04/2014,40012,13041.31,NPS GROUP LTD,Social Enterprise Admin,Contract payments,KLL1722101,Culture and Related Serv
South Lakeland District Council,16/04/2014,40013,2500,NPS GROUP LTD,Development Strategy,Other Consultants,GLP3114556,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,40014,2000,NPS GROUP LTD,Development Implementation,NPS - Design Work,ECC7815592,Central Services
South Lakeland District Council,16/04/2014,40018,1836,DUE NORTH LTD,Financial Services,Software Maintenance,EFS2214694,Central Services
South Lakeland District Council,23/04/2014,40019,800.1,BADENOCH & CLARK,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,28/04/2014,40020,271.5,CRUDEN PROPERTY SERVICES LTD,Car Parks,Car Park Surfaces,GCK3712010,Highways & Transport Services
South Lakeland District Council,28/04/2014,40020,1167.78,CRUDEN PROPERTY SERVICES LTD,Leisure Centres (incl Pools),NPS Day to Day maintenance,GLE1112091,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40020,725.6,CRUDEN PROPERTY SERVICES LTD,Leisure Centres (incl Pools),NPS Day to Day maintenance,GLE2212091,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40020,312.43,CRUDEN PROPERTY SERVICES LTD,Markets,NPS Day to Day maintenance,GMK4212091,External Trading Accounts
South Lakeland District Council,28/04/2014,40020,1012.35,CRUDEN PROPERTY SERVICES LTD,Public Halls,NPS Planned Maintenance,GPH8112090,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40020,298.18,CRUDEN PROPERTY SERVICES LTD,Public Halls,NPS Day to Day maintenance,GPH8112091,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40020,307.37,CRUDEN PROPERTY SERVICES LTD,Sundry Properties,NPS Planned Maintenance,GSY1112090,External Trading Accounts
South Lakeland District Council,28/04/2014,40021,712.5,BADENOCH & CLARK,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,30/04/2014,40022,2742.5,NPS GROUP LTD,Development Implementation,NPS Fees etc,GLE0112095,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40023,325.5,WICKSTEED LEISURE LTD,Social Enterprise Admin,Play Areas Maintenance,GPK6112009,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,40024,5890.59,IT PROFESSIONAL SERVICES (ITPS),ICT Group,Computer-Phone Lines,ERI3214690,Central Services
South Lakeland District Council,23/04/2014,40025,9279.81,CONTINENTAL LANDSCAPES LTD,Social Enterprise Admin,Grounds,GCM0112006,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40025,45364.02,CONTINENTAL LANDSCAPES LTD,Social Enterprise Admin,Grounds,GPK6112006,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40025,347.99,CONTINENTAL LANDSCAPES LTD,Social Enterprise Admin,Grounds CCC Grass Verges,GPK6112018,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40025,2203.95,CONTINENTAL LANDSCAPES LTD,Social Enterprise Admin,Grounds,GRG7112006,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,40027,1758.67,SITEIMPROVE LTD,ICT Group,Software Maintenance,ERI3214694,Central Services
South Lakeland District Council,28/04/2014,40028,2563,Lakemere Environmental Services Limited,Business Support Community Services,Equipment Furniture Materials,GWK1314170,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,01/04/2014,40034,4183.02,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Business Support Community Services,Fuel,STG3113131,Internal Trading Accounts
South Lakeland District Council,01/04/2014,40034,745.94,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Business Support Community Services,Fuel,STS4013131,Internal Trading Accounts
South Lakeland District Council,01/04/2014,40034,13620.98,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Business Support Community Services,Fuel,SWK1313131,Internal Trading Accounts
South Lakeland District Council,23/04/2014,40036,250,Occupational Health North West Ltd,Human Resources,Health & Safety,ECH6112097,Central Services
South Lakeland District Council,23/04/2014,40038,2366.1,FLORENCE MADDEN,Human Resources,Training Costs,ECH6211246,Central Services
South Lakeland District Council,23/04/2014,40039,788.7,FLORENCE MADDEN,Human Resources,Training Costs,ECH6211246,Central Services
South Lakeland District Council,28/04/2014,40041,326.41,GLASDON UK LTD,Lake Wardens,Piers,GLW4112012,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,17/04/2014,40042,660,POST OFFICE LTD,Business Support Community Services,Road Fund Licences,STS4013132,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40048,3750,RAINBOW SAFETY SURFACING LTD,Social Enterprise Admin,Purchase of Plant Machinery,KNM5124101,Housing
South Lakeland District Council,01/04/2014,40050,2112.12,NPOWER LTD (NCR),Car Parks,Electricity,GCK9112150,Highways & Transport Services
South Lakeland District Council,01/04/2014,40050,1772.81,NPOWER LTD (NCR),SLDC Depots,Electricity,GDY1112150,Transport Planning Policy
South Lakeland District Council,01/04/2014,40050,539.31,NPOWER LTD (NCR),Markets,Electricity,GMK4112150,External Trading Accounts
South Lakeland District Council,01/04/2014,40050,808.82,NPOWER LTD (NCR),Markets,Electricity,GMK4212150,External Trading Accounts
South Lakeland District Council,23/04/2014,40053,614.01,AUTOPARTS (CUMBRIA) LTD,Lake Wardens,Equipment Furniture Materials,GLW4114170,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40059,407.22,ARCO LIMITED,Business Support Community Services,Protective Clothing & Uniforms,STG3114310,Internal Trading Accounts
South Lakeland District Council,23/04/2014,40060,2492,RIGHT 2 WORK,Customer Services,Bulky Waste Scheme,GWC1214579,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,40064,600,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,16/04/2014,40066,98472.76,E H BOOTH & CO LTD,Financial Services,General,ZHD1798021,SLDC as Agent
South Lakeland District Council,16/04/2014,40066,10907.52,E H BOOTH & CO LTD,Financial Services,General,ZHD1898021,SLDC as Agent
South Lakeland District Council,16/04/2014,40066,36203.75,E H BOOTH & CO LTD,Financial Services,General,ZHD1998021,SLDC as Agent
South Lakeland District Council,16/04/2014,40067,896,COMPUTERSHARE VOUCHER SERVICES LTD,Human Resources,General,XPA5398021,Non-Service Payments
South Lakeland District Council,16/04/2014,40069,453,BUSY BEES BENEFITS LTD,Human Resources,General,XPA5398021,Non-Service Payments
South Lakeland District Council,28/04/2014,40072,963,STRAMONGATE PRESS LTD (PRINTING A/C),Electoral Services,Printing,GEL8514420,Central Services
South Lakeland District Council,16/04/2014,40074,400,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,23/04/2014,40075,273,YORKSHIRE DALES NATIONAL PARK AUTHY,Social Enterprise Admin,Other Local Authorities,GLC9115257,Central Services
South Lakeland District Council,16/04/2014,40076,625,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,16/04/2014,40077,500,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,30/04/2014,40078,900,Open Spaces Ltd,Research and Intelligence,Contract & Agency staff,EXS2111160,Central Services
South Lakeland District Council,16/04/2014,40079,890,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,16/04/2014,40080,1190,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,30/04/2014,40082,74775.31,CUMBRIA LGPS,Financial Services,Pensions Increase Act,GFS1711250,Central Services
South Lakeland District Council,23/04/2014,40083,50000,HOME GROUP LTD,Environment and Housing,Grant Payments,KGT2126101,Housing
South Lakeland District Council,30/04/2014,40085,316.44,ROSEFOX PAPER LIMITED,Printing Section,Paper Supplies,ERP3314423,Central Services
South Lakeland District Council,30/04/2014,40095,1000,JETTIES & MOORINGS,Lake Wardens,Holiday Moorings,GLW4112011,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40095,400,JETTIES & MOORINGS,Lake Wardens,Piers,GLW4112012,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40107,2086.42,NPS GROUP LTD,Offices,NPS Planned Maintenance,EPX0112090,Central Services
South Lakeland District Council,23/04/2014,40108,4795.33,SOUTH LAKES HOUSING RENT A/C,Debtors,Payments to ALMO,XDR1215147,Non-Service Payments
South Lakeland District Council,01/04/2014,40109,11707.21,SOUTH LAKES HOUSING (CHAPS),Debtors,Payments to ALMO,XDR1215147,Non-Service Payments
South Lakeland District Council,17/04/2014,40111,10676,ONE OFF TICKET SALES (CORO HALL),Holding Accounts,General,ZHD0198021,SLDC as Agent
South Lakeland District Council,17/04/2014,40113,15033.44,ULVERSTON TOWN LANDS TRUST,Financial Services,General,ZHD2098021,SLDC as Agent
South Lakeland District Council,17/04/2014,40114,2000,ULVERSTON TOWN LANDS TRUST,Financial Services,Rent,GCK7212260,Highways & Transport Services
South Lakeland District Council,28/04/2014,40116,9399.54,ALDINGHAM PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40117,16479.31,ALLITHWAITE UPPER PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40118,17970,ARNSIDE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40119,1305.98,BARBON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40120,17216,BEETHAM PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40121,2008.11,BLAWITH & SUBBERTHWAITE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40122,3742.87,BROUGHTON EAST PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40123,20651.29,BURNESIDE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40124,11679,BURTON-IN-KENDAL PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40125,6137.68,CARTMEL FELL PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40126,8464.22,CASTERTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40127,3931.4,CLAIFE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40128,10986.04,COLTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40129,18647.93,CONISTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40130,5205.54,CROOK PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40131,4511.18,CROSTHWAITE & LYTH PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40133,13037.58,DUDDON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40134,6718.44,EGTON NEWLAND MANSRIGGS OSMOTHERLEY P.C.,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40135,1737.06,GARSDALE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40136,71115.53,GRANGE OVER SANDS TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40137,380.99,GRAYRIGG PARISH MEETING,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40138,11310.72,HAVERTHWAITE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40139,10343.19,HAWKSHEAD PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40140,6000,HELSINGTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40141,8340,HEVERSHAM PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40142,19941.21,HOLME PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40143,730.1,HUTTON ROOF PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40144,153752.56,KENDAL TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40145,1900,KENTMERE PARISH MEETING,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40146,5672.32,KIRKBY IRELETH PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40147,20427.1,KIRKBY LONSDALE TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40148,46593,LAKES PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40149,11071.46,LEVENS PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40150,27911.64,ALLITHWAITE LOWER PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40151,15392.33,LOWER HOLKER PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40152,2650,LOWICK PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40153,2009.96,LUPTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40154,19395.37,MILNTHORPE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40155,7156.3,NATLAND PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40156,891.37,NEW HUTTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40157,2909.11,OLD HUTTON & HOLMESCALES PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40158,4411.72,PENNINGTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40159,3394.06,PRESTON PATRICK PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40160,24206.52,PRESTON RICHARD PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40161,4756.08,SATTERTHWAITE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40162,17033.53,SEDBERGH PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40163,10200,SEDGWICK PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40164,3462.24,SKELSMERGH & SCALTHWAITERIGG P.C.,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40165,4000,SKELWITH PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40166,2716.3,STAINTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40167,4156.36,STAVELEY IN CARTMEL PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40168,13243.97,STAVELEY WITH INGS PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40169,2442.9,TORVER PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40170,72980.69,ULVERSTON TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40171,5375.71,UNDERBARROW & BRADLEYFIELDPARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40172,9065.5,URSWICK PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40173,56940.75,WINDERMERE TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40174,4198.02,"WITHERSLACK, MEATHOP & ULPHA P.C.",Revenue Account For Year,Other Local Authorities,VGR2415257,Housing Benefits
South Lakeland District Council,28/04/2014,40175,491.46,ALDINGHAM PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40176,916.69,ALLITHWAITE UPPER PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40177,1536.25,ARNSIDE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40179,651.63,BEETHAM PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40182,1784.71,BURNESIDE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40183,472.96,BURTON-IN-KENDAL PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40185,301.78,CASTERTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40187,285.71,COLTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40188,983.03,CONISTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40192,462.42,DUDDON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40193,281.13,EGTON NEWLAND MANSRIGGS OSMOTHERLEY P.C.,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40195,8498.06,GRANGE OVER SANDS TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40197,689.28,HAVERTHWAITE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40198,412.81,HAWKSHEAD PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40199,269.34,HELSINGTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40201,1306.79,HOLME PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40203,29412.5,KENDAL TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40205,2017.81,KIRKBY LONSDALE TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40206,4915.4,LAKES PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40207,268.47,LEVENS PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40208,1088.36,ALLITHWAITE LOWER PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40209,1357.67,LOWER HOLKER PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40212,1854.63,MILNTHORPE PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40216,262.28,PENNINGTON PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40218,793.61,PRESTON RICHARD PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40220,1946.95,SEDBERGH PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40226,756.03,STAVELEY WITH INGS PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40228,15628.73,ULVERSTON TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40230,469.5,URSWICK PARISH COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40231,8362.07,WINDERMERE TOWN COUNCIL,Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,28/04/2014,40232,301.98,"WITHERSLACK, MEATHOP & ULPHA P.C.",Revenue Account For Year,Other Local Authorities,VGR4815257,Parish CT Grant
South Lakeland District Council,23/04/2014,40233,15500,ULVERSTON TOWN COUNCIL,Democratic Services,Other Local Authorities,GCN1115257,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40234,15250,GRANGE OVER SANDS TOWN COUNCIL,Democratic Services,Other Local Authorities,GCN1115257,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40235,10500,KIRKBY LONSDALE TOWN COUNCIL,Democratic Services,Other Local Authorities,GCN1115257,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40236,10000,LAKES PARISH COUNCIL,Democratic Services,Other Local Authorities,GCN1115257,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,40237,1050,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,23/04/2014,40238,500,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,23/04/2014,40239,906.25,James Andrews Recruitment Solutions,Business Support Community Services,Contract & Agency staff,GHM1111160,Housing Services
South Lakeland District Council,28/04/2014,40240,866.1,Matchtech,Social Enterprise Admin,Contract & Agency staff,GDC0111160,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40242,973.76,VENN GROUP RECRUITMENT SOLUTIONS,Financial Services,Contract & Agency staff,EFS2111160,Central Services
South Lakeland District Council,23/04/2014,40243,351.15,GMB,Payroll Deductions,General,XPA5298021,Non-Service Payments
South Lakeland District Council,23/04/2014,40244,332.67,PAYCARE,Payroll Deductions,General,XPA5498021,Non-Service Payments
South Lakeland District Council,23/04/2014,40245,2152.03,UNISON,Payroll Deductions,General,XPA5198021,Non-Service Payments
South Lakeland District Council,23/04/2014,40246,7000,ARNSIDE PARISH COUNCIL,Democratic Services,Other Local Authorities,GCN1115257,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40247,1538.46,MORGAN HUNT UK LIMITED,Development Strategy,Contract & Agency staff,GHM1111160,Housing Services
South Lakeland District Council,28/04/2014,40248,436.6,Masterstaff Limited,Social Enterprise Admin,Contract & Agency staff,GLC9111160,Central Services
South Lakeland District Council,23/04/2014,40252,705,James Andrews Recruitment Solutions,Environment and Housing,Contract & Agency staff,GHT4111160,Housing Services
South Lakeland District Council,23/04/2014,40253,544.64,ADECCO UK LIMITED,Research and Intelligence,Contract & Agency staff,EXS2111160,Central Services
South Lakeland District Council,30/04/2014,40254,450.83,J R RICHARDSON LTD,Business Support Community Services,Job Consumables,STS4014180,Internal Trading Accounts
South Lakeland District Council,23/04/2014,40259,1575,Complete Storage and Interiors Ltd,Lake Windermere,NPS Planned Maintenance,GLW4112090,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40262,267,ETS UK LIMITED,Business Support Community Services,Transport-Repair & Maintenance,STS4013133,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40265,12850.63,CUMBRIA WASTE RECYCLING LTD,Business Support Community Services,Empty recycling banks,GWR2114582,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40266,350,Harry Park Tyres Ltd,Business Support Community Services,Vehicle - Tyres,STS4013136,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40268,516,Harry Park Tyres Ltd,Business Support Community Services,Vehicle - Tyres,STS4013136,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40271,986,Harry Park Tyres Ltd,Business Support Community Services,Vehicle - Tyres,STS4013136,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40274,480,NORTHGATE INFORMATION SOLUTIONS UK LTD,ICT Group,Software Maintenance,ERI3214694,Central Services
South Lakeland District Council,23/04/2014,40279,566.38,PAYROLL REFUNDS/ADVANCES,Debtors,General,XDR2398021,Non-Service Payments
South Lakeland District Council,30/04/2014,40289,371.76,CUMBRIA WASTE RECYCLING LTD,Coronation Hall,Skip and Bin Hire and Disposal,GMK4214571,External Trading Accounts
South Lakeland District Council,30/04/2014,40295,1036.96,CUMBRIA WASTE RECYCLING LTD,Business Support Community Services,Tipping & Disposal Charges,STG3114573,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40300,252,KLEENOIL FILTRATION LTD,Business Support Community Services,Transport-Repair & Maintenance,STS4013133,Internal Trading Accounts
South Lakeland District Council,28/04/2014,40301,353.33,LANCASTER TRAINING SERVICES LTD,Business Support Community Services,Training Costs,SWK1311246,Internal Trading Accounts
South Lakeland District Council,28/04/2014,40302,323.75,LANCASTER TRAINING SERVICES LTD,Business Support Community Services,Training Costs,SWK1311246,Internal Trading Accounts
