Newcastle City Council Invoices over £250 paid in August 2013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,
Adult and Culture,Social Services                        ,Premises,16/08/2013,HAWKSIDE MANAGEMENT SERVICES LTD,5974953,Revenue,1MN10,UASC <18,650.00 ,,,,,,,,,,,
Adult and Culture,Social Services                        ,Premises,16/08/2013,HAWKSIDE MANAGEMENT SERVICES LTD,5974954,Revenue,1MN10,UASC <18,900.00 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,HAWTHORN COURT,5968799,Revenue,1MG20,Ind Res Care Elderly,-505.92 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,HAWTHORN COURT,5968799,Revenue,1MG20,Ind Res Care Elderly,"1,815.76 ",,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,13/08/2013,HB CLARK & CO (SUCCESSORS)LTD,5968864,Revenue,1FN02,Mansion House,741.36 ,,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,21/08/2013,HB CLARK & CO (SUCCESSORS)LTD,5980115,Revenue,1FN02,Mansion House,729.36 ,,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,23/08/2013,HB CLARK & CO (SUCCESSORS)LTD,5982528,Revenue,1FN02,Mansion House,461.91 ,,,,,,,,,,,
Chief Executive's,CD - Mansion House               ,Supplies & Services,02/08/2013,HB CLARK & CO (SUCCESSORS)LTD,5959726,Revenue,1FN02,Mansion House,337.80 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,HC ONE,5968819,Revenue,1MG10,Ind Nursing Care Elderly,"-1,640.32 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,HC ONE,5968819,Revenue,1MG20,Ind Res Care Elderly,"-9,123.29 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,HC ONE,5968819,Revenue,1MM10,Ind Nursing Care MH,-973.44 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,HC ONE,5968819,Revenue,1MG10,Ind Nursing Care Elderly,"-5,716.57 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,HC ONE,5968819,Revenue,1MG20,Ind Res Care Elderly,"40,005.72 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,HC ONE,5968819,Revenue,1MM10,Ind Nursing Care MH,"1,820.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,HC ONE,5968819,Revenue,3WH71,Free Nursing Care Self Funder,439.16 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,HC ONE,5968819,Revenue,3WH77,Free Nursing Care Com Care,-399.38 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,HC ONE,5968819,Revenue,3WH93,Continuing Care,"21,341.23 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,30/08/2013,HCL SAFETY LTD,5978297,Revenue,1HBTC,Planned Tech Maintenance,389.00 ,,,,,,,,,,,
Chief Executive's,CD - Occup Health Unit           ,Supplies & Services,30/08/2013,HEALTH ASSURED LTD,5965713,Revenue,1FP30,Occupational Health,685.00 ,,,,,,,,,,,
Chief Executive's,CD - Occup Health Unit           ,Supplies & Services,14/08/2013,HEALTH ASSURED LTD,5971745,Revenue,1FP30,Occupational Health,685.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEB1,C&B CC Central Costs,"1,000.00 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EED1,North Moor CC Central Costs,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEE1,East CC Central Costs,"1,000.00 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEG1,W River CC Central Costs,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEJ7,Newburn Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEK1,Fenham Childrens Centre,"1,000.00 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEK6,Denton Westerhope Chldrn Cent,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEM1,North Fenham Children's Centre,"1,000.00 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEK5,Westerhope Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEH1,NBH CC Central Costs,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEL1,Lemington Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,15/08/2013,HEALTH WORKS NEWCASTLE,5967758,Revenue,1EEM6,Woodlands Children's Centre,"1,000.00 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEB1,C&B CC Central Costs,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EED1,North Moor CC Central Costs,"2,000.00 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEE1,East CC Central Costs,"3,000.00 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEG1,W River CC Central Costs,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEJ7,Newburn Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEK1,Fenham Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEK6,Denton Westerhope Chldrn Cent,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEM1,North Fenham Children's Centre,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEK5,Westerhope Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEH1,NBH CC Central Costs,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEL1,Lemington Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,23/08/2013,HEALTH WORKS NEWCASTLE,5982209,Revenue,1EEM6,Woodlands Children's Centre,0.00 ,,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,14/08/2013,HEALTH WORKS NEWCASTLE,5971905,Revenue,1EEJ7,Newburn Childrens Centre,"2,218.20 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,14/08/2013,HEALTH WORKS NEWCASTLE,5971905,Revenue,1EEH1,NBH CC Central Costs,"1,109.10 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,14/08/2013,HEALTH WORKS NEWCASTLE,5971905,Revenue,1EEL1,Lemington Childrens Centre,"2,218.20 ",,,,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,30/08/2013,HEALTH WORKS NEWCASTLE,5985489,Revenue,1EEP5,2Yr Old Learning & Childcare,"6,565.69 ",,,,,,,,,,,
Children's Services,Play Service               ,Premises,14/08/2013,HEALTH WORKS NEWCASTLE,5971734,Revenue,1EEG1,W River CC Central Costs,"11,250.00 ",,,,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,07/08/2013,HEALTHWORKS NEWCASTLE (DO NOT USE),5953853,Revenue,1ML13,PH - Other,"3,000.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/08/2013,HEALTHWORKS NEWCASTLE (DO NOT USE),5960874,Revenue,1ML07,PH -Obesity and phys activity,"15,102.92 ",,,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/08/2013,HEALTHWORKS NEWCASTLE (DO NOT USE),5960874,Revenue,1ML12,PH -E Years and Children 5-19,"6,823.60 ",,,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/08/2013,HEALTHWORKS NEWCASTLE (DO NOT USE),5960874,Revenue,1ML04,PH - Health Improvement,"17,262.56 ",,,,,,,,,,,
Environment & Regeneration,EEC U/Design            ,Premises,02/08/2013,HEART OF THE CITY PARTNERSHIP,5936197,Revenue,1V079,Heritage Projects,"30,000.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,HEATHERFIELD,5983857,Revenue,1MG10,Ind Nursing Care Elderly,"-1,028.32 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,HEATHERFIELD,5983857,Revenue,1MG20,Ind Res Care Elderly,-893.16 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,HEATHERFIELD,5983857,Revenue,1MH10,Ind Nursing Care PD,-392.40 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,HEATHERFIELD,5983857,Revenue,1MG10,Ind Nursing Care Elderly,"3,620.40 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,HEATHERFIELD,5983857,Revenue,1MG20,Ind Res Care Elderly,"1,823.56 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,HEATHERFIELD,5983857,Revenue,1MH10,Ind Nursing Care PD,"3,036.24 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,HEATHERFIELD,5983857,Revenue,1MK20,Ind Res Care LD,"3,051.24 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,HEATHERFIELD,5983857,Revenue,1MM10,Ind Nursing Care MH,"3,475.40 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,HEATHERFIELD,5983857,Revenue,3WH93,Continuing Care,"3,036.00 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,27/08/2013,HEATON CATERING EQUIPMENT LTD,5983176,Revenue,1KVEM,Mechanical Stand Alone Works,376.34 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,14/08/2013,HEATON CATERING EQUIPMENT LTD,5967857,Revenue,1KBAA,Building Contracts,"1,031.00 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,14/08/2013,HEATON CATERING EQUIPMENT LTD,5971792,Revenue,1KVEM,Mechanical Stand Alone Works,304.38 ,,,,,,,,,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,27/08/2013,HEATON CATERING EQUIPMENT LTD,5983187,Revenue,1KF07,Banqueting Suite,670.19 ,,,,,,,,,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,14/08/2013,HEATON CATERING EQUIPMENT LTD,5971795,Revenue,1KF07,Banqueting Suite,329.74 ,,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,19/08/2013,HEATON CATERING EQUIPMENT LTD,5976615,Revenue,1KF04,Staff Restaurant,293.44 ,,,,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,30/08/2013,HEATON COMMUNITY CENTRE,5985490,Revenue,1EEP5,2Yr Old Learning & Childcare,"2,182.50 ",,,,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,30/08/2013,HEATON COMMUNITY CENTRE,5986683,Revenue,1EEP5,2Yr Old Learning & Childcare,"3,819.38 ",,,,,,,,,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,22/08/2013,HEATON COMMUNITY CENTRE,5979311,Revenue,1KN71,North Heaton Ward,"3,570.00 ",,,,,,,,,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,22/08/2013,HEATON COMMUNITY CENTRE,5979314,Revenue,1KN62,South Heaton Ward,"2,520.00 ",,,,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,30/08/2013,HEATON NURSERY SCHOOL,5985570,Revenue,1EEP5,2Yr Old Learning & Childcare,"1,091.25 ",,,,,,,,,,,
Adult and Culture,Social Services                        ,Third Party Payments,02/08/2013,HEATON ROAD SURGERY,5960172,Revenue,1ML11,PH - Smoking & Tobacco,200.00 ,,,,,,,,,,,
Adult and Culture,Social Services                        ,Third Party Payments,02/08/2013,HEATON ROAD SURGERY,5960172,Revenue,1ML10,PH - Sexual health -C'ception,"1,959.30 ",,,,,,,,,,,
Adult and Culture,Social Services                        ,Third Party Payments,02/08/2013,HEATON ROAD SURGERY,5960172,Revenue,1ML03,PH - NHS Health Checks,"1,995.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,HELPING HANDS COMMUNITY CARE LTD,5961738,Revenue,1MK54,Dom Care Own Tenancy LD,397.12 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,HENSHAWS SOCIETY FOR BLIND PEOPLE,5983835,Revenue,1MK20,Ind Res Care LD,-315.20 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,HENSHAWS SOCIETY FOR BLIND PEOPLE,5983835,Revenue,1MK20,Ind Res Care LD,"3,107.20 ",,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5612770,Revenue,1HBSP,Planned Service&Plant Maint,"1,657.80 ",,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5659259,Revenue,1HBSP,Planned Service&Plant Maint,"1,171.20 ",,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5716971,Revenue,1HBSP,Planned Service&Plant Maint,418.40 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5745887,Revenue,1HBSP,Planned Service&Plant Maint,"1,171.20 ",,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5769154,Revenue,1HBSP,Planned Service&Plant Maint,"1,024.60 ",,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5778748,Revenue,1HBSP,Planned Service&Plant Maint,990.00 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5884979,Revenue,1HBSP,Planned Service&Plant Maint,"2,696.40 ",,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5895619,Revenue,1HBSP,Planned Service&Plant Maint,827.10 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5895622,Revenue,1HBSP,Planned Service&Plant Maint,333.80 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898448,Revenue,1HBSP,Planned Service&Plant Maint,319.48 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898462,Revenue,1HBSP,Planned Service&Plant Maint,446.54 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898465,Revenue,1HBSP,Planned Service&Plant Maint,416.11 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898475,Revenue,1HBSP,Planned Service&Plant Maint,430.60 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898483,Revenue,1HBSP,Planned Service&Plant Maint,279.64 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898486,Revenue,1HBSP,Planned Service&Plant Maint,279.64 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898504,Revenue,1HBSP,Planned Service&Plant Maint,388.73 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898527,Revenue,1HBSP,Planned Service&Plant Maint,388.73 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898583,Revenue,1HBSP,Planned Service&Plant Maint,263.25 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898696,Revenue,1HBSP,Planned Service&Plant Maint,329.34 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898709,Revenue,1HBSP,Planned Service&Plant Maint,340.37 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898714,Revenue,1HBSP,Planned Service&Plant Maint,457.74 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898768,Revenue,1HBSP,Planned Service&Plant Maint,350.23 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898772,Revenue,1HBSP,Planned Service&Plant Maint,350.23 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898776,Revenue,1HBSP,Planned Service&Plant Maint,330.96 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898780,Revenue,1HBSP,Planned Service&Plant Maint,361.85 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898783,Revenue,1HBSP,Planned Service&Plant Maint,321.81 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898784,Revenue,1HBSP,Planned Service&Plant Maint,294.15 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898795,Revenue,1HBSP,Planned Service&Plant Maint,517.13 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898797,Revenue,1HBSP,Planned Service&Plant Maint,408.04 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898799,Revenue,1HBSP,Planned Service&Plant Maint,408.04 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898804,Revenue,1HBSP,Planned Service&Plant Maint,252.56 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898806,Revenue,1HBSP,Planned Service&Plant Maint,543.30 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898807,Revenue,1HBSP,Planned Service&Plant Maint,544.51 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898808,Revenue,1HBSP,Planned Service&Plant Maint,534.65 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898812,Revenue,1HBSP,Planned Service&Plant Maint,457.74 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898814,Revenue,1HBSP,Planned Service&Plant Maint,574.94 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898815,Revenue,1HBSP,Planned Service&Plant Maint,350.23 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898816,Revenue,1HBSP,Planned Service&Plant Maint,447.88 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898817,Revenue,1HBSP,Planned Service&Plant Maint,534.44 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5898818,Revenue,1HBSP,Planned Service&Plant Maint,662.84 ,,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5907445,Revenue,1HBSP,Planned Service&Plant Maint,"4,003.40 ",,,,,,,,,,,
HRA,HRA Mech & Elec            ,Premises,19/08/2013,HENTLAND GROUP,5929011,Revenue,1HBSP,Planned Service&Plant Maint,"1,758.51 ",,,,,,,,,,,
HRA,HRA IT/Ngate               ,Premises,19/08/2013,HENTLAND GROUP,5616833,Revenue,1HBSP,Planned Service&Plant Maint,975.00 ,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,23/08/2013,HERTEL UK LTD,5982319,Revenue,1MG22,Chirton House,382.75 ,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,23/08/2013,HERTEL UK LTD,5982326,Revenue,1KL61,Parks R&M,290.00 ,,,,,,,,,,,
Environment & Regeneration,EEC Pol & Supp             ,Premises,14/08/2013,HERTEL UK LTD,5972477,Revenue,1HBSP,Planned Service&Plant Maint,"1,134.00 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,19/08/2013,HERTEL UK LTD,5976641,Revenue,1HBSP,Planned Service&Plant Maint,"1,987.50 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,19/08/2013,HERTEL UK LTD,5976653,Revenue,1HBSP,Planned Service&Plant Maint,336.00 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,19/08/2013,HERTEL UK LTD,5976679,Revenue,1HBSP,Planned Service&Plant Maint,585.00 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,19/08/2013,HERTEL UK LTD,5976710,Revenue,1HBSP,Planned Service&Plant Maint,515.00 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,19/08/2013,HERTEL UK LTD,5976723,Revenue,1HBSP,Planned Service&Plant Maint,336.00 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,16/08/2013,HERTEL UK LTD,5975102,Revenue,1HBSP,Planned Service&Plant Maint,348.15 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,16/08/2013,HERTEL UK LTD,5975180,Revenue,1HBSP,Planned Service&Plant Maint,"2,580.51 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,27/08/2013,HERTEL UK LTD,5984371,Revenue,1HBSP,Planned Service&Plant Maint,"1,121.80 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,15/08/2013,HERTEL UK LTD,5974027,Revenue,1HBSP,Planned Service&Plant Maint,"3,037.50 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963968,Revenue,1HBSP,Planned Service&Plant Maint,454.00 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963978,Revenue,1HBSP,Planned Service&Plant Maint,"4,296.35 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963987,Revenue,1HBSP,Planned Service&Plant Maint,"1,201.45 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963988,Revenue,1HBSP,Planned Service&Plant Maint,380.80 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963989,Revenue,1HBSP,Planned Service&Plant Maint,380.80 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963990,Revenue,1HBSP,Planned Service&Plant Maint,380.80 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963991,Revenue,1HBSP,Planned Service&Plant Maint,380.80 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963992,Revenue,1HBSP,Planned Service&Plant Maint,584.11 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963993,Revenue,1HBSP,Planned Service&Plant Maint,735.00 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963994,Revenue,1HBSP,Planned Service&Plant Maint,416.00 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963995,Revenue,1HBSP,Planned Service&Plant Maint,870.50 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5963998,Revenue,1HBSP,Planned Service&Plant Maint,828.50 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5964099,Revenue,1HBSP,Planned Service&Plant Maint,828.50 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5964100,Revenue,1HBSP,Planned Service&Plant Maint,828.50 ,,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,08/08/2013,HERTEL UK LTD,5964116,Revenue,1HBSP,Planned Service&Plant Maint,"2,930.64 ",,,,,,,,,,,
HRA,HRA Property Maint         ,Premises,21/08/2013,HERTEL UK LTD,5976613,Revenue,1HBSP,Planned Service&Plant Maint,488.11 ,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Supplies & Services,09/08/2013,HIGHLY EFFICIENT HEATING LTD,5953861,Revenue,3KS04,Newcastle Warm Zone,922.84 ,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,22/08/2013,HIGHLY EFFICIENT HEATING LTD,5972637,Revenue,3KS04,Newcastle Warm Zone,877.84 ,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,01/08/2013,HIGHLY EFFICIENT HEATING LTD,5950273,Revenue,3KS04,Newcastle Warm Zone,254.17 ,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,23/08/2013,HIGHLY EFFICIENT HEATING LTD,5972636,Revenue,3KS04,Newcastle Warm Zone,805.50 ,,,,,,,,,,,
