Metadata associated with workbook,,MWM_0937,,,,,,,,,,,,,
Title,Document Title,Municipal Waste Statistics - Local Authority data,,,,,,,,,,,,,
Subject,Topic,Municipal Waste Management,,,,,,,,,,,,,
North West,41,Cumbria County Council,Disposal," 262,811 ", - , 38 , - ," 98,315 ", - ," 361,165 ",,,,,
North West,42,Wigan MBC,Unitary," 148,817 ", - , - , - ," 79,390 ", - ," 228,207 ",,,,,
North West,52,Greater Manchester WDA (MBC),Disposal," 878,018 "," 104,066 ", 418 , - ," 297,556 ", - ," 1,280,058 ",,,,,
North West,65,Blackpool Borough Council,Unitary," 62,223 ", 30 , 7 , - ," 23,746 ", - ," 86,006 ",,,,,
North West,66,Blackburn with Darwen Borough Council,Unitary," 59,652 ", - , - , - ," 21,325 ", - ," 80,977 ",,,,,
North West,67,Lancashire County Council,Disposal," 411,679 ", - , - , - ," 244,874 ", - ," 656,553 ",,,,,
North West,73,Merseyside WDA (MBC),Disposal," 661,091 ", 389 , - , - ," 180,580 ", - ," 842,060 ",,,,,
Yorkshire/Humber,74,East Riding of Yorkshire Council,Unitary," 143,854 ", - , 65 , - ," 60,952 ", - ," 204,871 ",,,,,
Yorkshire/Humber,75,Kingston-upon-Hull City Council,Unitary," 115,981 ", 271 , - , - ," 29,013 ", - ," 145,266 ",,,,,
Yorkshire/Humber,76,North East Lincolnshire Council,Unitary," 21,481 "," 48,939 ", 34 , - ," 23,063 ", - ," 93,516 ",,,,,
Yorkshire/Humber,77,North Lincolnshire Council,Unitary," 75,445 ", 37 , - , - ," 26,015 ", - ," 101,497 ",,,,,
Yorkshire/Humber,78,York City Council,Unitary," 86,102 ", - , - , - ," 30,674 "," 2,544 "," 119,320 ",,,,,
Yorkshire/Humber,86,North Yorkshire County Council,Disposal," 268,318 "," 2,441 ", - , - ," 104,054 ", - ," 374,814 ",,,,,
Yorkshire/Humber,87,Sheffield City Council,Unitary," 86,880 "," 102,286 ", 12 , - ," 59,588 ", - ," 248,767 ",,,,,
Yorkshire/Humber,88,Rotherham MBC,Unitary," 101,016 ", - , 5 , - ," 34,569 ", - ," 135,590 ",,,,,
Yorkshire/Humber,89,Doncaster MBC,Unitary," 139,158 ", - , 360 , - ," 42,729 "," 9,789 "," 192,037 ",,,,,
Yorkshire/Humber,90,Barnsley MBC,Unitary," 104,575 ", 89 , - , - ," 29,452 ", - ," 134,116 ",,,,,
Yorkshire/Humber,91,Leeds City Council MBC,Unitary," 268,368 ", 88 , - , - ," 97,734 ", - ," 366,190 ",,,,,
Yorkshire/Humber,92,Kirklees MBC,Unitary," 82,774 "," 118,053 ", - , - ," 38,566 ", 93 ," 239,486 ",,,,,
Yorkshire/Humber,93,Wakefield City MDC,Unitary," 159,585 ", - , - , - ," 36,200 ", - ," 195,785 ",,,,,
Yorkshire/Humber,94,Bradford City MDC (MBC),Unitary," 226,693 ", 65 , 95 , - ," 38,402 ", - ," 265,255 ",,,,,
Yorkshire/Humber,95,Calderdale MBC,Unitary," 69,290 ", - , 49 , - ," 21,993 ", - ," 91,332 ",,,,,
E Midlands,96,Derby City Council,Unitary," 93,383 ", 126 , - , - ," 33,055 ", - ," 126,564 ",,,,,
E Midlands,105,Derbyshire County Council,Disposal," 293,417 ", 9 , - , - ," 99,304 ", 1 ," 392,730 ",,,,,
E Midlands,106,Rutland County Council,Unitary," 14,878 ", - , - , - ," 5,899 ", - ," 20,777 ",,,,,
E Midlands,107,Leicester City Council,Unitary," 34,485 ", 18 , 12 , - ," 24,818 "," 87,818 "," 147,151 ",,,,,
E Midlands,115,Leicestershire County Council,Disposal," 235,154 ", 486 , 60 , - ," 139,734 ", - ," 375,434 ",,,,,
E Midlands,123,Lincolnshire County Council,Disposal," 241,754 ", 144 , - , - ," 125,717 ", - ," 367,615 ",,,,,
E Midlands,131,Northamptonshire County Council,Disposal," 243,691 ", 62 , - , - ," 127,436 ", - ," 371,189 ",,,,,
E Midlands,133,Nottingham City Council,Unitary," 64,533 "," 71,339 ", - , - ," 51,378 ", - ," 187,251 ",,,,,
E Midlands,140,Nottinghamshire County Council,Disposal," 226,799 "," 48,384 ", - , - ," 164,374 ", 71 ," 439,628 ",,,,,
W Midlands,148,Herefordshire Council,Unitary," 71,176 ", - , 91 , - ," 29,023 ", - ," 100,290 ",,,,,
W Midlands,150,Worcestershire County Council,Disposal," 194,458 "," 19,401 ", - , - ," 101,643 ", - ," 315,502 ",,,,,
W Midlands,151,Telford and Wrekin Council,Unitary," 63,758 ", - , 149 , - ," 27,489 ", 93 ," 91,489 ",,,,,
W Midlands,157,Shropshire County Council,Disposal," 117,577 ", - , 333 , - ," 57,679 ", - ," 175,589 ",,,,,
W Midlands,158,Stoke-on-Trent City Council,Unitary," 33,590 "," 75,475 ", 113 , - ," 31,675 ", 24 ," 140,878 ",,,,,
W Midlands,167,Staffordshire County Council,Disposal," 179,900 "," 102,673 ", 71 , - ," 164,320 ", 3 ," 446,967 ",,,,,
W Midlands,173,Warwickshire County Council,Disposal," 207,059 "," 14,143 ", 1 , - ," 90,950 ", - ," 312,153 ",,,,,
W Midlands,174,Wolverhampton MBC,Unitary," 35,731 "," 87,708 ", 94 , - ," 28,489 ", - ," 152,021 ",,,,,
W Midlands,175,Walsall MBC,Unitary," 111,423 "," 4,457 ", - , - ," 34,470 ", - ," 150,349 ",,,,,
W Midlands,176,Solihull MBC,Unitary," 20,221 "," 55,685 ", 45 , - ," 25,422 ", - ," 101,373 ",,,,,
W Midlands,177,Sandwell MBC,Unitary," 117,052 "," 8,061 ", - , - ," 25,431 ", - ," 150,544 ",,,,,
W Midlands,178,Dudley MBC,Unitary," 21,994 "," 87,941 ", - , - ," 29,715 ", 5 ," 139,655 ",,,,,
W Midlands,179,Coventry City Council,Unitary," 24,473 "," 122,199 ", - , - ," 31,753 "," 3,350 "," 181,775 ",,,,,
W Midlands,180,Birmingham City Council,Unitary," 102,587 "," 338,605 ", - , - ," 83,928 ", - ," 525,121 ",,,,,
Eastern,181,Luton Borough Council,Unitary," 73,716 ", 89 , - , - ," 24,587 ", - ," 98,392 ",,,,,
Eastern,185,Bedfordshire County Council,Disposal," 155,550 ", 101 , - , - ," 64,607 ", - ," 220,257 ",,,,,
Eastern,187,Peterborough City Council,Unitary," 68,432 ", - , 17 , - ," 32,381 ", - ," 100,831 ",,,,,
Eastern,192,Cambridgeshire County Council,Disposal," 193,379 ", - , 49 , - ," 130,913 ", - ," 324,342 ",,,,,
Eastern,193,Thurrock Council,Unitary," 57,843 ", 71 , - , - ," 16,896 ", - ," 74,811 ",,,,,
Eastern,194,Southend-on-Sea Borough Council,Unitary," 64,992 ", - , 18 , - ," 21,637 ", - ," 86,647 ",,,,,
Eastern,207,Essex County Council,Disposal," 492,754 ", - , - , - ," 239,307 ", - ," 732,062 ",,,,,
Eastern,218,Hertfordshire County Council,Disposal," 354,690 "," 34,925 ", - , - ," 179,454 ", - ," 569,070 ",,,,,
Eastern,226,Norfolk County Council,Disposal," 271,394 ", 455 , - , - ," 144,238 ", - ," 416,086 ",,,,,
Eastern,234,Suffolk County Council,Disposal," 236,118 ", - , 31 , - ," 154,934 ", - ," 391,082 ",,,,,
London,235,Bexley LB,Unitary," 76,431 "," 12,529 ", - , - ," 45,808 ", 1 ," 134,768 ",,,,,
London,236,Tower Hamlets LB,Unitary," 95,628 ", 14 , - , - ," 7,192 ", - ," 102,835 ",,,,,
London,237,City of London,Unitary," 43,296 ", 17 , - , - ," 1,000 ", - ," 44,313 ",,,,,
London,238,Westminster City Council,Unitary," 34,534 "," 137,215 ", - , - ," 17,204 ", - ," 188,953 ",,,,,
London,243,East London Waste Authority,Disposal," 393,081 "," 26,816 ", - , - ," 72,291 ", - ," 492,188 ",,,,,
London,251,North London Waste Authority,Disposal," 441,025 "," 337,507 ", - , - ," 172,266 ", - ," 950,798 ",,,,,
London,252,Southwark LB,Unitary," 87,204 "," 32,447 ", - , - ," 18,206 ", - ," 137,856 ",,,,,
London,253,Lewisham LB,Unitary," 21,584 "," 105,568 ", - , - ," 14,361 ", - ," 141,513 ",,,,,
London,254,Greenwich LB,Unitary," 13,671 "," 73,422 ", 247 , - ," 23,220 ", - ," 110,561 ",,,,,
London,255,Sutton LB,Unitary," 72,092 ", 893 , - , - ," 27,041 ", - ," 100,027 ",,,,,
London,256,Merton LB,Unitary," 78,317 ", 21 , 71 , - ," 17,741 ", - ," 96,150 ",,,,,
London,257,Royal Borough of Kingston upon Thames ,Unitary," 50,493 ", - , - , - ," 28,696 ", - ," 79,190 ",,,,,
London,258,Croydon LB,Unitary," 154,766 ", 193 , - , - ," 31,800 ", - ," 186,759 ",,,,,
London,259,Bromley LB,Unitary," 94,640 "," 39,069 ", 150 , - ," 41,228 ", - ," 175,087 ",,,,,
London,266,West London Waste Authority,Disposal," 648,527 ", 468 , - , - ," 170,824 ", - ," 819,819 ",,,,,
London,271,Western Riverside Waste Authority,Disposal," 386,768 ", 856 , - , - ," 74,471 ", - ," 462,095 ",,,,,
S East,272,Wokingham Council,Unitary," 51,376 ", 54 , 30 , - ," 23,927 ", - ," 75,387 ",,,,,
S East,273,Windsor and Maidenhead Borough Council,Unitary," 51,525 ", - , - , - ," 21,550 ", - ," 73,075 ",,,,,
S East,274,Slough Borough Council,Unitary," 50,620 ", - , 27 , - ," 9,753 ", - ," 60,400 ",,,,,
S East,275,Reading Borough Council,Unitary," 61,885 ", 543 , - , - ," 17,732 ", - ," 80,161 ",,,,,
S East,276,West Berkshire District Council,Unitary," 65,660 ", - , 2 , - ," 16,721 ", - ," 82,382 ",,,,,
S East,277,Bracknell Forest Borough Council,Unitary," 49,462 ", 7 , 4 , - ," 17,691 ", - ," 67,163 ",,,,,
S East,279,Milton Keynes Council,Unitary," 85,212 ", - , - , - ," 40,565 ", - ," 125,777 ",,,,,
S East,284,Buckinghamshire County Council,Disposal," 167,625 ", - , 129 , - ," 100,559 ", 25 ," 268,337 ",,,,,
S East,285,Brighton and Hove Council,Unitary," 82,693 ", 540 , - , - ," 29,690 ", - ," 112,923 ",,,,,
S East,291,East Sussex County Council,Disposal," 196,897 "," 1,189 ", 56 , - ," 78,487 ", - ," 276,628 ",,,,,
S East,292,Southampton City Council,Unitary," 33,660 "," 60,001 ", - , 393 ," 30,936 ", - ," 124,989 ",,,,,
S East,293,Portsmouth City Council,Unitary," 16,055 "," 51,013 ", - , - ," 20,405 ", - ," 87,473 ",,,,,
S East,305,Hampshire County Council,Disposal," 133,056 "," 314,905 ", 104 , - ," 234,842 ", - ," 682,907 ",,,,,
S East,306,Isle of Wight Council,Unitary," 29,869 ", - , - ," 28,987 "," 23,411 ", - ," 82,267 ",,,,,
S East,313,Medway Borough Council,Unitary," 92,292 ", - , - , - ," 48,263 ", - ," 140,555 ",,,,,
S East,321,Kent County Council,Disposal," 555,070 ", - , - , - ," 255,693 ", - ," 810,763 ",,,,,
S East,327,Oxfordshire County Council,Disposal," 214,038 ", - , - , - ," 100,121 ", - ," 314,159 ",,,,,
S East,339,Surrey County Council,Disposal," 450,352 ", 479 , - , - ," 167,596 ", - ," 618,427 ",,,,,
S East,347,West Sussex County Council,Disposal," 307,296 "," 2,709 ", - , - ," 146,595 ", 456 ," 457,056 ",,,,,
S West,348,Council of the Isles of Scilly,Unitary, - , - ," 2,129 ", - ," 1,037 ", - ," 3,166 ",,,,,
S West,349,Bath and North East Somerset Council,Unitary," 63,643 ", 105 , - , - ," 35,684 ", 4 ," 99,436 ",,,,,
S West,350,Bristol City Council,Unitary," 153,521 ", 110 , - , - ," 37,748 ", - ," 191,378 ",,,,,
S West,357,Cornwall County Council,Disposal," 234,670 ", 43 , 311 , - ," 87,758 ", - ," 322,782 ",,,,,
S West,360,Torbay Council,Unitary," 55,410 ", 33 , - , - ," 26,369 ", - ," 81,812 ",,,,,
S West,363,Plymouth City Council,Unitary," 117,222 ", - , 6 , - ," 47,675 ", - ," 164,902 ",,,,,
S West,368,Devon County Council,Disposal," 250,419 ", - , 507 , - ," 176,265 ", - ," 427,191 ",,,,,
S West,369,Poole Borough Council,Unitary," 70,996 ", 328 , - , - ," 25,078 ", - ," 96,403 ",,,,,
S West,370,Bournemouth Borough Council,Unitary," 73,772 ", - , - , - ," 25,758 "," 3,102 "," 102,632 ",,,,,
S West,377,Dorset County Council,Disposal," 133,416 ", 25 , - , - ," 90,901 ", - ," 224,342 ",,,,,
S West,384,Gloucestershire County Council,Disposal," 213,137 ", - , - , - ," 97,943 ", - ," 311,079 ",,,,,
S West,385,North Somerset Council,Unitary," 86,461 ", - , - , - ," 27,189 ", - ," 113,651 ",,,,,
S West,391,Somerset County Council,Disposal," 188,764 ", - , - , - ," 110,089 ", - ," 298,853 ",,,,,
S West,392,South Gloucestershire Council,Unitary," 83,698 ", 28 , - , - ," 60,906 ", - ," 144,632 ",,,,,
S West,393,Swindon Borough Council,Unitary," 64,786 ", 24 , - , - ," 27,296 ", - ," 92,106 ",,,,,
S West,398,Wiltshire County Council,Disposal," 171,227 ", - , - , - ," 87,616 ", - ," 258,843 ",,,,,
,,,Total," 17,872,646 "," 2,853,000 "," 5,957 "," 29,380 "," 7,799,252 "," 165,673 "," 28,725,908 ",,,,,
1Total municipal waste managed may not match total municipal waste collected as reported in Table 1 due to stockpiling of waste between reporting periods.,,,,,,,,,,,,,,,
"Table 3: Local Authority recycling rates, 2005/6 [1]",,,,,,,,,,,,,,,
GOR,Jpp Order,Authority,Authority Type,Total household recycling,Total household waste collected,Household recycling & composting rate,Total municipal recycling,Total municipal waste collected,Municipal recycling rate,,,,,,
North East,1,Stockton-on-Tees Borough Council,Unitary," 13,319 "," 87,684 ",15.2%," 19,193 "," 95,721 ",20.1%,,,,,,
North East,2,Redcar and Cleveland Borough Council,Unitary," 25,080 "," 64,259 ",39.0%," 28,512 "," 75,629 ",37.7%,,,,,,
North East,3,Middlesbrough Borough Council,Unitary," 6,748 "," 57,924 ",11.7%," 10,101 "," 76,599 ",13.2%,,,,,,
North East,4,Hartlepool Borough Council,Unitary," 7,815 "," 38,912 ",20.1%," 11,026 "," 52,896 ",20.8%,,,,,,
North East,5,Darlington Borough Council,Unitary," 9,170 "," 48,389 ",19.0%," 15,371 "," 63,791 ",24.1%,,,,,,
North East,6,Wear Valley District Council,Collection," 4,036 "," 25,882 ",15.6%," 4,036 "," 26,494 ",15.2%,,,,,,
North East,7,Teesdale District Council,Collection," 2,833 "," 11,449 ",24.7%," 2,833 "," 12,074 ",23.5%,,,,,,
North East,8,Sedgefield Borough Council,Collection," 5,469 "," 35,349 ",15.5%," 6,294 "," 40,805 ",15.4%,,,,,,
North East,9,Easington District Council,Collection," 11,443 "," 42,455 ",27.0%," 11,443 "," 46,989 ",24.4%,,,,,,
North East,10,Durham City Council,Collection," 5,925 "," 34,548 ",17.1%," 7,535 "," 38,134 ",19.8%,,,,,,
North East,11,Derwentside District Council,Collection," 4,891 "," 38,471 ",12.7%," 5,015 "," 42,118 ",11.9%,,,,,,
North East,12,Chester-Le-Street District Council,Collection," 3,219 "," 23,080 ",13.9%," 3,219 "," 25,296 ",12.7%,,,,,,
North East,13,Durham County Council,Disposal," 56,467 "," 273,096 ",20.7%," 74,147 "," 305,980 ",24.2%,,,,,,
North East,14,Wansbeck District Council,Collection," 6,520 "," 26,001 ",25.1%," 6,520 "," 26,233 ",24.9%,,,,,,
North East,15,Tynedale District Council,Collection," 4,924 "," 23,907 ",20.6%," 4,924 "," 25,948 ",19.0%,,,,,,
North East,16,Castle Morpeth Borough Council,Collection," 7,231 "," 21,520 ",33.6%," 7,340 "," 23,928 ",30.7%,,,,,,
North East,17,Blyth Valley Borough Council,Collection," 6,289 "," 30,803 ",20.4%," 6,289 "," 31,018 ",20.3%,,,,,,
North East,18,Berwick-upon-Tweed Borough Council,Collection," 1,927 "," 12,424 ",15.5%," 1,997 "," 15,705 ",12.7%,,,,,,
North East,19,Alnwick District Council,Collection," 3,896 "," 12,664 ",30.8%," 3,896 "," 16,795 ",23.2%,,,,,,
North East,20,Northumberland County Council,Disposal," 50,120 "," 165,779 ",30.2%," 56,235 "," 183,131 ",30.7%,,,,,,
North East,21,Sunderland City Council,Unitary," 27,214 "," 143,884 ",18.9%," 32,018 "," 160,918 ",19.9%,,,,,,
North East,22,South Tyneside MBC,Unitary," 15,072 "," 75,108 ",20.1%," 19,122 "," 92,836 ",20.6%,,,,,,
North East,23,North Tyneside Council,Unitary," 21,988 "," 102,657 ",21.4%," 29,474 "," 134,381 ",21.9%,,,,,,
North East,24,Newcastle-upon-Tyne City Council MBC,Unitary," 18,416 "," 129,529 ",14.2%," 23,404 "," 181,335 ",12.9%,,,,,,
North East,25,Gateshead MBC,Unitary," 19,975 "," 100,574 ",19.9%," 23,429 "," 113,733 ",20.6%,,,,,,
North West,26,Warrington Borough Council,Unitary," 19,485 "," 103,898 ",18.8%," 24,444 "," 112,300 ",21.8%,,,,,,
North West,27,Vale Royal Borough Council,Collection," 21,370 "," 51,362 ",41.6%," 21,370 "," 53,094 ",40.2%,,,,,,
North West,28,Macclesfield Borough Council,Collection," 15,305 "," 58,114 ",26.3%," 15,305 "," 63,047 ",24.3%,,,,,,
North West,29,Halton Borough Council,Unitary," 15,235 "," 66,268 ",23.0%," 18,978 "," 74,063 ",25.6%,,,,,,
North West,30,Ellesmere Port and Neston Borough Council,Collection," 11,793 "," 30,773 ",38.3%," 13,048 "," 34,543 ",37.8%,,,,,,
North West,31,Crewe and Nantwich Borough Council,Collection," 11,540 "," 46,514 ",24.8%," 11,540 "," 53,162 ",21.7%,,,,,,
North West,32,Congleton Borough Council,Collection," 14,370 "," 46,642 ",30.8%," 14,663 "," 50,825 ",28.8%,,,,,,
North West,33,Chester City Council,Collection," 14,362 "," 50,887 ",28.2%," 14,362 "," 50,998 ",28.2%,,,,,,
North West,34,Cheshire County Council,Disposal," 125,376 "," 410,330 ",30.6%," 139,156 "," 437,130 ",31.8%,,,,,,
North West,35,South Lakeland District Council,Collection," 11,527 "," 54,161 ",21.3%," 13,675 "," 61,372 ",22.3%,,,,,,
North West,36,Eden District Council,Collection," 9,021 "," 23,473 ",38.4%," 9,550 "," 27,850 ",34.3%,,,,,,
North West,37,Copeland Borough Council,Collection," 9,535 "," 32,805 ",29.1%," 9,535 "," 34,859 ",27.4%,,,,,,
North West,38,Carlisle City Council,Collection," 14,043 "," 50,879 ",27.6%," 14,954 "," 54,479 ",27.4%,,,,,,
North West,39,Barrow-in-Furness Borough Council,Collection," 6,025 "," 33,485 ",18.0%," 6,025 "," 33,485 ",18.0%,,,,,,
North West,40,Allerdale Borough Council,Collection," 13,656 "," 46,578 ",29.3%," 14,440 "," 54,826 ",26.3%,,,,,,
North West,41,Cumbria County Council,Disposal," 93,943 "," 333,764 ",28.1%," 98,315 "," 361,165 ",27.2%,,,,,,
North West,42,Wigan MBC,Unitary," 28,914 "," 159,453 ",18.1%," 79,390 "," 228,207 ",34.8%,,,,,,
North West,43,Trafford MBC,Collection," 15,722 "," 90,795 ",17.3%," 18,986 "," 101,180 ",18.8%,,,,,,
North West,44,Tameside MBC,Collection," 12,395 "," 101,595 ",12.2%," 14,764 "," 125,252 ",11.8%,,,,,,
North West,45,Stockport MBC,Collection," 37,853 "," 127,562 ",29.7%," 37,853 "," 149,524 ",25.3%,,,,,,
North West,46,Salford City Council MBC,Collection," 12,768 "," 97,563 ",13.1%," 12,768 "," 108,827 ",11.7%,,,,,,
North West,47,Rochdale MBC,Collection," 9,256 "," 75,649 ",12.2%," 9,256 "," 76,451 ",12.1%,,,,,,
North West,48,Oldham MBC,Collection," 10,065 "," 98,207 ",10.2%," 10,065 "," 110,646 ",9.1%,,,,,,
North West,49,Manchester City Council MBC,Collection," 34,419 "," 197,441 ",17.4%," 34,419 "," 200,119 ",17.2%,,,,,,
North West,50,Bury MBC,Collection," 16,531 "," 79,148 ",20.9%," 16,531 "," 90,454 ",18.3%,,,,,,
North West,51,Bolton MBC,Collection," 25,793 "," 112,657 ",22.9%," 25,799 "," 128,421 ",20.1%,,,,,,
North West,52,Greater Manchester WDA (MBC),Disposal," 253,057 "," 1,235,560 ",20.5%," 297,556 "," 1,280,058 ",23.2%,,,,,,
North West,53,Wyre Borough Council,Collection," 15,808 "," 49,727 ",31.8%," 15,808 "," 52,807 ",29.9%,,,,,,
North West,54,West Lancashire District Council,Collection," 13,463 "," 48,218 ",27.9%," 13,463 "," 48,304 ",27.9%,,,,,,
North West,55,South Ribble Borough Council,Collection," 13,746 "," 46,346 ",29.7%," 13,746 "," 46,448 ",29.6%,,,,,,
North West,56,Rossendale Borough Council,Collection," 5,896 "," 24,716 ",23.9%," 5,896 "," 26,726 ",22.1%,,,,,,
North West,57,Ribble Valley Borough Council,Collection," 4,053 "," 21,707 ",18.7%," 4,764 "," 22,911 ",20.8%,,,,,,
North West,58,Preston Borough Council,Collection," 13,012 "," 58,510 ",22.2%," 13,012 "," 65,327 ",19.9%,,,,,,
North West,59,Pendle Borough Council,Collection," 9,872 "," 33,478 ",29.5%," 9,872 "," 40,852 ",24.2%,,,,,,
North West,60,Lancaster City Council,Collection," 9,055 "," 55,276 ",16.4%," 9,068 "," 59,453 ",15.3%,,,,,,
North West,61,Hyndburn Borough Council,Collection," 6,747 "," 27,295 ",24.7%," 6,747 "," 34,310 ",19.7%,,,,,,
North West,62,Fylde Borough Council,Collection," 11,793 "," 37,003 ",31.9%," 11,793 "," 41,149 ",28.7%,,,,,,
North West,63,Chorley Borough Council,Collection," 15,650 "," 39,596 ",39.5%," 15,859 "," 39,847 ",39.8%,,,,,,
North West,64,Burnley Borough Council,Collection," 9,061 "," 41,000 ",22.1%," 9,061 "," 43,521 ",20.8%,,,,,,
North West,65,Blackpool Borough Council,Unitary," 19,050 "," 72,195 ",26.4%," 23,746 "," 86,006 ",27.6%,,,,,,
North West,66,Blackburn with Darwen Borough Council,Unitary," 16,483 "," 68,140 ",24.2%," 21,325 "," 80,977 ",26.3%,,,,,,
North West,67,Lancashire County Council,Disposal," 194,429 "," 566,861 ",34.3%," 244,874 "," 657,288 ",37.3%,,,,,,
North West,68,Wirral MBC,Collection," 16,306 "," 138,151 ",11.8%," 16,669 "," 141,123 ",11.8%,,,,,,
North West,69,St Helens MBC,Collection," 14,982 "," 76,751 ",19.5%," 20,755 "," 93,472 ",22.2%,,,,,,
North West,70,Sefton MBC,Collection," 22,184 "," 115,735 ",19.2%," 22,184 "," 121,579 ",18.2%,,,,,,
North West,71,Liverpool City Council,Collection," 20,348 "," 206,039 ",9.9%," 20,349 "," 209,578 ",9.7%,,,,,,
North West,72,Knowsley MBC,Collection," 8,443 "," 64,980 ",13.0%," 8,582 "," 74,174 ",11.6%,,,,,,
North West,73,Merseyside WDA (MBC),Disposal," 140,891 "," 801,835 ",17.6%," 180,580 "," 842,060 ",21.4%,,,,,,
Yorkshire/Humber,74,East Riding of Yorkshire Council,Unitary," 43,965 "," 181,168 ",24.3%," 60,952 "," 204,872 ",29.8%,,,,,,
Yorkshire/Humber,75,Kingston-upon-Hull City Council,Unitary," 22,233 "," 124,016 ",17.9%," 29,013 "," 145,266 ",20.0%,,,,,,
Yorkshire/Humber,76,North East Lincolnshire Council,Unitary," 20,251 "," 85,405 ",23.7%," 23,063 "," 93,537 ",24.7%,,,,,,
Yorkshire/Humber,77,North Lincolnshire Council,Unitary," 23,186 "," 88,329 ",26.3%," 26,015 "," 101,497 ",25.6%,,,,,,
Yorkshire/Humber,78,York City Council,Unitary," 23,783 "," 97,319 ",24.4%," 30,674 "," 119,320 ",25.7%,,,,,,
Yorkshire/Humber,79,Selby District Council,Collection," 9,936 "," 38,138 ",26.1%," 10,112 "," 41,606 ",24.3%,,,,,,
Yorkshire/Humber,80,Scarborough Borough Council,Collection," 10,478 "," 55,775 ",18.8%," 10,783 "," 64,994 ",16.6%,,,,,,
Yorkshire/Humber,81,Ryedale District Council,Collection," 9,343 "," 21,960 ",42.5%," 9,343 "," 26,056 ",35.9%,,,,,,
Yorkshire/Humber,82,Richmondshire District Council,Collection," 4,344 "," 19,097 ",22.7%," 4,344 "," 24,356 ",17.8%,,,,,,
Yorkshire/Humber,83,Harrogate Borough Council,Collection," 10,620 "," 56,307 ",18.9%," 11,984 "," 66,241 ",18.1%,,,,,,
Yorkshire/Humber,84,Hambleton District Council,Collection," 13,504 "," 34,321 ",39.3%," 13,504 "," 40,696 ",33.2%,,,,,,
Yorkshire/Humber,85,Craven District Council,Collection," 7,293 "," 26,715 ",27.3%," 7,351 "," 30,224 ",24.3%,,,,,,
Yorkshire/Humber,86,North Yorkshire County Council,Disposal," 97,380 "," 320,643 ",30.4%," 104,054 "," 374,703 ",27.8%,,,,,,
Yorkshire/Humber,87,Sheffield City Council,Unitary," 45,540 "," 234,280 ",19.4%," 59,588 "," 248,766 ",24.0%,,,,,,
Yorkshire/Humber,88,Rotherham MBC,Unitary," 27,021 "," 120,171 ",22.5%," 34,569 "," 135,590 ",25.5%,,,,,,
Yorkshire/Humber,89,Doncaster MBC,Unitary," 30,982 "," 160,427 ",19.3%," 42,729 "," 192,037 ",22.3%,,,,,,
Yorkshire/Humber,90,Barnsley MBC,Unitary," 21,949 "," 110,069 ",19.9%," 29,452 "," 134,116 ",22.0%,,,,,,
Yorkshire/Humber,91,Leeds City Council MBC,Unitary," 65,706 "," 327,097 ",20.1%," 97,734 "," 366,113 ",26.7%,,,,,,
Yorkshire/Humber,92,Kirklees MBC,Unitary," 31,877 "," 184,327 ",17.3%," 38,566 "," 239,486 ",16.1%,,,,,,
Yorkshire/Humber,93,Wakefield City MDC,Unitary," 35,780 "," 169,726 ",21.1%," 36,200 "," 195,779 ",18.5%,,,,,,
Yorkshire/Humber,94,Bradford City MDC (MBC),Unitary," 38,402 "," 217,916 ",17.6%," 38,402 "," 265,255 ",14.5%,,,,,,
Yorkshire/Humber,95,Calderdale MBC,Unitary," 17,450 "," 86,649 ",20.1%," 21,993 "," 91,332 ",24.1%,,,,,,
E Midlands,96,Derby City Council,Unitary," 31,863 "," 116,816 ",27.3%," 33,055 "," 126,567 ",26.1%,,,,,,
E Midlands,97,South Derbyshire District Council,Collection," 10,208 "," 43,114 ",23.7%," 10,411 "," 45,518 ",22.9%,,,,,,
E Midlands,98,North East Derbyshire District Council,Collection," 7,439 "," 41,537 ",17.9%," 9,283 "," 45,427 ",20.4%,,,,,,
E Midlands,99,High Peak Borough Council,Collection," 5,038 "," 43,300 ",11.6%," 5,038 "," 57,484 ",8.8%,,,,,,
E Midlands,100,Erewash Borough Council,Collection," 17,434 "," 45,880 ",38.0%," 17,434 "," 49,043 ",35.5%,,,,,,
E Midlands,101,Derbyshire Dales District Council,Collection," 11,448 "," 36,436 ",31.4%," 11,448 "," 39,402 ",29.1%,,,,,,
E Midlands,102,Chesterfield Borough Council,Collection," 11,504 "," 44,240 ",26.0%," 12,475 "," 49,870 ",25.0%,,,,,,
E Midlands,103,Bolsover District Council,Collection," 4,596 "," 36,011 ",12.8%," 4,637 "," 37,707 ",12.3%,,,,,,
E Midlands,104,Amber Valley Borough Council,Collection," 9,021 "," 45,652 ",19.8%," 9,022 "," 49,450 ",18.2%,,,,,,
E Midlands,105,Derbyshire County Council,Disposal," 96,244 "," 360,071 ",26.7%," 99,304 "," 392,730 ",25.3%,,,,,,
E Midlands,106,Rutland County Council,Unitary," 4,664 "," 19,323 ",24.1%," 5,899 "," 20,773 ",28.4%,,,,,,
E Midlands,107,Leicester City Council,Unitary," 19,635 "," 121,213 ",16.2%," 24,818 "," 147,140 ",16.9%,,,,,,
E Midlands,108,Oadby and Wigston Borough Council,Collection," 6,542 "," 17,507 ",37.4%," 6,542 "," 17,507 ",37.4%,,,,,,
