Organisation Name,Effective date,Service,Supplier Name,Payment Date,Transaction Number,Net Amount (£),gl Code Desc
ROCHDALE,03/12/2014,ECONOMY AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,660.15,WATER CHARGES
ROCHDALE,03/12/2014,PROPERTY AND HIGHWAYS,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,667.87,WATER CHARGES
ROCHDALE,03/12/2014,PHYSICAL DIS & OLDER PEOPLE,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,725.39,WATER CHARGES
ROCHDALE,03/12/2014,ECONOMY AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,730.31,WATER CHARGES
ROCHDALE,03/12/2014,CUSTOMERS & CORPORATE SERVICES,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,738.57,WATER CHARGES
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,1079.12,WATER CHARGES
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,1114.04,WATER CHARGES
ROCHDALE,03/12/2014,CHILDREN’S SOCIAL CARE,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,1247.19,WATER CHARGES
ROCHDALE,03/12/2014,PROPERTY AND HIGHWAYS,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,1269.25,WATER CHARGES
ROCHDALE,03/12/2014,CHILDREN’S SOCIAL CARE,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,1316.54,WATER CHARGES
ROCHDALE,03/12/2014,ECONOMY AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,03/12/2014,V000855109,5119.92,WATER CHARGES
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03/12/2014,V000855110,1351.35,GRANTS AND SUBSCRIPTIONS - GENERAL
ROCHDALE,03/12/2014,PROPERTY AND HIGHWAYS,W D TABERNER,03/12/2014,V000855111,773.55,TRANSACTIONS-EXPENDITURE
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03/12/2014,V000855125,5000,GRANTS AND SUBSCRIPTIONS - GENERAL
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03/12/2014,V000855126,5810.8,GRANTS AND SUBSCRIPTIONS - GENERAL
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03/12/2014,V000855127,7211.04,MANDATORY AWARDS
ROCHDALE,03/12/2014,CUSTOMERS & CORPORATE SERVICES,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,03/12/2014,V000855147,675,TRAINING-NON QUALIFICATION
ROCHDALE,03/12/2014,PHYSICAL DIS & OLDER PEOPLE,AUTUMN UK LIMITED,03/12/2014,V000855150,2628.88,IMPROVEMENTS-EXTENSIONS & ALTERATIONS
ROCHDALE,03/12/2014,PHYSICAL DIS & OLDER PEOPLE,HOIST AND SHOWER CHAIR CO LTD,03/12/2014,V000855151,1395,TRANSACTIONS-EXPENDITURE
ROCHDALE,03/12/2014,PHYSICAL DIS & OLDER PEOPLE,K P DODD CONSTRUCTION LIMITED,03/12/2014,V000855153,6154,TRANSACTIONS-EXPENDITURE
ROCHDALE,03/12/2014,PHYSICAL DIS & OLDER PEOPLE,STANNAH LIFT SERVICES LTD,03/12/2014,V000855155,2065,IMPROVEMENTS-EXTENSIONS & ALTERATIONS
ROCHDALE,03/12/2014,PHYSICAL DIS & OLDER PEOPLE,STANNAH LIFT SERVICES LTD,03/12/2014,V000855156,2275,IMPROVEMENTS-EXTENSIONS & ALTERATIONS
ROCHDALE,04/12/2014,ECONOMY AND ENVIRONMENT,AMTOLL LIMITED,04/12/2014,V000855169,636,CLEANING MATERIALS
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,MICK TAYLOR LIMITED,04/12/2014,V000855172,5000,TRANSACTIONS-EXPENDITURE
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,NEWLINE ADAPTATIONS LTD,04/12/2014,V000855175,6101,IMPROVEMENTS-EXTENSIONS & ALTERATIONS
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,A1 PLUMBING & HEATING,04/12/2014,V000855176,3461,IMPROVEMENTS-EXTENSIONS & ALTERATIONS
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,04/12/2014,V000855181,2660,TRANSACTIONS-EXPENDITURE
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,MACK4 LIMITED,04/12/2014,V000855186,3685,TRANSACTIONS-EXPENDITURE
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,PETER TAYLOR LTD,04/12/2014,V000855189,3470,TRANSACTIONS-EXPENDITURE
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,STANNAH LIFT SERVICES LTD,04/12/2014,V000855190,4127,IMPROVEMENTS-EXTENSIONS & ALTERATIONS
ROCHDALE,04/12/2014,PHYSICAL DIS & OLDER PEOPLE,ST JOHNS PLUMBING HEATING & BATHROOMS LTD,04/12/2014,V000855192,3245,IMPROVEMENTS-EXTENSIONS & ALTERATIONS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855193,1206.38,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855194,761.02,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855195,644.42,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855195,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855196,509.58,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855197,786.18,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855198,1139.16,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855199,532.14,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855200,500,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855200,681.22,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855201,532.14,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855202,1405.08,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855204,1477.52,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855206,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855206,1421.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855207,681.22,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855209,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855209,872.34,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855210,1206.38,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855211,-706.66,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855212,1811.34,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855213,949.34,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855215,761.02,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855216,608.62,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855217,1133.78,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855218,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855218,2042.6,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855219,988.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855220,1493.29,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855221,1218,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855223,660,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855227,590.66,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855229,558.18,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855231,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855234,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855241,604,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855244,1891.14,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855247,852,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855251,523.38,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855253,566,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855254,680.96,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855256,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855257,759.44,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855258,1477.52,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855262,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855262,1206.38,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855264,1024.96,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855267,1017.42,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855267,1133.78,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855270,1092.12,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855272,952.56,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855273,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855277,1213.58,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855280,1291.46,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855281,878,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855282,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855282,905.12,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855283,566,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855285,761.02,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855288,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855292,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855292,754.56,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855295,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855296,938.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855298,927.08,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,05/12/2014,V000855299,914.96,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855301,988.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855303,528,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855305,1966.46,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855308,574.48,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855311,715.08,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855312,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855312,1270.14,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855313,1024.96,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855314,988.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855315,604,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855316,1024.96,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855320,1024.96,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855324,988.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855325,681.22,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855326,1364.37,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855328,1061.18,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855332,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855333,1084.91,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855334,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855337,988.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,05/12/2014,V000855340,914.96,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855341,792,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855344,1449.4,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855345,1336,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855348,662.52,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855350,1139.16,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855351,1666.14,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855354,988.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855358,1213.58,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855359,827.64,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855361,738.2,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855361,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855362,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855364,1061.18,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855365,608.62,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855367,759.44,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855368,832.04,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855369,744.42,GRANTS AND SUBSCRIPTIONS - GENERAL
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855370,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855372,681.22,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855374,1586.34,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855376,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855376,1363.35,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855377,1133.78,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855378,608.62,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855379,608.62,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855380,1061.18,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855381,988.74,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855383,1622.72,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855384,759.44,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855387,1100.36,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855392,1133.78,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855393,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855394,1477.52,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855395,1405.08,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855397,723.24,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855399,687.04,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855400,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855401,1224,SUBSIDISED ADOPTERS PMTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855402,1133.78,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855403,1133.78,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855404,572.4,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855406,827.64,PROFESSIONAL FEES
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/12/2014,V000855407,570.34,SUBSIDISED ADOPTERS PMTS
