Department family,Entity,Date,Expense type,Expense area,SUPPLIER,Transaction number,Amount,VAT registration number,Sort,Month,Source
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,WALTON CENTRE NHS FOUNDATION TRUST,NHS653,61188.5,,653,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,OXFORD RADCLIFFE HOSPITALS NHS TRUST,NHS640,67000.5,,640,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,LIVERPOOL WOMENS NHS FOUNDATION TRUST,NHS634,69313,,634,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS620,74652,,620,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS599,78454,,599,3,NHS
Department of Health,NHS Birmingham East and North,04/06/2010,External Contract SLA Pay,Provider,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS594,79023,,594,3,NHS
Department of Health,NHS Birmingham East and North,18/06/2010,Other SLA Payments,Commissioning Hosted Services,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST ,NHS592,79249.53,,592,3,NHS
Department of Health,NHS Birmingham East and North,04/06/2010,External Contract SLA Pay,Provider,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS591,79644,,591,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH WARWICKSHIRE GENERAL HOSPITALS NHS TRUST,NHS589,79857.5,,589,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS583,80894,,583,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,NHS573,81806,,573,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH STAFFORDSHIRE PCT,NHS567,83428,,567,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,NOTTINGHAM UNIVERSITY HOSPITAL NHS TRUST ,NHS557,86237,,557,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,GEORGE ELIOT HOSPITAL NHS TRUST,NHS550,87864,,550,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,HEREFORD HOSPITALS NHS TRUST,NHS533,95602.5,,533,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SANDWELL MENTAL HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,NHS527,96580,,527,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ROYAL BROMPTON AND HAREFIELD NHS TRUST,NHS522,99113,,522,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Other SLA Payments,Commissioning Hosted Services,GUYS AND ST THOMAS NHS FOUNDATION TRUST,NHS517,102061,,517,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,NHS493,114125.5,,493,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,OXFORD RADCLIFFE HOSPITALS NHS TRUST,NHS483,118222,,483,3,NHS
Department of Health,NHS Birmingham East and North,18/06/2010,Early Ret Prov Staff- Utilis'n,Corporate,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,NHS482,118759.07,,482,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BURTON HOSPITALS NHS FOUNDATION TRUST,NHS475,123586,,475,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,WALSALL HOSPITALS NHS TRUST,NHS466,125713,,466,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS462,126138.5,,462,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,DERBY HOSPITALS NHS FOUNDATION TRUST,NHS451,133222,,451,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS444,140792,,444,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,NHS440,141109.5,,440,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH BIRMINGHAM PRIMARY CARE TRUST (COMMISSIONER),NHS433,147885,,433,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NHS428,150572,,428,3,NHS
Department of Health,NHS Birmingham East and North,30/06/2010,Other SLA Payments,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS418,155392,,418,3,NHS
Department of Health,NHS Birmingham East and North,01/06/2010,Previous Year Activities,Commissioning,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS417,156434.79,,417,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS416,159513.5,,416,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,NHS413,159750,,413,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,NHS408,160816,,408,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS403,163343,,403,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Learning Difficulties,Commissioning Hosted Services,COVENTRY AND WARWICKSHIRE PARTNERSHIP TRUST,NHS392,196753,,392,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,WALSALL HOSPITALS NHS TRUST,NHS388,199175.5,,388,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH BIRMINGHAM PRIMARY CARE TRUST (COMMISSIONER),NHS380,204203,,380,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,CAHMS,Commissioning Hosted Services,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,NHS374,205675,,374,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,NORTH WEST SCT,NHS369,219253,,369,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,NHS366,221994.5,,366,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH BIRMINGHAM PRIMARY CARE TRUST (COMMISSIONER),NHS357,225974,,357,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS352,232612.5,,352,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS344,234695,,344,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS339,239412.5,,339,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,SANDWELL MENTAL HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,NHS334,244444.5,,334,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NHS322,256455.5,,322,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,NHS318,260765,,318,3,NHS
Department of Health,NHS Birmingham East and North,25/06/2010,General and Acute,Commissioning Hosted Services,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS311,272911,,311,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS309,273318.5,,309,3,NHS
Department of Health,NHS Birmingham East and North,25/06/2010,Newborn Network,Commissioning Hosted Services,WOLVERHAMPTON CITY PRIMARY CARE TRUST,NHS308,273360,,308,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS307,273673.5,,307,3,NHS
Department of Health,NHS Birmingham East and North,30/06/2010,Other SLA Payments,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS303,275864,,303,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH BIRMINGHAM PRIMARY CARE TRUST (COMMISSIONER),NHS295,282831.5,,295,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS287,301465,,287,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS284,302623,,284,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NHS276,333699,,276,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST (RAMPTON HOSPITAL),NHS274,338502,,274,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS268,353219.5,,268,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC AND DISTRICT HOSPITAL NHS TRUST,NHS263,370162.5,,263,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,NHS254,385301.5,,254,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS239,457954,,239,3,NHS
Department of Health,NHS Birmingham East and North,01/06/2010,Other SLA Payments,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS236,463992,,236,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS231,475785,,231,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,ROYAL ORTHOPAEDIC HOSPITAL NHS TRUST,NHS226,478594,,226,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS222,478767,,222,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS218,486305,,218,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS207,502206.5,,207,3,NHS
Department of Health,NHS Birmingham East and North,18/06/2010,Other SLA Payments,Commissioning Hosted Services,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NHS204,545398,,204,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NHS202,552643,,202,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS194,564228,,194,3,NHS
Department of Health,NHS Birmingham East and North,08/06/2010,Community Health Services,Commissioning,HEART OF BIRMINGHAM TEACHING PRIMARY CARE TRUST  (COMMISSIONER),NHS190,581496,,190,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,CAHMS,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS188,586559.5,,188,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NHS178,635006,,178,3,NHS
Department of Health,NHS Birmingham East and North,08/06/2010,Community Health Services,Commissioning,HEART OF BIRMINGHAM TEACHING PRIMARY CARE TRUST  (PROVIDER),NHS176,650129,,176,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,NHS163,703596.5,,163,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SOUTH BIRMINGHAM PRIMARY CARE TRUST (COMMISSIONER),NHS156,732999.5,,156,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,COVENTRY AND WARWICKSHIRE PARTNERSHIP TRUST,NHS147,761281,,147,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS144,777500,,144,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,NHS138,887457.5,,138,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS131,925587.5,,131,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS127,956831,,127,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS120,976942,,120,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS116,1113435.34,,116,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS111,1298409,,111,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,MERSEY CARE NHS TRUST (ASHWORTH HOSPITAL),NHS104,1424250,,104,3,NHS
Department of Health,NHS Birmingham East and North,01/06/2010,General and Acute,Commissioning,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS99,1438715,,99,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS95,1509490,,95,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS89,1514608,,89,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS85,1572193.5,,85,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS82,1610980,,82,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,NHS74,1957315.5,,74,3,NHS
Department of Health,NHS Birmingham East and North,01/06/2010,General and Acute,Commissioning,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS68,2075285,,68,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning Hosted Services,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,NHS66,2150457.5,,66,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS58,2276321.5,,58,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NHS51,2934938.5,,51,3,NHS
Department of Health,NHS Birmingham East and North,08/06/2010,Community Health Services,Commissioning,SOUTH BIRMINGHAM PRIMARY CARE TRUST (PROVIDER SERVICES),NHS47,3036562,,47,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,NHS43,3223824.5,,43,3,NHS
Department of Health,NHS Birmingham East and North,18/06/2010,LIS Expenditure,Corporate,CONNECTING FOR HEALTH NHS,NHS35,3474958,,35,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS32,3547428.5,,32,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS27,3679588.5,,27,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS20,6979251.5,,20,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Mental Illness,Commissioning,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,NHS16,10497858,,16,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,WEST MIDLANDS AMBULANCE SERVICE NHS TRUST,NHS10,12797854.52,,10,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS2,16471586,,2,3,NHS
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,COLLEGE ROAD SURGERY,CP167,45523.58,,167,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,CHURCH LANE MEDICAL CENTRE ,CP166,33432.33,,166,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,ACOCKS GREEN MEDICAL CENTRE,CP165,25079.01,,165,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,SCHOOLACRE SURGERY,CP164,25522.47,,164,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,ALUM ROCK ROAD PRACTICE,CP163,25675.07,,163,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,STOCKLAND GREEN PRIMARY CARE CENTRE,CP162,26105.4,,162,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,SWAN MEDICAL CENTRE,CP161,27381.9,,161,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement,GMS/PMS payments,ARORA P & PARTNERS,CP160,27501.46,,160,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Aspiration ,GMS/PMS payments,ERDINGTON MEDICAL CENTRE,CP159,27617.47,,159,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,AMAANAH MEDICAL PRACTICE,CP158,28067.62,,158,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,PAK HEALTH CENTRE,CP157,28794.66,,157,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement,GMS/PMS payments,ALUM ROCK MEDICAL CENTRE,CP156,28852.61,,156,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,SUTTON PARK SURGERY,CP155,28947.1,,155,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,BUCKLANDS END LANE SURGERY,CP154,29472.31,,154,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,SALTLEY CENTRE FOR HEALTH CARE,CP153,31025.71,,153,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,BUCKLANDS END LANE SURGERY,CP152,31124.05,,152,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,SMALL HEALTH MEDICAL PRACTICE,CP151,31129.6,,151,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,TWICKENHAM ROAD PRACTICE,CP150,31540.47,,150,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,SWANSWELL MEDICAL CENTRE,CP149,32276.37,,149,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,SALTLEY CENTRE FOR HEALTH,CP148,33061.31,,148,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,PARK MEDICAL CENTRE,CP147,33087.7,,147,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,TUDOR PRACTICE,CP146,35637.25,,146,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,ALUM ROCK MEDICAL CENTRE,CP145,36434.44,,145,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,SUTTON PARK SURGERY,CP144,36842.09,,144,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement,GMS/PMS payments,PEARL MEDICAL CENTRE ,CP143,37526.04,,143,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,SAHOTA BS & PARTNERS,CP142,38172.87,,142,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,TUDOR PRACTICE,CP141,39292.53,,141,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,ARORA P & PARTNERS,CP140,40738.24,,140,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,EDEN COURT MEDICAL CENTRE,CP139,41481.21,,139,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,EDEN COURT MEDICAL CENTRE,CP138,41743.65,,138,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,WARD END MEDICAL CENTRE,CP137,41927.86,,137,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,YARDLEY GREEN MEDICAL CENTRE,CP136,42330.11,,136,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,DOVE MEDICAL CENTRE,CP135,43352.64,,135,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Capacity,GMS/PMS payments,KINGSTANDING COMMINITY PRACTICE,CP134,43577,,134,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,VESEY PRACTICE,CP133,44240.76,,133,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,PARK MEDICAL CENTRE,CP132,46911.03,,132,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,SWAN MEDICAL CENTRE,CP131,47047.66,,131,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,COLLEGE ROAD SURGERY,CP130,47278.84,,130,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,RESERVOIR ROAD SURGERY,CP129,48663.51,,129,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,FOUR OAKS MEDICAL CENTRE,CP128,49679.76,,128,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,HAWTHORNS SURGERY,CP127,52270.3,,127,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,DOVE MEDICAL CENTRE,CP126,53444.12,,126,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,RESERVOIR ROAD SURGERY,CP125,53474.13,,125,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,HODGE HILL FAMILY PRACTICE,CP124,55900,,124,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,POPLARS SURGERY,CP123,56081.36,,123,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,CHURCH ROAD SURGERY,CP122,56626.54,,122,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,FOUR OAKS MEDICAL CENTRE,CP121,57746.28,,121,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,PEARL MEDICAL CENTRE ,CP120,57996.57,,120,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,POPLARS SURGERY,CP119,58439.88,,119,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,LEY HILL SURGERY,CP118,59251.08,,118,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,CHURCH ROAD SURGERY,CP117,61212.84,,117,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,HAWTHORNS SURGERY,CP116,62191.08,,116,3,CP
