Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Jan-2015,"Race Yourself, Hisbe, TAMOCO, Rotunda Living, Weekend Box, Finch Installations, Shortcuts, Claudi and Fin, Sliide, SilkFred, The Old London Underground Company, Fieldscope, Yucocco, Apex 360, Tipplesworth",To discuss start up loans
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Jan-2015,Paston Sixth Form College,To discuss further education
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Jan-2015,Apprenticeship Ambassadors Network,To discuss apprenticeships
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Jan-2015,"Remind, Emerge Education, Gojimo, Freeformers, Education Foundation, Blackbullion, Index Ventures, Monster to Read, Tech City UK, Balderton, Future Learn, Busuu, Floreat Education, Kleiner Perkins Caufield & Byers, Little Bridge World, Apple, BESA, Kano, Microsoft, DuoLingo",To discuss education techonolgy
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Jan-2015,David Mellor,To discuss apprenticeships
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,Jaguar Land Rover,To discuss supply chains
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,Siemens,To discuss apprenticeships
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,"Federation of Small Businesses, Confederation of British Industry, British Chambers of Commerce, EEF The Manufacturers’ organisation Trades Union Congress, Holts Group, LKL Farming, Fountain  Studios, British Broadcasting Corporation, Woodford Homecare",To discuss apprenticeships
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,"ASDAN, Lord Jim Knight",To discuss qualifications
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,"Policy Exchange, Creative Skillset, Association of Colleges, 157 Group, Pearson, Crossrail, Airbus, Jaguar Land Rover, GlaxoSmithKline, e-Skills UK, Construction Industry Training Board, HP Enterprises, Higher Education Commission, UK Commission for Employment and Skills, Atkins UK Rail, Federation of Small Businesses, Thames Valley Berkshire LEP,",
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,Metaswitch Networks,To discuss apprenticeships
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,"Alliance Boots, County House Retail, John Lewis Partnership, GFirst, British Retail Consortium, Asda, Marks & Spencer, Home Retail Group, Kingfisher, Tesco, Anthony Murphy, Innovate UK, Co-Op, Sainsbury’s, British Independent Retailers Association, Association of Convenience Stores",To discuss retail
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,Holts Gems,To discuss apprenticeships
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,Inspiring Futures,To discuss careers
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Feb-2015,Atkins,Introductory meeting
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,Caterpillar,Introductory meeting
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,Education and Training Foundation,To discuss functional skills
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,Basingstoke College,To discuss funding
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,"Hilton, Visit Britain, Visit England, Tourism Alliance, Whitbread, Easyjet, Intercontinental Hotels Group, Expedia, Eurostar, John Lewis, Google, TUI travel, Continuum Travel Agency, JAC Travel, First Group, Shepherd Neame, English Lake Hotels, Dudley Zoo, Parkdean Holidays, West Dorset Leisure Holidays",To discuss tourism
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,Harlow College,To discuss skills
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,Milton Keynes College,To discuss skills
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,"University and College Union, Association of Schools and College Leaders, Association of Teachers and Lecturers",To discuss further education
"Minister of State for Skills and Equalities working jointly with the Department for Education, Nick Boles MP",Mar-2015,Sutton Trust,To discuss apprenticeships and careers
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Qualcomm Life Sciences,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Zoetis,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Wuxi AppTec,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Google X,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,FasterCures,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Health Data Consortium,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Roche Diagnostics,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Alzheimer’s Society,To discuss the Dementia Research Institute
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Janssen ,To discuss access to medicine
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Eisai,To discuss Cancer Drugs Fund
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Novartis,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Jenner Institute,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,Genetic Alliance UK,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,GW Pharmaceuticals,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Jan-2015,British Medical Association,To discuss transatlantic trade and investment 
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Aegle Care,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Randox,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Casmi,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,IMS Health,To discuss Innovative Medicine and Med-Tech Review
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Deloitte,To discuss Innovative Medicine and Med-Tech Review
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Price Waterhouse Coopers,To discuss Innovative Medicine and Med-Tech Review
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,BASF,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Boehringer Ingelheim,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Max Delbrück Centre for Molecular Medicine,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,Ernst and Young,To discuss Innovative Medicine and Med-Tech Review
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Feb-2015,KPMG,To discuss Innovative Medicine and Med-Tech Review
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Mar-2015,McKinsey,To discuss Innovative Medicine and Med-Tech Review
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Mar-2015,Royal College of Chiropractors,To discuss back pain
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Mar-2015,The Institute of Biomedical Sciences,To discuss Royal Charter
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Mar-2015,Iden Trust,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Mar-2015,Prostate Cancer,To discuss life sciences
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",Mar-2015,Parkinsons UK,To discuss life sciences
