Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
03/05/2016,ZSA254646,4,8957,Stockport Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"5,861.00",530348,12748
03/05/2016,ZSA254647,1,8930,Archwood Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,184.00",530348,12735
03/05/2016,ZSA254647,2,8930,Archwood Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,732.00",530348,12737
03/05/2016,ZSA254647,3,8930,Archwood Medical Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,416.00,561704,12748
03/05/2016,ZSA254647,4,8930,Archwood Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"3,792.00",530348,12748
03/05/2016,ZSA254648,1,9126,Dr Mathewson,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,105.00",530348,12735
03/05/2016,ZSA254648,2,9126,Dr Mathewson,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,952.00,530348,12735
03/05/2016,ZSA254648,3,9126,Dr Mathewson,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,370.00",530348,12735
03/05/2016,ZSA254648,4,9126,Dr Mathewson,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"1,734.00",561704,12748
10/05/2016,ZSA255001,1,1799,Stockport Homes,999999,Fees and Charges,Fees and Charges,Services to People,PH-Children and YP,"5,000.00",401035,12733
10/05/2016,ZSA255030,1,10105,Mastercall Healthcare,390000,Supplies and services,Supplies and services,Services to People,PH-Communities,"50,000.00",401600,12738
23/05/2016,ZSA255621,1,7797,CHOICE SUPPORT,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Choice Support contract payments,"131,602.67",530332,11041
23/05/2016,ZSA255622,1,9018,Future Directions CIC,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Calderstones 4 Properties,"65,081.58",530328,12392
23/05/2016,ZSA255622,1,9018,Future Directions CIC,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Calderstones 4 Properties,"65,081.58",530328,12392
22/06/2016,ZSA255622,1,9018,Future Directions CIC,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Calderstones 4 Properties,"65,081.58",530328,12392
24/05/2016,ZSA255623,1,657,Independent Options (North Wes,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,LD Residential & Nursing Care purchasing,"10,354.17",530374,11837
24/05/2016,ZSA255687,1,8275,HC-One Limited,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,CHC Assessment Beds pooled budget,"35,340.00",530327,12838
24/05/2016,ZSA255687,1,8275,HC-One Limited,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,CHC Assessment Beds pooled budget,"35,340.00",530327,12838
02/06/2016,ZSA255687,1,8275,HC-One Limited,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,CHC Assessment Beds pooled budget,"35,340.00",530327,12838
30/06/2016,ZSA255687,1,8275,HC-One Limited,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,CHC Assessment Beds pooled budget,"35,340.00",530327,12838
23/05/2016,ZSA255692,1,10289,STOCKPORT SAMARITANS,390000,Supplies and services,Supplies and services,Services to People,PH-Mental Wellbeing,"10,000.00",401600,12734
24/05/2016,ZSA255717,1,657,Independent Options (North Wes,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Learning Disability Hunters Close,"15,959.02",530328,11833
01/06/2016,ZSA256102,1,628,Life Leisure,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Lifestyles,"64,080.00",561704,12737
07/06/2016,ZSA256381,1,1644,Tameside MBC,999999,Fees and Charges,Fees and Charges,Services to People,Assistant Director - Strategy & Performa,"5,000.00",401035,11883
16/06/2016,ZSA256868,1,6342,GREATER MANCHESTER POLICE AUTH,999999,Fees and Charges,Fees and Charges,Services to People,Assistant Director - Strategy & Performa,"5,922.80",401035,11883
24/06/2016,ZSA257280,1,1572,DV Theraposture Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,CADLs Equipment Service,"8,525.00",400105,12619
29/06/2016,ZSA257483,1,7076,LGBT Foundation,390000,Supplies and services,Supplies and services,Services to People,HIV Services,"19,367.00",401600,12746
22/04/2016,ZSB254070,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Services to People,Highfields Inclusion Partnership,"5,164.83",202030,10329
22/04/2016,ZSB254070,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Highfields Inclusion Partnership,"6,420.69",200160,10329
06/06/2016,ZSB256289,1,3529,Solutions SK Ltd,130000,Cleaning & Janitorial  ,Cleaning,Services to People,Highfields Inclusion Partnership,"5,544.00",201601,10329
01/04/2016,ZTR253031,1,757,Transport for Greater Manchest,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Administration,"43,408.19",402041,10005
24/06/2016,ZZC237482,1,10085,TNS UK,150000,Consultancy   ,Professional Fees,Services to People,SC - Innovation Fund,"50,992.33",401020,10129
04/04/2016,ZZC252728,1,5278,CHEADLE HULME HIGH SCHOOL,150000,Consultancy   ,Professional Fees,Services to People,Trade Union Posts - Primary,"1,985.60",401020,10471
03/05/2016,ZZC252728,1,5278,CHEADLE HULME HIGH SCHOOL,150000,Consultancy   ,Professional Fees,Services to People,Trade Union Posts - Primary,"1,985.60",401020,10471
07/06/2016,ZZC252728,1,5278,CHEADLE HULME HIGH SCHOOL,150000,Consultancy   ,Professional Fees,Services to People,Trade Union Posts - Primary,"1,985.60",401020,10471
20/04/2016,ZZC253874,1,10572,DV Cranage Hall,261500,Human Resources Training & Conferences ,Expenses and Allowances,Services to People,SI - Advisers,"9,822.00",402201,10727
25/04/2016,ZZC254168,1,1844,Normans(Burton Upon Trent)Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SI -Music Service,418.25,400110,10417
25/04/2016,ZZC254168,2,1844,Normans(Burton Upon Trent)Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SI -Music Service,"1,950.00",400110,10417
25/04/2016,ZZC254168,3,1844,Normans(Burton Upon Trent)Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SI -Music Service,"3,942.00",400110,10417
26/05/2016,ZZC255904,1,4596,Ranstad Education,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to People,VST - Pupil Premium Grant,"10,000.00",401801,12777
26/05/2016,ZZC255906,1,1816,Seashell Trust,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to People,HNs Top-up Funding Post 16,"204,772.86",402403,12724
07/06/2016,ZZC256325,1,10630,Carebase,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Perip-Sen Equipment,"4,160.00",400110,10324
07/06/2016,ZZC256325,2,10630,Carebase,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Perip-Sen Equipment,995.00,400110,10324
07/06/2016,ZZC256325,3,10630,Carebase,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Perip-Sen Equipment,295.00,400110,10324
07/06/2016,ZZC256325,4,10630,Carebase,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Perip-Sen Equipment,100.00,400110,10324
07/06/2016,ZZC256325,5,10630,Carebase,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Perip-Sen Equipment,195.00,400110,10324
10/06/2016,ZZC256528,1,10647,ASHDOWN EDUCATION LTD,150000,Consultancy   ,Professional Fees,Services to People,SI - Advisers,"9,750.00",401020,10727
13/06/2016,ZZC256641,1,10650,Forensic Psychological Solutio,150000,Consultancy   ,Professional Fees,Services to People,DASCE,"13,260.00",401020,11450
22/06/2016,ZZC257100,1,8888,BDO LLP,150000,Consultancy   ,Professional Fees,Services to People,FP – Regional Adoption Agency,"49,600.00",401007,12870
30/06/2016,ZZC257594,1,6455,Assoc Board of Royal Schools o,171012,Education Examinational Fees ,Fees and Charges,Services to People,SI -Music Service,"5,455.00",401012,10417
30/06/2016,ZZC257617,1,10674,Ortoo Technologies Ltd,200000,Financial Services  ,Fees and Charges,Services to People,SI - School Govern,"10,610.00",402401,10755
01/04/2016,ZZP252993,1,2306,GVA Grimley LLP,150000,Consultancy   ,Professional Fees,Services to Place,Bridgefield Development - General Costs,"8,125.00",401007,C.10897
01/04/2016,ZZP253010,1,757,Transport for Greater Manchest,150000,Consultancy   ,Professional Fees,Services to Place,"STCAP 02 Phase 2 - Project Dev, Mangmt & Mon - Fea","16,000.00",401007,C.01013.201
01/04/2016,ZZP253029,1,2306,GVA Grimley LLP,150000,Consultancy   ,Professional Fees,Services to Place,Bridgefield Consultancy Budget,"25,000.00",401007,12640
01/04/2016,ZZP253036,1,6748,GEORGE COX & SONS LTD,150000,Consultancy   ,Professional Fees,Services to Place,STCAPNewbrdgeLn-WarrenSt_StMarysWayOnSi,"110,000.00",401007,C.00963.203
05/04/2016,ZZP253165,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,Services to Place,STCAP St Marys Way/New Bridge Lane - On Site,"18,136.02",401600,C.00932.203
05/04/2016,ZZP253166,1,6748,GEORGE COX & SONS LTD,150000,Consultancy   ,Professional Fees,Services to Place,STCAP 601 Newbridge Lane - On Site,"110,000.00",401007,C.01065.203
06/04/2016,ZZP253261,1,8817,AECOM Infrastructure & Environ,150000,Consultancy   ,Professional Fees,Services to Place,Main Contractor DD - On Site,"63,306.00",401007,C.00880.203
07/04/2016,ZZP253319,1,3529,Solutions SK Ltd,150000,Consultancy   ,Professional Fees,Services to Place,STCAP St Marys Way/Portwood Roundabout - On Site,"25,500.00",401007,C.00931.203
07/04/2016,ZZP253321,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,"STCAP 02 Phase 2 - Project Dev, Mangmt & Mon - Des","19,870.00",401007,C.01013.202
07/04/2016,ZZP253322,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,"STCAP 02 Phase 2 - Project Dev, Mangmt & Mon - Des","22,464.00",401007,C.01013.202
08/04/2016,ZZP253328,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,SPECIAL PROJECT 1,"18,430.00",202032,11267
10/04/2016,ZZP253368,1,6116,Atkins Limited,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Highway Design Team,"10,530.00",401007,11972
10/04/2016,ZZP253369,1,6116,Atkins Limited,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Highway Design Team,"16,120.00",401007,11972
11/04/2016,ZZP253373,1,895,Building Design Partnership,150000,Consultancy   ,Professional Fees,Services to Place,Bridgefield Development - General Costs,"58,500.00",401007,C.10897
11/04/2016,ZZP253376,1,10279,William Anelay Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Bramall Hall Phase 2 – Capital Works,"142,196.00",200123,C.10899.001
11/04/2016,ZZP253419,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,STCAP 02  Design Mgt 0527-04- Design,"27,504.00",401007,C.01056.202
15/04/2016,ZZP253663,1,4628,SCC Plc,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Environment Administration Support,"9,800.70",402001,10922
15/04/2016,ZZP253663,2,4628,SCC Plc,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Environment Administration Support,"1,344.00",402001,10922
15/04/2016,ZZP253705,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Highway Design Team,"19,296.00",401007,11972
18/04/2016,ZZP253740,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Highway Design Team,"69,680.00",401007,11972
18/04/2016,ZZP253741,1,3529,Solutions SK Ltd,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,STCAP Wayfinding & Signage On Site,"5,601.15",202050,C.00966.203
18/04/2016,ZZP253742,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,Services to Place,STCAP 402 Knightsbridge and Great Portwood St - Fe,"14,099.55",401600,C.00987.201
19/04/2016,ZZP253846,1,6218,Lock it Safe Ltd,390000,Supplies and services,Supplies and services,Services to Place,0259 CCAG Kingsway School - On Site,"9,756.00",401600,C.01058.203
19/04/2016,ZZP253847,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,638 Bradshaw Estate Railway Bridge,"30,926.05",401600,C.01085.203
19/04/2016,ZZP253860,1,5915,Atkins Global,150000,Consultancy   ,Professional Fees,Services to Place,STCAP 05 Phase 2 Project Management,"14,400.00",401007,C.01062
21/04/2016,ZZP253981,1,8106,Tarmac Building Products Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,STCAP Lancashire Hill Toucan - On Site,"56,354.40",200304,C.00955.203
21/04/2016,ZZP253982,1,5915,Atkins Global,150000,Consultancy   ,Professional Fees,Services to Place,Highways-Network Management,"23,398.80",401007,11968
21/04/2016,ZZP253983,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"73,140.00",100290,11960
21/04/2016,ZZP253984,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"83,740.00",100290,11960
21/04/2016,ZZP253985,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"83,740.00",100290,11960
21/04/2016,ZZP253986,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"83,740.00",100290,11960
21/04/2016,ZZP253987,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"73,140.00",100290,11960
21/04/2016,ZZP253988,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"91,160.00",100290,11960
21/04/2016,ZZP253989,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"88,006.50",100290,11960
21/04/2016,ZZP253990,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"38,160.00",100290,11972
21/04/2016,ZZP253991,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"83,740.00",100290,11972
21/04/2016,ZZP253992,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"43,990.00",100290,11972
21/04/2016,ZZP253993,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"43,990.00",100290,11972
21/04/2016,ZZP253994,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"43,990.00",100290,11972
21/04/2016,ZZP253995,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"71,020.00",100290,11972
21/04/2016,ZZP253996,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"53,000.00",100290,11972
21/04/2016,ZZP253997,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"71,020.00",100290,11972
21/04/2016,ZZP253998,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"83,740.00",100290,11972
21/04/2016,ZZP253999,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"83,740.00",100290,11972
21/04/2016,ZZP254000,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"91,160.00",100290,11972
21/04/2016,ZZP254001,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"91,160.00",100290,11972
21/04/2016,ZZP254002,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"33,120.00",100290,11972
21/04/2016,ZZP254027,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,Services to Place,STCAP 502 M60 Junction 1 Improvements - Feasibilit,"20,691.76",401600,C.00988.201
26/04/2016,ZZP254296,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,Services to Place,Investing in Growth,"9,704.00",401007,10091
29/04/2016,ZZP254482,1,4585,Knight Kavanagh & Page Ltd,190000,Facilities & Management Services  ,Publicity and Promotion,Corporate and Support Services,Technical Policy & Planning,"29,650.00",401804,10087
29/04/2016,ZZP254506,1,10087,Oxford Archaeology North,150000,Consultancy   ,Professional Fees,Services to Place,Bridgefield Development - General Costs,"17,769.55",401007,C.10897
29/04/2016,ZZP254507,1,5214,WSP GROUP PLC,150000,Consultancy   ,Professional Fees,Services to Place,STCAP 703 Wellington Road South (Greek St to Excha,"54,470.00",401007,C.00994.201
29/04/2016,ZZP254508,1,8106,Tarmac Building Products Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,STCAPStockportStatn-CentralSectionOnSit,"56,000.00",200304,C.00962.203
29/04/2016,ZZP254509,1,3529,Solutions SK Ltd,180000,Environmental Services  ,Capital Expenditure - Works,Services to Place,STCAP Newbridge Lane (St Marys Way Vernon Park) -,"7,960.00",200312,C.00954.203
03/05/2016,ZZP254591,1,9612,Capita Property & Infrastructu,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,HIP Carriageways - On Site,"13,000.00",200304,C.00614.203
03/05/2016,ZZP254632,1,7847,Gardiner & Theobald LLP,150000,Consultancy   ,Professional Fees,Services to Place,Bridgefield Development - General Costs,"42,312.00",401007,C.10897
04/05/2016,ZZP254746,1,7831,Transport for Gtr M/CR (HFAS),390000,Supplies and services,Supplies and services,Services to Place,Main Contractor DD - On Site,"322,460.00",401600,C.00880.203
04/05/2016,ZZP254759,1,7831,Transport for Gtr M/CR (HFAS),150000,Consultancy   ,Professional Fees,Services to Place,STCAP 801 Travis Brow/ A6 Link and George’s Rd - F,"18,600.00",401007,C.00996.201
05/05/2016,ZZP254804,1,7820,Greater Manchester Combined,150000,Consultancy   ,Professional Fees,Services to Place,STCAP 801 Travis Brow/ A6 Link and George’s Rd - F,"18,600.00",401007,C.00996.201
06/05/2016,ZZP254854,1,4272,Civica UK Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to Place,Public Libraries General,"23,416.00",400111,11329
06/05/2016,ZZP254887,1,606,Seta Training,260000,Human Resources  ,Staff Training,Services to Place,Commercial -Health & Safety,"5,975.00",102020,10914
10/05/2016,ZZP255005,1,8207,dv Lloyd Evans Prichard,150000,Consultancy   ,Professional Fees,Services to Place,Bramhall Hall Ceilings,"19,832.53",401020,C.10776
11/05/2016,ZZP255080,1,10279,William Anelay Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Bramall Hall Phase 2 – Capital Works,"221,778.00",200123,C.10899.001
12/05/2016,ZZP255216,1,7831,Transport for Gtr M/CR (HFAS),390000,Supplies and services,Supplies and services,Services to Place,STCAP St Marys Way/Portwood Roundabout - On Site,"8,500.00",401600,C.00931.203
13/05/2016,ZZP255221,1,10594,Birchwood Gas Services Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Bridgefield Development - General Costs,"7,886.31",401007,C.10897
13/05/2016,ZZP255276,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Black Wheelie Bins,"11,392.50",400401,10864
13/05/2016,ZZP255276,2,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Blue Wheelie Bins,"6,422.50",400401,10862
13/05/2016,ZZP255276,3,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Brown Wheelie Bins,"6,422.50",400401,10863
13/05/2016,ZZP255276,4,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Green Wheelie Bins,"11,490.00",400401,10861
17/05/2016,ZZP255352,1,4272,Civica UK Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to Place,Public Libraries General,"20,500.00",400111,11329
17/05/2016,ZZP255369,1,7831,Transport for Gtr M/CR (HFAS),150000,Consultancy   ,Professional Fees,Services to Place,STCAPStockportStatn-CentralSectionOnSit,"10,000.00",401007,C.00962.203
17/05/2016,ZZP255375,1,7831,Transport for Gtr M/CR (HFAS),150000,Consultancy   ,Professional Fees,Services to Place,Grand Central – Phase 2 Preliminaries,"10,000.00",401007,C.10882
18/05/2016,ZZP255438,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"5,000.00",202033,11280
19/05/2016,ZZP255492,1,10609,DV Bendcrete Leisure,240000,Horticultural  ,Grounds Maintenance,Services to Place,SPECIAL PROJECT 1,"40,000.00",202032,11267
19/05/2016,ZZP255501,1,1273,United Utilities,390000,Supplies and services,Supplies and services,Services to Place,STCAP St Marys Way/Hempshaw Lane - On Site,"147,264.25",401600,C.00934.203
19/05/2016,ZZP255502,1,3529,Solutions SK Ltd,390000,Supplies and services,Supplies and services,Services to Place,STCAP Booth Street/Mercian Way - On Site,"115,042.69",401600,C.00939.203
19/05/2016,ZZP255503,1,5292,NPOWER (Electricity),370000,Utilities   ,Utilities,Services to Place,Street Lighting Energy,"1,835,000.00",200514,12031
19/05/2016,ZZP255504,1,683,AECOM Limited,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Structures Team,"62,116.00",100290,11960
19/05/2016,ZZP255505,1,683,AECOM Limited,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"99,470.40",100290,11972
19/05/2016,ZZP255506,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"67,940.00",100290,11972
19/05/2016,ZZP255507,1,8759,VAISALA  LTD,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Gritting,"12,757.50",200123,12033
19/05/2016,ZZP255508,1,757,Transport for Greater Manchest,150000,Consultancy   ,Professional Fees,Services to Place,STCAP 05 Phase 2 Project Management,"136,927.91",401007,C.01062
19/05/2016,ZZP255510,1,5915,Atkins Global,150000,Consultancy   ,Professional Fees,Services to Place,STCAP 303 King St West (Gradwell Street to R. Mers,"8,051.00",401007,C.00983.201
19/05/2016,ZZP255538,1,1781,Animal Wardens,180010,Environmental Services Animal Services ,Animal Welfare,Services to Place,Dog Warden Service,"3,840.00",401206,10902
19/05/2016,ZZP255538,2,1781,Animal Wardens,180010,Environmental Services Animal Services ,Animal Welfare,Services to Place,Dog Warden Service,"36,000.00",401206,10902
20/05/2016,ZZP255549,1,7025,CB Richard Ellis,190000,Facilities & Management Services  ,Publicity and Promotion,Services to Place,Gorsey Bank,"14,510.00",401803,C.10905
23/05/2016,ZZP255632,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,STCAP 01  Redrock 0527-401B - On Site,"26,775.72",200304,C.01044.203
23/05/2016,ZZP255685,1,10610,Imperial Antiques,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Leisure Emergency PECOS Code,"5,695.00",400105,C.00401
23/05/2016,ZZP255690,1,3529,Solutions SK Ltd,130000,Cleaning & Janitorial  ,Cleaning,Services to Place,Skills for Life,"9,828.00",201602,10511
24/05/2016,ZZP255714,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,CCAG Mersey Valley Links - Manchester Rd - On Site,"52,672.52",200304,C.00871.203
24/05/2016,ZZP255716,1,8106,Tarmac Building Products Ltd,390000,Supplies and services,Supplies and services,Services to Place,CCAG Mersey Valley Links - Manchester Rd - On Site,"11,253.54",401600,C.00871.203
24/05/2016,ZZP255765,1,5384,Pitney Bowes Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Pymt to Cont Recycling and Refuse,"82,672.51",402001,10856
25/05/2016,ZZP255812,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Highways Improvement Prgme-Management Costs-On Sit,"17,760.00",401007,C.00925.203
25/05/2016,ZZP255814,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Highways Improvement Prgme-Management Costs-On Sit,"24,960.00",401007,C.00925.203
25/05/2016,ZZP255815,1,5464,ELECTRICITY NORTH WEST LIMITED,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,STCAP 01  Redrock Phase 2 0527-401A - Feasibility,"21,220.55",202055,C.01043.201
25/05/2016,ZZP255816,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Highways Improvement Prgme-Management Costs-On Sit,"18,240.00",401007,C.00925.203
25/05/2016,ZZP255817,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Highways Improvement Prgme-Management Costs-On Sit,"29,760.00",401007,C.00925.203
25/05/2016,ZZP255818,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Highways Improvement Prgme-Management Costs-On Sit,"28,560.00",401007,C.00925.203
26/05/2016,ZZP255879,1,10205,Stockport Community Interest C,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Town Centre Management,"41,432.00",401801,10072
26/05/2016,ZZP255883,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Environment Administration Support,"8,000.00",402001,10922
26/05/2016,ZZP255893,1,8010,GROUNDWORK & LEISURE SERVIC,240000,Horticultural  ,Grounds Maintenance,Services to Place,SPECIAL PROJECT 1,"8,168.00",202032,11267
26/05/2016,ZZP255898,1,6748,GEORGE COX & SONS LTD,391200,"Works - Construction, Repair & Maintenance Engineering ",Professional Fees,Services to Place,Parks General,"7,586.60",401032,11191
31/05/2016,ZZP256044,1,10601,PINSENT MASONS LLP CLIENT ACCO,280000,Legal Services  ,Legal Fees,Services to Place,Merseyway Shopping Centre Purchase,"52,868.40",401016,C.10919
31/05/2016,ZZP256052,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Stockport Town Centre Access Package - On Site,"50,000.00",401007,C.00915.203
03/06/2016,ZZP256160,1,1273,United Utilities,390000,Supplies and services,Supplies and services,Services to Place,Main Contractor DD - On Site,"736,138.14",401600,C.00880.203
