Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,15/11/2010,PENNINE ACUTE TRUST G&A,G&S OTHER NHS - HEALTHCARE,PENNINE ACUTE HOSPITAL NHS TRUST,31926,640566,PEN23,100,6025,0,ZE,N,8,2011,A430,A4035,TNH,,640566,3.19261E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,PENNINE CARE FT G&A,G&S FT's - HEALTHCARE,PENNINE CARE NHS FOUNDATION TRUST,31925,1893705,PEN19,702,6290,0,ZE,N,8,2011,A430,A4037,TNH,,1893705,3.19257E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,SALFORD ACUTE TRUST - CORE G&A,G&S FT's - HEALTHCARE,SALFORD ROYAL NHS FOUNDATION TRUST,31928,196008,SAL05,100,6028,0,ZE,N,8,2011,A430,A4037,TNH,,196008,3.19281E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,SALFORD ROYAL - NEUROLOGY CCT,G&S FT's - HEALTHCARE,SALFORD ROYAL NHS FOUNDATION TRUST,31927,50747,SAL05,595,6244,0,ZE,N,8,2011,A430,A4037,TNH,,50747,3.19276E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,SECURE MH OATS NW RISK - CCT,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31653,144041,CHE34,437,6257,0,ZE,N,8,2011,A430,A4031,TNH,,144041,3.16534E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,SOUTH MAN TRUST - CORE G&A,G&S FT's - HEALTHCARE,UNI HOSP OF SOUTH MAN NHS FOUNDATION TRUST,31938,92531,UNI118,100,6029,0,ZE,N,8,2011,A430,A4037,TNH,,92531,3.19381E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,SOUTH MAN TRUST - CORE G&A,G&S FT's - HEALTHCARE,UNI HOSP OF SOUTH MAN NHS FOUNDATION TRUST,31937,424989,UNI118,100,6029,0,ZE,N,8,2011,A430,A4037,TNH,,424989,3.19371E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,STOCKPORT ACUTE TRUST G&A,G&S FT's - HEALTHCARE,STOCKPORT NHS FOUNDATION TRUST,31933,913155,STO34,100,6030,0,ZE,N,8,2011,A430,A4037,TNH,,913155,3.19331E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,TAMESIDE ACUTE FT - G&A,G&S FT's - HEALTHCARE,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31934,8956720,TAM97,100,6270,0,ZE,N,8,2011,A430,A4037,TNH,,8956720,3.19341E+11
Department of Health,NHS Tameside & Glossop,30/11/2010,TAMESIDE ACUTE FT - G&A,G&S FT's - HEALTHCARE,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,32138,66745,TAM97,100,6270,0,ZE,N,8,2011,A430,A4037,TNH,,66745,3.21381E+11
Department of Health,NHS Tameside & Glossop,24/11/2010,TAMESIDE ACUTE FT - G&A,G&S FT's - HEALTHCARE,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,32139,27000,TAM97,700,6270,0,ZE,N,8,2011,A430,A4037,TNH,,27000,3.21397E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,TOBACCO CONTROL PROGRAMME-G&A,G&S OTHER PCTS - HEALTHCARE,SEFTON PCT,31855,46296.92,SEF03,595,6302,0,ZE,N,8,2011,A430,A4031,TNH,,46296.92,3.18556E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT - MCGUINESS UNIT MH,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31622,35083,CHE34,437,6310,0,ZE,N,8,2011,A430,A4031,TNH,,35083,3.16224E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT - NCA NWSCT,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31655,56041,CHE34,437,6353,0,ZE,N,8,2011,A430,A4031,TNH,,56041,3.16554E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT - RLCH G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31639,45334,CHE34,437,4297,0,ZE,N,8,2011,A430,A4031,TNH,,45334,3.16394E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT - SPEC OATS G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31651,33208,CHE34,437,6152,0,ZE,N,8,2011,A430,A4031,TNH,,33208,3.16514E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT- CMMC NEO NATAL G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31630,106542,CHE34,437,6012,0,ZE,N,8,2011,A430,A4031,TNH,,106542,3.16304E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT- CMMC SPEC SERV G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31629,201875,CHE34,437,6066,0,ZE,N,8,2011,A430,A4031,TNH,,201875,3.16294E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT-CMMC GENTICS G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31626,36125,CHE34,437,6044,0,ZE,N,8,2011,A430,A4031,TNH,,36125,3.16264E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT-CMMC RENAL G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31628,251875,CHE34,437,6056,0,ZE,N,8,2011,A430,A4031,TNH,,251875,3.16284E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT-SRFT COMPLEX SPINES,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31642,46667,CHE34,437,6225,0,ZE,N,8,2011,A430,A4031,TNH,,46667,3.16424E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,W CHES PCT-SRFT NEUROSURGERY,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31676,216000,CHE34,437,6089,0,ZE,N,8,2011,A430,A4031,TNH,,216000,3.16764E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,WC PCT CMMC ADULT BLOODS G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31627,29166,CHE34,437,6221,0,ZE,N,8,2011,A430,A4031,TNH,,29166,3.16274E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,WC PCT-CMMC CHILD PICU G&A,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31631,69208,CHE34,437,6222,0,ZE,N,8,2011,A430,A4031,TNH,,69208,3.16314E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,WEST CHESHIRE PCT SECURE MI,G&S OTHER PCTS - HEALTHCARE,NW SPECIAL SRVS COMMISSIONING TEAM,31652,455584,CHE34,437,4005,0,ZE,N,8,2011,A430,A4031,TNH,,455584,3.16524E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,WRIGHTINGTON FT - G&A,G&S FT's - HEALTHCARE,"WRIGHTINGTON, WIGAN / LEIGH NHS TRUST",31940,63274,WRI12,100,6301,0,ZE,N,8,2011,A430,A4037,TNH,,63274,3.19401E+11
Department of Health,NHS Tameside & Glossop,05/11/2010,GTR MCR POLICE SLA,OTHER - NON PAY,GREATER MANCHESTER POLICE,326489,40000,GRE61,664,4310,0,ZE,N,8,2011,A409,A4021,TOT,,40000,3.2649E+12
