Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Western Cheshire PCT,18/05/2011,LOCUM ALLOW (PAT/MAT) GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,978.84
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-1,020.60"
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - DRUGS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"48,106.70"
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"13,467.58"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"43,595.23"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-48,378.50"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"2,052.00"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-2,052.00"
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,Whitby Group Practice,"22,300.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,Whitby Group Practice,"-3,382.64"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,Whitby Group Practice,"-1,957.10"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,Whitby Group Practice,"-23,287.88"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,Whitby Group Practice,-9
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,Whitby Group Practice,877.96
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,Whitby Group Practice,462.42
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,Whitby Group Practice,132.73
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,Whitby Group Practice,671.64
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,Whitby Group Practice,206.82
Department of Health,Western Cheshire PCT,18/05/2011,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,Whitby Group Practice,53.86
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,Whitby Group Practice,524.96
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,Whitby Group Practice,-21.59
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,Whitby Group Practice,-169.68
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,Whitby Group Practice,"26,567.34"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,Whitby Group Practice,"1,151.60"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,Whitby Group Practice,"6,466.17"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,Whitby Group Practice,"3,165.97"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,Whitby Group Practice,669.08
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,Whitby Group Practice,534.84
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,Whitby Group Practice,-255.15
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,KNOLL SURGERY,"52,600.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,KNOLL SURGERY,"-8,147.10"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,KNOLL SURGERY,"-4,537.05"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,KNOLL SURGERY,"-55,008.20"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,KNOLL SURGERY,-27
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,KNOLL SURGERY,"1,654.60"
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,KNOLL SURGERY,821.52
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,KNOLL SURGERY,"2,293.53"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,KNOLL SURGERY,"2,798.50"
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,KNOLL SURGERY,"2,091.18"
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,KNOLL SURGERY,"4,181.52"
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,KNOLL SURGERY,"1,768.77"
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,KNOLL SURGERY,-49.03
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,KNOLL SURGERY,-385.34
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,KNOLL SURGERY,"63,920.95"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,KNOLL SURGERY,"2,052.81"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,KNOLL SURGERY,"15,762.76"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,KNOLL SURGERY,"4,700.83"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,KNOLL SURGERY,"7,081.53"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,KNOLL SURGERY,"1,026.96"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,KNOLL SURGERY,"4,553.39"
Department of Health,Western Cheshire PCT,18/05/2011,STUDENT MMR GENERAL,General Practioner Payments,KNOLL SURGERY,7.78
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - DRUGS GENERAL,General Practioner Payments,KNOLL SURGERY,"50,007.95"
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,KNOLL SURGERY,"13,443.01"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,KNOLL SURGERY,"30,456.72"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,KNOLL SURGERY,"-47,213.18"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,KNOLL SURGERY,"2,491.20"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,KNOLL SURGERY,"-2,491.20"
Department of Health,Western Cheshire PCT,13/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-4,628.80"
Department of Health,Western Cheshire PCT,13/05/2011,SUPERANN EES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-2,694.14"
Department of Health,Western Cheshire PCT,13/05/2011,COURIER,General Practioner Payments,TARPORLEY HEALTH CENTRE,-9
Department of Health,Western Cheshire PCT,13/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,821.52
Department of Health,Western Cheshire PCT,13/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,541.19
Department of Health,Western Cheshire PCT,13/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,679.10"
Department of Health,Western Cheshire PCT,13/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,034.10"
Department of Health,Western Cheshire PCT,13/05/2011,MENTAL HEALTH,General Practioner Payments,TARPORLEY HEALTH CENTRE,921.04
Department of Health,Western Cheshire PCT,13/05/2011,ENHANCED SERVICES-MMR GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,7.78
Department of Health,Western Cheshire PCT,13/05/2011,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,26.93
Department of Health,Western Cheshire PCT,13/05/2011,RURAL GP NETWORK,General Practioner Payments,TARPORLEY HEALTH CENTRE,200
Department of Health,Western Cheshire PCT,13/05/2011,SENIORITY PAYMENT GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,344.33"
Department of Health,Western Cheshire PCT,13/05/2011,LEVY (STAT),General Practioner Payments,TARPORLEY HEALTH CENTRE,-180.62
Department of Health,Western Cheshire PCT,13/05/2011,SPIROMETRY/ECG,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,205.06"
Department of Health,Western Cheshire PCT,13/05/2011,LEVY (VOL),General Practioner Payments,TARPORLEY HEALTH CENTRE,-22.98
Department of Health,Western Cheshire PCT,13/05/2011,ADVANCES,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-1,086.78"
Department of Health,Western Cheshire PCT,13/05/2011,INTERMEDIATE CARE,General Practioner Payments,TARPORLEY HEALTH CENTRE,"2,073.00"
Department of Health,Western Cheshire PCT,13/05/2011,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"7,113.43"
Department of Health,Western Cheshire PCT,13/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"4,078.58"
Department of Health,Western Cheshire PCT,13/05/2011,OOH DEDUCTION GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-1,543.25"
Department of Health,Western Cheshire PCT,13/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"6,766.32"
Department of Health,Western Cheshire PCT,13/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,778
Department of Health,Western Cheshire PCT,13/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"3,190.38"
Department of Health,Western Cheshire PCT,13/05/2011,BUDGET GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"46,515.00"
Department of Health,Western Cheshire PCT,13/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,-679.17
Department of Health,Western Cheshire PCT,13/05/2011,LEARING DISABLITY - ASPIRATION,General Practioner Payments,TARPORLEY HEALTH CENTRE,306.48
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,BOUGHTON HEALTH CENTRE,"49,800.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"-5,868.31"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"-3,048.67"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,BOUGHTON HEALTH CENTRE,"-51,897.98"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,BOUGHTON HEALTH CENTRE,-18
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,BOUGHTON HEALTH CENTRE,"1,607.44"
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"1,012.92"
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,643.27
Department of Health,Western Cheshire PCT,18/05/2011,ALCOHOL - NEW PATIENT SCREENING,General Practioner Payments,BOUGHTON HEALTH CENTRE,96.48
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"1,930.32"
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"11,255.52"
Department of Health,Western Cheshire PCT,18/05/2011,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,80.79
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,BOUGHTON HEALTH CENTRE,"1,231.63"
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,BOUGHTON HEALTH CENTRE,-47.69
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,BOUGHTON HEALTH CENTRE,-374.86
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,BOUGHTON HEALTH CENTRE,"57,068.78"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,BOUGHTON HEALTH CENTRE,"5,427.49"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"13,732.29"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"6,250.00"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"6,843.76"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,715.76
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,BOUGHTON HEALTH CENTRE,"7,602.81"
Department of Health,Western Cheshire PCT,18/05/2011,LEARING DISABLITY - ASPIRATION,General Practioner Payments,BOUGHTON HEALTH CENTRE,"1,021.60"
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,MALPAS SURGERY,"34,500.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,MALPAS SURGERY,"-4,019.50"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,MALPAS SURGERY,"-2,159.06"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,MALPAS SURGERY,"-35,985.28"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,MALPAS SURGERY,-12
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,MALPAS SURGERY,"1,000.36"
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,MALPAS SURGERY,"1,371.43"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,MALPAS SURGERY,"3,246.26"
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,MALPAS SURGERY,965.16
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,MALPAS SURGERY,"1,470.45"
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,MALPAS SURGERY,-25.92
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,MALPAS SURGERY,-203.71
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,MALPAS SURGERY,"36,680.32"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,MALPAS SURGERY,"6,552.12"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,MALPAS SURGERY,"9,721.80"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,MALPAS SURGERY,"3,916.67"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,MALPAS SURGERY,"3,783.07"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,MALPAS SURGERY,"2,540.49"
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - DRUGS GENERAL,General Practioner Payments,MALPAS SURGERY,"43,454.38"
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,MALPAS SURGERY,"12,957.91"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,MALPAS SURGERY,"38,832.76"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,MALPAS SURGERY,"-45,404.72"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,MALPAS SURGERY,"3,009.60"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,MALPAS SURGERY,"-3,009.60"
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,PARK MEDICAL CENTRE,"36,100.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"-5,938.30"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"-3,416.90"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,PARK MEDICAL CENTRE,"-37,508.74"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,PARK MEDICAL CENTRE,-15
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,PARK MEDICAL CENTRE,"1,262.56"
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,860.64
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"1,741.04"
Department of Health,Western Cheshire PCT,18/05/2011,ALCOHOL - NEW PATIENT SCREENING,General Practioner Payments,PARK MEDICAL CENTRE,52.26
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,988.14
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"3,269.76"
Department of Health,Western Cheshire PCT,18/05/2011,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,158.16
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,PARK MEDICAL CENTRE,"1,158.13"
Department of Health,Western Cheshire PCT,18/05/2011,AVC EQU LIFE,General Practioner Payments,PARK MEDICAL CENTRE,-66.59
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,PARK MEDICAL CENTRE,-35.04
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,PARK MEDICAL CENTRE,-275.43
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,PARK MEDICAL CENTRE,"42,388.91"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,PARK MEDICAL CENTRE,"2,842.13"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"9,220.85"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"4,875.00"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"5,104.99"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,754.66
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,"4,222.74"
Department of Health,Western Cheshire PCT,18/05/2011,STUDENT MMR GENERAL,General Practioner Payments,PARK MEDICAL CENTRE,7.78
Department of Health,Western Cheshire PCT,18/05/2011,LEARING DISABLITY - ASPIRATION,General Practioner Payments,PARK MEDICAL CENTRE,"1,021.60"
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"33,300.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,GREAT SUTTON M C,"-4,807.46"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,GREAT SUTTON M C,"-2,583.54"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,GREAT SUTTON M C,"-34,868.20"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,GREAT SUTTON M C,-9
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,GREAT SUTTON M C,"1,146.64"
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,GREAT SUTTON M C,873.46
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,GREAT SUTTON M C,"1,997.31"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,GREAT SUTTON M C,391.79
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,GREAT SUTTON M C,896.22
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,GREAT SUTTON M C,"1,194.88"
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,GREAT SUTTON M C,-31.09
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,GREAT SUTTON M C,-244.38
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,GREAT SUTTON M C,"37,172.23"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,GREAT SUTTON M C,"4,432.97"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,GREAT SUTTON M C,"10,264.63"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,GREAT SUTTON M C,"3,419.42"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,GREAT SUTTON M C,"4,520.56"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,GREAT SUTTON M C,"1,120.32"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,GREAT SUTTON M C,"1,114.25"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,GREAT SUTTON M C,-579.1
Department of Health,Western Cheshire PCT,18/05/2011,LEARING DISABLITY - ASPIRATION,General Practioner Payments,GREAT SUTTON M C,306.48
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,NESTON SURGERY,"38,200.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,NESTON SURGERY,"-5,993.04"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,NESTON SURGERY,"-3,151.65"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,NESTON SURGERY,"-40,247.42"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,NESTON SURGERY,-15
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,NESTON SURGERY,"1,246.96"
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,NESTON SURGERY,"2,044.02"
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,NESTON SURGERY,855.7
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,NESTON SURGERY,951.49
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,NESTON SURGERY,942.18
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,NESTON SURGERY,"4,558.80"
Department of Health,Western Cheshire PCT,18/05/2011,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,NESTON SURGERY,53.86
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,NESTON SURGERY,"1,897.61"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,NESTON SURGERY,"1,057.42"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,NESTON SURGERY,758.54
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,NESTON SURGERY,-34.7
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,NESTON SURGERY,-272.74
Department of Health,Western Cheshire PCT,18/05/2011,OPHTHALMOMLOGY  & ERECTILE DYSFUNCTION,General Practioner Payments,NESTON SURGERY,"1,409.65"
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,NESTON SURGERY,"45,362.05"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,NESTON SURGERY,"2,320.60"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,NESTON SURGERY,"13,401.28"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,NESTON SURGERY,"3,837.33"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,NESTON SURGERY,"5,026.34"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,NESTON SURGERY,"2,310.66"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,NESTON SURGERY,"9,648.98"
Department of Health,Western Cheshire PCT,18/05/2011,STUDENT MMR GENERAL,General Practioner Payments,NESTON SURGERY,23.34
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,NESTON SURGERY,-240.33
