Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum Of Amount
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,QUANTOCK MOTOR SERVICES LTD,2000025336,"3,381.98"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,R BULLOCK & CO TRANSPORT LTD,2000025337,"16,039.05"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,R DRURY COACHES,2000025338,"1,082.83"
Department for Transport,Department for Transport,15/02/2011,BUS FDR Wales,Regional & Local Transport Policy,R G OWEN T/A NEFYN COACHES,2000025339,"22,235.74"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RAINBOW TRAVEL (HARROGATE) LTD,2000025340,528.44
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,READING TRANSPORT LTD,2000025342,"371,927.02"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RED EAGLE *DONT USE*,2000025430,"1,122.78"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,REGAL BUSWAYS LTD,2000025343,"54,610.40"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RELIANCE MOTOR SERVICES,2000025344,"21,553.17"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RENOWN COACHES LTD,2000025345,"64,055.72"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RIBBLE MOTORS LTD,2000025346,"476,945.61"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RIBBLE VALLEY COACHES,2000025347,"2,735.06"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ROBERT BENSON COACH HIRE,2000025349,"2,786.85"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ROSS TRAVEL,2000025350,"12,963.11"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ROSSWINS COACHES,2000025438,"3,430.44"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,S BARNARD COACHES,2000025352,"1,036.91"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHAFTESBURY & DIST MOTOR SERVS LTD,2000025353,"7,375.11"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHERWOOD TRAVEL,2000025440,987.22
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHOREYS TRAVEL,2000025355,"5,044.10"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SIMONDS,2000025356,"45,462.22"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SKILLS MOTOR COACHES LTD,2000025432,"7,478.26"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SOUTH MIMMS TRAVEL LTD,2000025357,"1,626.58"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SOUTHERN VECTIS,2000025358,"176,060.03"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SPANGAP LTD,2000025359,"11,677.35"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH CAMBUS,2000025361,"530,755.33"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH EAST,2000025390,"489,876.99"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH EAST KENT,2000025362,"722,886.30"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH IN CUMBRIA,2000025363,"729,441.49"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH IN EAST SUSSEX,2000025208,"143,251.68"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH IN HASTINGS,2000025364,"147,923.88"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH IN PORTMOUTH & S DOWNS,2000025365,"509,727.83"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH MANCHESTER,2000025366,"1,923,003.23"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH MERSEYSIDE,2000025367,"522,491.93"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH OXFORD,2000025368,"46,573.00"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH SOUTH EAST,2000025369,"402,694.58"
Department for Transport,Department for Transport,15/02/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Delivery,STAGECOACH SOUTHWESTERN TRAINS LTD,2000025481,"223,036.17"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH VISCOUNT,2000025370,"219,251.04"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAR TRAVEL HOLIDAYS LTD,2000025417,"8,194.91"
Department for Transport,Department for Transport,15/02/2011,Management Consultancy,Rail Technical & Professional,STEER DAVIES & GLEAVE LTD,2000003824,"31,223.00"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STEPHENSONS COACHES LTD,2000025372,"68,161.00"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STEPHENSONS OF EASINGWOLD LTD,2000025373,"80,618.23"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SULLIVAN BUS & COACH LTD,2000025375,"25,891.91"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SUNRAY TRAVEL LTD,2000025403,"6,951.14"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SUPERTRAVEL MINICOACHES,2000025376,"48,295.53"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SWINDON & DISTRICT,2000025378,"219,117.00"
Department for Transport,Department for Transport,15/02/2011,BUS FDR Wales,Regional & Local Transport Policy,T H JONES & SON,2000025379,"4,143.53"
Department for Transport,Department for Transport,15/02/2011,BUS FDR Wales,Regional & Local Transport Policy,TANAT VALLEY COACHES,2000025381,"52,959.82"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TATES TRAVEL,2000025382,"42,737.89"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TAW & TORRIDGE COACHES LTD,2000025409,536.47
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TAYLORS COACH TRAVEL LTD,2000025446,"2,275.79"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TELFORD & WREKIN DC,2000025383,"1,636.34"
Department for Transport,Department for Transport,15/02/2011,IT Consultancy,Regional & Local Transport Policy,THALES INFORMATION SYSTEM LTD,2000025467,"1,973.40"
Department for Transport,Department for Transport,15/02/2011,IT Consultancy,Regional & Local Transport Policy,THALES INFORMATION SYSTEM LTD,2000025467,"7,578.83"
Department for Transport,Department for Transport,15/02/2011,Capital Grant to Priv Sector - Companies,Environment and International,THE COLT CAR COMPANY LTD,2000025484,"55,000.00"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,THE DIAMOND BUS COMPANY LTD,2000025203,"522,474.32"
Department for Transport,Department for Transport,15/02/2011,Transport Consultancy,Projects,THE NICHOLS GROUP,2000003823,"20,000.00"
Department for Transport,Department for Transport,15/02/2011,Publications for Resale,Standalone Units,THE STATIONERY OFFICE LTD,2000025475,"1,822.50"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRANSLINC LTD,2000025384,"7,198.52"
Department for Transport,Department for Transport,15/02/2011,Transport Consultancy,Information Management Directorate,TRANSPORT & TRAVEL RESEARCH LTD,2000025468,"11,495.56"
Department for Transport,Department for Transport,15/02/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000025469,"3,000.00"
Department for Transport,Department for Transport,15/02/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000025469,"5,675.00"
Department for Transport,Department for Transport,15/02/2011,BUS FDR Wales,Regional & Local Transport Policy,TRAVELFINAL LTD,2000025385,"4,057.74"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRAVELGUEST,2000025425,"7,410.52"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRENT BUSES,2000025386,"712,392.84"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TUDOR COACHES LTD,2000025387,971.67
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TURNERS TOURS,2000025389,"24,481.76"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,UK PRIVATE HIRE LTD,2000025418,"4,357.67"
Department for Transport,Department for Transport,15/02/2011,Services provided by OGDs,Road & Vehicle Safety & Standards,VEHICLE CERTIFICATION AGENCY,2000025471,"80,624.00"
Department for Transport,Department for Transport,15/02/2011,Services provided by OGDs,Road & Vehicle Safety & Standards,VEHICLE CERTIFICATION AGENCY,2000025471,"154,250.00"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,VENTURER COACHWAYS LTD,2000025415,709.69
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,W H FOWLER & SONS COACHES LTD,2000025391,"13,269.38"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WEST MIDLANDS TRAVEL LTD,2000025392,"5,327,484.45"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WHIPPET COACHES LTD,2000025393,"109,752.40"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WHITE BUS SERVICES,2000025394,"10,126.64"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WHITE ROSE BUS COMPANY LTD,2000025439,"102,277.19"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WHITES COACHES,2000025395,"14,508.78"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WHITTAKERS,2000025435,853.99
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WHITTLE COACH & BUS LTD,2000025396,"30,555.20"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WIDE HORIZON,2000025397,"2,427.38"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WIGHTBUS,2000025190,"9,318.07"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WOOTTENS LUXURY TRAVEL,2000025412,"28,676.96"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WORTHEN TRAVEL,2000025398,"1,058.81"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YORK PULLMAN BUS CO. LTD,2000025411,"32,300.86"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YORKSHIRE COASTLINER LTD,2000025399,"95,553.24"
Department for Transport,Department for Transport,15/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YORKSHIRE TRACTION CO LTD,2000025400,"519,723.93"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,ADUR DC,2000025732,"17,255.00"
Department for Transport,Department for Transport,16/02/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,AEA TECHNOLOGY ENVIRONMENT,2000025841,"1,522,536.00"
Department for Transport,Department for Transport,16/02/2011,Research,Regional & Local Transport Policy,AECOM LIMITED,2000025639,"3,991.03"
Department for Transport,Department for Transport,16/02/2011,Training,Regional & Local Transport Policy,AECOM LIMITED,2000025639,"1,000.00"
Department for Transport,Department for Transport,16/02/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000025590,"1,946.39"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,ALLERDALE BC,2000025591,"132,834.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,AMBER VALLEY BC,2000025592,"82,303.00"
Department for Transport,Department for Transport,16/02/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000025842,"2,177.83"
Department for Transport,Department for Transport,16/02/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000025842,"1,809.17"
Department for Transport,Department for Transport,16/02/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000025842,"14,924.33"
Department for Transport,Department for Transport,16/02/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000025842,"90,991.91"
Department for Transport,Department for Transport,16/02/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000025842,740.05
Department for Transport,Department for Transport,16/02/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000025842,"6,611.51"
Department for Transport,Department for Transport,16/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ARRIVA MERSEYSIDE LTD,2000025573,"1,491,042.48"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,ARUN DISTRICT COUNCIL,2000025593,"153,087.00"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,Accident Investigating Branches,ARVAL,2000025594,767.4
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,ASHFIELD DC,2000025595,"110,684.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,ASHFORD BC,2000025596,"41,654.00"
Department for Transport,Department for Transport,16/02/2011,Management Consultancy,Regional & Local Transport Policy,ATKINS LTD (MANAGEMENT CONSULTANTS),2000025597,"25,237.83"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,AYLESBURY VALE DC,2000025598,"92,887.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BABERGH DC,2000025733,"22,299.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BARROW-IN-FURNESS BC,2000025599,"37,753.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BASILDON COUNCIL,2000025600,"119,964.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BASINGSTOKE & DEANE BC,2000025601,"93,642.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BASSETLAW DC,2000025734,"73,258.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,BATH & NE SOMERSET DC,2000025528,"87,250.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BATH & NE SOMERSET DC,2000025528,"297,256.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BEDFORD BC,2000025735,"116,669.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,BEDFORD BOROUGH COUNCIL,2000025824,"55,500.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BLABY DC,2000025602,"78,661.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BLACKBURN WITH DARWEN BC,2000025575,"127,518.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BLACKPOOL BC,2000025529,"571,388.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BOLSOVER DISTRICT COUNCIL,2000025603,"41,455.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BOSTON BC,2000025604,"55,907.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BOURNEMOUTH BC,2000025530,"308,998.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BRACKNELL FOREST BC,2000025531,"65,087.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BRAINTREE DC,2000025736,"72,326.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BRECKLAND DC,2000025605,"30,619.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BRENTWOOD BC,2000025606,"41,287.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BRIGHTON & HOVE COUNCIL,2000025532,"444,914.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BRISTOL CITY COUNCIL,2000025533,"472,146.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BROADLAND DC,2000025607,"23,291.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BROMSGROVE DC,2000025608,"65,747.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BROXTOWE BC,2000025609,"81,640.00"
Department for Transport,Department for Transport,16/02/2011,Transport Consultancy,Regional & Local Transport Delivery,BTB MAILFLIGHT LTD,2000025822,"1,614.40"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,BURNLEY BC,2000025610,"122,050.00"
Department for Transport,Department for Transport,16/02/2011,Storage & Distribution,Transform Licensing Logistics and Sponsorship,CAMBERTOWN LIMITED,2000025834,507.01
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CAMBRIDGE CITY COUNCIL,2000025588,"490,639.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CAMBRIDGESHIRE COUNTY COUNCIL,2000025534,"133,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CANNOCK CHASE DC,2000025611,"85,484.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CANTERBURY CITY COUNCIL,2000025612,"205,660.00"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,Corporate Support Function,CAPITA BUSINESS TRAVEL,2000025805,"-7,117.84"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,INE Group ,CAPITA BUSINESS TRAVEL,2000025805,"18,503.51"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CARLISLE CITY COUNCIL,2000025613,"134,167.00"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,Corporate Support Function,CARLSON WAGONLIT TRAVEL,2000025820,"2,288.20"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,CRN Group,CARLSON WAGONLIT TRAVEL,2000025820,"3,289.74"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,Finance & Planning,CARLSON WAGONLIT TRAVEL,2000003835,893.54
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,INE Group ,CARLSON WAGONLIT TRAVEL,2000025820,"3,538.92"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,INE Group ,CARLSON WAGONLIT TRAVEL,2000025820,"2,151.29"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,Transport Security,CARLSON WAGONLIT TRAVEL,2000025820,"2,253.95"
Department for Transport,Department for Transport,16/02/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,CARPLUS TRUST,2000025832,"10,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CASTLE POINT BC,2000025614,"54,110.00"
Department for Transport,Department for Transport,16/02/2011,Cap Grant to Priv Sect - Persons & NPISH,Environment and International,CENEX,2000025833,"428,070.29"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CENTRAL BEDFORDSHIRE COUNCIL,2000025831,"135,788.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHARNWOOD BOROUGH COUNCIL,2000025737,"138,866.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHELMSFORD BOROUGH COUNCIL,2000025615,"187,915.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHELTENHAM BC,2000025738,"157,817.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHERWELL DC,2000025616,"44,110.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CHESHIRE EAST BOROUGH COUNCIL,2000025825,"190,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHESHIRE EAST BOROUGH COUNCIL,2000025825,"249,280.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CHESHIRE WEST ,2000025827,"364,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHESHIRE WEST ,2000025827,"289,180.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHESTERFIELD BC,2000025739,"560,741.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHICHESTER DC,2000025617,"179,980.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHILTERN DC,2000025618,"42,883.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHORLEY BC,2000025740,"180,905.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CHRISTCHURCH BOROUGH COUNCIL,2000025741,"54,156.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CITY OF YORK COUNCIL,2000025535,"166,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CITY OF YORK COUNCIL,2000025535,"375,209.00"
Department for Transport,Department for Transport,16/02/2011,Recruitment,Aviation,CIVIL AVIATION AUTHORITY,2000025619,793.27
Department for Transport,Department for Transport,16/02/2011,Research,Aviation,CIVIL AVIATION AUTHORITY,2000025619,"72,189.00"
Department for Transport,Department for Transport,16/02/2011,Travel Expenses UK,INE Group ,CLYDE TRAVEL,2000025620,1.93
Department for Transport,Department for Transport,16/02/2011,Veh Hire/Lse st <1yr,INE Group ,CLYDE TRAVEL,2000025620,"3,803.06"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,COLCHESTER BC,2000025621,"139,623.00"
Department for Transport,Department for Transport,16/02/2011,Childcare Voucher Costs,Human Resources,COMPUTERSHARE VOUCHER SERVICES,2000025586,"19,936.34"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,COPELAND BC,2000025623,"21,514.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CORBY BOROUGH COUNCIL,2000025624,"69,819.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CORNWALL COUNCIL,2000025828,"859,192.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CORNWALL COUNTY COUNCIL,2000025582,"330,250.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,COTSWOLD DISTRICT COUNCIL,2000025742,"52,553.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,COUNCIL OF THE ISLES OF SCILLY,2000025743,"13,307.00"
Department for Transport,Department for Transport,16/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COURTNEY COACHES LTD,2000025574,"57,885.06"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,COVENTRY CITY COUNCIL,2000025744,"446,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CRAVEN DISTRICT COUNCIL,2000025745,"67,487.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,CRAWLEY BC,2000025625,"84,607.00"
Department for Transport,Department for Transport,16/02/2011,Grant in Aid to NDPBs,Finance & Estates ,CTRL SECTION 1 FINANCE PLC,2000025835,"5,278.94"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CUMBRIA COUNTY COUNCIL,2000025536,"128,000.00"
Department for Transport,Department for Transport,16/02/2011,Machinery Rental,Legal Services Directorate ,DANWOOD GROUP LTD,2000025626,494.27
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,DARLINGTON BC,2000025537,"333,796.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,DARTFORD BC,2000025746,"102,555.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,DAVENTRY DC,2000025747,"48,277.00"
