Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TOP LINE TRAVEL OF YORK LTD,2000027937,"39,684.18"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TOTNES COMMUNITY  BUS COMMITEE,2000027938,587.95
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TOURIST COACHES,2000027939,"5,307.91"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TOWN & COUNTRY MOTOR SERVICES LTD,2000027940,"1,678.31"
Department for Transport,Department for Transport,15/03/2011,BUS FDR Wales,Regional & Local Transport Policy,TOWNLYNX,2000027941,"17,995.65"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRAVEL EXPRESS LTD,2000027942,"13,680.06"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRAVEL LONDON LTD,2000027943,"1,369,438.26"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRAVEL WRIGHT LTD,2000027944,"22,482.14"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRAVELSURE,2000027945,"17,535.83"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TYNE VALLEY COACHES LTD,2000027946,"7,401.03"
Department for Transport,Department for Transport,15/03/2011,BUS FDR Wales,Regional & Local Transport Policy,VALLEY BUS CO LTD,2000027948,"122,001.69"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,VICEROY OF ESSEX LTD,2000027949,"3,583.08"
Department for Transport,Department for Transport,15/03/2011,BUS FDR Wales,Regional & Local Transport Policy,VOEL COACHES LTD,2000027951,"7,642.52"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WALDEN TRAVEL LTD,2000027952,"5,244.27"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WEARDALE MOTOR SERVICES,2000027953,"28,159.64"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WILFREDA LUXURY COACHES,2000027955,"44,047.67"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WILTS & DORSET BUS CO,2000027956,"620,980.03"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WORLEY COACHES,2000027957,"3,661.75"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YORKS COACHES,2000027959,"2,519.75"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SOUTH YORKSHIRE RIDER LTD,2000027960,"6,166.13"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HELMS COACHES LTD,2000027961,"38,123.47"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,R S TYRER LIMITED,2000027962,"5,622.61"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ELITE MINIBUS,2000027963,"3,833.29"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TOTALLY TRANSPORT  C I C,2000027964,"2,493.22"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DISCOVER DORSET LTD,2000027965,"2,151.67"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HUDDERSFIELD BUS COMPANY,2000027966,"140,524.76"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STANWAYS COACHES,2000027967,"5,642.51"
Department for Transport,Department for Transport,15/03/2011,BUS FDR Wales,Regional & Local Transport Policy,SOUTH WALES TRANSPORT (NEATH),2000027968,"26,576.73"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,PCL TRAVEL,2000027969,"4,950.84"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BLACK VELVET TRAVEL LTD,2000027970,"22,085.61"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DAVID FRICKER,2000027971,"4,697.93"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,AM PM TRAVEL LIMITED,2000027973,"30,117.73"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CENTREBUS HOLDINGS LTD,2000027974,"36,520.61"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRAVEL WITH HUNNY BUS -,2000027975,"12,873.61"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CONNECT TRANSPORT LTD,2000027976,"2,272.14"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HATCH GREEN COACHES,2000027977,"21,449.80"
Department for Transport,Department for Transport,15/03/2011,BUS FDR Wales,Regional & Local Transport Policy,GLOBE COACHES,2000027978,"2,753.41"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,OFJ CONNECTIONS LTD,2000027979,"30,545.08"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BUSKING LTD,2000027981,"3,691.57"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ROLLING SOLUTIONS T/A STRAWBERRY,2000027982,"25,415.23"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,THE GREEN BUS COMPANY LIMITED,2000027983,"6,460.45"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MERIDIAN BUS,2000027984,"8,746.80"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HEGARTY COACH TRAVEL,2000027986,"1,622.32"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CT PLUS (YORKSHIRE) C.I.C HULL,2000027987,"12,313.95"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SEVERNSIDE TRANSPORT,2000027988,"6,236.25"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,GARSTANG CARS,2000027989,"2,017.23"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FREEDOM TRAVEL NORTH LTD,2000027990,"1,851.94"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WORCESTERSHIRE COUNTY COUNCIL,2000027992,"14,429.96"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WILLIAMS TRAVEL,2000027995,"2,329.08"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WIDNES COMMERCIAL MOTORS LTD,2000027996,"2,803.25"
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,S A GARD T/A GARDBUS,2000027998,898.13
Department for Transport,Department for Transport,15/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YELLOW STAR T/A BURTON'S COACHES,2000027999,"27,329.12"
Department for Transport,Department for Transport,15/03/2011,Services provided by OGDs,Human Resources,COMMUNITIES AND LOCAL GOVERNMENT,2000028001,812.86
Department for Transport,Department for Transport,15/03/2011,Car Hire and Leasing,Standalone Units,GOVERNMENT CAR & DESPATCH AGENCY,2000028002,"6,424.50"
Department for Transport,Department for Transport,15/03/2011,Research,Road & Vehicle Safety & Standards,HOME OFFICE,2000028003,"50,000.00"
Department for Transport,Department for Transport,15/03/2011,Services provided by OGDs,Transport Security,VEHICLE & OPERATOR SERVICES AGENCY,2000028004,"91,608.00"
Department for Transport,Department for Transport,15/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,NOTTINGHAM CITY PRIMARY,2000028005,"28,062.81"
Department for Transport,Department for Transport,15/03/2011,Agency Staff Costs,Finance & Estates ,HAYS PERSONNEL SERVICE LTD,2000028006,"1,440.00"
Department for Transport,Department for Transport,15/03/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000028006,"4,104.00"
Department for Transport,Department for Transport,15/03/2011,Training,Regional & Local Transport,Thames Valley University,2000028007,980
Department for Transport,Department for Transport,15/03/2011,Computer equipment,Accident Investigating Branches,Misco,2000028008,"1,995.00"
Department for Transport,Department for Transport,15/03/2011,Other Professional Fees,Maritime and Dangerous Goods,AEA TECHNOLOGY PLC,2000028010,"42,469.20"
Department for Transport,Department for Transport,15/03/2011,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000028010,"13,510.80"
Department for Transport,Department for Transport,15/03/2011,Transport Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000028011,"16,118.09"
Department for Transport,Department for Transport,15/03/2011,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000028012,"8,127.80"
Department for Transport,Department for Transport,15/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000028013,"4,311.50"
Department for Transport,Department for Transport,15/03/2011,Legal Consultancy,Major Projects,C M S CAMERON MCKENNA,2000028016,"6,089.48"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,COLCHESTER BC,2000028018,"67,088.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,COLCHESTER BC,2000028018,"71,344.00"
Department for Transport,Department for Transport,15/03/2011,Service Charge Computer Expenses,Communication Directorate ,COMPUTACENTER (UK) LTD,2000028019,"20,467.74"
Department for Transport,Department for Transport,15/03/2011,Research,Transport Analysis and Economics,NETFUNDI LTD,2000028022,651
Department for Transport,Department for Transport,15/03/2011,Research,Transport Analysis and Economics,NETFUNDI LTD,2000028022,"2,520.00"
Department for Transport,Department for Transport,15/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000028024,"3,096.00"
Department for Transport,Department for Transport,15/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000028024,"2,664.00"
Department for Transport,Department for Transport,15/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000028024,690
Department for Transport,Department for Transport,15/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000028024,864
Department for Transport,Department for Transport,15/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000028024,"8,346.00"
Department for Transport,Department for Transport,15/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000028024,"4,242.00"
Department for Transport,Department for Transport,15/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028026,"18,096.01"
Department for Transport,Department for Transport,15/03/2011,Transport Consultancy,Road & Vehicle Safety & Standards,VEHICLE CERTIFICATION AGENCY,2000028027,"9,524.30"
Department for Transport,Department for Transport,15/03/2011,Agency Staff Costs,Accident Investigating Branches,BROOK STREET BUREAU,2000028028,597.52
Department for Transport,Department for Transport,15/03/2011,Programme and Project Management Consultancy,Regional & Local Transport,COMMUNITY TRANSPORT ASSOCIATION,2000028030,"6,540.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,LANCASTER CITY COUNCIL,2000028031,"74,492.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,LANCASTER CITY COUNCIL,2000028031,"36,080.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,SOUTHEND-ON-SEA BC,2000028032,"278,962.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,STOKE ON TRENT CITY COUNCIL,2000028033,"229,415.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,STOKE ON TRENT CITY COUNCIL,2000028033,"187,429.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,BRIGHTON & HOVE COUNCIL,2000028035,"21,594.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,BRIGHTON & HOVE COUNCIL,2000028035,"69,538.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,NOTTINGHAM CITY COUNCIL,2000028036,"70,284.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,NOTTINGHAM CITY COUNCIL,2000028036,"99,716.00"
Department for Transport,Department for Transport,15/03/2011,Training,Accident Investigating Branches,WHITE WALTHAM AIRFIELD LTD,2000028038,940.83
Department for Transport,Department for Transport,15/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,ATOC LIMITED,2000028039,"8,939.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,DEVON COUNTY COUNCIL,2000028040,"135,974.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,DEVON COUNTY COUNCIL,2000028040,"392,663.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,DEVON COUNTY COUNCIL,2000028040,"25,957.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,DEVON COUNTY COUNCIL,2000028040,"103,975.00"
Department for Transport,Department for Transport,15/03/2011,Services provided by OGDs,Human Resources,FOREIGN & COMMONWEALTH OFFICE,2000028041,"5,564.77"
Department for Transport,Department for Transport,15/03/2011,Agency Staff Costs,Information Management Directorate,MONARCH RECRUITMENT LTD,2000028042,"7,449.60"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,DERBY CITY COUNCIL RESOURCES DEP,2000028043,"51,970.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,DERBY CITY COUNCIL RESOURCES DEP,2000028043,"116,419.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CHESHIRE WEST ,2000028044,"59,521.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CHESHIRE WEST ,2000028044,"59,893.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,CHESHIRE WEST ,2000028044,"62,493.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,CHESHIRE WEST ,2000028044,"140,575.00"
Department for Transport,Department for Transport,15/03/2011,IT Services  Running Costs,Road & Vehicle Safety & Standards,ARKITEC SOFTWARE LIMITED,2000028045,"2,700.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,SHROPSHIRE COUNCIL,2000028046,"60,224.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,SHROPSHIRE COUNCIL,2000028046,"29,349.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CENTRAL BEDFORDSHIRE COUNCIL,2000028047,"10,413.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,CENTRAL BEDFORDSHIRE COUNCIL,2000028047,"50,945.00"
Department for Transport,Department for Transport,15/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,CTC,2000028048,"254,242.62"
Department for Transport,Department for Transport,15/03/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Delivery,WEST COAST TRAINS,2000028049,"365,727.33"
Department for Transport,Department for Transport,15/03/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Delivery,COUNTY DURHAM & DARLINGTON,2000028050,"13,692.00"
Department for Transport,Department for Transport,15/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,COUNTY DURHAM & DARLINGTON,2000028050,"19,545.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Delivery,CITY HOSPITALS SUNDERLAND,2000028051,"37,000.00"
Department for Transport,Department for Transport,15/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,CITY HOSPITALS SUNDERLAND,2000028051,"30,000.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Delivery,PEAK DISTRICT,2000028052,"343,350.00"
Department for Transport,Department for Transport,15/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,PEAK DISTRICT,2000028052,"34,457.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grant to Priv Sector - Companies,Transform Licensing Logistics and Sponsorship,KRONOSPAN LIMITED,2000028053,"284,397.25"
Department for Transport,Department for Transport,15/03/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Policy,FIRST WEST YORKSHIRE LTD,2000028055,"1,336,752.00"
Department for Transport,Department for Transport,15/03/2011,Training,Accident Investigating Branches,BRISTOL FLYING CENTRE LTD,2000028056,"3,490.83"
Department for Transport,Department for Transport,15/03/2011,Training,Accident Investigating Branches,BRISTOL FLYING CENTRE LTD,2000028056,"-1,058.46"
Department for Transport,Department for Transport,15/03/2011,Property Maintenance,Accident Investigating Branches,HAMPSHIRE MEZZANINE FLOORS LTD,2000028057,"3,388.80"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,BRISTOL CITY COUNCIL,2000028059,"598,422.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,BRISTOL CITY COUNCIL,2000028059,"476,879.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,BUCKINGHAMSHIRE CC (REVENUE),2000028060,"19,290.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,BUCKINGHAMSHIRE CC (REVENUE),2000028060,"27,535.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CAMBRIDGESHIRE COUNTY COUNCIL,2000028061,"439,274.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,CAMBRIDGESHIRE COUNTY COUNCIL,2000028061,"60,422.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,CITY OF YORK COUNCIL,2000028062,"114,488.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,CITY OF YORK COUNCIL,2000028062,"102,406.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,DARLINGTON BC,2000028063,"2,343.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,DARLINGTON BC,2000028063,"47,655.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,SEFTON MBC,2000028064,"18,130.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,SEFTON MBC,2000028064,"70,156.00"
Department for Transport,Department for Transport,15/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,SURREY COUNTY COUNCIL,2000028065,"24,914.00"
Department for Transport,Department for Transport,15/03/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Delivery,SURREY COUNTY COUNCIL,2000028065,"96,974.00"
Department for Transport,Department for Transport,16/03/2011,Management Consultancy,Projects,MOTT MACDONALD,2000004170,"14,962.50"
Department for Transport,Department for Transport,16/03/2011,Grant in Aid to NDPBs,Rail Strategy & Stakeholder Relations,RAIL PASSENGERS COUNCIL,2000004171,"414,000.00"
Department for Transport,Department for Transport,16/03/2011,Secondments,Rail Technical & Professional,ALSTOM TRANSPORT,2000004174,"25,744.88"
Department for Transport,Department for Transport,16/03/2011,Programme and Project Management Consultancy,Rail Technical & Professional,ROY MCNULTY,2000004176,"23,000.00"
Department for Transport,Department for Transport,16/03/2011,Stationery (Non-stock),Information Management Directorate,BANNER BUSINESS SERVICES LTD,2000028101,830.16
Department for Transport,Department for Transport,16/03/2011,Computer equipment,Accident Investigating Branches,SOFTWARE BOX LTD,2000028102,757.9
Department for Transport,Department for Transport,16/03/2011,Agency Staff Costs,Finance & Estates ,HAYS PERSONNEL SERVICE LTD,2000028103,"1,152.00"
Department for Transport,Department for Transport,16/03/2011,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000028104,"2,444.40"
Department for Transport,Department for Transport,16/03/2011,Rent - L&B (non-PFI),Finance & Estates ,BERALA SARL,2000028105,"1,703,910.00"
Department for Transport,Department for Transport,16/03/2011,Research,Aviation,BUILDING RESEARCH ESTABLISHMENT,2000028106,"2,600.00"
Department for Transport,Department for Transport,16/03/2011,Live Running Non IBM,Information Management Directorate,CABLE & WIRELESS,2000028108,"2,310.36"
Department for Transport,Department for Transport,16/03/2011,Live Running Non IBM,Information Management Directorate,CABLE & WIRELESS,2000028108,"19,555.20"
Department for Transport,Department for Transport,16/03/2011,IT Services  Running Costs,Communication Directorate ,CENTRAL OFFICE OF INFORMATION,2000028109,"38,949.00"
Department for Transport,Department for Transport,16/03/2011,Services provided by OGDs,Human Resources,DEFRA,2000028113,"1,368.74"
Department for Transport,Department for Transport,16/03/2011,Research,Transport Security,DSTL,2000028114,"27,104.69"
Department for Transport,Department for Transport,16/03/2011,Research,Transport Security,DSTL,2000028114,"19,114.86"
Department for Transport,Department for Transport,16/03/2011,Research,Transport Security,DSTL,2000028114,"37,172.38"
Department for Transport,Department for Transport,16/03/2011,Rent - L&B (non-PFI),Finance & Estates ,GREAT MINSTER EAST LONDON A/S,2000028115,"803,400.00"
Department for Transport,Department for Transport,16/03/2011,IT Services  Running Costs,Communication Directorate ,LIONBRIDGE (UK) LTD,2000028117,"1,122.00"
Department for Transport,Department for Transport,16/03/2011,Printing,Accident Investigating Branches,MWL PRINT GROUP LTD,2000028118,"1,412.00"
Department for Transport,Department for Transport,16/03/2011,Rent - L&B (non-PFI),Finance & Estates ,WORKMAN & PARTNERS,2000028119,"690,000.00"
Department for Transport,Department for Transport,16/03/2011,Live Running Non IBM,Information Management Directorate,BT PAYMENT SERVICES LTD,2000028120,"2,227.34"
Department for Transport,Department for Transport,16/03/2011,Mobile Phone charges,Transport Security,VODAFONE LTD,2000028122,972
Department for Transport,Department for Transport,16/03/2011,Rent - L&B (non-PFI),Finance & Estates ,SAVILLS COMMERCIAL LTD,2000028124,"344,804.17"
Department for Transport,Department for Transport,16/03/2011,Rent - L&B (non-PFI),Finance & Estates ,SAVILLS COMMERCIAL LTD,2000028124,"98,820.60"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,W YORKS PTE,2000028125,"382,600.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,WEST MIDLAND PASS TRANSPORT AUTH,2000028126,"438,727.00"
Department for Transport,Department for Transport,16/03/2011,Agency Staff Costs,Finance & Estates ,MICHAEL PAGE INTERNATIONAL,2000028127,"3,456.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,BRISTOL CITY COUNCIL,2000028128,"154,869.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,MERSEYSIDE PTA,2000028129,"320,892.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,NEWCASTLE CITY COUNCIL,2000028130,"252,049.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,NOTTINGHAM CITY COUNCIL,2000028131,"155,890.00"
Department for Transport,Department for Transport,16/03/2011,Legal Consultancy,CHANGE MANAGEMENT,FIELD FISHER WATERHOUSE LLP,2000028132,"14,144.70"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,SOUTH YORKSHIRE PTE,2000028134,"300,752.00"
Department for Transport,Department for Transport,16/03/2011,Storage & Distribution,Transform Licensing Logistics and Sponsorship,CAMBERTOWN LIMITED,2000028136,743.31
Department for Transport,Department for Transport,16/03/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,McCLURE NAISMITH,2000028137,"10,000.00"
Department for Transport,Department for Transport,16/03/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,LEDINGHAM CHALMERS LLP,2000028138,"8,285.88"
Department for Transport,Department for Transport,16/03/2011,Secondments,Regional & Local Transport,SHERIDAN - SMITH CONSULTANTS LTD,2000028139,"5,140.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,LEICESTER CITY COUNCIL,2000028142,"148,857.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,GREATER LONDON AUTHORITY,2000028143,"1,125,000.00"
Department for Transport,Department for Transport,16/03/2011,Current Grants to LAs outside AEF/AEG,Regional & Local Transport Delivery,MANCHESTER CITY COUNCIL,2000028144,"470,364.00"
Department for Transport,Department for Transport,16/03/2011,Rent - L&B (non-PFI),Finance & Estates ,DEPARTMENT FOR WORK & PENSIONS,2000028145,"58,499.65"
Department for Transport,Department for Transport,16/03/2011,Services provided by OGDs,Transport Security,DRIVING STANDARDS AGENCY,2000028146,"1,891.56"
Department for Transport,Department for Transport,16/03/2011,Services provided by OGDs,Human Resources,H M TREASURY,2000028147,"1,450.00"
Department for Transport,Department for Transport,16/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,HIGHWAYS AGENCY (14272),2000028148,"4,049.09"
Department for Transport,Department for Transport,17/03/2011,Legal Consultancy,Rail Strategy & Stakeholder Relations,BURGES SALMON,2000004185,"8,710.46"
Department for Transport,Department for Transport,17/03/2011,Printing,PLEASE CHECK DIRECTORATE,ST IVES DIRECT LTD,2000004187,"2,964.00"
Department for Transport,Department for Transport,17/03/2011,Transport Consultancy,Rail Technical & Professional,STEER DAVIES & GLEAVE LTD,2000004188,"89,381.00"
Department for Transport,Department for Transport,17/03/2011,Transport Consultancy,Rail Technical & Professional,ATOC LIMITED,2000004189,"86,960.00"
