Breakdown, Level,Level Description,3.11 Percentage,3.11 Denominator,3.11 Numerator,3.12 Percentage,3.12 Denominator,3.12 Numerator,3.13 Percentage,3.13 Denominator,3.13 Numerator,3.5i Percentage,3.5i Denominator,3.5i Numerator,3.5ii Percentage,3.5ii Denominator,3.5ii Numerator,Best practice Percentage,Best practice Denominator,Best Practice Numerator,Mortality Percentage,Mortality Denominator,Pressure ulcer percentage,Pressure ulcer Denominator
CCG,08L,NHS Lewisham CCG,95.3, 129 , 123 ,69.3, 127 , 88 ,100.0, 116 , 116 ,0, -   , -   ,0, * , * ,60.4,134,81,8.3,132,0.8,118
CCG,08M,NHS Newham CCG,88.8, 80 , 71 ,68.5, 73 , 50 ,93.7, 63 , 59 ,0,11, -   ,28.6, * , * ,42.9,77,33,16.9,83,8.6,70
CCG,08N,NHS Redbridge CCG,95.4, 173 , 165 ,77.5, 173 , 134 ,100.0, 154 , 154 ,13.8, * , * ,64.7,17,11,65.1,186,121,6.3,175,3.9,155
CCG,08P,NHS Richmond CCG,96.1, 154 , 148 ,61.2, 152 , 93 ,98.6, 143 , 141 ,0, -   , -   ,0, -   , -   ,57,151,86,10.8,158,1.4, * 
CCG,08Q,NHS Southwark CCG,80.5, 123 , 99 ,75.4, 114 , 86 ,100.0, 106 , 106 ,77.8,9,7,55.2,29,16,37.5,136,51,7.8,128,4.2, * 
CCG,08R,NHS Merton CCG,74.8, 151 , 113 ,74.8, 143 , 107 ,100.0, 126 , 126 ,0, -   , -   ,100, * , * ,47.3,146,69,8.6,151,1.5, * 
CCG,08T,NHS Sutton CCG,98.3, 176 , 173 ,88.6, 175 , 155 ,100.0, 157 , 157 ,0, -   , -   ,0, -   , -   ,90.1,171,154,9.5,179,4.3,161
CCG,08V,NHS Tower Hamlets CCG,98.9, 87 , 86 ,74.7, 83 , 62 ,98.7, 77 , 76 ,29.7,37,11,41.7,24,10,66,100,66,5.6, * ,1.3, * 
CCG,08W,NHS Waltham Forest CCG,92.9, 126 , 117 ,73.0, 126 , 92 ,100.0, 114 , 114 ,15.8, * , * ,50, * , * ,59.5,126,75,8.5,129,6.9,116
CCG,08X,NHS Wandsworth CCG,77.0, 165 , 127 ,74.2, 151 , 112 ,100.0, 134 , 134 ,0, * , * ,50, * , * ,39.9,163,65,7.6,170,4,150
CCG,08Y,NHS West London (K&C & Qpp) CCG,95.7, 115 , 110 ,72.0, 107 , 77 ,98.1, 104 , 102 ,40, * , * ,50, * , * ,58.8,119,70,5.1,117,1.8, * 
CCG,09A,NHS Central London (Westminster) CCG,98.0, 101 , 99 ,81.4, 97 , 79 ,100.0, 90 , 90 ,0, * , * ,53.8,13,7,73.8,103,76,4.9, * ,4.3, * 
CCG,09C,NHS Ashford CCG,100.0, 125 , 125 ,73.0, 126 , 92 ,100.0, 117 , 117 ,35.7, * , * ,100, * , * ,64.7,133,86,6.3,126,6,117
CCG,09D,NHS Brighton and Hove CCG,98.5, 259 , 255 ,87.7, 261 , 229 ,99.6, 250 , 249 ,0, * , * ,25, * , * ,83.1,272,226,6,266,12.3,252
CCG,09E,NHS Canterbury and Coastal CCG,98.8, 253 , 250 ,77.0, 252 , 194 ,100.0, 228 , 228 ,23.5, * , * ,0, * , * ,73.6,250,184,10.2,256,5.2,230
CCG,09F,"NHS Eastbourne, Hailsham and Seaford CCG",99.6, 274 , 273 ,93.0, 272 , 253 ,99.6, 251 , 250 ,0, * , * ,0, -   , -   ,79.9,319,255,5.4,279,2.3,257
CCG,09G,NHS Coastal West Sussex CCG,98.7, 763 , 753 ,81.7, 640 , 523 ,99.2, 590 , 585 ,20.1,328,66,53.9,310,167,74.8,823,616,9.4,786,2,709
CCG,09H,NHS Crawley CCG,96.9, 96 , 93 ,71.9, 96 , 69 ,97.6, 85 , 83 ,0, -   , -   ,0, -   , -   ,64,100,64,8.1,99,5.7, * 
CCG,09J,"NHS Dartford, Gravesham and Swanley CCG",96.4, 196 , 189 ,73.0, 196 , 143 ,98.9, 177 , 175 ,14.1,71,10,66.7,45,30,65.5,238,156,14.8,209,5.6,180
CCG,09L,NHS East Surrey CCG,97.7, 175 , 171 ,82.3, 175 , 144 ,100.0, 160 , 160 ,0, * , * ,50, * , * ,66.1,177,117,7.8,179,1.2, * 
CCG,09N,NHS Guildford and Waverley CCG,99.1, 235 , 233 ,81.9, 232 , 190 ,99.1, 215 , 213 ,23.8,101,24,62.5,80,50,82.2,241,198,8.4,239,4.6,218
CCG,09P,NHS Hastings and Rother CCG,97.7, 302 , 295 ,84.9, 299 , 254 ,99.6, 273 , 272 ,25, * , * ,100, * , * ,60.3,320,193,8.2,304,3.6,279
CCG,09W,NHS Medway CCG,95.5, 223 , 213 ,79.8, 213 , 170 ,97.5, 199 , 194 ,32.5,114,37,59.4,96,57,68.3,243,166,6.9,231,0,213
CCG,09X,NHS Horsham and Mid Sussex CCG,97.8, 278 , 272 ,82.1, 273 , 224 ,99.6, 260 , 259 ,0,8, -   ,60, * , * ,77.3,286,221,5.3,282,7.1,267
CCG,09Y,NHS North West Surrey CCG,99.4, 338 , 336 ,82.0, 338 , 277 ,99.4, 321 , 319 ,21.6,153,33,85.7,7,6,81.6,337,275,6.1,343,3.7,325
CCG,10A,NHS South Kent Coast CCG,99.6, 264 , 263 ,69.9, 266 , 186 ,100.0, 245 , 245 ,15.8,38,6,0,6, -   ,66.8,277,185,9,268,5.7,245
CCG,10C,NHS Surrey Heath CCG,93.2, 88 , 82 ,84.3, 89 , 75 ,100.0, 81 , 81 ,21.9,32,7,52,25,13,71.4,98,70,13.2,91,13.6,81
CCG,10D,NHS Swale CCG,97.2, 72 , 70 ,72.9, 70 , 51 ,98.4, 61 , 60 ,33.3,33,11,38.5,26,10,61.2,85,52,16,75,0,62
CCG,10E,NHS Thanet CCG,98.9, 176 , 174 ,77.8, 180 , 140 ,99.4, 166 , 165 ,0, * , * ,100, * , * ,70.3,175,123,7.1,183,4.2,168
CCG,10G,NHS Bracknell and Ascot CCG,97.6, 85 , 83 ,80.5, 87 , 70 ,98.7, 78 , 77 ,34.8,23,8,65,20,13,64.6,96,62,8,87,0,78
CCG,10H,NHS Chiltern CCG,95.2, 290 , 276 ,72.0, 282 , 203 ,96.9, 262 , 254 ,33.3,63,21,59.7,62,37,59.8,326,195,8.8,294,2.2,270
CCG,10J,NHS North Hampshire CCG,97.2, 179 , 174 ,75.3, 178 , 134 ,100.0, 165 , 165 ,23.5,68,16,54.5,55,30,68.3,202,138,9.3,182,5.4,168
CCG,10K,NHS Fareham and Gosport CCG,99.6, 224 , 223 ,85.3, 225 , 192 ,99.0, 207 , 205 ,42.5,127,54,61.6,112,69,83.5,254,212,7,227,2.9,207
CCG,10L,NHS Isle Of Wight CCG,93.6, 218 , 204 ,67.6, 222 , 150 ,86.4, 206 , 178 ,0, * , * ,0, -   , -   ,51.6,213,110,8.1,222,1, * 
CCG,10M,NHS Newbury and District CCG,98.5, 68 , 67 ,75.4, 65 , 49 ,98.3, 58 , 57 ,32,25,8,50,26,13,72.9,85,62,8.8,68,3.3, * 
CCG,10N,NHS North & West Reading CCG,100.0, 84 , 84 ,67.1, 85 , 57 ,100.0, 83 , 83 ,21.1,38,8,51.4,35,18,67.3,98,66,5.7, * ,0,83
CCG,10Q,NHS Oxfordshire CCG,94.4, 695 , 656 ,74.7, 688 , 514 ,99.2, 633 , 628 ,31,29,9,55,20,11,68.3,694,474,9.6,710,2.5,650
CCG,10R,NHS Portsmouth CCG,100.0, 199 , 199 ,82.4, 199 , 164 ,100.0, 192 , 192 ,39.2,130,51,71.9,114,82,80.3,234,188,6.1,197,0.5,193
CCG,10T,NHS Slough CCG,95.2, 63 , 60 ,71.4, 63 , 45 ,89.5, 57 , 51 ,0, * , * ,0, * , * ,57.4,68,39,11.9,67,3.4, * 
CCG,10V,NHS South Eastern Hampshire CCG,100.0, 272 , 272 ,82.3, 271 , 223 ,100.0, 255 , 255 ,35.8,162,58,64.4,146,94,82.2,297,244,7.6,277,1.9, * 
CCG,10W,NHS South Reading CCG,100.0, 51 , 51 ,76.5, 51 , 39 ,100.0, 47 , 47 ,36.4,22,8,43.8,16,7,75.9,58,44,7.7, * ,0,48
CCG,10X,NHS Southampton CCG,98.2, 218 , 214 ,77.9, 217 , 169 ,100.0, 201 , 201 ,0, * , * ,100, * , * ,59.9,217,130,8.6,222,2, * 
CCG,10Y,NHS Aylesbury Vale CCG,96.2, 210 , 202 ,75.5, 204 , 154 ,97.8, 186 , 182 ,24.5,49,12,51.1,45,23,65.9,232,153,8.3,216,1.5, * 
CCG,11A,NHS West Hampshire CCG,98.1, 576 , 565 ,78.5, 571 , 448 ,98.9, 523 , 517 ,20.6,126,26,50.4,115,58,69.7,631,440,8.8,589,3.2,535
CCG,11C,"NHS Windsor, Ascot and Maidenhead CCG",97.3, 146 , 142 ,79.9, 144 , 115 ,96.3, 135 , 130 ,23.5, * , * ,60, * , * ,60.1,148,89,6.8,147,3.6, * 
CCG,11D,NHS Wokingham CCG,99.2, 125 , 124 ,68.5, 127 , 87 ,100.0, 113 , 113 ,35.2,54,19,46.7,30,14,67.4,141,95,12.4,129,0.9, * 
CCG,11E,NHS Bath and North East Somerset CCG,99.6, 245 , 244 ,84.0, 244 , 205 ,100.0, 223 , 223 ,25.8,62,16,53.9,76,41,81.3,251,204,12.6,253,1.8, * 
CCG,11H,NHS Bristol CCG,97.6, 379 , 370 ,75.3, 361 , 272 ,99.4, 327 , 325 ,24.4,176,43,52.9,138,73,62.8,419,263,8.1,381,4.1,345
CCG,11J,NHS Dorset CCG,99.3, 919 , 913 ,81.6, 828 , 676 ,98.5, 784 , 772 ,23.5,324,76,55.3,275,152,74.8,"1,076",805,7.4,938,2.4,876
CCG,11M,NHS Gloucestershire CCG,90.7, 664 , 602 ,70.9, 659 , 467 ,99.2, 611 , 606 ,38.3,128,49,62.1,145,90,58.9,739,435,8.9,677,2.1,619
CCG,11N,NHS Kernow CCG,97.7, 697 , 681 ,76.0, 701 , 533 ,99.5, 657 , 654 ,20.6,63,13,51.2,43,22,69,736,508,8.2,709,1.1,660
CCG,11T,NHS North Somerset CCG,74.5, 267 , 199 ,75.1, 261 , 196 ,78.9, 237 , 187 ,22.9,35,8,51.5,33,17,35.3,283,100,8.8,274,4,247
CCG,11X,NHS Somerset CCG,89.2, 646 , 576 ,80.0, 646 , 517 ,92.7, 604 , 560 ,40.1,152,61,54.3,94,51,55.7,709,395,7.6,657,2,609
CCG,12A,NHS South Gloucestershire CCG,98.7, 232 , 229 ,77.9, 231 , 180 ,100.0, 215 , 215 ,32.4,102,33,50.6,77,39,76.8,233,179,7.2,235,3.7,217
CCG,12D,NHS Swindon CCG,96.1, 154 , 148 ,83.3, 138 , 115 ,99.2, 126 , 125 ,32.8,58,19,52.2,46,24,71.1,194,138,10.8,158,2.1, * 
CCG,12F,NHS Wirral CCG,93.5, 310 , 290 ,87.1, 303 , 264 ,98.3, 288 , 283 ,27.9,43,12,0, * , * ,74.9,315,236,7.3,313,7.8,295
CCG,13P,NHS Birmingham Crosscity CCG,91.2, 659 , 601 ,66.5, 650 , 432 ,97.8, 598 , 585 ,24.4,45,11,66.7, * , * ,48.7,663,323,8.2,673,5.5,614
CCG,99A,NHS Liverpool CCG,97.0, 471 , 457 ,83.6, 470 , 393 ,100.0, 423 , 423 ,20.5,39,8,53.2,47,25,78.3,508,398,8.1,480,0.5, * 
CCG,99C,NHS North Tyneside CCG,97.9, 282 , 276 ,87.0, 285 , 248 ,99.2, 258 , 256 ,35.2,54,19,0, -   , -   ,84.9,284,241,5.9,288,5,259
CCG,99D,NHS South Lincolnshire CCG,97.9, 187 , 183 ,83.5, 188 , 157 ,100.0, 181 , 181 ,38.9,18,7,75,20,15,67.5,203,137,5.3,190,1.7, * 
CCG,99E,NHS Basildon and Brentwood CCG,98.5, 261 , 257 ,67.2, 259 , 174 ,99.2, 252 , 250 ,23.2,82,19,42.4,66,28,61.7,269,166,4.2,262,2.4,254
CCG,99F,NHS Castle Point and Rochford CCG,96.9, 162 , 157 ,71.1, 97 , 69 ,100.0, 91 , 91 ,14.8, * , * ,38.9,36,14,59.3,177,105,5.5,165,6.4,157
CCG,99G,NHS Southend CCG,97.9, 191 , 187 ,62.5, 112 , 70 ,100.0, 104 , 104 ,5.9, * , * ,31.6,38,12,52.9,204,108,7.8,193,4.5,179
CCG,99H,NHS Surrey Downs CCG,98.0, 356 , 349 ,88.2, 356 , 314 ,100.0, 326 , 326 ,33.3,24,8,64.3,14,9,79.9,344,275,6.9,362,1.8,329
CCG,99J,NHS West Kent CCG,87.3, 449 , 392 ,75.4, 447 , 337 ,96.5, 402 , 388 ,0,8, -   ,66.7, * , * ,50.3,435,219,10.1,454,8.1,409
CCG,99K,NHS High Weald Lewes Havens CCG,92.9, 197 , 183 ,81.3, 198 , 161 ,97.7, 176 , 172 ,0, -   , -   ,0, -   , -   ,69.4,206,143,8.9,202,5.6,178
CCG,99M,NHS North East Hampshire and Farnham CCG,97.4, 189 , 184 ,77.2, 189 , 146 ,100.0, 173 , 173 ,27.3,88,24,40.5,74,30,68.2,217,148,7.9,190,6.9,173
CCG,99N,NHS Wiltshire CCG,99.4, 540 , 537 ,79.9, 523 , 418 ,100.0, 478 , 478 ,30.2,162,49,55.9,93,52,80.4,566,455,8.5,552,0.6, * 
CCG,99P,"NHS North, East, West Devon CCG",93.2, 920 , 857 ,77.8, 916 , 713 ,99.3, 856 , 850 ,18.7,353,66,44.8,344,154,67.5,"1,116",753,7.8,937,1.7,866
CCG,99Q,NHS South Devon and Torbay CCG,100.0, 343 , 343 ,74.2, 333 , 247 ,100.0, 314 , 314 ,19.2, * , * ,54.3,35,19,71.9,392,282,10.5,354,2.1,330
Area Team,Q44,"Cheshire, Warrington and Wirral Area Team",90.8, * , * ,77.0, * , * ,95.2, * , * ,23.9,*,*,39.1,*,*,51.6,"1,320",681,8.4,"1,340",4.8,"1,217"
Area Team,Q45,"Durham, Darlington and Tees Area Team",97.7, * , * ,74.0, * , * ,98.2, * , * ,21.6,*,*,48.9,*,*,62,"1,403",870,7.6,"1,425",4.5,"1,314"
Area Team,Q46,Greater Manchester Area Team,93.3, * , * ,67.4, * , * ,96.0, * , * ,13.7,*,*,44.9,*,*,55.6,"2,525","1,403",8.9,"2,390",2.7,"2,150"
Area Team,Q47,Lancashire Area Team,93.6, * , * ,69.9, * , * ,98.4, * , * ,18.7,*,*,37.5,*,*,42.9,"1,525",654,8.7,"1,428",1.2,"1,295"
Area Team,Q48,Merseyside Area Team,87.7, * , * ,81.7, * , * ,96.6, * , * ,13.3,*,*,42.5,*,*,61.2,"1,390",851,8.5,"1,322",1.6,"1,199"
Area Team,Q49,"Cumbria, Northumberland, Tyne and Wear Area Team",83.2, * , * ,79.5, * , * ,86.4, * , * ,18.4,*,*,41.2,*,*,64.2,"2,385","1,531",9,"2,333",5.3,"2,084"
Area Team,Q50,North Yorkshire and Humber Area Team,98.0, * , * ,69.4, * , * ,99.4, * , * ,25.9,*,*,57.2,*,*,65.8,"1,857","1,221",9.4,"1,696",2.4,"1,567"
Area Team,Q51,South Yorkshire and Bassetlaw Area Team,98.6, * , * ,78.4, * , * ,99.9, * , * ,19,*,*,42.5,*,*,71,"1,634","1,160",9.2,"1,569",2.5,"1,423"
Area Team,Q52,West Yorkshire Area Team,83.4, * , * ,69.1, * , * ,82.0, * , * ,14.3,*,*,39.9,*,*,54.2,"2,138","1,158",10.1,"2,024",3.4,"1,823"
Area Team,Q53,"Arden, Herefordshire and Worcestershire Area Team",93.3, * , * ,69.8, * , * ,98.4, * , * ,23.8,*,*,47.2,*,*,55.8,"1,838","1,025",8.6,"1,799",2.6,"1,628"
Area Team,Q54,Birmingham and the Black Country Area Team,93.2, * , * ,70.5, * , * ,98.3, * , * ,14.1,*,*,40,*,*,57.8,"2,490","1,439",8.3,"2,491",4.7,"2,274"
Area Team,Q55,Derbyshire and Nottinghamshire Area Team,96.6, * , * ,77.7, * , * ,98.5, * , * ,33.3,*,*,22.2,*,*,70.8,"1,987","1,407",7.5,"1,905",1.6,"1,762"
Area Team,Q56,East Anglia Area Team,94.2, * , * ,74.9, * , * ,98.6, * , * ,30,*,*,50.3,*,*,61.9,"3,055","1,892",7.2,"2,993",2.5,"2,792"
Area Team,Q57,Essex Area Team,96.0, * , * ,70.1, * , * ,97.4, * , * ,23.4,*,*,42.7,*,*,55.6,"2,029","1,128",7.2,"2,019",2.6,"1,899"
Area Team,Q58,Hertfordshire and the South Midlands Area Team,94.2, * , * ,75.1, * , * ,98.0, * , * ,21.4,*,*,40.4,*,*,64.3,"2,499","1,606",8,"2,439",2.7,"2,257"
Area Team,Q59,Leicestershire and Lincolnshire Area Team,87.2, * , * ,77.1, * , * ,95.8, * , * ,30.1,*,*,52.7,*,*,58.7,"1,892","1,111",8.4,"1,803",2.1,"1,667"
Area Team,Q60,Shropshire and Staffordshire Area Team,86.6, * , * ,64.9, * , * ,94.6, * , * ,23.9,*,*,43.2,*,*,45,"1,616",727,6.8,"1,584",1.9,"1,497"
Area Team,Q64,"Bath, Gloucestershire, Swindon and Wiltshire Area Team",95.5, * , * ,77.0, * , * ,99.6, * , * ,32.4,*,*,57.5,*,*,70.4,"1,750","1,232",9.5,"1,640",1.6,"1,482"
Area Team,Q65,"Bristol, North Somerset, Somerset and South Gloucestershire Area Team",90.2, * , * ,77.7, * , * ,93.1, * , * ,31.2,*,*,52.6,*,*,57,"1,644",937,7.9,"1,547",3.1,"1,418"
Area Team,Q66,"Devon, Cornwall and Isles Of Scilly Area Team",96.0, * , * ,76.6, * , * ,99.5, * , * ,19,*,*,46.2,*,*,68.8,"2,244","1,543",8.4,"2,000",1.6,"1,856"
Area Team,Q67,Kent and Medway Area Team,95.3, * , * ,75.0, * , * ,98.6, * , * ,24.5,*,*,56.3,*,*,63.8,"1,836","1,171",9.8,"1,802",5.1,"1,624"
Area Team,Q68,Surrey and Sussex Area Team,98.0, * , * ,84.0, * , * ,99.4, * , * ,21.2,*,*,56.1,*,*,75.3,"3,523","2,653",7.7,"3,432",4.3,"3,145"
Area Team,Q69,Thames Valley Area Team,96.0, * , * ,74.2, * , * ,98.2, * , * ,30.2,*,*,53.5,*,*,65.7,"1,946","1,279",9,"1,857",2.1,"1,694"
Area Team,Q70,Wessex Area Team,98.5, * , * ,79.4, * , * ,98.2, * , * ,29.7,*,*,57.8,*,*,72.3,"3,341","2,415",7.9,"3,044",2.7,"2,819"
Area Team,Q71,London Area Team,94.3, * , * ,73.2, * , * ,99.1, * , * ,21.7,*,*,43.4,*,*,58.8,"4,981","2,928",7.7,"4,926",3.9,"4,468"
