Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),NW PROACTIVE UNIT,249514,275.4,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),NW MANCHESTER STAFF COSTS,249514,163.27,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),NW OPERATIONS,249514,76.4,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),NW MAJOR INCIDENT SUPPORT,249514,31.47,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),NW LIVERPOOL STAFF COSTS,249514,72,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),CENTRAL OPERATIONS AND EVENTS,249514,546.87,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ CONTROL ROOMS,249514,330.81,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),CONTROL ROOM BIRMINGHAM,249514,185.15,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),Contact Mgmnt & Control Room,249514,-2.01,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),COMMAND & CONTROL MANAGEMENT,249514,51.67,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),CRIME RECORDING CENTRE,249514,177.09,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),REAL TIME INTEL,249514,797.36,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),EVENT PLAN & CO-ORD. UNIT,249514,869.24,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FOOTBALL BANNING TEAM,249514,62.48,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),OPERATIONS MANAGEMENT,249514,599.34,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),COUNTERTERRISM PRO-ACTIVE UNIT,249514,291.03,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),COUNTER TERRORISM,249514,847.41,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ EXPLOSIVE DOGS,249514,"1,250.23",,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ SPECIAL MOVEMENTS,249514,"1,108.06",,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SPECIALIST  RESPONSE UNIT,249514,442.3,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),ACC TERRITORIAL POLICING,249514,835.21,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),PREVENT,249514,194.21,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),NIAG,249514,15.85,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),NEIGHBRHOOD POLICE & PRTNRSHP,249514,"1,723.38",,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ TECHNOLOGY MANAGER,249514,"16,836.15",,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ AIRWAVE,249514,-55.26,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),MOBILE DATA PROJECT,249514,73.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),IMPACT TECHNOLOGY,249514,259.17,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),POLICE AUTHORITY MEMBERS,249514,64.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SC CID,249514,73.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SC A.I.B,249514,202.83,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SC SECT. COMM. CENT STF COSTS,249514,135,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SC SECTOR COMMAND WEST COAST,249514,147.6,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SC AREA COMMAND,249514,450.19,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),ACC SCOTLAND,249514,135.06,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SC DOGS,249514,-27.63,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),SC OP SUPPORT PLANNING,249514,73.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ S.A.M.E,249514,644.92,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ TADWORTH TRAINING CENTRE,249514,13.5,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),FHQ U'WRITTEN SECONDMENTS,249514,123.17,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),WN CID,249514,15.33,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),WN FINANCE,249514,64.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),WN TRAINING,249514,73.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),WN BIRMINGHAM STAFF COSTS,249514,78.3,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),WN OPERATIONS,249514,152.22,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),PRO-ACTIVE CRIME TEAM,249514,64.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),WN PROJECT AND PLANNING,249514,73.8,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONE- MOBILES,VODAFONE LTD (CORPORATE),WN SUPPORT SERVICES,249514,847.4,,RG14 5FF
Department for Transport,British Transport Police,02/09/2011,TELEPHONES - PRIVATE CIRCUITS,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,FHQ TECHNOLOGY MANAGER,245732,"4,346.40",,RG24 8NA
Department for Transport,British Transport Police,02/09/2011,TELEPHONES - PRIVATE CIRCUITS,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,FHQ TECHNOLOGY MANAGER,247770,"253,946.40",,RG24 8NA
Department for Transport,British Transport Police,02/09/2011,TELEPHONES - PRIVATE CIRCUITS,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,FHQ TECHNOLOGY MANAGER,247769,796.31,,RG24 8NA
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,Chase Moulande,PAYROLL TRANSITION (FINANCE),249111,926.64,,SE1 1YT
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,G4S Policing Solutions Ltd,SC OP SUPPORT PLANNING,248494,"1,926.07",,S81 7QF
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,G4S Policing Solutions Ltd,PROFESSIONAL STANDARDS,247820,"2,166.48",,S81 7QF
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,G4S Policing Solutions Ltd,SC OP SUPPORT PLANNING,248495,"1,247.40",,S81 7QF
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,HARLEY RECRUITMENT CONSULTANCY,PAYROLL TRANSITION (FINANCE),249660,"2,003.22",,WD25 2XX
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,HUDSON GLOBAL RESOURCES LTD,FHQ FINANCE,249615,"4,102.64",,G2 4AD
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,HUDSON GLOBAL RESOURCES LTD,LN LONDON OVERGROUND - LOROL,249249,542.71,,G2 4AD
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,HUDSON GLOBAL RESOURCES LTD,LN IPSWICH STAFF COSTS,249248,523.48,,G2 4AD
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,MORGAN HUNT,FORCEWIDE MAINTENANCE,249083,747,,EC4M 7EG
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,NETWORKERS RECRUITMENT SERVICES LTD,IMPACT TECHNOLOGY,246508,"14,040.00",,BR1 1HP
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,NETWORKERS RECRUITMENT SERVICES LTD,IMPACT TECHNOLOGY,247421,"1,382.40",,BR1 1HP
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,NETWORKERS RECRUITMENT SERVICES LTD,IMPACT TECHNOLOGY,247822,"4,680.00",,BR1 1HP
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,NETWORKERS RECRUITMENT SERVICES LTD,IMPACT TECHNOLOGY,247821,"2,304.00",,BR1 1HP
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,NETWORKERS RECRUITMENT SERVICES LTD,IMPACT TECHNOLOGY,248533,"1,843.20",,BR1 1HP
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,NETWORKERS RECRUITMENT SERVICES LTD,IMPACT TECHNOLOGY,248948,"2,340.00",,BR1 1HP
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,NETWORKERS RECRUITMENT SERVICES LTD,IMPACT TECHNOLOGY,249489,"3,225.60",,BR1 1HP
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,Reed Employment,FHQ FACILITIES,249414,550.8,,SW20 OBA
Department for Transport,British Transport Police,02/09/2011,TEMPORARY STAFF,PORTFOLIO PAYROLL LTD,PAYROLL TRANSITION (FINANCE),249179,512.14,,EC2M 7LD
Department for Transport,British Transport Police,02/09/2011,TOLLS,BARCLAYS HMG PROCUREMENT CARD,WN DOGS,249571,31.3,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,ATOC RAIL TRAVEL ACCOUNT,FORCEWIDE MAINTENANCE,248941,10.8,,SG1 2YN
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,ATOC RAIL TRAVEL ACCOUNT,HR RECRUITMENT BC BIRMINGHAM,248941,"2,724.20",,SG1 2YN
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,ATOC RAIL TRAVEL ACCOUNT,LS AREA COMMAND,248941,69.8,,SG1 2YN
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,ATOC RAIL TRAVEL ACCOUNT,SC SPECIAL CONSTABLES,248941,420.3,,SG1 2YN
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,FHQ FACILITIES,249621,344.3,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,LN AREA COMMAND,249567,72.25,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,LN EBBSFLEET,249567,33.2,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,LN SOUTHEND STAFF COSTS,249567,28.2,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,LN CUSTODY,249567,10,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,LN TASKING & CO-ORD. RESOURCES,249567,108,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,LN VULNERABLE PERSONS UNIT,249567,68.4,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,NW AREA COMMAND,249630,40,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,SC A.I.B,249627,348.6,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,SC FINANCE,249627,25.6,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,ACC SCOTLAND,249627,196.5,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,SC OP SUPPORT PLANNING,249627,120.7,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,SC GLASGOW STAFF COSTS,249627,119.2,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,FHQ FINANCE,249571,80,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,WN PLYMOUTH STAFF COSTS,249571,49,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,WN OPERATIONS,249571,24.4,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,WN BANGOR STAFF COSTS,249571,11.1,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAIN FARES,BARCLAYS HMG PROCUREMENT CARD,WN SWANSEA STAFF COSTS,249571,17.8,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAINING-POLICE,BARCLAYS HMG PROCUREMENT CARD,HR LEARNING AND DEVELOPMENT,249621,600,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAINING-POLICE,NATIONAL POLICING IMPROVEMENT AGENCY,HR LEARNING AND DEVELOPMENT,248553,"-4,480.00",,SE1 9SX
Department for Transport,British Transport Police,02/09/2011,TRAINING-POLICE,NATIONAL POLICING IMPROVEMENT AGENCY,CRIME+ADV TRAINING FACULTY,248529,"3,873.72",,SE1 9SX
Department for Transport,British Transport Police,02/09/2011,TRAINING-STAFF,BARCLAYS HMG PROCUREMENT CARD,FHQ ESTATES MANAGER,249621,670,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAINING-STAFF,BARCLAYS HMG PROCUREMENT CARD,FHQ SPECIAL MOVEMENTS,249621,357,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAINING-STAFF,BARCLAYS HMG PROCUREMENT CARD,FHQ TECHNOLOGY MANAGER,249621,102.5,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAINING-STAFF,CHARTERED INSTITUTE OF PUBLIC RELATIONS,MARKETING,249418,586.8,,WC1B 4HP
Department for Transport,British Transport Police,02/09/2011,TRAINING-STAFF,WATSON MARTIN PARTNERSHIP,HR LEARNING AND DEVELOPMENT,249470,"5,344.80",,SW1E 5NE
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,PS COVERT INVESTIGATIONS UNIT,249621,77,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,PS FHQ FIB,249621,353.4,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ CCTV PROJECT TEAM,249621,123.5,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,PS FHQ INTELLIGENCE MGT UNIT,249621,30,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,NATIONAL METAL THEFTCRIME UNIT,249621,5.7,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ JUSTICE DIRECTORATE,249621,50,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ FORCE CUSTODY MANAGEMENT,249621,148.8,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,B2 - NATIONAL CRIME TEAM,249621,5,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ SCENES OF CRIME,249621,25,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,PS HQ CRB DISCLOSURE UNIT,249621,151.6,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,CIVIL CONTINGENCY UNIT,249621,40,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,PROFESSIONAL STANDARDS  YORK,249621,66.9,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,PROFESSIONAL STANDARDS,249621,70.5,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ PROFESSIONAL STDS UNIT,249621,93.1,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,DFT OLYMPICS,249621,125,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ ESTATES MANAGER,249621,"1,646.70",,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ FACILITIES,249621,3.4,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ VEHICLE FLEET MANAGER,249621,49.05,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,CORPORATE RISK TEAM,249621,868.55,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,CORPORATE FINANCE,249621,22.5,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,PROCUREMENT,249621,8.8,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,WELLBEING,249621,345.3,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,HR BUSINESS PARTNERS,249621,33.2,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,HR LEARNING AND DEVELOPMENT,249621,10,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,L&D BUSINESS ASSURANCE,249621,340,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,L&D OPERATIONS & TRAINING,249621,228.2,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,L&D SAFETY TEAMS,249621,972.2,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,REGIONAL TRAINER OUTER LONDON,249621,30,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,LEADERSHIP & MGT DEV FACULTY,249621,10,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ TRAINING CENTRE DOGS,249621,15,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,CONTROL ROOM BIRMINGHAM,249621,316.8,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,REAL TIME INTEL,249621,4.15,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,COUNTERTERRISM PRO-ACTIVE UNIT,249621,5.35,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,COUNTER TERRORISM,249621,30,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,NEIGHBRHOOD POLICE & PRTNRSHP,249621,40,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,FHQ TECHNOLOGY MANAGER,249621,"1,903.10",,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,MOBILE DATA PROJECT,249621,75.45,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,WN PERSONNEL,249621,30,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,WN HEALTH SAFETY AND WELFARE,249621,240.7,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,HR ENGAGEMENT & DIVERSITY,249567,3.4,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,LN AREA COMMAND,249567,36.44,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,LN INVESTIGATION SUPPORT UNIT,249567,120,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,LN RESOURCE CENTRE,249567,40,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,LN VULNERABLE PERSONS UNIT,249567,75.1,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,SC ADMINISTRATION,249627,233.9,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,TRAVEL & SUBSISTANCE,BARCLAYS HMG PROCUREMENT CARD,SC AREA COMMAND,249627,191.9,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,UPKEEP OF DOG,BARCLAYS HMG PROCUREMENT CARD,FHQ TRAINING CENTRE DOGS,249621,138.12,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,UPKEEP OF DOG,BARCLAYS HMG PROCUREMENT CARD,FHQ EXPLOSIVE DOGS,249621,"3,091.69",,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,UPKEEP OF DOG,BARCLAYS HMG PROCUREMENT CARD,WN DOGS,249571,724.96,,TS17 6YG
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,FHQ SCENES OF CRIME,249540,"2,550.46",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,CORPORATE FINANCE,249540,"3,570.00",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,LN OPERATIONS,249540,"2,033.73",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,LN LONDON OVERGROUND - LOROL,249540,"6,358.38",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,LN PADDINGTON STAFF COSTS,249540,"2,301.45",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,LS INNER LONDON TEAM 1,249540,"1,034.70",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,LS CROYDON TRAM. STAFF COSTS,249540,"1,393.00",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,LS DOGS,249540,"2,149.99",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,NE SHEFFIELD STAFF COSTS,249540,"2,224.39",,PO6 4RP
Department for Transport,British Transport Police,02/09/2011,VEHICLE ACCIDENT REPAIRS,INCHCAPE FLEET SOLUTIONS LIMITED,NE DOGS,249540,"1,237.69",,PO6 4RP
