Merchant Category,Supplier Name,Service  ,Summary of Purpose of Expenditure ,Date,Net Amount
Social Care Services,FORESIGHT RESIDENTIAL LTD,Services to People,Care Payments,05/12/2016,-402.25
Social Care Services,FORESIGHT RESIDENTIAL LTD,Services to People,Care Payments,05/12/2016,"3,906.40"
Digital / Media Services,Forever Creative,Corporate and Support Services,Publicity and Promotion,14/12/2016,975.00
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,16.55
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,82.75
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,82.75
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,82.75
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,166.60
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,134.50
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,59.75
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,59.75
Clothing/Workwear/Safety Equipt,FOX WEAR,Services to Place,Furniture and Equipment,09/12/2016,59.75
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,26.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,30.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,144.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,40.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,90.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,90.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,48.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,82.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,08/12/2016,75.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,285.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,60.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,171.25
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,773.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,140.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,225.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,220.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,60.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,64.00
Printing Services,FRANK ASPINALL & CO,Corporate and Support Services,Publicity and Promotion,29/12/2016,130.00
Social Care Services,FRESHFIELD CARE LTD,Services to People,Care Payments,05/12/2016,"-2,126.92"
Social Care Services,FRESHFIELD CARE LTD,Services to People,Care Payments,05/12/2016,"6,966.72"
Social Care Services,FRESHFIELD CARE LTD,Services to People,Care Payments,21/12/2016,-428.57
Social Care Services,FRESHFIELD CARE LTD,Services to People,Care Payments,21/12/2016,"1,242.86"
Social Care Services,FRESHFIELD CARE LTD,Services to People,Care Payments,21/12/2016,428.57
Social Care Services,FRESHFIELD CARE LTD,Services to People,Care Payments,21/12/2016,"1,578.57"
Social Care Services,FRESHFIELD CARE LTD,Services to People,Care Payments,21/12/2016,"3,428.57"
Charity/Third Sector,FRIENDS OF EAST AVENUE PARK,Corporate and Support Services,Third party payments - Private/Voluntary Sector,01/12/2016,"1,000.00"
Construction / Building Services,FULCRUM PIPELINES LTD,Capital Expenditure,Capital Expenditure - Works,29/12/2016,"10,350.00"
Furniture and Furnishings,G & S SMIRTHWAITE LTD,Services to People,Furniture and Equipment,14/12/2016,588.00
Transport and Travel,G.B. Coaches Ltd,Services to People,Leasing /Transport Hire,14/12/2016,585.00
Recruitment / Staffing,G2 Recruitment Solutions Limited,Corporate and Support Services,Professional Fees,06/12/2016,"2,300.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Corporate and Support Services,Professional Fees,16/12/2016,"2,300.00"
Recruitment / Staffing,G2 Recruitment Solutions Limited,Corporate and Support Services,Professional Fees,16/12/2016,"2,300.00"
Banking Services,G4S Cash Solutions UK Ltd,Corporate and Support Services,Office Expenses,13/12/2016,"2,144.61"
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,230.12
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,57.53
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,440.87
Banking Services,G4S Cash Solutions UK Ltd,Services to People,Information and Communications Technology,13/12/2016,10.88
Banking Services,G4S Cash Solutions UK Ltd,Corporate and Support Services,Office Expenses,13/12/2016,"2,202.14"
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,230.12
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,57.53
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,440.87
Banking Services,G4S Cash Solutions UK Ltd,Services to People,Information and Communications Technology,13/12/2016,10.88
Banking Services,G4S Cash Solutions UK Ltd,Corporate and Support Services,Office Expenses,13/12/2016,"2,202.14"
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,230.12
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,57.53
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,440.87
Banking Services,G4S Cash Solutions UK Ltd,Services to People,Information and Communications Technology,13/12/2016,10.88
Banking Services,G4S Cash Solutions UK Ltd,Services to Place,Office Expenses,13/12/2016,57.53
Social Care Services,Galanos House,Services to People,Care Payments,21/12/2016,"2,025.00"
Insurance Services,Gallagher Bassett (Imprest),Corporate and Support Services,Insurance,06/12/2016,"50,000.00"
Insurance Services,Gallagher Bassett (Imprest),Corporate and Support Services,Insurance,29/12/2016,"50,000.00"
Construction / Building Services,Galliford Try Infrastructure Ltd,Capital Expenditure,Capital Expenditure - Works,29/12/2016,562.98
Transport and Travel,GARY BEARDSELL - Taxis,Services to People,Leasing /Transport Hire,20/12/2016,"1,768.80"
Utilities,Gazprom Energy,Corporate and Support Services,Utilities,07/12/2016,862.65
Utilities,Gazprom Energy,Corporate and Support Services,Utilities,07/12/2016,12.65
Utilities,Gazprom Energy,Corporate and Support Services,Utilities,16/12/2016,"31,874.68"
Utilities,Gazprom Energy,Corporate and Support Services,Utilities,16/12/2016,"2,471.56"
Utilities,Gazprom Energy,Corporate and Support Services,Utilities,19/12/2016,"1,844.59"
Utilities,Gazprom Energy,Corporate and Support Services,Utilities,19/12/2016,86.96
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,390.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,204.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,45.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,34.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,75.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,300.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,20.40
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,30.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,36.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,28.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,68.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,136.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,70.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,40.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,130.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,896.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,30.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,58.00
Grounds Maintenance,Gedney Bulb Company ltd,Services to Place,Grounds Maintenance,02/12/2016,142.00
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,01/12/2016,"20,548.37"
Construction / Building Services,GEORGE COX & SONS LTD,Services to Place,Supplies and services,06/12/2016,"4,443.13"
Construction / Building Services,GEORGE COX & SONS LTD,Services to Place,Supplies and services,02/12/2016,"1,215.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,06/12/2016,861.88
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,02/12/2016,"1,561.88"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,12/12/2016,"12,754.28"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,08/12/2016,"3,123.76"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,08/12/2016,"1,500.00"
Construction / Building Services,GEORGE COX & SONS LTD,Services to Place,Professional Fees,06/12/2016,"1,662.13"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,06/12/2016,"8,197.52"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,12/12/2016,731.25
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,08/12/2016,501.01
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,06/12/2016,"2,238.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,06/12/2016,"1,129.15"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,06/12/2016,"2,681.74"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,06/12/2016,"2,542.16"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,07/12/2016,"16,034.06"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Capital Expenditure - Works,08/12/2016,"7,464.28"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,02/12/2016,"106,202.06"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,09/12/2016,"4,378.24"
Construction / Building Services,GEORGE COX & SONS LTD,Services to Place,Professional Fees,14/12/2016,"3,359.33"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,14/12/2016,"227,197.38"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Highways Maintenance,16/12/2016,601.86
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,21/12/2016,"41,435.53"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,21/12/2016,"75,519.64"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,20/12/2016,"14,173.72"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,21/12/2016,"34,574.78"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,21/12/2016,"5,000.00"
Construction / Building Services,GEORGE COX & SONS LTD,Capital Expenditure,Supplies and services,21/12/2016,"81,628.21"
Health Advice / Awareness,GEORGE HOUSE TRUST,Services to People,Service Contract Payments,05/12/2016,"1,185.75"
Childcare Provision,Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,837.00
Childcare Provision,Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,02/12/2016,"1,039.50"
Professional / Consultancy Services,Gill Frame,Services to People,Professional Fees,13/12/2016,"1,500.00"
Professional / Consultancy Services,Gill Frame,Services to People,Professional Fees,29/12/2016,"1,750.00"
Childcare Provision,GLEN JAKES NURSERY,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"18,967.38"
Charity/Third Sector Support,GMCVO,Services to People,Third party payments - Private/Voluntary Sector,15/12/2016,"6,875.00"
Other Public Sector Organisation,GMP (Precept Payments Only),Non-General Fund Items,Central Support Costs,21/12/2016,"1,188,887.00"
Childcare Provision,GOODWOOD LODGE DAY NURSERY,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"11,770.50"
Legal Services,GORVINS SOLICITORS,Capital Expenditure,Supplies and services,02/12/2016,977.25
Legal Services,GORVINS SOLICITORS,Capital Expenditure,Supplies and services,02/12/2016,977.25
Construction / Building Services,GR BAYLEY (ELEC CONTRACTORS) LTD,Capital Expenditure,Capital Expenditure - Works,16/12/2016,"20,383.00"
Finance / Accountancy Services,Grant Thornton UK LLP,Corporate and Support Services,Professional Fees,06/12/2016,"4,200.00"
Finance / Accountancy Services,Grant Thornton UK LLP,Corporate and Support Services,Professional Fees,06/12/2016,"2,700.00"
Professional / Trade Body,Greater Manchester Chamber of Comme,Services to Place,Fees and Charges,13/12/2016,"1,195.00"
Other Public Sector Organisation,Greater Manchester Combined Authori,Services to Place,Third party payments - Levies,13/12/2016,"1,986,542.90"
Local Authority,Greater Manchester Combined Authori,Capital Expenditure,Highways Maintenance,21/12/2016,"1,300.00"
Other Public Sector Organisation,GREATER MANCHESTER FIRE & CIVIL DEF,Non-General Fund Items,Central Support Costs,21/12/2016,"444,269.00"
Other Public Sector Organisation,GREATER MANCHESTER FIRE & CIVIL DEF,Non-General Fund Items,Central Support Costs,21/12/2016,"79,636.00"
Local Authority,Greater Manchester Pension Fund,Other Payments,Central Support Costs,01/12/2016,"2,046,511.65"
Local Authority,Greater Manchester Pension Fund,Corporate and Support Services,Central Support Costs,01/12/2016,"64,800.00"
Other Public Sector Organisation,GREATER MANCHESTER WASTE DISPOSAL A,Services to Place,Third party payments - Levies,21/12/2016,"1,557,800.00"
Grounds Maintenance,Green Estate Ltd,Corporate and Support Services,Repairs and Maintenance,08/12/2016,650.00
Education Services,GREENBANK SCHOOL,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"60,092.59"
Construction / Building Services,GROUNDWORK & LEISURE SERVICES LTD,Services to Place,Grounds Maintenance,16/12/2016,"15,638.00"
Construction / Building Services,GROUNDWORK & LEISURE SERVICES LTD,Services to Place,Grounds Maintenance,16/12/2016,880.00
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,05/12/2016,"8,192.57"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,05/12/2016,"-1,093.65"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,05/12/2016,-946.50
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,05/12/2016,"5,185.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,05/12/2016,"12,360.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,05/12/2016,"1,067.50"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,05/12/2016,"3,687.50"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,-256.29
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"1,968.57"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"1,645.71"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"1,645.71"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,-167.57
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,-59.14
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,650.00
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"1,287.14"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"2,854.29"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"2,400.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"1,644.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"2,120.00"
Social Care Services,GROVE LODGE CARE HOME LTD,Services to People,Care Payments,21/12/2016,"2,750.00"
NHS Organisation,Gtr M/cr West Mental NHS Trust,Services to People,Care Payments,29/12/2016,"3,312.00"
Digital / Media Services,GV MULTI-MEDIA,Corporate and Support Services,Furniture and Equipment,07/12/2016,984.00
Office Equipment,H JENKINSON & CO LTD,Corporate and Support Services,Furniture and Equipment,09/12/2016,517.76
Office Equipment,H JENKINSON & CO LTD,Services to People,Furniture and Equipment,16/12/2016,"1,372.84"
Office Equipment,H JENKINSON & CO LTD,Corporate and Support Services,Furniture and Equipment,19/12/2016,437.00
Office Equipment,H JENKINSON & CO LTD,Corporate and Support Services,Furniture and Equipment,19/12/2016,480.00
Office Equipment,H JENKINSON & CO LTD,Services to People,Furniture and Equipment,16/12/2016,"9,960.89"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Services to People,Care Payments,05/12/2016,"-4,453.15"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Services to People,Care Payments,05/12/2016,"9,230.00"
Social Care Services,HALLIWELL HOMES M/C LIMITED,Services to People,Care Payments,05/12/2016,"2,375.00"
Childcare Provision,HAPPY DAY NURSERY,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"33,960.03"
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,07/12/2016,142.80
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,07/12/2016,618.80
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,07/12/2016,142.80
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,07/12/2016,646.00
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,08/12/2016,108.80
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,08/12/2016,493.44
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,21/12/2016,142.80
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,21/12/2016,605.20
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,21/12/2016,146.20
Social Care Services,HARBEX NURSING & CARE,Services to People,Care Payments,21/12/2016,663.00
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-3,863.55"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-9,229.45"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-1,686.50"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-3,312.25"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-1,912.90"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"33,601.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"35,087.86"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"9,478.86"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"48,031.44"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"1,659.93"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"1,495.54"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,-720.00
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,197.25"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"4,000.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"9,220.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,805.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-4,103.10"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-1,936.60"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-3,686.90"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-2,404.50"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-1,176.08"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"15,105.57"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"4,938.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,360.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"23,308.90"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,197.25"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,79.43
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,146.68"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"8,432.39"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,216.21"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"16,160.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"4,810.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,330.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"4,555.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"-7,593.64"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"20,402.86"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,05/12/2016,"2,135.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"2,318.14"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"1,257.14"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"3,085.71"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"2,415.00"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,-46.43
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,101.14
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"1,105.71"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,-325.00
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"4,285.71"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,18.96
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"1,234.29"
Social Care Services,Harbour Healthcare Ltd,Services to People,Care Payments,21/12/2016,"4,860.00"
Manufacturer,HARGREAVES FOUNDRY DRAINAGE,Services to Place,Fixtures and Fittings,13/12/2016,660.00
Manufacturer,HARGREAVES FOUNDRY DRAINAGE,Services to Place,Fixtures and Fittings,13/12/2016,75.00
Social Care Services,Harrogate Skills 4 Living Centre Lt,Services to People,Care Payments,21/12/2016,"7,475.00"
Education Services,HAWTHORN HOUSE DAY NURSERY,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"23,369.10"
Social Care Services,Hayes Cottage Nursing Home Ltd,Services to People,Care Payments,05/12/2016,-631.50
Social Care Services,Hayes Cottage Nursing Home Ltd,Services to People,Care Payments,05/12/2016,"2,588.10"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Corporate and Support Services,Agency Staff,02/12/2016,321.90
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,112.72
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,223.60
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,98.63
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Corporate and Support Services,Agency Staff,02/12/2016,277.36
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,190.84
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,414.76
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,271.26
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,249.28
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Corporate and Support Services,Agency Staff,02/12/2016,752.12
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,517.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,571.33
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,517.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to Place,Agency Staff,02/12/2016,"1,369.07"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,465.51
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,"1,022.31"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Corporate and Support Services,Agency Staff,02/12/2016,"1,341.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Corporate and Support Services,Agency Staff,02/12/2016,"1,877.19"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,594.40
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,919.38
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,603.84
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,603.84
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,950.28
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,"1,034.16"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Corporate and Support Services,Agency Staff,02/12/2016,"1,880.30"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Services to People,Agency Staff,02/12/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Corporate and Support Services,Agency Staff,02/12/2016,"1,006.77"
