Scheme Ref Number,Ward,Decision made by,Date of decision,Detail & Cost,Outcome/Ward priority met
HW-15-11,Haxby and Wigginton,"Cllr Cuthbertson, Cllr Gates, Cllr Richardson ",09/03/2016,A grant to Haxby Netball club for £500 towards the resurfacing of the netball court with specialised surfacing , outcome will offer a safe surface to replace the old one in which the netball club can offer a provision for all age groups 
HW-15-2,Haxby and Wigginton,"Cllr Richardson, Gates and Cuthbertson",04/12/2015,Haxby Helpers - To assist in funding towards the continued volunteer operation of Haxby Helpers £100,Enhance the environment & green areas
HW-15-3,Haxby and Wigginton,"Cllr Richardson, Gates and Cuthbertson",04/12/2015,The Old School Wigginton - The continuation of building upgrade and improved safety for protection of users and the building itself £1000,Enhance the environment & green areas
HW-15-4,Haxby and Wigginton,"Cllr Richardson, Gates and Cuthbertson",04/12/2015,"ChurchField Open Space Committee -Towards phase 4 of the play for all project, to install an inclusive roundabout that can be used by a group of children and wheelchair users £1000",Enhance the environment & green areas
MK-15-01,Micklegate,"Cllr Gunnell, Cllr Hayes, Cllr Kramm              ",06/01/2016,A grant to York Sea Cadets to purchase 22 tables for the training and instruction of cadets and other community groups and users.  Amount: £1320,Outcome: The project will enable both the Sea Cadets and the wider community to make better use of the facilities thereby contributing to the ward priorities of young people's provision and community life. 
OD-15-01,Osbaldwick and Derwent,"Cllr Jenny Brooks
Cllr Mark Warters
",23/10/2015,A grant of £176 to the Friends of Weir Pond Holtby,Grant to pay for insurance cover to enable the group to undertake tree planting activities.
OD-15-02,Osbaldwick and Derwent,"Cllr Jenny Brooks
Cllr Mark Warters
",10/11/2015,A grant of £1200 to the Osbaldwick Sports Club to pay for a notice board.,"To advertise local sporting and social events at Osbaldwick Sports Club, with space to display PC and CYC notices."
OD-15-03,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,A grant of £1500 to contribute to renovation of the Murton Village pond. The work will involve replacement of the buttress to prevent flooding.,The scheme will enhance the village environment./A cleaner environment for all villages/safer communities across the area
OD-15-04,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,A grant of £383.42 to purchase a notice board for Meam Close and provide a new surface to an exterior notice board on Tranby Avenue,To provide means of communication to local residents to make them aware of local issues./ A cleaner environment for all villages/Safer communities across the area/More community and youth opportunities
OD-15-05,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,A grant of £288  to pay for bus shelter roof repair on Murton Way,Commuters will be able wait for the bus in dry and safer conditions./A cleaner environment for all villages/Safer communities across the area
OD-15-06,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,A grant of £270 to pay for bench replacement on Murton village green,A new seat on the village green will contribute to the welfare of residents and walkers by providing a secure resting location./A cleaner environment for all villages/Safer communities across the area/More community and youth opportunities
OD-15-07,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,A grant of £549 to Dunnington in Bloom to pay for a new lawn mower,"The grant will enable continuation of regular grass cutting by local volunteers, particularly in the play park and grass verges along main routes."
OD-15-08,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,A grant of £1200 to Dunnington Conservation Group to pay for a notice board   to be positioned in the Hassacarr Local Nature Reserve,"Installation of a notice board will allow visitors to learn more about open days, current activities and species findings."
OD-15-09,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,£300 towards the purchase of two hand push gritters for volunteer snow wardens in Dunnington,The scheme will contribute to reduction of falls and increased number of passable pavements in winter months.
OD-15-10,Osbaldwick and Derwent,Cllrs Brooks and Warters,05/01/2016,£500 towards the purchase and installation of a solar sign light to illuminate the bus stop in Kexby.  ,The scheme will result in increased safety of passengers waiting for the bus.
OD-15-11,Osbaldwick and Derwent,Cllr Jenny Brooks        Cllr Mark Warters,15/03/2016,A grant to Osbaldwick Cricket Club of £1000 to pay for winter coaching facilities at Archbishop Holgate School and repairs to the club’s outdoor net facility,Priority: more community and youth opportunities.     Outcome: the project will directly benefit those involved with the club whilet the ward in general will also benefit by giving the youngsters a valuable pastime during the evening hopefully resulting in less anti-social behaviour.
OD-15-14,Osbaldwick and Derwent,Cllr Jenny Brooks        Cllr Mark Warters,22/03/2016,Grant to pay for replacement of street signs on  Moor Lane and Murton Way - £200,Ward priority: A cleaner environment for all villages. Outcome: enhanced appearance of Murton Village
OD-15-15,Osbaldwick and Derwent,Cllr Jenny Brooks        Cllr Mark Warters,15/03/2016,"Moorland Close - to lower the kerb line to allow the turning angle to be achieved, hard surface the verge area (tarmac) and change the concrete tactile crossing to a stick on version which is designed for overrun. To protect pedestrians a removable bollard will be installed. Cost: £2550",Ward highway fund
OD-15-16,Osbaldwick and Derwent,Cllr Jenny Brooks        Cllr Mark Warters,15/03/2016,"Work on the junction of Manor Drive and York Road in Dunnington. A 1m wide Granite cobbled overrun of approximately 15m2 on the corner with kerbing. Cost: £3,178.",Ward highway fund
OD-15-17,Osbaldwick and Derwent,Cllr Jenny Brooks        Cllr Mark Warters,22/03/2016,"Work on St. Thomas Close, Osbaldwick  - to replace the narrow strips of verge with cobbles inlaid into concrete.  Cast Iron bollards to be placed on both  corners    - £4,900",Ward priority: A cleaner environment for all villages. Outcome: enhanced local street scene. 
RCW-15-01,Rawcliffe and Clifton Without,"Cllr Stuart Rawlings, Cllr Sam Lisle & Cllr Peter Dew",20/01/2016,"£170 (50%)  Grant to Friends of Rawcliffe Meadow to pay for a knapsack sprayer, COSHH Herbicide storage and water tank ",Priority: Improving community spaces . Outcome:  help support local voluntary group to maintain the environmental work on site which is a well used community space.
RCW-15-02,Rawcliffe and Clifton Without,"Cllr Stuart Rawlings, Cllr Sam Lisle & Cllr Peter Dew",20/01/2016,"Grant to Young at Heart Luncheon Club £400  to support   Coach Trip, subsidised meal, entertainment, art materials, room hire.",Priority met – Social Inclusion for the older generation. Outcome: provision for elderly residents within the ward to reduce social isolation.
RW-15-01,Rural West,Cllr Gillies and Steward,09/11/2015,A grant of£500 to continue the Rufforth Outreach Post Office,Supporting older people in the ward
RW-15-02,Rural West,Cllr Gillies and Steward,09/11/2015,Grant of £500 to Poppleton Luncheon Club,Supporting older people in the ward
RW-15-03,Rural West,Cllr Gillies and Steward,09/11/2015,Grant of £200 to plant tubs round the village ,Improving the environment
RW-15-04,Rural West,Cllr Gillies and Steward,09/11/2015,Grant of £2000 to Poppleton Youth Club  ,Supporting young people in the ward
RW-15-05,Rural West,Cllr Ian Gillies and Cllr Chris Steward,18/02/2016,"We need to do considerable planting which includes to under plant the hedges where being layed and in various places across the Millennium Green, plant bluebells in the hazel coppice, to fill gaps and thicken the hedges. Because they need to be planted at certain times of the year, some of this may have to be done before any Ward money will be available, if this application is granted.","The aim is to improve the wildlife habitat, the appearance and enjoyment of the MG for all ages and all users."
ST -15-09,Strensall ,"Cllr Helen Douglas 
Cllr Paul Dought
",14/01/2016,A grant of £989 to pay for a community notice board in Stockton on Forrest. By keeping everyone informed of the activities of all village organisations and events.,Priority met - Community Opportunities. The notice board will allow resident  and visitor  to see what 'Community Opportunties' are happening in Stockton on the Forrest and how they can get involved.
ST-15-01,Strensall,Cllr Doughty and Douglas,09/12/2015,"Grant to Earswick Parish Council to replace the broken and dangerous fencing around the village pond, the PC have fund raised for half of the cost already  £2,249","Building safer communities /A cleaner, greener environment /More community opportunities"
ST-15-02,Strensall,Cllr Doughty and Douglas,09/12/2015,"Grant to Strensall Parish Council to contribute to the cost of a defibrillator in the village and the training which will be accessible for all residents.  The ongoing costs and maintenance will be met by the Parish Council £1,899","Building safer communities /A cleaner, greener environment /More community opportunities"
ST-15-03,Strensall,Cllr Doughty and Douglas,09/12/2015,"Grant to Earswick scented Garden project to erect an information board within the garden, this will give resident sand visitors educational details about the surrounding area.  The board is designed by local residents £1,082","Building safer communities /A cleaner, greener environment /More community opportunities"
ST-15-04,Strensall,Cllr Doughty and Douglas,09/12/2015,Grant to Strensall Parish Council to purchase gardening tools and equipment to enable them to manage and care of green spaces within the village  £575,"Building safer communities /A cleaner, greener environment /More community opportunities"
ST-15-05,Strensall,Cllr Doughty and Douglas,09/12/2015,"Grant to River Foss Society to purchase an interpretation panel on the banks of the River Foss near the Tannery site.  The panel is an educational aid and will draw peoples attention to the wildlife on the river.  £1,375","Building safer communities /A cleaner, greener environment /More community opportunities"
ST-15-06,Strensall,Cllr Doughty and Douglas,09/12/2015,"Grant to Strensall History Group to install a history of Strensall village board, this has been designed by local residents to give the community a sense of history of the village.","Building safer communities /A cleaner, greener environment /More community opportunities"
ST-15-06,Strensall,Cllr Helen Douglas/Cllr Paul Doughty,13/01/2016,"Grant of £750 to Strensall Carnival Committee, contribution toward the cost of running it ",Outcome: To provide a community activity to engage local residents. To raise awareness of local community groups and volunteering within the ward.
ST-15-06,Strensall,"Cllr Helen Douglas 
Cllr Paul Doughty
",26/01/2016,"Strensall History Club. £1,400 to erect a information board on the history of Strensall",Improving community space and a way of engaging with residents
ST-15-07,Strensall,"Cllr Helen Douglas 
Cllr Paul Doughty
",13/01/2016,"£750 Strensall Carnival Committee, contribution toward the cost of running it ",Priority met - Improving community spaces (could be interpreted as open spaces or street scene)
ST-15-07,Strensall,Cllr Helen Douglas and Cllr Paul Fogerty,09/02/2016,A grant of £850 to Stockton Fox Pentanque Club for purchasing gardening exquipment to maintain the field around Stockton Village Hall., A cleaner greener enviroment. The group are keen to share the gardening equipment with the whole of Stockton Community. The grant will enable to the community to become self sufficient and start to maintain their own grounds.
WE-05-03,Westfield,"Cllrs Waller, Jackson and Hunter",17/12/2015,Grant to 2nd Acomb Scouts to contribute to the replacement roof project.  They have fundraised most of the scheme cost through various fundraising activities,A Westfield to be proud of/Increase community safety/Increase opportunities for young people
WE-05-06,Westfield,"Cllrs Waller, Jackson and Hunter",17/12/2015,Grant to Foxwood Mum & Toddler Drop in to replace the second hand worn equipment that the group inherited.  The group have also fundraised for some of the costs themselves,Increase opportunities for young people
WE-15-01,Westfield,"Cllrs Waller, Jackson and Hunter",26/11/2015,Salt Bins,From ward Highways pot
WE-15-01,Westfield,"Cllrs Waller, Jackson and Hunter",16/11/2015,Grant to Acomb Baptist church baby and toddler group for equipment £670,Ward General Budget
WE-15-02,Westfield,"Cllrs Waller, Jackson and Hunter",16/11/2015,"Grant to ABC coffee bar to purchase equipment to support the weekly coffee bar in the community £2,200",Ward General Budget
WE-15-05,Westfield,"Cllrs Waller, Jackson and Hunter",17/12/2015,"Grant to Chapelfields Outta School Club to purchase new flooring and a new door as the present ones are over twenty years old.  The group have fundraised for some of the funding already.  £2,100",Better provision for after school care
WE-15-07,Westfield,"Cllr Waller
Cllr Hunter
Cllr Jackson
",06/01/2016,"Grant to Foxy Crafters  , £250","Outcome: This project will combat loneliness and social isolation by supporting the group to hire a minibus to enable them to travel to craft wholesalers for materials to then produce locally made items, meet together and sell items at local events. "
WE-15-08,Westfield,"Cllrs Waller, Jackson and Hunter",17/12/2015,Grant to Friends of Hob Moor to support parents and children of the area and establishes support for families to help with school readiness for the children.,A Westfield to be proud of/Increase opportunities for young people
WE-15-09,Westfield,"Cllrs Waller, Jackson and Hunter",17/12/2015,"Grant to Foxwood Residents Association to continue the ongoing improvements to the green spaces in Foxwood, this is to contribute towards the tree planting scheme which has already proving to be a popular addition to the area £1,800",Community group taking ownership of green spaces and volunteers maintaining it.
WE-15-10,Westfield,"Cllrs Waller, Jackson and Hunter",17/12/2015,"Grant to Cornlands Residents Association to contribute towards fencing the play area.  The group have already successfully fundraised £7,000 to wards this project.",Increase community safety/A Westfield to be proud of
WE-15-11,Westfield,"Cllrs Waller, Jackson and Hunter",17/12/2015,Grant to Cornlands RA to redesign the entrance to Bachelor Hill.  Presently it is not accessible and prevents  a lot of people using it,Increase community safety/A Westfield to be proud of
WE-15-12,Westfield,"Cllr Waller
Cllr Hunter
Cllr Jackson
",06/01/2016,"Ward fund for tree improvements around the ward, these include planting and trimming £2,000",All tree improvements are in consultation with residents and community groups and improve the green spaces in the ward
WE-15-13,Westfield,"Cllr Waller
Cllr Hunter
Cllr Jackson
",06/01/2016,"Ward fund for communal parking provision around the priority areas in the ward.  Parking problems have been identified through cllr consultation and resident association consultation £10,000",Increase pedestrian and road safety in the ward
WE-15-14,Westfield,"Cllr Waller
Cllr Hunter
Cllr Jackson
",06/01/2016,"Ward fund to improve the pavement that runs on the south side of front street.  The work ranges from dropped kerbs to pavement improvements.  This has been identified through cllr consultation and in consultation with the sheltered homes on front street. £7,181",Increase pedestrian and mobility safety on front street
WE-15-15,Westfield,"Cllr Waller
Cllr Hunter
Cllr Jackson
",06/01/2016,"A ward fund for target hardening projects in the ward.  The projects will be rung in partnership with north Yorkshire police and the residents associations.  £3,000",This will make people feel safer within the ward and will able to tackle any ASB hot spots 
WE-15-16,Westfield,"Cllr Waller
Cllr Hunter
Cllr Jackson
",06/01/2016,"A ward fund to produce 2 ward newsletters that will ask all residents their ward priorities and for scheme suggestions.  This will bring together residents ideas and enable us to engage with hard to reach people who do not use social media   £1,200",A way for cllrs and partners to engage with all residents and will enable residents to have their say in the ward priorities
WH-15-01,Wheldrake,Cllr S Mercer,30/11/2015,Salt Bins,From ward Highways pot
WH-15-03,Wheldrake,Cllr S Mercer,30/11/2015,Grant to Wheldrake Parish Council as a contribution to Christmas Lights for the Village – the Christmas Event will also be a fundraiser for the Village roof campaign £561.98,Increases community involvement and community development and creating partnership working in the village
WH-15-04,Wheldrake,Cllr S Mercer,17/12/2015,Grant to Elvington Parish Council to purchase a training defibrillator so that all residents in all 4 villages in Wheldrake ward can be trained in using the defib that has been purchased. Training will be delivered free of charge to all the ward £300,Will provide more rural first responders with vital equipment for the villages.
WH-15-05,Wheldrake,Cllr S Mercer,17/12/2015,"Grant to the friends of Wheldrake Park to contribute to replacing the surfacing of the new toddler play area. They have already fundraised over £20,000 of the total cost. £1,000",Create safer play areas for children of all ages
WH-15-07,Wheldrake ,Cllr Mercer ,10/03/2016,A grant to Wheldrake Recreation Association towards building an extension to Wheldrake Village Hall  Amount: £1500,Outcome: Will provide a bowls pavilion and social facilities for older people. Priority: Reducing social isolation 
WH-15-09,Wheldrake ,Cllr Mercer,03/03/2016,A grant to Naburn Parish Council to purchase some chairs and tables for a recently refurbished room in the reading rooms.  Amount: £800,"Outcome: The refurbished room will provide a space which can be used by the community for leisure activities such as coffee mornings, sewing and knitting groups.  Priority: Reducing social isolation "
