"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"1784","directories > en >  dg_10011232 dvla local office - glasgow : directgov - directories",0.00,465,406,0.14
"1785","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/paymentsandentitlement/otherbenefits/ dg_172863 other help you might qualify for if you get tax credits : directgov - money, tax and benefits",0.00,465,395,0.16
"1786","employment > en > employees/timeoffandholidays/ dg_10028529 time off for public duties : directgov - employment",0.00,464,376,0.20
"1787","travel and transport > en > passports/aboutcollectivegrouppassports/  collective (group) passports : directgov - travel and transport",0.00,464,349,0.26
"1788","travel and transport > en > highwaycode/ dg_069871 vehicle maintenance, safety and security : directgov - travel and transport",0.00,464,413,0.12
"1789","motoring > en > owningavehicle/motorinsurance/ dg_067624 the green card system : directgov - motoring",0.00,464,420,0.10
"1790","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185787 stroke and driving : directgov - motoring",0.00,463,301,0.36
"1791","employment > en > understandingyourworkstatus/fixedtermworkers/  fixed-term workers : directgov - employment",0.00,463,311,0.34
"1792","home and community > en > gettinginvolvedinyourcommunity/volunteering/ dg_10038388 volunteering to work with animals : directgov - home and community",0.00,461,412,0.12
"1793","home and community > en > privaterenting/rentingoutyourproperty/ dg_189125 renting out rooms in your home : directgov - home and community",0.00,461,393,0.16
"1794","money tax and benefits > en > managingdebt/debtsandarrears/ dg_10023269 overdrafts and other bank debts : directgov - money, tax and benefits",0.00,460,430,0.07
"1795","newsroom > en > other  dg_192370 passport application changes for brits living abroad : directgov - newsroom",0.00,460,392,0.16
"1796","motoring > en > buyingandsellingavehicle/importingandexportingavehicle/ dg_10014606 hm revenue and customs forms required to register an imported vehicle : directgov - motoring",0.00,459,369,0.20
"1797","pensions and retirement planning > en > beginnersguidetopensions/ dg_10013616 getting information and help with pensions : directgov - pensions and retirement planning",0.00,459,404,0.13
"1798","pensions and retirement planning > en > working/losingyourjob/  losing your job : directgov - pensions and retirement planning",0.00,459,324,0.30
"1799","parents > en > yourchildshealthandsafety/yourchildshealth/ dg_10015284 healthy eating for children (aged one year and above) : directgov - parents",0.00,458,382,0.17
"1800","do it online > en >  dg_067168 search for a registered charity : directgov - do it online",0.00,458,414,0.11
"1801","newsroom > en > other  dg_192221 reforms announced to higher education and student finance : directgov - newsroom",0.00,458,414,0.11
"1802","employment > en > jobseekers/helpapplyingforajob/ dg_173721 getting that job: making the most of your skills : directgov - employment",0.00,458,367,0.21
"1803","directories > en > usefulcontactsbycategory/educationandlearningcontacts/ dg_10013675 choices at 14-19 contacts : directgov - directories",0.00,458,385,0.17
"1804","do it online > en >  dg_4017954 apply to receive tax-free interest on your savings (form r85) : directgov - do it online",0.00,457,412,0.11
"1805","disabled people > en > homeandhousingoptions/supportedhousingschemes/  supported housing and care homes : directgov - disabled people",0.00,456,322,0.30
"1806","motoring > en > driverlicensing/caravanstrailerscommercialvehicles/ dg_171186 obtaining your driver certificate of professional competence : directgov - motoring",0.00,456,375,0.19
"1807","education and learning > en > adultlearning/getlearning/ dg_10033340 returning to learning : directgov - education and learning",0.00,453,389,0.15
"1808","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxcodes/ dg_078423 if you have more than one tax code : directgov - money, tax and benefits",0.00,453,375,0.18
"1809","directories > en > usefulcontactsbycategory/britonslivingabroadcontacts/  britons living abroad contacts : directgov - directories",0.00,453,402,0.12
"1810","other directgov subsite > other dg_186301 check, change or cancel your dsa driving theory test online  : directgov - motoring",0.00,452,398,0.13
"1811","home and community > en > buyingandsellingyourhome/homebuyingschemes/ dg_186973 discounts available to buy your home through right to buy : directgov - home and community",0.00,450,400,0.12
"1812","pensions and retirement planning > en > travelandleisure/travellingathomeandabroad/ dg_10026847 qualifying for a free passport : directgov - pensions and retirement planning",0.00,449,404,0.11
"1813","employment > en > jobseekers/lookingforwork/ dg_184167 future jobs fund : directgov - employment",0.00,448,414,0.09
"1814","home and community > en > inyourhome/animalsandpets/ dg_10025980 animal welfare and advice : directgov - home and community",0.00,447,407,0.10
"1815","newsroom > en > other  dg_186647 budget march 2010 - benefits and tax credits : directgov - newsroom",0.00,447,342,0.24
"1816","directories > en >  dg_10011634 manchester city council : directgov - directories",0.00,446,390,0.13
"1817","environment and greener living > en > wasteandrecycling/ dg_064365 waste and recycling: a quick guide : directgov - environment and greener living",0.00,446,367,0.19
"1818","motoring > en > buyingandsellingavehicle/importingandexportingavehicle/ dg_296 importing and exporting a vehicle : directgov - motoring",0.00,445,288,0.36
"1819","home and community > en > buyingandsellingyourhome/mortgagesandrepossessions/ dg_177637 lenders offering homeowners mortgage support : directgov - home and community",0.00,444,385,0.14
"1820","other directgov subsite > en > other   website of the uk government : directgov",0.00,444,377,0.16
"1821","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxrefundsreclaimingtax/ dg_078335 getting tax-free interest on savings or claiming tax back : directgov - money, tax and benefits",0.00,444,334,0.26
"1822","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018679 extended payment of council tax benefit : directgov - money, tax and benefits",0.00,444,376,0.16
"1823","directories > en >  dg_10011698 london borough of redbridge council : directgov - directories",0.00,444,381,0.15
"1824","other directgov subsite > cy > directgov home page >  website of the uk government : directgov",0.00,443,355,0.21
"1825","help > en >  dg_178621 useful telephone numbers : directgov - help",0.00,443,356,0.20
"1826","government citizens and rights > en > other   voting and elections : directgov - government, citizens and rights",0.00,443,350,0.22
"1827","young people > en > healthandrelationships/concernedabout/ dg_10030639 drug problems : directgov - young people",0.00,442,390,0.13
"1828","money tax and benefits > en > taxes/taxonbenefitspensionsandmaintenance/ dg_172136 tax on company, personal or foreign pensions : directgov - money, tax and benefits",0.00,442,333,0.25
"1829","employment > en > redundancyandleavingyourjob/redundancy/ dg_177362 collective redundancy consultation representatives : directgov - employment",0.00,442,369,0.17
"1830","pensions and retirement planning > en > travelandleisure/travellingathomeandabroad/ dg_10026844 senior railcard : directgov - pensions and retirement planning",0.00,442,390,0.13
"1831","pensions and retirement planning > en > benefits/  financial support and concessions : directgov - pensions and retirement planning",0.00,441,322,0.28
"1832","disabled people > en > healthandsupport/mentalhealth/ dg_10023433 mental health assessments : directgov - disabled people",0.00,441,364,0.18
"1833","education and learning > en > universityandhighereducation/decidingwheretostudy/ dg_4017763 choosing a university or college : directgov - education and learning",0.00,440,390,0.12
"1834","pensions and retirement planning > en > planningforretirement/abouttoretire/ dg_171913 why it's important to fill in your pension coding form : directgov - pensions and retirement planning",0.00,439,373,0.16
"1835","home and community > en > whereyoulive/streetcleaninglitterandillegaldumping/ dg_4001703 reporting abandoned vehicles : directgov - home and community",0.00,439,396,0.11
"1836","caring for someone > en > caringforadisabledchild/ dg_10027203 childcare for a disabled child : directgov - caring for someone",0.00,439,395,0.11
"1837","directories > en >  dg_10011247 dvla local office - preston : directgov - directories",0.00,438,376,0.15
"1838","pensions and retirement planning > en > companyandpersonalpensions/personalpensions/ dg_10014696 tax advantages of personal pensions : directgov - pensions and retirement planning",0.00,438,387,0.13
"1839","travel and transport > en > highwaycode/horseridersandanimals/  horse riders and animals : directgov - travel and transport",0.00,437,268,0.39
"1840","money tax and benefits > en > taxcreditsandchildbenefit/childbenefits/paymentsandentitlements/childbenefitpayment/ dg_173683 how child benefit, tax credits and guardian's allowance are paid : directgov - money, tax and benefits",0.00,436,376,0.15
"1841","home and community > en > whereyoulive/streetsparkingcleaningandlighting/ dg_10026223 applying for a dropped kerb : directgov - home and community",0.00,436,385,0.13
"1842","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/ifthingsgowrong/overpayments/ dg_073813 repaying overpaid tax credits : directgov - money, tax and benefits",0.00,435,369,0.16
"1843","young people > en >  dg_10034785 16-25 railcard : directgov - young people",0.00,435,415,0.06
"1844","motoring > en > learnerandnewdrivers/newlyqualifieddrivers/  newly qualified drivers : directgov - motoring",0.00,435,284,0.35
"1845","money tax and benefits > en > taxes/trusts/ dg_10010868 uk family trusts - an introduction : directgov - money, tax and benefits",0.00,433,384,0.12
"1846","government citizens and rights > en > other   consumer rights : directgov - government, citizens and rights",0.00,433,326,0.25
"1847","parents > en > schoolslearninganddevelopment/examstestsandthecurriculum/ dg_10013915 education for 14 to 19 year olds: what the changes mean : directgov - parents",0.00,432,353,0.19
"1848","home and community > en > buyingandsellingyourhome/homebuyingschemes/ dg_186983 applying to buy your home through right to buy : directgov - home and community",0.00,432,309,0.29
"1849","home and community > en > councilandhousingassociationhomes/housingassociationhomes/housingassociationtenants/  housing association tenants : directgov - home and community",0.00,432,314,0.28
"1850","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/peoplewhohelpothers/entitlementtablesfortaxcredits/ dg_175707 entitlement tables for tax credits - getting started : directgov - money, tax and benefits",0.00,431,320,0.26
"1851","disabled people > en > financialsupport/incapacitybenefit/ dg_10023132 incapacity benefit medical examination - what happens next : directgov - disabled people",0.00,431,364,0.16
"1852","government citizens and rights > en > other  dg_10013518 making a complaint against government or public bodies : directgov - government, citizens and rights",0.00,431,366,0.16
"1853","do it online > en > doitonlinebycategory/ dg_069041 search and apply for a volunteering opportunity : directgov - do it online",0.00,430,411,0.05
"1854","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxcodes/ dg_078546 understanding your paye coding notice : directgov - money, tax and benefits",0.00,430,359,0.17
"1855","travel and transport > en > passports/aboutcollectivegrouppassports/ dg_174122 the collective passport and who can use it : directgov - travel and transport",0.00,430,373,0.14
"1856","home and community > en > councilandhousingassociationhomes/councilhousing/applying/ dg_188698 choice-based lettings - bidding for properties that become available : directgov - home and community",0.00,430,357,0.18
"1857","motoring > en > vehiclecrime/ dg_10020050 what to do if your vehicle has been cloned : directgov - motoring",0.00,429,370,0.15
"1858","home and community > en > gettinginvolvedinyourcommunity/charitiesandcommunitygroups/ dg_066663 alternatives to registering as a charity : directgov - home and community",0.00,429,379,0.13
"1859","pensions and retirement planning > en > working/lookingforwork/ dg_10026752 improving your cv after 50 : directgov - pensions and retirement planning",0.00,428,343,0.21
"1860","disabled people > en > financialsupport/otherbenefitsandsupport/ dg_10016192 constant attendance allowance : directgov - disabled people",0.00,427,380,0.12
"1861","newsroom > en > other  dg_192306 maximise your mobile coverage - new ofcom guide : directgov - newsroom",0.00,427,411,0.05
"1862","other directgov subsite > en > other  dg_184084 jobs at directgov : directgov - jobs at directgov",0.00,426,338,0.21
"1863","education and learning > en > 14to19/moneytolearn/caretolearn/ dg_066971 care to learn: help with childcare while you learn : directgov - education and learning",0.00,426,361,0.16
"1864","directories > en > usefulcontactsbycategory/governmentcitizensandrightscontacts/  government, citizens and rights contacts : directgov - directories",0.00,426,327,0.24
"1865","caring for someone > en > carersrights/  carers' rights : directgov - caring for someone",0.00,426,307,0.29
"1866","money tax and benefits > en > taxes/contactordealwithhmrc/ dg_078345 reporting changes that might affect your tax : directgov - money, tax and benefits",0.00,426,375,0.13
"1867","employment > en > employeeinformationandconsultation/  employee information and consultation : directgov - employment",0.00,425,318,0.26
"1868","directories > en > usefulcontactsbycategory/disabledpeoplecontacts/organisationsandcharities/ dg_10014894 travel and holiday contacts for disabled people : directgov - directories",0.00,424,224,0.48
"1869","motoring > en > personalisedregandnumberplates/ dg_172180 renewing or updating a certificate of entitlement : directgov - motoring",0.00,423,368,0.14
"1870","britons living abroad > en > educationandjobs/ dg_071571 studying at an overseas university : directgov - britons living abroad",0.00,423,367,0.14
"1871","travel and transport > en > passports/ dg_177732 belfast regional passport office : directgov - travel and transport",0.00,423,378,0.12
"1872","home and community > en > whereyoulive/streetsparkingcleaningandlighting/ dg_10028438 speed limits - how they are set : directgov - home and community",0.00,422,362,0.15
"1873","education and learning > en > universityandhighereducation/whygotouniversityorcollege/ dg_4017034 higher education and your career : directgov - education and learning",0.00,422,336,0.21
"1874","parents > en > yourchildshealthandsafety/yourchildssafetyinthehome/ dg_10038395 fire safety advice for parents and child carers : directgov - parents",0.00,421,321,0.25
"1875","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_189554 evidence to support your student finance application: applying for extra help : directgov - education and learning",0.00,420,336,0.21
"1876","parents > en > schoolslearninganddevelopment/specialeducationalneeds/ dg_4000872 special educational needs: choosing a school : directgov - parents",0.00,419,334,0.21
"1877","home and community > en > planning/planningpermission/ dg_4018202 planning permission - before you start work : directgov - home and community",0.00,419,365,0.14
"1878","britons living abroad > en > beforeyougo/  before you go : directgov - britons living abroad",0.00,419,305,0.28
"1879","education and learning > en > adultlearning/financialhelpforadultlearners/ dg_172003 free childcare for training and learning for work scheme : directgov - education and learning",0.00,419,347,0.18
"1880","directories > en > localcouncils/localgovernmentbyregion/ dg_4003645 local councils in north west england : directgov - directories",0.00,419,138,0.67
"1881","money tax and benefits > en > taxes/selfassessmentyourtaxreturn/ dg_10010473 understanding and checking your tax calculation : directgov - money, tax and benefits",0.00,418,369,0.13
"1882","young people > en > workandcareers/workexperienceandvolunteering/ dg_066213 planning a gap year : directgov - young people",0.00,417,353,0.16
"1883","government citizens and rights > en > other  dg_073311 local government powers and finance : directgov - government, citizens and rights",0.00,416,337,0.20
"1884","money tax and benefits > en > managingdebt/bankruptcy/ dg_187410 bankruptcy - what happens to your home : directgov - money, tax and benefits",0.00,415,351,0.16
"1885","travel and transport > en > highwaycode/ dg_069873 safety code for new drivers : directgov - travel and transport",0.00,415,337,0.20
"1886","employment > en > jobseekers/jobsandcareers/ dg_073363 career considerations : directgov - employment",0.00,413,346,0.17
"1887","home and community > en > buyingandsellingyourhome/buyingyourhome/ dg_4001324 property surveys : directgov - home and community",0.00,413,358,0.14
"1888","disabled people > en > educationandtraining/highereducation/ dg_4000917 disability support in higher education : directgov - disabled people",0.00,413,334,0.20
"1889","directories > en >  dg_10011747 cardiff council : directgov - directories",0.00,412,361,0.13
"1890","government citizens and rights > en > other  dg_066931 where your rights come from : directgov - government, citizens and rights",0.00,412,333,0.20
"1891","caring for someone > en > moneymatters/ dg_10026440 council tax reduction for carers : directgov - caring for someone",0.00,412,355,0.15
"1892","do it online > en > doitonlinebycategory/ dg_069239 download the right to buy application form (rtb1) : directgov - do it online",0.00,411,311,0.25
"1893","pensions and retirement planning > en > over50healthandwellbeing/  over 50s health and well-being : directgov - pensions and retirement planning",0.00,410,314,0.24
"1894","government citizens and rights > en > other  dg_186373 how to make and register a lasting power of attorney (lpa) : directgov - government, citizens and rights",0.00,410,316,0.24
"1895","do it online > en >  dg_4018114 home and community : directgov - do it online",0.00,409,338,0.18
"1896","motoring > en > drivingforaliving/ dg_186133 driver qualification card and driver cpc : directgov - motoring",0.00,409,328,0.21
"1897","do it online > en >  dg_4019449 check the risk of flooding in your area : directgov - do it online",0.00,408,372,0.10
"1898","directories > en >  dg_10011667 leeds city council : directgov - directories",0.00,407,361,0.12
"1899","crime justice and the law > en > victimsofcrime/ dg_181641 help and support for victims of crime : directgov - crime and justice",0.00,406,349,0.15
"1900","young people > en > youngdisabledpeople/  young disabled people : directgov - young people",0.00,406,319,0.22
"1901","home and community > en > buyingandsellingyourhome/sellingyourhome/ dg_4001328 property value and valuations : directgov - home and community",0.00,406,378,0.08
"1902","motoring > en > owningavehicle/motorinsurance/ dg_067631 buying motor insurance : directgov - motoring",0.00,406,347,0.15
"1903","disabled people > en > travelholidaysandbreaks/  travel holidays and breaks : directgov - disabled people",0.00,405,306,0.25
"1904","do it online > en >  dg_4019457 crime and justice : directgov - do it online",0.00,404,322,0.21
"1905","money tax and benefits > en > taxes/beginnersguidetotax/inheritancetaxestatesandtrusts/formsforprobateandinheritancetax/ dg_179288 find the right inheritance tax and probate forms : directgov - money, tax and benefits",0.00,403,308,0.24
"1906","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185611 heart attack, heart valve disease, heart transplant, heart murmur, heart failure and driving : directgov - motoring",0.00,403,318,0.22
"1907","disabled people > en > healthandsupport/mentalhealth/ dg_10023434 mental health and work : directgov - disabled people",0.00,402,322,0.21
"1908","caring for someone > en > caringforadisabledchild/ dg_10027494 early support programme - co-ordinated support for young disabled children : directgov - caring for someone",0.00,402,333,0.18
"1909","young people > en > healthandrelationships/bullying/ dg_184893 enjoy the internet safely: click clever, click safe : directgov - young people",0.00,402,321,0.21
"1910","disabled people > en > healthandsupport/mentalhealth/ dg_10023332 mental health emergency : directgov - disabled people",0.00,401,315,0.22
"1911","directories > en > usefulcontactsbycategory/moneytaxandbenefitscontacts/ dg_10026991 reporting tax or benefit fraud : directgov - directories",0.00,401,282,0.30
"1912","money tax and benefits > en > taxes/beginnersguidetotax/inheritancetaxestatesandtrusts/ dg_10010868 uk family trusts - an introduction : directgov - money, tax and benefits",0.00,401,377,0.07
"1913","directories > en >  dg_10011676 london borough of brent council : directgov - directories",0.00,400,327,0.19
"1914","travel and transport > en > publictransport/railtravel/  rail travel : directgov - travel and transport",0.00,400,321,0.21
"1915","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185444 glaucoma and driving : directgov - motoring",0.00,400,244,0.40
"1916","parents > en > adoptionfosteringandchildrenincare/childrenincare/ dg_10027535 care orders : directgov - parents",0.00,399,318,0.21
"1917","education and learning > en > universityandhighereducation/choicesafteryougraduate/ dg_178904 getting a graduate job : directgov - education and learning",0.00,399,322,0.20
"1918","pensions and retirement planning > en > pensioncredit/ dg_184357 pension credit - keeping you in control : directgov - pensions and retirement planning",0.00,398,353,0.12
"1919","newsroom > en > other  dg_191663 what is the 2010 spending review? : directgov - newsroom",0.00,398,270,0.33
"1920","money tax and benefits > en > benefitstaxcreditsandothersupport/beginnersguidetobenefits/ dg_178643 payday changes for jobseeker's allowance and income support : directgov - money, tax and benefits",0.00,398,363,0.10
"1921","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/peoplewhohelpothers/entitlementtablesfortaxcredits/youworkandalsohavechildren/  you work and also have children : directgov - money, tax and benefits",0.00,398,253,0.37
"1922","government citizens and rights > en > other  dg_073240 voting at an election : directgov - government, citizens and rights",0.00,398,338,0.16
"1923","directories > en >  dg_10011251 dvla local office - sidcup : directgov - directories",0.00,398,358,0.11
"1924","money tax and benefits > en > managingdebt/courtclaimsandbankruptcy/ dg_187711 use a statutory demand to recover a debt : directgov - money, tax and benefits",0.00,397,350,0.13
"1925","employment > en > resolvingworkplacedisputes/whistleblowingintheworkplace/ dg_175821 blowing the whistle on workplace wrongdoing : directgov - employment",0.00,397,321,0.20
"1926","motoring > en > driverlicensing/caravanstrailerscommercialvehicles/ dg_4022527 minimum test vehicle requirements for buses and lorries : directgov - motoring",0.00,397,339,0.15
"1927","disabled people > en > motoringandtransport/adaptingavehicle/ dg_10028000 the motability scheme: options for buying or hiring a car : directgov - disabled people",0.00,396,351,0.12
"1928","money tax and benefits > en > taxes/beginnersguidetotax/nationalinsurance/refundscomplaintsandreportingchanges/ dg_190124 national insurance - changes you need to report : directgov - money, tax and benefits",0.00,396,345,0.14
"1929","directories > en >  dg_10011248 dvla local office - theale : directgov - directories",0.00,396,359,0.10
"1930","government citizens and rights > en > other  dg_073226 political parties : directgov - government, citizens and rights",0.00,396,354,0.12
"1931","employment > en > employees/employmentcontractsandconditions/ dg_10027916 understanding your employment status : directgov - employment",0.00,395,295,0.26
"1932","money tax and benefits > en > benefitstaxcreditsandothersupport/disabledpeople/ dg_10018752 industrial injuries disablement benefit (diseases and deafness) : directgov - money, tax and benefits",0.00,394,308,0.23
"1933","disabled people > en > healthandsupport/mentalhealth/ dg_4014771 the mental health act : directgov - disabled people",0.00,394,356,0.11
"1934","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_10012715 the cost of vehicle tax for large rigid and articulated goods vehicles : directgov - motoring",0.00,393,342,0.14
"1935","employment > en > employees/thenationalminimumwage/ dg_191033 work out if you are paid the national minimum wage : directgov - employment",0.00,393,301,0.24
"1936","disabled people > en > financialsupport/ dg_10020667 'permitted work' - working while claiming incapacity benefit : directgov - disabled people",0.00,393,350,0.12
"1937","britons living abroad > en > educationandjobs/ dg_4014679 voluntary work abroad : directgov - britons living abroad",0.00,393,350,0.12
"1938","directories > en >  dg_10012781 home office : directgov - directories",0.00,391,341,0.14
"1939","money tax and benefits > en > managingdebt/debtrepaymentoptions/ dg_187444 individual voluntary arrangements (ivas) - ways out of debt : directgov - money, tax and benefits",0.00,391,305,0.23
"1940","motoring > en > owningavehicle/taxationclasses/ dg_069649 agricultural, horticultural and forestry vehicles exempt from vehicle tax : directgov - motoring",0.00,391,283,0.28
"1941","employment > en > healthandsafetyatwork/ dg_10026594 drug testing and employee monitoring : directgov - employment",0.00,391,352,0.11
"1942","directories > en >  dg_10026666 national benefit fraud hotline : directgov - directories",0.00,390,357,0.09
"1943","money tax and benefits > en > managingmoney/creditandstorecardscreditandloans/ dg_10035249 different ways of borrowing money : directgov - money, tax and benefits",0.00,389,362,0.08
"1944","motoring > en > owningavehicle/taxationclasses/  vehicle tax exemption : directgov - motoring",0.00,389,305,0.22
"1945","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/keepingyourtaxcreditsuptodate/changesthataffectyourtaxcredits/familychanges/ dg_172979 your child reaches 16 - can you still get child tax credit? : directgov - money, tax and benefits",0.00,389,325,0.17
"1946","home and community > en > gettinginvolvedinyourcommunity/volunteering/ dg_10038499 your employment rights as a volunteer : directgov - home and community",0.00,389,331,0.16
"1947","crime justice and the law > en > sentencing/ dg_181681 how sentencing is worked out : directgov - crime and justice",0.00,389,327,0.17
"1948","money tax and benefits > en > managingdebt/planyourwayoutofdebt/ dg_10023185 debt repayment options - a guide : directgov - money, tax and benefits",0.00,388,312,0.20
"1949","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_189069 giving other people access to your student finance account : directgov - education and learning",0.00,388,319,0.19
"1950","employment > en > resolvingworkplacedisputes/discriminationatwork/ dg_178520 making a complaint about discrimination : directgov - employment",0.00,387,324,0.17
"1951","directories > en >  dg_10011796 rhondda cynon taf county borough council : directgov - directories",0.00,387,332,0.15
"1952","young people > en > healthandrelationships/bullying/ dg_10031370 bullying at school : directgov - young people",0.00,386,345,0.12
"1953","crime justice and the law > en > thejudicialsystem/ dg_4003098 criminal justice : directgov - crime and justice",0.00,386,329,0.16
"1954","education and learning > en > universityandhighereducation/studentfinance/applyingforthefirsttime/  new students  : directgov - education and learning",0.00,386,293,0.25
"1955","motoring > en > driverlicensing/drivingingbonaforeignlicence/ dg_185285 driving disqualifications: agreements between great britain and other countries : directgov - motoring",0.00,385,333,0.14
"1956","crime justice and the law > en > victimsofcrime/ dg_177421 compensation for victims of crime : directgov - crime and justice",0.00,385,336,0.14
"1957","education and learning > en > universityandhighereducation/choicesafteryougraduate/ dg_10012441 postgraduate study: getting started : directgov - education and learning",0.00,384,348,0.10
"1958","money tax and benefits > en > taxes/beginnersguidetotax/inheritancetaxestatesandtrusts/howtovaluetheestateofsomeonewhohasdied/ dg_179343 how to value the estate of someone who has died - the basics : directgov - money, tax and benefits",0.00,384,257,0.34
"1959","other directgov subsite > en > other  dg_177917 do you have swine flu? : directgov - swine flu",0.00,384,344,0.11
"1960","home and community > en > inyourhome/firesafety/ dg_071794 what to do if there's a fire : directgov - home and community",0.00,383,322,0.17
"1961","travel and transport > en > publictransport/  getting about in the uk : directgov - travel and transport",0.00,383,309,0.20
"1962","directories > en >  dg_10011388 bristol city council : directgov - directories",0.00,383,321,0.17
"1963","directories > en > usefulcontactsbycategory/employmentcontacts/ dg_172111 finding a job contacts : directgov - directories",0.00,382,319,0.17
"1964","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/keepingyourtaxcreditsuptodate/changesthataffectyourtaxcredits/familychanges/  family changes - how they can affect tax credits : directgov - money, tax and benefits",0.00,382,303,0.21
"1965","crime justice and the law > en > thepolice/  the police : directgov - crime and justice",0.00,382,285,0.26
"1966","money tax and benefits > en > managingmoney/givingmoneytocharity/ dg_078490 tax relief when giving to charity through gift aid : directgov - money, tax and benefits",0.00,382,335,0.13
"1967","money tax and benefits > en > managingdebt/bankruptcy/ dg_187414 bankruptcy - what happens to your bank accounts and credit rating : directgov - money, tax and benefits",0.00,382,338,0.12
"1968","newsroom > en > other   consumer news : directgov - newsroom",0.00,380,270,0.30
"1969","pensions and retirement planning > en > planningforretirement/ dg_184445 your future wallet : directgov - pensions and retirement planning",0.00,380,356,0.07
"1970","pensions and retirement planning > en > planningforretirement/ dg_10014579 how to catch up if you've got little or no pension : directgov - pensions and retirement planning",0.00,379,327,0.15
"1971","employment > en > jobseekers/programmesandservices/ dg_173616 employment zones : directgov - employment",0.00,378,338,0.11
"1972","directories > en >  dg_10011679 london borough of camden council : directgov - directories",0.00,378,313,0.18
"1973","young people > en > healthandrelationships/healthcare/ dg_10031481 registering with a gp and getting dental treatment : directgov - young people",0.00,378,346,0.09
"1974","other directgov subsite > other dg_187177 pcv theory test two: directgov - practical theory test",0.00,377,341,0.10
"1975","motoring > en > drivingforaliving/ dg_186131 periodic training for driver cpc : directgov - motoring",0.00,377,301,0.21
"1976","environment and greener living > en > wasteandrecycling/ dg_064366 recycling at home : directgov - environment and greener living",0.00,376,303,0.20
"1977","young people > en > money/managingyourmoney/ dg_10027626 getting a current account : directgov - young people",0.00,376,340,0.10
"1978","caring for someone > en > carehomes/ dg_10031516 choosing a care home : directgov - caring for someone",0.00,376,290,0.24
"1979","money tax and benefits > en > managingdebt/bankruptcy/ dg_187411 bankruptcy - how it affects you : directgov - money, tax and benefits",0.00,375,287,0.24
"1980","disabled people > en > financialsupport/otherbenefitsandsupport/ dg_10016204 war disablement pension : directgov - disabled people",0.00,374,317,0.16
"1981","directories > en >  dg_078628 dvla northern ireland : directgov - directories",0.00,373,326,0.13
"1982","employment > en > employees/timeoffandholidays/ dg_183403 training you have the right to request at work : directgov - employment",0.00,373,295,0.22
"1983","education and learning > en > 14to19/moneytolearn/caretolearn/ dg_066973 care to learn: are you eligible? : directgov - education and learning",0.00,373,314,0.17
"1984","travel and transport > en > highwaycode/ dg_070204 other information : directgov - travel and transport",0.00,373,346,0.08
"1985","young people > en >  dg_10016105 sport and leisure : directgov - young people",0.00,373,341,0.09
"1986","disabled people > en > healthandsupport/arranginghealthandsocialcare/ dg_4000514 help with health costs : directgov - disabled people",0.00,373,350,0.07
"1987","do it online > en >  dg_4017625 find a course : directgov - do it online",0.00,373,341,0.09
"1988","government citizens and rights > en > other  dg_185921 what is a lasting power of attorney? : directgov - government, citizens and rights",0.00,372,301,0.20
"1989","directories > en >  dg_10011768 greater london authority : directgov - directories",0.00,372,323,0.14
"1990","education and learning > en > qualificationsexplained/ dg_173874 functional skills : directgov - education and learning",0.00,371,280,0.25
"1991","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/gettingstarted/whoqualifies/newarrivalstotheuk/  new arrivals to the uk and tax credits : directgov - money, tax and benefits",0.00,370,253,0.32
"1992","directories > en > usefulcontactsbycategory/over50scontacts/ dg_10029767 work and career contacts : directgov - directories",0.00,370,245,0.34
"1993","government citizens and rights > en > other  dg_175554 how an adoption is recorded : directgov - government, citizens and rights",0.00,370,300,0.20
"1994","government citizens and rights > en > other   central government and the monarchy : directgov - government, citizens and rights",0.00,370,231,0.38
"1995","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxallowancesandreliefs/ dg_078378 tax relief for specialist tools or clothing : directgov - money, tax and benefits",0.00,369,265,0.29
"1996","do it online > en >  dg_073190 a-z of local directgov services : directgov - do it online",0.00,369,298,0.20
"1997","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxallowancesandreliefs/ dg_078375 tax relief for business mileage or fuel : directgov - money, tax and benefits",0.00,368,290,0.22
"1998","home and community > en > yourlocalcouncilandcounciltax/yourcommunity/ dg_4018790 libraries and books : directgov - home and community",0.00,367,333,0.10
