Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Book through
"Eastaugh, Mr. Tony",29/01/2016,,London Euston,CONFERENCE/EVENT,Rail,Standard,,,49.00,,Redfern
"Ind, Mr. Hugh Timothy",29/01/2016,,,Fares - visit to Birmingham - SLT Meeting,"T&S - Planes, Trains and Automobiles",,,,3.90,,
"Montgomery, Sir Charles Percival",29/01/2016,,,Refrehsment using contactless during work visit to Belfast on 29.01.16,"T&S - Planes, Trains and Automobiles",,,,2.80,,
"Montgomery, Sir Charles Percival",29/01/2016,,Belfast City,EXTERNAL MEETING,Air Tickets,Economy,,,105.31,,Redfern
"Montgomery, Sir Charles Percival",29/01/2016,,London Heathrow,EXTERNAL MEETING,Air Tickets,Economy,,,131.83,,Redfern
"Montgomery, Sir Charles Percival",29/01/2016,,Southampton Airport Parkway,EXTERNAL MEETING,Rail,Standard,,,4.80,,Redfern
"Parsons, Mr. Michael John",29/01/2016,,,Brekafast,T&S - Hotels,,,,11.00,,
"Parsons, Mr. Michael John",29/01/2016,,,parking,"T&S - Planes, Trains and Automobiles",,,,9.00,,
"Williams, Mr. Glyn",29/01/2016,,,"This is travel to an external meeting, of which none of the criteria on any of the forms suit.",T&S - Hotels,,,,4.80,,
"Cunningham, Mr. Michael Bernard",01/02/2016,,London City,INTERNAL MEETING,,,Hotel Room,,124.90,,Redfern
"Cunningham, Mr. Michael Bernard",01/02/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Martin, Mr. Ian Richard",01/02/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Montgomery, Sir Charles Percival",01/02/2016,,,TFL: 2ms - hotel : UK Chamber of Shipping Annual Dinner,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",01/02/2016,,,Hotel (B&B) post UK Chamber of Shipping Annual Dinner - attended in capacity as DG,T&S - Hotels,,,,134.00,,
"Otter, Mr. Stephen Anthony",01/02/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,82.31,,Redfern
"Robbins, Mr. Oliver",01/02/2016,,Brussels Midi,EXTERNAL MEETING,Air Tickets,Economy,,,249.00,,Redfern
"Robbins, Mr. Oliver",01/02/2016,,Brussels Midi,EXTERNAL MEETING,Air Tickets,Standard,,,348.00,,Redfern
"Campbell, Ms. Mandie Jane",02/02/2016,,,bus and tube to Euston for trip to Manchester,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.90,,
"Campbell, Ms. Mandie Jane",02/02/2016,,Manchester,INTERNAL MEETING,,,Hotel Standard- One- Double,,616.80,,Redfern
"Campbell, Ms. Mandie Jane",02/02/2016,,Manchester Airport,INTERNAL MEETING,Rail,Standard,,,37.00,,Redfern
"Campbell, Ms. Mandie Jane",02/02/2016,,Manchester Piccadilly,INTERNAL MEETING,Rail,Standard,,,4.30,,Redfern
"Cunningham, Mr. Michael Bernard",02/02/2016,,London City,INTERNAL MEETING,,,Hotel Room,,125.71,,Redfern
"Cunningham, Mr. Michael Bernard",02/02/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,107.00,,Redfern
"Martin, Mr. Ian Richard",02/02/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Montgomery, Sir Charles Percival",02/02/2016,,,TFL: Hotel (post UK chamber of shipping annual dinner) - 2msTFL: 2ms - Liverpool St. Station (harwich visit),"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Montgomery, Sir Charles Percival",02/02/2016,,Harwich Town,EXTERNAL MEETING,Rail,Standard,,,15.80,,Redfern
"Otter, Mr. Stephen Anthony",02/02/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,59.18,,Redfern
"Spencer, Dr. Fiona Margaret",02/02/2016,,,MPLA Event - standing in for Cabinet Office as key speaker. Problems with circle line tube so had to get taxi to avoid missing train.,Taxis,,,,11.80,,
"Spencer, Dr. Fiona Margaret",02/02/2016,,,"MPLA Event - standing in for Cabinet Office as key speaker. Taxi from Oxford Station to Rhodes House, Oxford.",Taxis,,,,6.50,,
"Spencer, Dr. Fiona Margaret",02/02/2016,,Oxford,INTERNAL MEETING,Rail,Standard,,,55.50,,Redfern
"Storr, Mr. Peter Richard",02/02/2016,,,Taxi from The Hague station to hotel,Taxis,,,,11.87,,
"Storr, Mr. Peter Richard",02/02/2016,,,Taxi from Amsterdam airport to hotel in The Hague,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,14.73,,
"Storr, Mr. Peter Richard",02/02/2016,,,Train to Gatwick Airport to attend Europol meeting in The Hague,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,19.90,,
"Campbell, Ms. Mandie Jane",03/02/2016,,,Sheffield station to office,Taxis,,,,4.80,,
"Campbell, Ms. Mandie Jane",03/02/2016,,,office to Sheffield station,Taxis,,,,5.00,,
"Campbell, Ms. Mandie Jane",03/02/2016,,,return from Sheffield,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Campbell, Ms. Mandie Jane",03/02/2016,,London St Pancras,INTERNAL MEETING,Rail,Standard,,,55.50,,Redfern
"Campbell, Ms. Mandie Jane",03/02/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,11.00,,Redfern
"Cunningham, Mr. Michael Bernard",03/02/2016,,Belfast City,EXTERNAL MEETING,Air Tickets,Economy,,,176.14,,Redfern
"Cunningham, Mr. Michael Bernard",03/02/2016,,Belfast City,EXTERNAL MEETING,,,Hotel Room,,90.60,,Redfern
"Hepple, Mr. Tyson Julian",03/02/2016,,Folkestone West,INTERNAL MEETING,Rail,Standard,,,43.00,,Redfern
"Martin, Mr. Ian Richard",03/02/2016,,,Car parking en route to visiting Sheffield office. Receipt uploaded.,"T&S - Planes, Trains and Automobiles",,,,8.20,,
"Martin, Mr. Ian Richard",03/02/2016,,,Lunch whilst visiting Sheffield office. Receipt held.,T&S - Subsistence,,,,6.65,,
"Martin, Mr. Ian Richard",03/02/2016,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,-46.20,,Redfern
"Martin, Mr. Ian Richard",03/02/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,254.40,,Redfern
"Montgomery, Sir Charles Percival",03/02/2016,,,TFL: Liverpoo St. Station - Waterloo (post Harwich visit),"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",03/02/2016,,,Refreshment/luncg during work visit to Harwich and Felixstowe on 03.02.16 using contactless.,"T&S - Planes, Trains and Automobiles",,,,3.78,,
"Montgomery, Sir Charles Percival",03/02/2016,,London Liverpool Street,EXTERNAL MEETING,Rail,Standard,,,13.30,,Redfern
"Spencer, Dr. Fiona Margaret",03/02/2016,,,"MPLA Event - standing in for Cabinet Office as key speaker. Taxi from Egrove Park, Oxford to Oxford Station.",Taxis,,,,10.80,,
"Storr, Mr. Peter Richard",03/02/2016,,,Taxi from The Hague to Amsterdam airport,Taxis,,,,52.48,,
"Storr, Mr. Peter Richard",03/02/2016,,,Hotel in The Hague to attend Europole Meeting,T&S - Hotels,,,,81.87,,
"Storr, Mr. Peter Richard",03/02/2016,,,Heathrow Express single ticket,"T&S - Planes, Trains and Automobiles",,,,22.00,,
"Williams, Mr. Glyn",03/02/2016,,London Victoria,EXTERNAL MEETING,Rail,Standard,,,5.90,,Redfern
"Cunningham, Mr. Michael Bernard",04/02/2016,,Birmingham,EXTERNAL MEETING,Air Tickets,Economy,,,80.83,,Redfern
"Kershaw, Mr. Stephen Edward",04/02/2016,,Manchester,INTERNAL MEETING,,,Hotel Room,,70.40,,Redfern
"Kershaw, Mr. Stephen Edward",04/02/2016,,Manchester Piccadilly,INTERNAL MEETING,Rail,Standard,,,119.27,,Redfern
"Martin, Mr. Ian Richard",04/02/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Foy, Mr. Timothy John",05/02/2016,,,Photos for A2 Diplomatic Visa,T&S - Subsistence,,,,19.99,,
"Hepple, Mr. Tyson Julian",05/02/2016,,,Taxi from Manchester Piccadilly to Westpoint (UKVI offices),Taxis,,,,7.30,,
"Hepple, Mr. Tyson Julian",05/02/2016,,,Taxi from Manchester Piccadilly to Westpoint (UKVI offices),Taxis,,,,7.30,,
"Hepple, Mr. Tyson Julian",05/02/2016,,,Tram ticket,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.80,,
"Hepple, Mr. Tyson Julian",05/02/2016,,,Tram ticket,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.80,,
"Hepple, Mr. Tyson Julian",05/02/2016,,Manchester Piccadilly,INTERNAL MEETING,Rail,Standard,,,151.20,,Redfern
"Ind, Mr. Hugh Timothy",05/02/2016,,,Visit to Solihull Office - taxi from Station to Office,Taxis,,,,12.00,,
"Ind, Mr. Hugh Timothy",05/02/2016,,,Visit to Solihull - taxi from office to station,Taxis,,,,10.00,,
"Ind, Mr. Hugh Timothy",05/02/2016,,Birmingham International,INTERNAL MEETING,Rail,Standard,,,177.80,,Redfern
"Kershaw, Mr. Stephen Edward",05/02/2016,,Manchester Airport,INTERNAL MEETING,Rail,Standard,,,7.90,,Redfern
"Martin, Mr. Ian Richard",05/02/2016,,Manchester Airport,INTERNAL MEETING,Rail,Standard,,,133.20,,Redfern
"Kershaw, Mr. Stephen Edward",07/02/2016,,London Euston,EXTERNAL MEETING,Rail,Standard,,,81.40,,Redfern
"Wilkinson, Miss Sarah Fay",07/02/2016,,,US Trip to visit Microsoft,"T&S - Planes, Trains and Automobiles",,,,289.40,,
"Wilkinson, Miss Sarah Fay",07/02/2016,,,Payment not taken from the Redfern account - Sheraton  Bellevue Hotel $718.44,T&S - Subsistence,,,,518.28,,
"Wilkinson, Miss Sarah Fay",07/02/2016,,Seattle,CONFERENCE/EVENT,Air Tickets,Upper Class,,,"1,230.60",,Redfern
"Wilkinson, Miss Sarah Fay",07/02/2016,,,EXTERNAL MEETING,,,Hotel Fee ,,1.40,,Redfern
"Duffy, Mr. Philip",08/02/2016,,,Return ticket Heathrow (Cyprus),"T&S - Planes, Trains and Automobiles",Standard/Economy,,,9.00,,
"Duffy, Mr. Philip",08/02/2016,,,Evening Meal,"T&S - Planes, Trains and Automobiles",,,,25.74,,
"Duffy, Mr. Philip",08/02/2016,,,Travel to Victoria for overseas visit,"T&S - Planes, Trains and Automobiles",,,,4.30,,
"Duffy, Mr. Philip",08/02/2016,,Larnaca,EXTERNAL MEETING,Air Tickets,Economy,,,228.69,,Redfern
"Duffy, Mr. Philip",08/02/2016,,Larnaca,EXTERNAL MEETING,,,Hotel (Foreign) Room,,80.81,,Redfern
"Duffy, Mr. Philip",08/02/2016,,,EXTERNAL MEETING,,,Hotel Fee ,,0.60,,Redfern
"Martin, Mr. Ian Richard",08/02/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"O'brien, Mr. John",08/02/2016,,,External meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,1.50,,
"Oppenheim, Mr. Jeremy",08/02/2016,,,Dinner with CC Simon Bailey,"Canteens, Lunches, Vending",,,,118.13,,
"Otter, Mr. Stephen Anthony",08/02/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,49.20,,Redfern
"Cunningham, Mr. Michael Bernard",09/02/2016,,London City,INTERNAL MEETING,,,Hotel Room,,125.71,,Redfern
"Cunningham, Mr. Michael Bernard",09/02/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Duffy, Mr. Philip",09/02/2016,,,EXTERNAL MEETING,,,Hotel Fee ,,0.60,,Redfern
"Martin, Mr. Ian Richard",09/02/2016,,,Short notice ticket needed to attend meeting at MoJ Petty France. Receipt held.,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,20.60,,
"Montgomery, Sir Charles Percival",09/02/2016,,Manchester,EXTERNAL MEETING,,,Hotel Standard,,125.60,,Redfern
"Montgomery, Sir Charles Percival",09/02/2016,,Manchester Piccadilly,EXTERNAL MEETING,Rail,Standard,,,82.40,,Redfern
"Oppenheim, Mr. Jeremy",09/02/2016,,,"taxi from Penrith Station to Eden Hall Hotel for overnight stay before external meetings with police, PCC, health and social care professionals. With Louise rutherford",Taxis,,,,12.00,,
"Oppenheim, Mr. Jeremy",09/02/2016,,,travel from office to attend a roundtable hosted by Women's Aid/RSA.,Taxis,,,,14.08,,
"Oppenheim, Mr. Jeremy",09/02/2016,,,car parking at Euston station whilst attending official visit to Cumbria.,"T&S - Planes, Trains and Automobiles",,,,10.00,,
"Oppenheim, Mr. Jeremy",09/02/2016,,,Dinner for Jeremy Oppenheim and colleague Louise Rutherford whilst on official visit to Cumbria,"Canteens, Lunches, Vending",,,,82.35,,
"Oppenheim, Mr. Jeremy",09/02/2016,,Leeds/Bradford,EXTERNAL MEETING,,,Hotel Room,,73.60,,Redfern
"Oppenheim, Mr. Jeremy",09/02/2016,,Penrith,EXTERNAL MEETING,Rail,Standard,,,51.80,,Redfern
"Montgomery, Sir Charles Percival",10/02/2016,,,TFL : Euston - Waterloo (post Manchester visit),"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",10/02/2016,,,Refreshments during work visit to Manchester on 10.02.16 using contactless,"T&S - Planes, Trains and Automobiles",,,,3.79,,
"Oppenheim, Mr. Jeremy",10/02/2016,,,taxi from hotel to Cumbria police HQ,Taxis,,,,13.00,,
"Oppenheim, Mr. Jeremy",10/02/2016,,,taxi from Police HQ to train station for travel to Carlisle for meetings with health and social care professionals,Taxis,,,,6.00,,
"Oppenheim, Mr. Jeremy",10/02/2016,,,taxi from Penrith station to police HQ for meeting with PCC,Taxis,,,,5.00,,
"Oppenheim, Mr. Jeremy",10/02/2016,,,taxi from police headquarers to Penrith station,Taxis,,,,5.00,,
"Oppenheim, Mr. Jeremy",10/02/2016,,,Lunch,Unspecified,,,,5.78,,
"Oppenheim, Mr. Jeremy",10/02/2016,,,car parking at Euston station whilst attending official visit to Cumbria.,"T&S - Planes, Trains and Automobiles",,,,25.00,,
"Oppenheim, Mr. Jeremy",10/02/2016,,Carlisle,EXTERNAL MEETING,Rail,Standard,,,6.95,,Redfern
"Oppenheim, Mr. Jeremy",10/02/2016,,London Euston,EXTERNAL MEETING,Rail,Standard,,,118.45,,Redfern
"Oppenheim, Mr. Jeremy",10/02/2016,,Penrith,EXTERNAL MEETING,Rail,Standard,,,6.95,,Redfern
"Silverman, Mr. Bernard Walter",10/02/2016,,Coventry,CONFERENCE/EVENT,Rail,Standard,,,99.00,,Redfern
"Duffy, Mr. Philip",11/02/2016,,,Breakfast whist away on an offical overseas visit,T&S - Hotels,,,,7.17,,
"Morrison, Mr. Paul Noble Wilson",11/02/2016,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,30.00,,Redfern
"Morrison, Mr. Paul Noble Wilson",11/02/2016,,Nottingham,EXTERNAL MEETING,Rail,First,,,71.00,,Redfern
"O'brien, Mr. John",11/02/2016,,Liverpool,INTERNAL MEETING,,,Hotel Business Class,,62.30,,Redfern
"O'brien, Mr. John",11/02/2016,,,INTERNAL MEETING,,,Hotel Fee ,,0.60,,Redfern
"Robbins, Mr. Oliver",11/02/2016,,,Passport photographs for Ethiopian visa,Miscellaneous,,,,9.99,,
"Webb, Mr. Stephen",11/02/2016,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,75.00,,Redfern
"Wilkinson, Miss Sarah Fay",11/02/2016,,,US Trip to visit Microsoft,Taxis,,,,32.17,,
"O'brien, Mr. John",11/02/2016,,,VISIT TO lIVERPOOL,T&S - Subsistence,,,,35.30,,
"Calam, Ms. Mary-Jane",12/02/2016,,London Euston,EXTERNAL MEETING,Rail,Standard,,,73.90,,Redfern
"Calam, Ms. Mary-Jane",12/02/2016,,Winsford,EXTERNAL MEETING,Rail,Standard,,,32.00,,Redfern
"Cunningham, Mr. Michael Bernard",12/02/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Hepple, Mr. Tyson Julian",12/02/2016,,Middlesbrough,INTERNAL MEETING,Rail,Standard,,,254.00,,Redfern
"Sedwill, Mr. Mark",12/02/2016,,,had to purchase new train ticket home due to extended stay for the Permanent Secretaries away day,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,53.20,,
"O'brien, Mr. John",13/02/2016,,London Euston,EXTERNAL MEETING,Rail,Standard,,,22.00,,Redfern
"Duffy, Mr. Philip",14/02/2016,,Glasgow,CONFERENCE/EVENT,,,Hotel Room,,60.00,,Redfern
"Duffy, Mr. Philip",14/02/2016,,Glasgow,EXTERNAL MEETING,Air Tickets,Economy,,,133.12,,Redfern
"Duffy, Mr. Philip",14/02/2016,,,CONFERENCE/EVENT,,,Hotel Fee ,,0.60,,Redfern
"Foy, Mr. Timothy John",14/02/2016,,,Taxi from home address to Heathrow airport,Taxis,,,,90.00,,
"Foy, Mr. Timothy John",14/02/2016,,,Currency exchange fees,T&S - Subsistence,,,,3.04,,
"Foy, Mr. Timothy John",14/02/2016,,,Food at airport,T&S - Subsistence,,,,5.19,,
"Foy, Mr. Timothy John",14/02/2016,,,Taxi from Airport to Hotel,Taxis,,,,59.32,,
"Storr, Mr. Peter Richard",14/02/2016,,,2 x subsistence rate for Amsterdam,T&S - Subsistence,,,,110.68,,
"Storr, Mr. Peter Richard",14/02/2016,,,Heathrow Express return ticket,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,41.00,,
"Storr, Mr. Peter Richard",14/02/2016,,Amsterdam,EXTERNAL MEETING,Air Tickets,Economy,,,272.31,,Redfern
"Duffy, Mr. Philip",15/02/2016,,,Return ticket from Heathrow (MPLA Course),"T&S - Planes, Trains and Automobiles",Standard/Economy,,,5.50,,
"Duffy, Mr. Philip",15/02/2016,,,Travel home after official overseas visit,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Foy, Mr. Timothy John",15/02/2016,,,Breakfast and Lunch,T&S - Subsistence,,,,9.59,,
"Foy, Mr. Timothy John",15/02/2016,,,Taxis arond Washington,Taxis,,,,87.64,,
"Martin, Mr. Ian Richard",15/02/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Rapson, Ms. Sarah Oonagh",16/02/2016,,,Travel to Sponsorship Compliance visit,Taxis,,,,8.00,,
"Rapson, Ms. Sarah Oonagh",16/02/2016,,London Zones 1-4,INTERNAL MEETING,Rail,Standard,,,12.10,,Redfern
"Storr, Mr. Peter Richard",16/02/2016,,,Attend SCIFA meeting Amsterdam with Home Secretary,T&S - Hotels,,,,313.37,,
"Williams, Mr. Glyn",16/02/2016,,,from Sheffield station to Vulcan House,Taxis,,,,5.00,,
"Williams, Mr. Glyn",16/02/2016,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,9.80,,Redfern
"Williams, Mr. Glyn",16/02/2016,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,75.00,,Redfern
"Arnott, Dr. Robert Henry",17/02/2016,,,3x officials' induction lunch,"Canteens, Lunches, Vending",,,,52.85,,
"Clarke, Mr. Richard William John",17/02/2016,,Liverpool,CONFERENCE/EVENT,,,Hotel Room,,87.20,,Redfern
"Clarke, Mr. Richard William John",17/02/2016,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,146.00,,Redfern
"Clarke, Mr. Richard William John",17/02/2016,,,CONFERENCE/EVENT,,,Hotel Fee ,,0.60,,Redfern
"Cunningham, Mr. Michael Bernard",17/02/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",17/02/2016,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- Queen Size,,125.00,,Redfern
"Cunningham, Mr. Michael Bernard",17/02/2016,,Preston,INTERNAL MEETING,Rail,Standard,,,15.60,,Redfern
"Cunningham, Mr. Michael Bernard",17/02/2016,,,INTERNAL MEETING,,,Hotel Fee ,,0.60,,Redfern
"Duffy, Mr. Philip",17/02/2016,,Liverpool,CONFERENCE/EVENT,,,Hotel Room,,79.20,,Redfern
"Duffy, Mr. Philip",17/02/2016,,Liverpool Lime Street,CONFERENCE/EVENT,Rail,Standard,,,82.40,,Redfern
"Duffy, Mr. Philip",17/02/2016,,,CONFERENCE/EVENT,,,Hotel Fee ,,0.60,,Redfern
"Foy, Mr. Timothy John",17/02/2016,,,Breakfast 17/02 and Evening Meal 16/02,T&S - Subsistence,,,,39.15,,
"Foy, Mr. Timothy John",17/02/2016,,,Taxi - Hotel to AIrport,Taxis,,,,74.03,,
"Montgomery, Sir Charles Percival",17/02/2016,,,TFL: Waterloo - Euston (pre Liverpool visit),"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",17/02/2016,,,Coffee - journey to Liverpool - part of 2 day overnight travel allowance,"T&S - Planes, Trains and Automobiles",,,,5.79,,
"Montgomery, Sir Charles Percival",17/02/2016,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,79.20,,Redfern
"Montgomery, Sir Charles Percival",17/02/2016,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,197.20,,Redfern
"Montgomery, Sir Charles Percival",17/02/2016,,,EXTERNAL MEETING,,,Hotel Fee ,,0.60,,Redfern
"Thomson, Mr. Mark David",17/02/2016,,,Travel from Belfast Office to Airport,Taxis,,,,7.00,,
"Thomson, Mr. Mark David",17/02/2016,,,Taxi from Airport to Belfast office,Taxis,,,,9.00,,
"Thomson, Mr. Mark David",17/02/2016,,,Gatwick Airport Parking,"T&S - Planes, Trains and Automobiles",,,,38.00,,
"Thomson, Mr. Mark David",17/02/2016,,,"Travel from home to airport, and back again",T&S - Employee Reimbursed Mileage,,,,14.40,,
"Thomson, Mr. Mark David",17/02/2016,,Belfast City,INTERNAL MEETING,Air Tickets,First,,,111.69,,Redfern
"Foy, Mr. Timothy John",18/02/2016,,,Heathrow Express,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,22.00,,
"Foy, Mr. Timothy John",18/02/2016,,,TEA,T&S - Subsistence,,,,1.85,,
"Foy, Mr. Timothy John",18/02/2016,,,Taxi from London Paddington to 2MS,Taxis,,,,20.00,,
"Foy, Mr. Timothy John",18/02/2016,,,Taxi from Winchester Rail Station - home,Taxis,,,,7.00,,
"Montgomery, Sir Charles Percival",18/02/2016,,,TFL: Euston - Hotel (post liverpool trip),"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",18/02/2016,,,"Liverpool Trip – 17th – 18th Feb 2016Expenses:2 day trip = 2xœ26 = œ52PLUS œ15 as breakfast element of 18thb B&B is being paid on T&E cardTotal: œ67Outgoings:Total: œ128.79œ5.79 Coffee (17th)  – paid on T&E card, receipt",T&S - Hotels,,,,35.00,,
"Montgomery, Sir Charles Percival",18/02/2016,,,Refreshment on way back from work visit to Liverpool on 18.02.16 using contactless.,"T&S - Planes, Trains and Automobiles",,,,4.00,,
"Montgomery, Sir Charles Percival",18/02/2016,,London Heathrow,EXTERNAL MEETING,,,Hotel Standard- One- Queen Size,,113.40,,Redfern
"Montgomery, Sir Charles Percival",18/02/2016,,,EXTERNAL MEETING,,,Hotel Fee ,,0.60,,Redfern
"Calam, Ms. Mary-Jane",19/02/2016,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,22.60,,Redfern
"Calam, Ms. Mary-Jane",19/02/2016,,Stevenage,EXTERNAL MEETING,Rail,Standard,,,14.00,,Redfern
"Keane, Ms. Jacqueline Frances",19/02/2016,,Aylesbury,EXTERNAL MEETING,Rail,Standard,,,31.84,,Redfern
"Montgomery, Sir Charles Percival",19/02/2016,,,TFL: Hotel - 2ms (post liverpool trip),"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",19/02/2016,,,"Liverpool Trip – 17th – 18th Feb 2016Expenses:2 day trip = 2xœ26 = œ52PLUS œ15 as breakfast element of 18thb B&B is being paid on T&E cardTotal: œ67Outgoings:Total: œ128.79œ5.79 Coffee (17th)  – paid on T&E card, receipt",T&S - Hotels,,,,40.00,,
"Otter, Mr. Stephen Anthony",19/02/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,34.08,,Redfern
"Cunningham, Mr. Michael Bernard",22/02/2016,,Belfast,EXTERNAL MEETING,,,Hotel Room,,85.60,,Redfern
"Cunningham, Mr. Michael Bernard",22/02/2016,,Belfast City,EXTERNAL MEETING,Air Tickets,Economy,,,74.94,,Redfern
"Hills, Mr. Gareth David",22/02/2016,,Liverpool,CONFERENCE/EVENT,,,Hotel Business Class,,89.60,,Redfern
"Hills, Mr. Gareth David",22/02/2016,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,67.00,,Redfern
"Ind, Mr. Hugh Timothy",22/02/2016,,,Visit to Leeds - soft beverages on train journey.,T&S - Subsistence,,,,3.90,,
"Ind, Mr. Hugh Timothy",22/02/2016,,,Passport photos - required for visa applications,Miscellaneous,,,,9.99,,
"Ind, Mr. Hugh Timothy",22/02/2016,,,Fares - visit to Leeds Offices,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Ind, Mr. Hugh Timothy",22/02/2016,,Leeds,INTERNAL MEETING,Rail,Standard,,,224.00,,Redfern
"Ind, Mr. Hugh Timothy",22/02/2016,,Leeds/Bradford,EXTERNAL MEETING,,,Hotel Room,,81.35,,Redfern
"Montgomery, Sir Charles Percival",22/02/2016,,,"Hotel in Washington DC, US for B5 Heads meetings between 22-25 Feb 2016.  Bill came to $1,003.04.",T&S - Hotels,,,,734.08,,
"Montgomery, Sir Charles Percival",22/02/2016,,W'Ington Dulles,EXTERNAL MEETING,Air Tickets,Economy,,,"4,243.35",,Redfern
"Morrison, Mr. Paul Noble Wilson",22/02/2016,,Taunton,EXTERNAL MEETING,Rail,Standard,,,160.50,,Redfern
"O'brien, Mr. John",22/02/2016,,,External meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,21.50,,
"O'brien, Mr. John",22/02/2016,,,external meeting. Arranged at very short notice,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,25.00,,
"O'brien, Mr. John",22/02/2016,,,nottingham station to nottingham police HQ,Taxis,,,,18.40,,
"O'brien, Mr. John",22/02/2016,,Nottingham,EXTERNAL MEETING,Rail,Standard,,,46.50,,Redfern
"Otter, Mr. Stephen Anthony",22/02/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,42.00,,Redfern
"Ind, Mr. Hugh Timothy",22/02/2016,,,Business Trip to Leeds,T&S - Subsistence,,,,26.00,,
"Arnott, Dr. Robert Henry",23/02/2016,,,11x training - officials' attendance at Big Data exhibition,T&S - Hotels,,,,137.50,,
"Cunningham, Mr. Michael Bernard",23/02/2016,,London Heathrow,EXTERNAL MEETING,Air Tickets,Economy,,,98.83,,Redfern
"Cunningham, Mr. Michael Bernard",23/02/2016,,Stafford,INTERNAL MEETING,Rail,Standard,,,107.00,,Redfern
"Ind, Mr. Hugh Timothy",23/02/2016,,,Visit to Leeds,Taxis,,,,8.00,,
"Ind, Mr. Hugh Timothy",23/02/2016,,,Malaria Tablets - required for business trip to Nigeria,Miscellaneous,,,,35.00,,
"Ind, Mr. Hugh Timothy",23/02/2016,,,Fares - visit to Leeds Offices,"T&S - Planes, Trains and Automobiles",,,,3.90,,
"Martin, Mr. Ian Richard",23/02/2016,,London Zones 1-6,INTERNAL MEETING,Rail,Standard,,,40.30,,Redfern
"Wren, Mr. Simon William",23/02/2016,,East Croydon,CONFERENCE/EVENT,Rail,Standard,,,11.10,,Redfern
