PlaceRef,PropDesc,RateableVal,AccountName,LiabStart,PropAddress1,PropAddress2,PropAddress3,PropAddress4,PropAddress5,PropPostCode,Address1,Address2,Address3,Address4,Address5,PostCode,MandRlfCd,DiscRlfCd,AddRlfCd,MandRlf,DiscRlf,AdditionalRlf,SBRRlf,TRDisc/SSBCd,TRDisc/SSBAmt
5495011009,OFFICES AND PREMISES,8100,JONES LAW PARTNERSHIP,01/01/1998,VERNON CHAMBERS,11 MARKET STREET,MARPLE,STOCKPORT,,SK6 7AA,11 MARKET STREET,MARPLE,STOCKPORT,,,SK6 7AA,,,,0,0,0,3888,,0
8420001009,WAREHOUSE AND PREMISES,22250,G M SERVICES LTD,21/01/2003,WAREHOUSE AND PREMISES,WHITEFIELD ROAD,BREDBURY,STOCKPORT,,SK6 2QR,WHITEFIELD ROAD,BREDBURY,STOCKPORT,,,SK6 2QZ,,,,0,0,0,0,,0
7263033019,RESTAURANT AND PREMISES,11500,HEATON TANDOORI RESTAURANT LTD,10/11/1997,33A SHAW ROAD,HEATON MOOR,STOCKPORT,,,SK4 4AG,33A SHAW ROAD,HEATON MOOR,STOCKPORT,,,SK4 4AG,,,,0,0,0,5520,,0
5593034009,SHOP AND PREMISES,27250,CLOTHESTAMP LTD,17/09/1993,34 MERSEY SQUARE,STOCKPORT,,,,SK1 1RA,34 MERSEY SQUARE,STOCKPORT,,,,SK1 1RA,,LDS1,,0,770.84,0,0,,0
6002207009,COLLEGE AND PREMISES,765000,AQUINAS 6TH FORM COLLEGE,01/04/1993,AQUINAS 6TH FORM COLLEGE,NANGREAVE ROAD,HEAVILEY,STOCKPORT,,SK2 6TH,C/O THE PRINCIPAL,AQUINAS 6TH FORM COLLEGE,NANGREAVE ROAD,HEAVILEY,STOCKPORT,SK2 6TH,MAN,,,301716,0,0,0,,0
0072010009,WAREHOUSE OFFICE AND PREMISES,19750,DYER ENVIROMENTAL CONTROLS LTD,01/02/2003,UNIT 10,ASHURST DRIVE,LAWNHURST TRADING ESTATE,CHEADLE HEATH,STOCKPORT,SK3 0SD,UNIT 10,ASHURST DRIVE,LAWNHURST TRADING ESTATE,CHEADLE HEATH,STOCKPORT,SK3 0SD,,,,0,0,0,0,,0
8359218009,SHOWROOM AND PREMISES,42750,PPG ARCHITECTURAL COATINGS  UK LTD,20/11/1992,218 WELLINGTON ROAD SOUTH,STOCKPORT,,,,SK1 3RS,JOHNSTONES PAINTS,HUDDERSFIELD ROAD,BIRSTALL,BATLEY,,WF17 9XA,,,,0,0,0,0,,0
7393247019,SHOP AND PREMISES,6700,NORTHWEST MOUNTAIN BIKE LTD,01/04/1993,249 STOCKPORT ROAD,CHEADLE,,,,SK8 2BS,T/A NORTH WEST MOUNTAIN BIKE,CENTRE,249 STOCKPORT ROAD,CHEADLE,,SK8 2DP,,,,0,0,0,2726.3,,0
7229025159,OFFICE AND PREMISES,2050,MJC DEVELOPMENTS LTD,31/05/1993,15A HAZEL GROVE INDUSTRIAL  ESTATE,SCHOOL STREET,HAZEL GROVE,STOCKPORT,,SK7 4RA,UNIT 15A,SCHOOL STREET IND ESTATE,SCHOOL STREET,HAZEL GROVE,STOCKPORT,SK7 4RA,,,,0,0,0,0,,0
7229023009,CAR PARK,2175,MJC DEVELOPMENTS LTD,01/04/1998,SCHOOL STREET,HAZEL GROVE,STOCKPORT,,,SK7 4RA,UNIT 15A,SCHOOL STREET IND ESTATE,SCHOOL STREET,HAZEL GROVE,STOCKPORT,SK7 4RA,,,,0,0,0,0,,0
1888012009,WAREHOUSE AND PREMISES,120000,TNT EXPRESS (UK) LTD,13/01/1993,UNIT 5,CROMWELL ROAD,BREDBURY,STOCKPORT,,SK6 2RF,FAO RATES MANAGEMENT,LAMBERT SMITH HAMPTON,INTERCHANGE PLACE,EDMUND STREET,BIRMINGHAM,B3 2TA,,,,0,0,0,0,,0
8194017019,WAREHOUSE OFFICES AND PREMISES,16250,PROJECTS LTD,23/02/2001,19 VINE STREET,HAZEL GROVE,STOCKPORT,,,SK7 4JS,19 VINE STREET,HAZEL GROVE,STOCKPORT,,,SK7 4JS,,,,0,0,0,0,,0
7228003029,VEHICLE REPAIR WORKSHOP AND PREMISES,30750,MINIMAX TYRES LTD,12/02/1994,3A SCHOOL LANE,HEATON CHAPEL,STOCKPORT,,,SK4 5HE,SCHOOL LANE,HEATON CHAPEL,STOCKPORT,,,SK4 5HE,,LDS,,0,150.68,0,0,,0
8334006009,WORKSHOP AND PREMISES,11500,GARVAGH LIGHTING LTD,01/01/2001,UNIT 3.1,MEADOW MILL,WATER STREET,PORTWOOD,STOCKPORT,SK1 2BY,UNIT 3.1,MEADOW MILL,WATER STREET,PORTWOOD,STOCKPORT,SK1 2BY,,,,0,0,0,4821.25,,0
5636001009,COMMUNICATION STATION AND PREMISES,12750,EE LIMITED,17/08/1992,ORANGE (GMN0088),LUDLOW TOWERS,MOAT WALK,BRINNINGTON,STOCKPORT,SK5 8JL,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
3817001009,COMMUNICATION STATION AND PREMISES,12750,EE LIMITED,11/09/1997,ORANGE SITE NO GMN 0172 ROOF OF,HALLAM MILL,HALLAM STREET,HEAVILEY,STOCKPORT,SK2 6PT,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
6519000029,COMMUNICATION STATION AND PREMISES,12750,EE LIMITED,14/06/1994,ORANGE SITE GMN 0047 ROOF OF,MATERNITY BLOCK STEPPING HILL HOSPITAL,POPLAR GROVE,STEPPING HILL,STOCKPORT,SK2 7JE,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
3805002029,COMMUNICATION STATION AND PREMISES,4300,EE LIMITED,27/08/1999,ORANGE GMN 7047,HAIGH AVE,STOCKPORT,,,SK4 1NU,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
1008201009,COMMUNICATION STATION AND PREMISES,4800,EE LIMITED,15/11/2000,SITE NO 7053,BUXTON ROAD,HIGH LANE,STOCKPORT,,SK6 8EA,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
4776110009,COMMUNICATION STATION AND PREMISES,7400,EE LIMITED,01/04/2002,SITE GMN0313,CROWN WORKS,KENWOOD ROAD,STOCKPORT,,SK5 6NE,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
8420000009,COMMUNICATION STATION AND PREMISES,8500,EE LIMITED,01/04/2002,SITE GMN 0910 ADJ,TARMAC CENTRAL LTD,WHITEFIELD ROAD,BREDBURY,STOCKPORT,SK6 2QR,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
3837095039,COMMUNICATION STATION AND PREMISES,12250,EE LIMITED,01/04/2004,ORANGE (GMN 0278),STOCKPORT COUNTY FC,HARDCASTLE ROAD,EDGELEY,STOCKPORT,SK3 9DD,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
5105299009,HOSTEL AND PREMISES,18000,MANCHESTER CATHEDRAL,01/04/1992,COUNTRY HOME,299 LONGHURST LANE,MARPLE BRIDGE,STOCKPORT,,SK6 5PP,THE TREASURER,COUNTRY HOME,299 LONGHURST LANE,STOCKPORT,,SK6 5PP,MAN,,,6041.58,0,0,0,,0
0715013029,WORKSHOP OFFICE AND PREMISES,35000,JOHN CARDWELL LTD,01/07/2004,2A-2B,MCKENZIE INDUSTRIAL ESTATE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0SB,2A-2B MACKENZIE IND ESTATE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,,SK3 0SB,,,,0,0,0,0,,0
3816178009,SHOP AND PREMISES,5100,FIBRESCORE LTD,24/05/1993,178 HALL STREET,OFFERTON,STOCKPORT,,,SK1 4JG,178 HALL STREET,OFFERTON,STOCKPORT,,,SK1 4JG,,,,0,0,0,2448,,0
1568009009,WAREHOUSE AND PREMISES,7600,LITTLEWOODS ROOFING SUPPLIES & CONTRACTORS LTD,17/05/1993,CANAL STREET,STOCKPORT,,,,SK1 3BZ,CANAL STREET,STOCKPORT,,,,SK1 3BZ,,,,0,0,0,3648,,0
1006046009,COLLEGE AND PREMISES,170000,CHEADLE & MARPLE SIXTH FORM COLLEGE,01/09/1993,MARPLE SIXTH FORM COLLEGE,BUXTON LANE,MARPLE,STOCKPORT,,SK6 7PA,C/O THE PRINCIPAL,CHEADLE ROAD,CHEADLE HULME,,,SK8 5HA,MAN,,,67048,0,0,0,,0
6075007029,COLLEGE AND PREMISES,280000,CHEADLE & MARPLE SIXTH FORM COLLEGE,01/08/1995,CHEADLE & MARPLE,SIXTH FORM COLLEGE,NORTH DOWNS ROAD,CHEADLE HULME,CHEADLE,SK8 5HA,C/O THE PRINCIPAL,CHEADLE ROAD,CHEADLE HULME,,,SK8 5HA,MAN,,,110432,0,0,0,,0
8491112029,FOOTBALL GROUND AND PREMISES,7000,CHEADLE & MARPLE SIXTH FORM COLLEGE,02/09/2000,RIDGE SPORTS ASSOCIATION,WOOD LANE,MARPLE,STOCKPORT,,SK6 7RE,C/O THE PRINCIPAL,CHEADLE ROAD,CHEADLE HULME,,,SK8 5HA,MAN,,,2760.8,0,0,0,,0
8522013009,SHOP AND PREMISES,5100,BEECHWOOD CANCER CARE CENTRE,28/06/1993,13 WOODLEY PRECINCT,WOODLEY,STOCKPORT,,,SK6 1RJ,BEECHWOOD CANCER CARE,CHELFORD GROVE,ADSWOOD,STOCKPORT,,SK3 8LS,MAN,,,2011.44,0,0,0,,0
1888006009,WAREHOUSE AND PREMISES,23250,GREER ENGINEERING LTD,01/07/1993,12 CROMWELL ROAD,BREDBURY,STOCKPORT,,,SK6 2RF,12 CROMWELL ROAD,BREDBURY,STOCKPORT,,,SK6 2RF,,,,0,0,0,0,,0
7393028009,SHOP AND PREMISES,5600,GAULTERS  LTD,25/08/1993,28 STOCKPORT ROAD,CHEADLE,,,,SK8 2AA,28 STOCKPORT ROAD,CHEADLE,,,,SK8 2AA,,,,0,0,0,2688,,0
7847007009,SHOP AND PREMISES,7900,STERLING QUALITY SERVICES LTD,16/12/1994,7 THE BOULEVARD,CHESTER ROAD,HAZEL GROVE,STOCKPORT,,SK7 5PA,7 THE BOULEVARD,HAZEL GROVE,STOCKPORT,,,SK7 5PA,,,,0,0,0,3792,,0
3989010009,WAREHOUSE OFFICE AND PREMISES,36750,ALLIED ROOFING (NW) LTD,26/11/2002,HIGHER BURY STREET,HEATON NORRIS,STOCKPORT,,,SK4 1BJ,HIGHER BURY STREET,HEATON NORRIS,STOCKPORT,,,SK4 1BJ,,,,0,0,0,0,,0
8359247009,SHOP AND PREMISES,6000,ADVANCED GROUNDWORK SUPPLIES LTD,08/07/1993,247 WELLINGTON ROAD SOUTH,STOCKPORT,,,,SK2 6NG,247 WELLINGTON ROAD SOUTH,STOCKPORT,,,,SK2 6NG,,,,0,0,0,2880,,0
3816217009,SHOP AND PREMISES,8900,BESTWAY PANACEA HOLDINGS LIMITED,01/04/1999,217 HALL STREET,OFFERTON,STOCKPORT,,,SK1 4JG,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR ELEVEN BRINDLEYPLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0,0,0,0,,0
7376051089,SHOP AND PREMISES,25250,CO-OPERATIVE GROUP  LTD,01/04/2000,51-51A STATION ROAD,CHEADLE HULME,CHEADLE,,,SK8 7AA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOORELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0,0,0,0,,0
1805002009,RESTAURANT AND PREMISES,11250,THE ITALIAN LTD,14/11/1993,2B COMPSTALL ROAD,ROMILEY,STOCKPORT,,,SK6 4DS,2B COMPSTALL ROAD,ROMILEY,STOCKPORT,,,SK6 4DS,,,,0,0,0,5400,,0
3194099029,SHOP AND PREMISES,36500,CO-OPERATIVE GROUP LTD,23/12/1994,THE LATE SHOP,FULMAR DRIVE,OFFERTON,STOCKPORT,,SK2 5JL,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL PROPERTY ADVISORS,UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE - BIRMINGHAM,B1 2LP,,,,0,0,0,0,,0
6026000019,WORKSHOPOFFICE AND PREMISES,16500,THE IKON PARTNERSHIP LTD,03/09/2001,UNIT 3,NEW ZEALAND ROAD,STOCKPORT,,,SK1 4AG,UNIT 3,NEW ZEALAND ROAD,STOCKPORT,,,SK1 4AG,,,,0,0,0,0,,0
6032057009,WAREHOUSE OFFICE AND PREMISES,20000,SOUND INTERIORS LTD,20/12/1993,UNIT 4,LEVENS ROAD,NEWBY ROAD,HAZEL GROVE,STOCKPORT,SK7 5DL,UNIT 4,LEVENS ROAD,NEWBY ROAD,HAZEL GROVE,STOCKPORT,SK7 5DL,,,,0,0,0,0,,0
5135025009,OFFICE AND PREMISES,1725,VALE ESTATES (MARPLE BRIDGE) LTD,04/01/1994,25 LOWER FOLD,MARPLE BRIDGE,STOCKPORT,,,SK6 5DU,C/O VALE ESTATE,25 LOWER FOLD,MARPLE BRIDGE,STOCKPORT,,SK6 5DU,,,,0,0,0,828,,0
3805008119,WORKS AND PREMISES,39250,MANCHESTER BRICK & PRECAST LTD T/A MANCHESTER BRICK SERVICES,11/02/1997,HAIGH AVENUE,STOCKPORT,,,,SK4 1NU,FAO RPMS,GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,,,,0,0,0,0,,0
7513045009,RESPITE HOME AND PREMISES,15250,STOCKPORT NHS TRUST,15/01/2003,45 SWANBOURNE GARDENS,EDGELEY,STOCKPORT,,,SK3 9RT,FAO : FINANCE DEPARTMENT,ASPEN HOUSE,STEPPING HILL HOSPITAL,POPLAR GROVE,STOCKPORT,SK2 7JE,,,,0,0,0,0,,0
7395209009,PUBLIC HOUSE AND PREMISES,52000,GREENE KING RETAIL LTD,20/06/1994,FARMERS ARMS 209,STOCKPORT ROAD,CHEADLE HEATH,STOCKPORT,,SK3 0LX,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,,ME19 4DN,,,,0,0,0,0,,0
5075053019,PUBLIC HOUSE AND PREMISES,58750,GREENE KING RETAIL LTD,20/06/1994,THE GOLDEN HIND,LISBURNE LANE,OFFERTON,STOCKPORT,,SK2 5RH,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,,ME19 4DN,,,,0,0,0,0,,0
5098014009,PUBLIC HOUSE AND PREMISES,47250,GREENE KING RETAIL LTD,12/07/2004,THE PHOENIX,LONDON ROAD,HAZEL GROVE,STOCKPORT,,SK7 4AH,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,,ME19 4DN,,,,0,0,0,0,,0
7454166019,PUBLIC HOUSE AND PREMISES,59500,GREENE KING RETAIL LTD,01/11/2004,ROMILEY ARMS,STOCKPORT ROAD,ROMILEY,STOCKPORT,,SK6 4BN,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,,ME19 4DN,,,,0,0,0,0,,0
3112068009,HAIRDRESSING SALON AND PREMISES,3750,FOUNTAIN OF BEAUTY LTD,08/06/1994,68 FOUNTAINS ROAD,BRAMHALL,STOCKPORT,,,SK8 7PY,68 FOUNTAINS ROAD,CHEADLE HULME,CHEADLE,,,SK8 7PY,,,,0,0,0,1800,,0
3500327539,WORKSHOP OFFICE AND PREMISES,6800,GOULSON FURNISHING FITTERS LTD,04/01/1999,16 VAUXHALL WORKS,GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7BR,UNIT 16,VAUXHALL WORKS,GREG STREET,SOUTH REDDISH,STOCKPORT,SK5 7BR,,,,0,0,0,3264,,0
3935182009,SHOP AND PREMISES,5900,JOHN LESLIE MELLOR ESTATE AGENTS LTD,18/02/1994,182 HEATON MOOR ROAD,STOCKPORT,,,,SK4 4DU,182 HEATON MOOR ROAD,STOCKPORT,,,,SK4 4DU,,,,0,0,0,2832,,0
7479823059,WORKSHOP AND PREMISES,14250,GEAR SERVICES (STOCKPROT) LTD,13/06/1994,UNIT 11A,CROSLAND INDUSTRIAL  ESTATE,STOCKPORT ROAD,BREDBURY,STOCKPORT,SK6 2BR,UNIT 11A,CROSLAND INDUSTRIAL  ESTATE,STOCKPORT ROAD,BREDBURY,STOCKPORT,SK6 2BR,,,,0,0,0,0,,0
6895011009,SHOP AND PREMISES,10000,CARDS & TOYS (ROMILEY ) LTD,25/09/1994,11 ROMILEY PRECINCT,ROMILEY,STOCKPORT,,,SK6 4EA,11 ROMILEY PRECINCT,ROMILEY,STOCKPORT,,,SK6 4EA,,,,0,0,0,4591.67,,0
0907189019,COMMUNITY CENTRE AND PREMISES,3350,HEATON CHAPEL COMMUNITY CENTRE ASSOCIATION,01/04/1994,COMMUNITY CENTRE,BROADSTONE HALL ROAD SOUTH,REDDISH,STOCKPORT,,SK4 5JD,COMMUNITY CENTRE,BROADSTONE HALL ROAD SOUTH,REDDISH,STOCKPORT,,SK4 5JD,MAN,,,1321.24,0,0,0,,0
5468003009,GARDEN CENTRE AND PREMISES,60500,LINTEN GARDEN PRODUCTS LTD T/A GOLDEN DAYS GARDEN CENTRE,01/04/1993,MANCHESTER ROAD,CHEADLE,,,,SK8 2NP,GOLDEN DAYS,BACK LANE,APPLEY BRIDGE,WIGAN,,WN6 4NS,,,,0,0,0,0,,0
7435014019,WORKSHOP AND PREMISES,13750,STOCKPORT CUTTING FORMES LTD,28/03/2000,UNITS 14-15,HILLGATE BUSINESS CENTRE,SWALLOW STREET,HIGHER HILLGATE,STOCKPORT,SK1 3AU,UNITS 14-15,HILLGATE BUSINESS CENTRE,SWALLOW STREET,HIGHER HILLGATE,STOCKPORT,SK1 3AU,,,,0,0,0,2749.36,,0
5469391009,SHOP AND PREMISES,5000,INNERFORM LTD,29/11/1999,391 MANCHESTER ROAD,STOCKPORT,,,,SK4 5BY,391 MANCHESTER ROAD,STOCKPORT,,,,SK4 5BY,,,,0,0,0,2400,,0
3496017009,OFFICES AND PREMISES,4500,B K F CAREFORM LTD,09/12/1994,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,,,,0,0,0,2160,,0
8359309489,CAR PARKING SPACE,450,VITALITY CORPORATE SERVICES LTD,01/04/2000,CAR SPACE 0,ST CHRISTOPHER HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,SK2 6ND,PRUHEALTH,MANAGEMENT EXPENSES,MARSHALL POINT,4 RICHMOND GARDENS,BOURNEMOUTH,BH1 1JD,,,,0,0,0,0,,0
8359309609,CAR PARKING SPACES(3),1350,VITALITY CORPORATE SERVICES LTD,01/04/2000,CAR SPACES 84-86,ST CHRISTOPHER HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,SK2 6ND,PRUHEALTH,MANAGEMENT EXPENSES,MARSHALL POINT,4 RICHMOND GARDENS,BOURNEMOUTH,BH1 1JD,,,,0,0,0,0,,0
8359309469,OFFICES AND PREMISES,121000,VITALITY CORPORATE SERVICES LTD,01/04/2000,7TH & 8TH FLOORS ST CHRISTOPHER HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,PRUHEALTH,MANAGEMENT EXPENSES,MARSHALL POINT,4 RICHMOND GARDENS,BOURNEMOUTH,BH1 1JD,,,,0,0,0,0,,0
0715014009,CONCRETE BATCHING PLANT AND PREMISES,25250,HANSON QUARRY PRODUCTS EUROPE LTD,01/12/1994,ADJ 1,MCKENZIE INDUSTRIAL  ESTATE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0SB,CASHIERS RATES,HASNSON AGGREGATES,UK BUS SUPPORT CENTRE,THE RIDGE,CHIPPING SODBURY,BS37 7UU,,,,0,0,0,0,,0
7940010029,SHOP AND PREMISES,8600,GASCOIGNE HALMAN LTD,19/01/1995,10 TOWN STREET,MARPLE BRIDGE,STOCKPORT,,,SK6 5AA,91 HIGH STREET,CHEADLE,,,,SK8 1AA,,,,0,0,0,0,,0
0013009009,OFFICES AND PREMISES,20500,GASCOIGNE HALMAN LTD,11/02/1995,9 ACK LANE EAST,BRAMHALL,STOCKPORT,,,SK7 2BE,91 HIGH STREET,CHEADLE,,,,SK8 1AA,,,,0,0,0,0,,0
8338001049,COMMUNICATION STATION AND PREMISES,24500,ARQIVA LTD,01/10/2000,NTL SITE 10358,WATERMEETINGS LANE,ROMILEY,STOCKPORT,,SK6 4HJ,C/O GVA GRIMLEY LTD,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
0688020009,SHOP AND PREMISES,4700,MARTINS CRAFT BAKERY LIMITED,29/11/1994,20 BERRYCROFT LANE,ROMILEY,STOCKPORT,,,SK6 3AU,INTERNATIONAL HOUSE,30 HOLY OAK STREET,NEWTON HEATH,MANCHESTER,,M41 1HB,,,,0,0,0,0,,0
1008051019,PHARMACY AND PREMISES,29250,PCT HEALTHCARE LTD,06/03/2000,THE VILLAGE GREEN PHARMACY,ADJ MEDICAL CENTRE,BUXTON ROAD,HIGH LANE,STOCKPORT,SK6 8DR,11 MANCHESTER ROAD,WALKDEN,MANCHESTER,,,M28 3NS,,,,0,0,0,0,,0
7479072029,WORKSHOP AND PREMISES,2900,TAPELINE LTD,15/02/1999,ADJ 72A,STOCKPORT ROAD,BREDBURY,STOCKPORT,,SK6 1AL,72A STOCKPORT ROAD EAST,BREDBURY,STOCKPORT,,,SK6 1AL,,,,0,0,0,1392,,0
1805076009,SHOP AND PREMISES,4700,DISTANTREACH LTD T/A INTERNATIONAL KEY HOLIDAYS,01/04/1995,76 COMPSTALL ROAD,ROMILEY,STOCKPORT,,,SK6 4DE,76 COMPSTALL ROAD,ROMILEY,STOCKPORT,,,SK6 4DE,,,,0,0,0,2256,,0
7394301009,SURGERY AND PREMISES,10000,ROSEHILL DENTAL PRACTICE LTD,01/04/1995,301 STOCKPORT ROAD,MARPLE,STOCKPORT,,,SK6 6ES,301 STOCKPORT ROAD,MARPLE,STOCKPORT,,,SK6 6ES,,,,0,0,0,4800,,0
6828061019,LEISURE CENTRE AND PREMISES,42000,B H SPORTS MANAGEMENT LTD,06/08/2004,N W REGIONAL BASKETBALL CENTRE,REDDISH VALE SPORTS CENTRE,REDDISH VALE ROAD,REDDISH VALE,STOCKPORT,SK5 7HD,PO BOX 664,STOCKPORT,,,,SK5 7WG,,LDS,,0,252.47,0,0,,0
3935032009,HEALTH CENTRE AND PREMISES,122000,DR A D SHEPHERD & PARTNERS,30/09/1994,HEATON MOOR MEDICAL CENTRE,32 HEATON MOOR ROAD,STOCKPORT,,,SK4 4NX,HEATON MOOR MEDICAL CENTRE,32 HEATON MOOR ROAD,STOCKPORT,,,SK4 4NX,,LDS,,0,1726.04,0,0,,0
4159000009,WORKSHOP AND PREMISES,9600,DOORSERVE LTD T/A CARRINGTON DOOR ENGINEERING,03/06/2004,HORTON STREET,OFF HIGHER HILLGATE,STOCKPORT,,,SK1 3LR,HORTON STREET,OFF HIGHER HILLGATE,STOCKPORT,,,SK1 3LR,,,,0,0,0,4608,,0
7525001009,CAR SHOWROOM AND PREMISES,199000,PENDRAGON PLC T/A EVANS HALSHAW,04/05/1995,1 ST MARYS WAY,STOCKPORT,,,,SK1 4AP,1 ST MARYS WAY,STOCKPORT,,,,SK1 4AP,,,,0,0,0,0,,0
0826042009,SHOP AND PREMISES,12000,GRAPHICTRAIL LTD,01/11/2001,42 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,,SK7 1AH,8 FIR ROAD,BRAMHALL,STOCKPORT,,,SK7 2NP,,,,0,0,0,0,,0
3146008009,SHOP AND PREMISES,11250,GRAPHICTRAIL LTD,01/11/2001,8 FIR ROAD,BRAMHALL,STOCKPORT,,,SK7 2NP,8 FIR ROAD,BRAMHALL,STOCKPORT,,,SK7 2NP,,,,0,0,0,0,,0
7192038019,SHOP AND PREMISES,11750,MARIE CURIE CANCER CARE,01/04/1995,38A ST PETERSGATE,STOCKPORT,,,,SK1 1HL,FAO PROPERTY DEPT,89 ALBERT EMBANKMENT,VAUXHALL,LONDON,,SE1 7TP,MAN,,,4634.2,0,0,0,,0
4672001009,WORKSHOP OFFICE AND PREMISES,9600,MARIE CURIE CANCER CARE,23/04/2001,UNIT 1,JONES COURT,JONES SQUARE,STOCKPORT,,SK1 4LJ,FAO PROPERTY DEPT,89 ALBERT EMBANKMENT,VAUXHALL,LONDON,,SE1 7TP,MAN,,,3786.24,0,0,0,,0
0176000009,CAR WASH AND PREMISES,17500,ANDUFF CAR WASH LTD T/A IMO,16/03/1995,CAR WASH AND PREMISES,ASHTON ROAD,BREDBURY,STOCKPORT,,SK6 2QN,35-37  AMERSHAM HILL,HIGH WYCOMBE,BUCKS,,,HP13 6NU,,,,0,0,0,0,,0
4796166019,CAR WASH AND PREMISES,16250,ANDUFF CAR WASH LTD T/A IMO,10/07/1996,CAR WASH CENTRE,KING STREET WEST,STOCKPORT,,,SK3 0DT,35-37  AMERSHAM HILL,HIGH WYCOMBE,BUCKS,,,HP13 6NU,,,,0,0,0,0,,0
1734001039,BETTING SHOP AND PREMISES,16750,LADBROKES BETTING & GAMING LTD,01/04/1995,UNIT 1,AT LADBROKE HOUSE,1 CHURCH ROAD,GATLEY,CHEADLE,SK8 4NG,C/O MONTAGU EVANS LLP,2ND FLOOR,ABBEY HOUSE,74 MOSLEY STREET,MANCHESTER,M2 3LW,,,,0,0,0,0,,0
7884014009,SHOP AND PREMISES,10750,CO-OP TRAVEL LTD,12/08/1995,14 THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,THOMAS COOK,WESTPOINT,PETERBOROUGH BUSINESS PARK,LYNCH WOOD,PETERBOROUGH,PE2 6FZ,,,,0,0,0,0,,0
1888017039,WAREHOUSE OFFICE AND PREMISES,23750,CREATIVE IDEAS IN PRINT LTD,29/09/1995,UNIT 3,CROMWELL TRADING ESTATE,CROMWELL ROAD,BREDBURY,STOCKPORT,SK6 2RF,UNIT 3,CROMWELL TRADING ESTATE,CROMWELL ROAD,BREDBURY,STOCKPORT,SK6 2RF,,,,0,0,0,0,,0
3816213009,SHOP AND PREMISES,4850,NORTH WEST ESTATE AGENTS LTD,17/10/1995,213 HALL STREET,OFFERTON,STOCKPORT,,,SK1 4JG,C/O REED RAINS,CHORLEY WEST BUSINESS PARK,ACKHURST ROAD,CHORLEY,LANCASHIRE,PR7 1NL,,,,0,0,0,0,,0
6826420009,SHOP AND PREMISES,6400,NORTH WEST ESTATE AGENTS LTD,17/10/1995,420 REDDISH ROAD,REDDISH,STOCKPORT,,,SK5 7AA,C/O REED RAINS,CHORLEY WEST BUSINESS PARK,ACKHURST ROAD,CHORLEY,LANCASHIRE,PR7 1NL,,,,0,0,0,0,,0
