OrganisationLabel,OrganisationURI,Account Name 1,Account Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Property Postcode,BA Reference,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Account Postcode,Liability Start,Empty Prop,Empty From,Account Exemption,Property Exemption,2010 RV,2005 RV,VOA Description,Rv Chargeable,Charge 2015/16,MIN Date From   Sbrr,MAX Date To   Sbrr,Sbrr Relief,Lower Multiplier,Trans Relief,Charity Relief From,Mandatory,Mand Relief,Discretionary,Disc Relief,Retail Relief,ReOccupation Relief
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,"PUBLIC AREA, ST JOHNS SQUARE",GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XU,27490000101,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,15/03/2014,Y,01/04/2014,,Land,7300,,PITCH FOR STALL AND PREMISES,3598,£0.00,,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MAX SPIELMANN LTD,,,,10 ST JOHNS SQUARE,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XU,27490001001,TIMPSON LTD,"TIMPSON HOUSE, CLAVERTON ROAD",WYTHENSHAWE,MANCHESTER,M23 9TT,19/12/2008,,,,,42500,41750,SHOP AND PREMISES,20952,"£20,952.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NERO HOLDINGS LIMITED,,,,9-11 ST JOHNS SQUARE,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XU,000260800044A1,SECOND FLOOR,3 NEAL STREET,LONDON,,WC2H 9PU,06/11/2007,,,,,52000,57500,SHOP AND PREMISES,25636,"£25,636.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PHONES 4 U LTD IN ADMIN,,,,4 ST JOHNS SQUARE,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XU,27490000403,AUDIT DEPT,PO BOX 29416,GLASGOW,,G67 1XU,15/09/2014,Y,15/09/2014,AD,,42250,40000,SHOP AND PREMISES,11325,£0.00,,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GREGGS PLC,ACCOUNTING SHARED SERVICES,,,42 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080004202,BALLIOL BUSINESS PARK,BENTON LANE,LONGBENTON,NEWCASTLE UPON TYNE,NE12 8EW,07/10/2009,,,,,46250,47000,SHOP AND PREMISES,22801,"£22,801.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,W H SMITH,C/O G L HEARN MANAGEMENT LTD,,,WH SMITH AT 37 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800037B4,PO BOX 1610,SOUTHAMPTON,,,SO15 3WX,14/08/2006,,,,,169000,154000,SHOP AND PREMISES,83317,"£83,317.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CANCER RESEARCH UK,C/O RATE ACCOUNT MANAGEMENT,,,21 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,0002608000210A,COLLIERS INT PROP ADVISORS UK LLP,"12TH FLOOR, ELEVEN BRINDLEY PLACE",2 BRUNSWICK SQUARE BRINDLEYPLACE,BIRMINGHAM,B1 2LP,04/06/2015,,,,,53500,62500,SHOP AND PREMISES,21763,£0.00,,,,,,04/06/2015,80%,,20%,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HOLLAND & BARRETT RETAIL LTD,FINANCE DEPARTMENT,,,6 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080000602,VITALITY HOUSE,SIXTH AVENUE,CENTRUM 100,BURTON ON TRENT STAFFORDSHIRE,DE14 2WP,01/04/2000,,,,,31500,37000,SHOP AND PREMISES,15529,"£14,029.50",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRRAL METROPOLITAN COLLEGE,FINANCE DEPT,,,41-41A BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080004105,WIRRAL BUSINESS & MANAGEMENT CENTRE,10 EUROPA BOULEVARD ,BIRKENHEAD,,CH41 4NT,05/11/2009,,,,,55000,46000,SHOP AND PREMISES,27115,"£5,423.00",,,£0.00,,£0.00,05/11/2009,80%,"-£21,208.00",0%,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ALBERMARLE & BOND HOLDINGS LTD,IN LIQUIDATION,,,22 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080002203,C/O PRICEWATERHOUSECOOPERS LLP,7 MORE LONDON RIVERSIDE,LONDON,,SE1 2RT,25/12/2014,Y,01/04/2015,Liquidator,,40000,46750,SHOP AND PREMISES,5280,£0.00,,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARVEY & THOMPSON PAWNBROKERS,LIMITED,,,26 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800026A2,7 TH FLOOR,TIMES HOUSE THROWLEY WAY,SUTTON,SURREY,SM1 4AF,03/12/2007,,,,,43250,50000,SHOP AND PREMISES,21322,"£21,322.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SPECSAVERS OPTICAL SUPERSTORES,LIMITED,,,29 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800029A3,C/O R2G LIMITED,UNIT 8 THAME PARK BUSINESS CENTRE,WENMAN ROAD,"THAME, OXON",OX9 3XA,01/04/2004,,,,,61500,71500,SHOP AND PREMISES,30319,"£30,319.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JENTON SOLUTIONS LTD,T/A CEX,,,31 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080003102,18 ROWBANK WAY,LOUGHBOROUGH,LEICESTERSHIRE,,LE11 4AJ,01/04/2011,,,,,54500,63500,SHOP AND PREMISES,26868,"£26,868.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SPORTSWIFT LTD,T/A THE CARD FACTORY,,,25 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080002504,CENTURY HOUSE,BRUNEL ROAD,WAKEFIELD 41 IND. ESTATE,WAKEFIELD,WF2 0XG,18/07/2011,,,,,58500,68000,SHOP AND PREMISES,28840,"£28,840.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE TOWEL RAIL LTD,T/A THE YORKSHIRE LINEN CO,,,27 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080002701,HORNBEAM PARK OVAL,HORNBEAM PARK,HARROGATE,NORTH YORKSHIRE,HG2 8RB,04/07/2011,,,,,60000,69500,SHOP AND PREMISES,29580,"£29,580.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,A LEVY & SON LTD,,,,40 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080004001,UNIT 13 UPLANDS BUSINESS PARK,BLACKHORSE LANE,WALTHAMSTOW,LONDON,E17 5QN,29/06/2009,,,,,100000,107000,SHOP AND PREMISES,49300,"£49,300.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BLACKS OUTDOOR RETAIL,,,,32-34 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080003206,FAO MR ALEX HOWARD,HOLLINSBROOK WAY,PILSWORTH,BURY,BL9 8RR,10/01/2012,,,,,91500,97500,SHOP AND PREMISES,45109,"£45,109.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DEE AND DEE COMPANY LTD,,,,19 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080001906,PADDOCK BUSINESS CENTRE,2 PADDOCK ROAD,WEST PIMBO,SKELMERSDALE,WN8 9PL,19/01/2015,,,,,53500,63000,SHOP AND PREMISES,26375,"£26,375.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DEICHMANN-SHOES UK LTD,,,,18-20 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080001802,THE LAURELS,18 MAIN STREET,LUBENHAM,MARKET HARBOROUGH LEICS,LE16 9TF,06/12/2006,,,,,75000,79000,SHOP AND PREMISES,36975,"£36,975.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GRAINGER GAMES LTD,,,,16 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080001605,UNIT 4 NORTH TYNE INDUSTRIAL ESTATE,LONGBENTON,NEWCASTLE,,NE12 9SZ,11/08/2011,,,,,35750,41750,SHOP AND PREMISES,17624,"£16,124.75",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LEWIS HOME RETAIL LTD,,,,33-35 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,0002608000330A,HUGHES HOUSE,LONDON ROAD,LIVERPOOL,,L3 8JA,24/10/2012,,,,,300000,265000,SHOP AND PREMISES,147900,"£147,900.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,,,TSB 1 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080000104,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS,01/04/2000,,,,,46000,46000,BANK AND PREMISES,22678,"£22,678.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,,,STORE ABOVE 1 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800001A9,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS,20/05/2004,Y,20/05/2004,,Industrial Premises,2850,3150,STORE AND PREMISES,1405,"£1,405.05",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LONGTON HALL FARM LTD,,,,14 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080001408,CHAPEL LANE,LONGTON,ORESTON,LANCS,PR4 5EB,08/01/2009,,,,,36000,42000,SHOP AND PREMISES,17748,"£16,248.00",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,M S MILTON LTD,,,,36 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,WIRRAL,CH41 2XX,0002608000360B,,,,,,08/06/2015,,,,,69500,74500,SHOP AND PREMISES,20689,"£20,689.16",,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARKS & SPENCER PLC,,,,39 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080003901,"BUSINESS RATES, ALEXANDRA COURT",200-220 THE QUAYS,SALFORD,,M50 3SP,01/04/2000,,,,,487500,442500,SHOP AND PREMISES,240337,"£240,337.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,MANAGEMENT OFF 30 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080003009,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,22/12/2011,Y,22/12/2011,,,4000,3100,OFFICES AND PREMISES,1972,"£1,972.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,30 BOROUGH PAVEMENT (SECURITY),GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800030A3,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,22/12/2011,,,,,620,690,STORE AND PREMISES,297,£297.60,,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,12 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,0002608000120B,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,07/11/2011,Y,16/06/2014,,,36500,42500,SHOP AND PREMISES,17994,"£17,994.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,2 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080000208,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,17/02/2015,Y,01/04/2015,,,35750,37750,SHOP AND PREMISES,15409,"£15,409.62",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,3-5 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800003A6,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,01/10/2013,Y,01/10/2013,,,21750,22750,SHOP AND PREMISES,10722,"£10,722.75",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,11B BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,2.61E+16,C/O JLL,LASALLE ACCOUNTS PAYABLE,PO BOX 3515,NORWICH,NR7 7QX,01/10/2015,Y,01/10/2015,,,10000,11750,SHOP AND PREMISES,1225,"£1,225.77",,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,8-10 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800008A5,C/O JLL,LASALLE ACCOUNTS PAYABLE,PO BOX 3515,NORWICH,NR7 7QX,01/01/2016,Y,01/01/2016,,,61000,73000,SHOP AND PREMISES,7477,£0.00,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,POUNDLAND LTD,,,,PEACOCKS AT 37 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800037A8,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,26/06/2012,,,,,183000,180000,SHOP AND PREMISES,90219,"£90,219.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,POUNDWORLD RETAIL LIMITED,,,,13-17 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080001304,"AXIS, 62 FOXBRIDGE WAY",NORMANTON INDUSTRIAL ESTATE,NORMANTON,WEST YORKSHIRE,WF6 1TN,08/01/2007,,,,,111000,129000,SHOP AND PREMISES,54723,"£54,723.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SAYERS THE BAKERS LIMITED,,,,24 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,0002608000240B,SIDNEY STREET,BOLTON,LANCS,,BL3 6BG,09/06/2008,,,,,39000,45500,SHOP AND PREMISES,19227,"£17,727.00",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SCOPE UK,,,,4 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080000405,ACCOUNTS PAYABLE,6 MARKET ROAD,LONDON,,N7 9PW,01/04/2000,,,,,30750,36500,SHOP AND PREMISES,15159,£0.00,,,£0.00,,£0.00,01/04/2000,80%,"-£11,857.20",20%,"-£2,964.30",,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SHOE ZONE LTD,,,,23 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800023A1,HARAMEAD BUSINESS CENTRE HUMBERSTO,LEICESTER,,,LE1 2LH,20/10/2006,,,,,52000,61000,SHOP AND PREMISES,25636,"£25,636.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SPORTSDIRECT.COM RETAIL LTD,,,,37 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080003704,C/O GL HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,20/01/2006,,,,,169000,428500,SHOP AND PREMISES,83317,"£83,317.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TFS STORES LTD,,,,"FRAGRANCE SHOP, 37 BOROUGH PAVEMENT",GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,000260800037C7,CHURCHILL POINT,LAKE EDGE GREEN,TRAFFORD PARK ROAD,MANCHESTER,M17 1BL,01/04/2009,,,,,31250,30750,SHOP AND PREMISES,15406,"£13,906.25",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THORNTONS PLC,,,,38 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080003808,THORNTON PARK,SOMERCOTES,ALFRETON,DERBYSHIRE,DE55 4XJ,01/04/2000,,,,,50500,54000,SHOP AND PREMISES,24896,"£24,896.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WARREN JAMES (JEWELLERS) LTD,,,,28 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,26080002805,12 GREGORY WAY,REDDISH,STOCKPORT,,SK5 7ST,01/03/2002,,,,,38250,44500,SHOP AND PREMISES,18857,"£17,357.25",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IT NETWORK SOLUTIONS LTD,T/A POWERPLAY GAMES,,,11 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A0011A2,,,,,,01/11/2011,,,,,20500,24750,SHOP AND PREMISES,10106,"£8,606.50",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ARGOS LTD,,,,1 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A000105,NMP TEAM,PO BOX 954,MILTON KEYNES,,MK9 2ZQ,01/04/2004,,,,,257500,259500,SHOP AND PREMISES,126947,"£126,947.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BRITISH HEART FOUNDATION,,,,14 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A001409,CROWN HOUSE,CHURCH ROAD,CLAYGATE,ESHER SURREY,KT10 0BF,01/04/2000,,,,,17000,19250,SHOP AND PREMISES,8381,£0.00,,,£0.00,,£0.00,01/04/2000,80%,"-£6,555.20",20%,"-£1,638.80",,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CASH CONVERTERS UK LTD,,,,27 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A002702,C/O BNP PARIBAS REAL ESTATE,ATTN RATING SUPPORT UNIT,9 COLMORE ROW,BIRMINGHAM,B3 2BJ,01/09/2010,,,,,25750,29250,SHOP AND PREMISES,12694,"£12,694.75",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CASH GENERATOR LTD,,,,8 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A00080B,AXCESS EUROPE,RATHO PARK,"3 STATION ROAD, NEWBRIDGE",WEST EDINBURGH,EH28 8QQ,08/08/2011,,,,,27750,31500,SHOP AND PREMISES,13680,"£13,680.75",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CLYDESDALE BANK PLC,,,,2 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A000209,"C/O DTZ, NATIONAL RATING TEAM",ST PAULS HOUSE,23 PARK SQUARE SOUTH,LEEDS,LS1 2ND,01/04/2000,,,,,38500,43500,BANK AND PREMISES,18980,"£18,980.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DONE BROTHERS CASH BETTING LTD,,,,10 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A001004,THE SPECTRUM ARENA 56-58,BENSON ROAD,BIRCHWOOD,WARRINGTON CHESHIRE,WA3 7PQ,06/10/2004,,,,,26250,29500,SHOP AND PREMISES,12941,"£12,941.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FIRST CHOICE IMPORTS LTD,,,,28 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A002806,41 CHESTER STREET,FLINT,CLWYD,,CH6 5BL,02/10/2015,,,,,47750,54000,SHOP AND PREMISES,11706,"£10,960.16",,,,,,,,,,,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HERON FOODS LTD,,,,20-24 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A002007,JACKSON WAY,MELTON,EAST YORKSHIRE,,HU14 3HJ,30/09/2012,,,,,51500,58000,SHOP AND PREMISES,25389,"£25,389.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,L ROWLAND & CO (RETAIL) LTD,,,,9 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A0009A4,RIVINGTON ROAD,WHITEHOUSE IND ESTATE,RUNCORN,CHESHIRE,WA7 3DJ,15/08/2005,,,,,25250,29750,SHOP AND PREMISES,12448,"£12,448.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LIVNSTYLE BIRKENHEAD LTD,,,,17-21 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A00170A,,,,,,06/07/2015,,,,,45000,51000,SHOP AND PREMISES,16365,"£7,076.43",,,,,,,,,,,RTL,"-£8,182.99"
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,16 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A001606,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,01/01/2015,Y,01/01/2015,,,16500,18750,SHOP AND PREMISES,8134,"£8,134.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,,,23 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,0002740A002308,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX,10/03/2014,,,,,17000,19250,SHOP AND PREMISES,7736,"£7,736.39",,,£0.00,,£0.00,,,£0.00,,£0.00,,
