Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
Ministry of Justice,NOMS,5/18/2011,Contracted-out Resettlement Services,NOMS CFO,A4E CONSULTING LTD,3993887,"115,896.32"
Ministry of Justice,NOMS,12/5/2011,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,4001980,"115,358.40"
Ministry of Justice,NOMS,5/26/2011,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4020954,"114,972.00"
Ministry of Justice,NOMS,5/16/2011,Other - Acquisitions,Coldingley,HEIDELBERG GRAPHIC EQUIPMENT LTD,3959907,"114,000.00"
Ministry of Justice,NOMS,5/23/2011,Contracted-out Resettlement Services,NOMS CFO,WEST YORKSHIRE PROBATION TRUST,4018143,"112,639.10"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,4000419,"112,507.50"
Ministry of Justice,NOMS,3/5/2011,General Maintenance Materials,Stoke Heath,TARMAC LTD,3968378,"110,260.52"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Leyhill,ENGINEERING SERVICES (SOUTH WEST) LTD,3951187,"109,864.80"
Ministry of Justice,NOMS,10/5/2011,"New structural works, structural maintenance and equipment",TSS - South Central,HUFFEY GROUP LTD,4000671,"109,366.03"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Resettlement Services,NOMS CFO,PERTEMPS PEOPLE DEVELOPMENT GROUP,3996487,"106,976.49"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Resettlement Services,Newday ESF,SOVA,4015277,"103,602.00"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Other Services,Gartree,COFATHEC ENERGY PFI LTD,4003826,"101,298.23"
Ministry of Justice,NOMS,11/5/2011,WIP - Acquisitions,Estates Capacity,CARILLION JM LIMITED,4000722,"98,242.06"
Ministry of Justice,NOMS,12/5/2011,Resource Grants / Grant-in-Aid,ROM - Yorkshire & Humberside,TOGETHER WOMEN PROJECTS (YORKSHIRE AND HUMBERSIDE),4004824,"97,500.00"
Ministry of Justice,NOMS,5/26/2011,WIP - Acquisitions,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,4022181,"96,805.15"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Building Maintenance,Isis,CARILLION SERVICES 2006 LTD,3995673,"95,186.92"
Ministry of Justice,NOMS,5/17/2011,VISA Costs,MOJ Shared Services NOMS Delivery,COMPANY BARCLAYCARD,3960480,"94,497.41"
Ministry of Justice,NOMS,5/31/2011,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,4024365,"92,994.20"
Ministry of Justice,NOMS,5/17/2011,WIP - Acquisitions,Estates Capacity,INTERSERVE PROJECT SERVICES LTD,4010287,"91,501.79"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Thames Valley Probation Trust,THAMES VALLEY PROBATION TRUST,4002829,"90,200.45"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,GREENWICH COUNCIL,3958300,"90,147.00"
Ministry of Justice,NOMS,5/25/2011,Rates and Ground Rents,Estates Capacity,CHORLEY BOROUGH COUNCIL,4021516,"89,725.00"
Ministry of Justice,NOMS,10/5/2011,Inter-Unit Charge (IUC),Highpoint,HP ENTERPRISE SERVICES UK LTD,3985405,"89,538.71"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Probation Trusts,Hampshire Probation Trust,HAMPSHIRE PROBATION TRUST,4001555,"88,083.33"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Leyhill,ENGINEERING SERVICES (SOUTH WEST) LTD,3999136,"87,891.84"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Resettlement Services,NOMS CFO,LEICESTERSHIRE&RUTLAND PROBATION TRUST,4002002,"87,697.20"
Ministry of Justice,NOMS,5/24/2011,Travel - Non-Taxable,HOPS Payroll Charge,CARLSON WAGONLIT TRAVEL,4018917,"86,274.77"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Other Services,New Hall,COFATHEC ENERGY PFI LTD,3968904,"85,605.32"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,3999505,"84,332.40"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Resettlement Services,NOMS CFO,PERTEMPS PEOPLE DEVELOPMENT GROUP,3996482,"82,917.65"
Ministry of Justice,NOMS,11/5/2011,Professional Advice,Procurement Group,SIMMONS & SIMMONS,4000030,"82,312.35"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Other Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3993829,"82,110.83"
Ministry of Justice,NOMS,4/5/2011,VISA Costs,MOJ Shared Services NOMS Delivery,ARVAL UK LTD,3992590,"80,364.00"
Ministry of Justice,NOMS,5/19/2011,Training and Further Education Courses,Learning and Development Group,DE MONTFORT UNIVERSITY HIGHER EDUCATION CORPORATION,4007354,"78,855.00"
Ministry of Justice,NOMS,9/5/2011,Contract IT Maintenance,Procurement Group,HP ENTERPRISE SERVICES UK LTD,3994513,"77,921.70"
Ministry of Justice,NOMS,5/24/2011,Electricity,Wymott,EDF ENERGY,4019026,"77,604.62"
Ministry of Justice,NOMS,5/5/2011,Contract IT Maintenance,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,3995538,"77,580.00"
Ministry of Justice,NOMS,5/31/2011,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,4024368,"76,749.84"
Ministry of Justice,NOMS,5/25/2011,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4020215,"76,663.10"
Ministry of Justice,NOMS,5/26/2011,Subsistence,HOPS Payroll Charge,CALDER CONFERENCE,4022423,"76,269.58"
Ministry of Justice,NOMS,5/17/2011,Travel - Non-Taxable,HOPS Payroll Charge,CARLSON WAGONLIT TRAVEL,4010628,"75,988.80"
Ministry of Justice,NOMS,5/31/2011,WIP - Acquisitions,Estates Capacity,INTERSERVE PROJECT SERVICES LTD,4001295,"75,330.84"
Ministry of Justice,NOMS,4/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,3975455,"75,169.41"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,4000418,"75,169.41"
Ministry of Justice,NOMS,6/5/2011,Clothing,Offender Employment Skills & Services Group,JIANGSU SAINTY CORP LTD,3990628,"74,784.00"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Frankland,HUFFEY GROUP LTD,3958562,"74,752.20"
Ministry of Justice,NOMS,4/5/2011,Clothing,Offender Employment Skills & Services Group,JIANGSU SAINTY CORP LTD,3990625,"74,511.36"
Ministry of Justice,NOMS,5/18/2011,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,4006160,"74,490.00"
Ministry of Justice,NOMS,3/5/2011,WIP - Professional Fees,Estates Capacity,SCOTT WILSON  LTD,3988302,"74,406.50"
Ministry of Justice,NOMS,5/25/2011,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4019487,"74,174.10"
Ministry of Justice,NOMS,5/13/2011,Consultancy,Estates Capacity,RIDER LEVETT BUCKNALL UK LTD,3998083,"73,693.85"
Ministry of Justice,NOMS,5/18/2011,Rates and Ground Rents,Estates Capacity,NEWARK & SHERWOOD DISTRICT COUNCIL,4013166,"73,417.70"
Ministry of Justice,NOMS,3/5/2011,Clothing,Offender Employment Skills & Services Group,JIANGSU SAINTY CORP LTD,3990629,"73,406.25"
Ministry of Justice,NOMS,5/20/2011,Gas,Preston,COFATHEC ENERGY PFI LTD,3969914,"73,211.84"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Resettlement Services,NOMS CFO,MERSEYSIDE PROBATION TRUST,3981600,"72,857.28"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Resettlement Services,NOMS CFO,MERSEYSIDE PROBATION TRUST,4007341,"72,857.28"
Ministry of Justice,NOMS,4/5/2011,Travel - Non-Taxable,HOPS Payroll Charge,CARLSON WAGONLIT TRAVEL,3970504,"72,564.75"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Other Services,Dartmoor,COFATHEC ENERGY SERVICES UK LTD,4008705,"70,336.96"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Library,Liverpool,LIVERPOOL CITY COUNCIL,3943271,"69,823.65"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Other Services,Gartree,COFATHEC ENERGY PFI LTD,4003830,"69,374.14"
Ministry of Justice,NOMS,5/25/2011,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4019484,"69,334.70"
Ministry of Justice,NOMS,4/5/2011,VISA Costs,MOJ Shared Services NOMS Delivery,ARVAL UK LTD,3992592,"68,636.02"
Ministry of Justice,NOMS,4/5/2011,Travel - Non-Taxable,HOPS Payroll Charge,CARLSON WAGONLIT TRAVEL,3960511,"68,392.23"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Catering Services,Estates Capacity,HOME OFFICE,4014465,"67,676.85"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Other Services,New Hall,COFATHEC ENERGY PFI LTD,4000687,"67,420.13"
Ministry of Justice,NOMS,5/17/2011,"New structural works, structural maintenance and equipment",Wymott,ROGER EAVES BUILDING LTD,4010295,"66,968.58"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Other Services,Drake Hall,COFATHEC ENERGY PFI LTD,4004802,"66,170.03"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,MILTON KEYNES COUNCIL,3958324,"64,950.00"
Ministry of Justice,NOMS,5/24/2011,Electricity,Lindholme,EDF ENERGY,4019075,"64,869.65"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Resettlement Services,NOMS CFO,SERCO LTD,4000412,"64,562.28"
Ministry of Justice,NOMS,6/5/2011,Subsistence,HOPS Payroll Charge,CALDER CONFERENCE,3996861,"64,277.30"
Ministry of Justice,NOMS,5/25/2011,Inter-Unit Charge (IUC),Pentonville,R A P T,4009065,"64,246.00"
Ministry of Justice,NOMS,5/18/2011,Consultancy,Estates Capacity,PICK EVERARD,4004929,"64,114.94"
Ministry of Justice,NOMS,3/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,3975452,"64,101.54"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,4000413,"64,101.54"
Ministry of Justice,NOMS,5/26/2011,Contract IT Maintenance,MOJ Shared Services NOMS Delivery,KIER FACILITIES SERVICES LIMITED,4013084,"63,600.00"
Ministry of Justice,NOMS,5/5/2011,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,3994757,"62,640.00"
Ministry of Justice,NOMS,11/5/2011,"New structural works, structural maintenance and equipment",Estates Capacity,JACOBS ENGINEERING UK,4002391,"62,010.86"
Ministry of Justice,NOMS,5/23/2011,Raw Materials - Local Industries,Offender Employment Skills & Services Group,L & P (PSCS),4018737,"61,864.60"
Ministry of Justice,NOMS,5/31/2011,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,4024363,"61,822.56"
Ministry of Justice,NOMS,4/5/2011,"New structural works, structural maintenance and equipment",Lewes,R W GREEN LIMITED,3973203,"61,593.30"
Ministry of Justice,NOMS,12/5/2011,Subsistence,HOPS Payroll Charge,CALDER CONFERENCE,4004738,"60,909.05"
Ministry of Justice,NOMS,5/23/2011,"New structural works, structural maintenance and equipment",East Midlands Estates,TRAKA PLC,4016563,"60,348.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,LB OF HAMMERSMITH AND FULHAM,3958307,"60,249.00"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Other Services,Isle of Wight,COFATHEC ENERGY SERVICES UK LTD,4008697,"60,197.12"
Ministry of Justice,NOMS,5/13/2011,Resource Grants / Grant-in-Aid,Business and Service Development Group,CLINKS,4006583,"60,000.00"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Frankland,HUFFEY GROUP LTD,3999556,"60,000.00"
Ministry of Justice,NOMS,5/26/2011,Resource Grants / Grant-in-Aid,Business and Service Development Group,CO-OPERATIVE AND MUTUAL SOLUTIONS LIMITED,4010480,"60,000.00"
Ministry of Justice,NOMS,11/5/2011,WIP - Acquisitions,Estates Capacity,HENRY BOOT CONSTRUCTION (U K) LTD,4003450,"59,925.20"
Ministry of Justice,NOMS,10/5/2011,Travel - Non-Taxable,HOPS Payroll Charge,CARLSON WAGONLIT TRAVEL,4000640,"59,187.92"
Ministry of Justice,NOMS,3/5/2011,Drugs,Rochester,A A H PHARMACEUTICALS LTD,3992572,"58,649.44"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,CHERWELL DISTRICT COUNCIL,3958198,"58,022.00"
Ministry of Justice,NOMS,6/5/2011,Contracted-out operation of prisons and detention centres,Dovegate,MORETON PRISON SERVICES LTD,3994756,"57,401.19"
Ministry of Justice,NOMS,5/24/2011,Contracted-out Plant and Equipment Maintenance,TSS Kent and Sussex,PEPCON LTD,4015330,"57,149.75"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,4021503,"56,750.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,REIGATE & BANSTEAD BOROUGH COUNCIL,3958296,"56,723.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,4000415,"56,584.08"
Ministry of Justice,NOMS,5/5/2011,Professional Advice,Procurement Group,SIMMONS & SIMMONS,3867906,"56,473.67"
Ministry of Justice,NOMS,5/16/2011,Other - Acquisitions,Norwich,HEIDELBERG GRAPHIC EQUIPMENT LTD,3949961,"56,262.00"
Ministry of Justice,NOMS,5/16/2011,Other - Acquisitions,Norwich,HEIDELBERG GRAPHIC EQUIPMENT LTD,3948944,"56,262.00"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,East Midlands Estates,ELIZABETH FRY APPROVED PREMISES,4021501,"56,250.00"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,RIPON HOUSE,4021514,"56,083.33"
Ministry of Justice,NOMS,5/18/2011,Contracted-out Catering Services,Learning and Development Group,ESS SUPPORT SERVICES WORLDWIDE,4013381,"55,924.72"
Ministry of Justice,NOMS,4/5/2011,Legal Representation,MOJ Project & ATOS,SIMMONS & SIMMONS,3962457,"55,865.89"
Ministry of Justice,NOMS,9/5/2011,Rates and Ground Rents,Estates Capacity,DURHAM COUNTY COUNCIL,3998560,"55,816.00"
Ministry of Justice,NOMS,5/19/2011,Rates and Ground Rents,Estates Capacity,DURHAM CITY COUNCIL,3958269,"55,816.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,DURHAM COUNTY COUNCIL,3998560,"55,816.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,MANCHESTER CITY COUNCIL,3958339,"55,424.00"
Ministry of Justice,NOMS,5/24/2011,"Prisoner Compensation over £5,000",Chief Operating Officers Office,TREASURY SOLICITORS,4018944,"55,000.00"
Ministry of Justice,NOMS,5/5/2011,Contract IT Maintenance,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,3994734,"54,340.07"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Resettlement Services,NOMS CFO,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3988882,"53,985.60"
Ministry of Justice,NOMS,5/5/2011,Contract IT Maintenance,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,3995540,"53,768.43"
Ministry of Justice,NOMS,11/5/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,4001874,"53,606.40"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Other Services,Blundeston,COFATHEC ENERGY SERVICES UK LTD,4008745,"53,524.66"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,NORTHUMBERLAND COUNTY COUNCIL,3958311,"52,826.00"
Ministry of Justice,NOMS,5/26/2011,Inter-Unit Charge (IUC),Wandsworth,R A P T,4009753,"52,356.60"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,WEST LONDON MISSION REF: KATHERINE HUGHES HOUSE,4021524,"52,333.33"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Probation Boards,London DOMS Office,LONDON PROBATION TRUST,3986166,"52,124.25"
Ministry of Justice,NOMS,5/20/2011,Contracted-out Other Services,Gloucester,COFATHEC ENERGY PFI LTD,3969726,"51,982.46"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,ST JOHN'S APPROVED PREMISES,4021523,"51,666.67"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3997239,"51,638.40"
Ministry of Justice,NOMS,11/5/2011,WIP - Acquisitions,Estates Capacity,KIER REGIONAL LTD,4002377,"51,637.20"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,ADELAIDE HOUSE,4021494,"51,166.67"
Ministry of Justice,NOMS,6/5/2011,Works,Estates Capacity,SIDDALL & HILTON PRODUCTS LTD,3994165,"50,940.00"
Ministry of Justice,NOMS,5/16/2011,Inter-Unit Charge (IUC),MoJ ICT,TRIBAL CONSULTING,4008634,"50,850.00"
Ministry of Justice,NOMS,5/5/2011,"Books, Stationery & IT Consumables",Offender Employment Skills & Services Group,CARPENTER LTD,3993877,"50,825.78"
Ministry of Justice,NOMS,3/5/2011,Contracted-out Resettlement Services,NOMS CFO,SERCO LTD,3988442,"50,535.33"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,ST. VINCENT DE PAUL SOCIETY REF OZANAM HOUSE,4021521,"50,416.67"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,4000581,"50,408.40"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,CARDIGAN HOUSE APPROVED PREMISE,4021500,"50,250.00"
Ministry of Justice,NOMS,5/20/2011,WIP - Professional Fees,Estates Capacity,EVANS PARTNERSHIP,4012608,"50,050.32"
Ministry of Justice,NOMS,5/18/2011,Training and Further Education Courses,Learning and Development Group,UNIVERSITY OF PORTSMOUTH,4012973,"49,980.31"
Ministry of Justice,NOMS,5/24/2011,Specialist Contractors,Procurement Group,DRIVERS JONAS DELOITTE,3972707,"49,913.96"
Ministry of Justice,NOMS,5/19/2011,WIP - Acquisitions,NOMIS Programme,CAPITA SECURE INFORMATION SYSTEMS LTD,3932744,"49,849.20"
Ministry of Justice,NOMS,5/20/2011,Water and Sewage,Cardiff,DWR CMYRU WELSH WATER,3996961,"49,799.96"
Ministry of Justice,NOMS,5/26/2011,Buildings - Acquisitions,Exeter,EMSC UK LTD,3950224,"49,474.80"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,3998225,"49,391.36"
Ministry of Justice,NOMS,5/16/2011,WIP - Professional Fees,Estates Capacity,AEDAS ARCHITECTS LTD,4010269,"49,293.84"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,NOTTINGHAM CITY COUNCIL,3958347,"48,929.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,HUNTINGDONSHIRE DISTRICT COUNCIL,3974154,"48,929.00"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,ASHLEY HOUSE,4021496,"48,583.33"
Ministry of Justice,NOMS,5/31/2011,"Books, Stationery & IT Consumables",Offender Employment Skills & Services Group,T.R.LAWMAN LTD,4012270,"48,088.36"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Other Services,Isle of Wight,COFATHEC ENERGY SERVICES UK LTD,4010509,"48,013.72"
Ministry of Justice,NOMS,5/25/2011,WIP - Professional Fees,Estates Capacity,ATKINS LTD,3957846,"47,264.78"
Ministry of Justice,NOMS,5/31/2011,Contracted-out Visitor's Centres,Holloway,PRISON ADVICE & CARE TRUST (P A C T),3903886,"47,073.00"
Ministry of Justice,NOMS,6/5/2011,Buildings - Acquisitions,Reading,LINK INTEGRATED SERVICES LTD,3962249,"46,996.80"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,SWALE BOROUGH COUNCIL,3958237,"46,764.00"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,4021502,"46,583.33"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,FENLAND DISTRICT COUNCIL,3958293,"46,331.00"
Ministry of Justice,NOMS,5/18/2011,Uniforms & protective Clothing,Security Group,HELMET INTEGRATED SYSTEMS LTD,4012727,"46,178.16"
Ministry of Justice,NOMS,5/25/2011,Probation - Approved Premisis,Public Protection and Mental Health Group,ST. VINCENT DE PAUL SOCIETY REF ST CHRISTOPHERS,4021522,"46,166.67"
Ministry of Justice,NOMS,5/24/2011,Electricity,Frankland,EDF ENERGY,4019021,"45,988.87"
Ministry of Justice,NOMS,5/5/2011,Contract IT Maintenance,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,3995539,"45,630.33"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,PETERBOROUGH CITY COUNCIL,3958349,"45,465.00"
Ministry of Justice,NOMS,5/5/2011,Contract IT Maintenance,MOJ Project & ATOS,HP ENTERPRISE SERVICES UK LTD,3995567,"45,408.81"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,LIVERPOOL CITY COUNCIL,3984628,"45,032.00"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Other Services,Hull,COFATHEC ENERGY PFI LTD,4003817,"45,007.43"
Ministry of Justice,NOMS,3/5/2011,Travel - Non-Taxable,HOPS Payroll Charge,CARLSON WAGONLIT TRAVEL,3991343,"44,941.27"
Ministry of Justice,NOMS,5/24/2011,Electricity,Manchester,EDF ENERGY,4018995,"44,784.43"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Resettlement Services,NOMS CFO,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3988881,"44,570.40"
Ministry of Justice,NOMS,5/17/2011,Clothing,Offender Employment Skills & Services Group,JIANGSU SAINTY CORP LTD,4004590,"44,400.00"
Ministry of Justice,NOMS,5/5/2011,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,3986684,"44,239.69"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,LONDON BOROUGH OF ISLINGTON.,3958337,"44,168.00"
Ministry of Justice,NOMS,5/19/2011,Specialist Contractors,Procurement Group,CAPGEMINI UK PLC,3948804,"43,944.41"
Ministry of Justice,NOMS,11/5/2011,Contracted-out Resettlement Services,NOMS CFO,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3988447,"43,774.89"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Resettlement Services,NOMS CFO,SOVA,4000416,"43,733.75"
Ministry of Justice,NOMS,5/16/2011,Contract IT Maintenance,Public Protection and Mental Health Group,HENLEY SOFTWARE LTD,4006295,"43,350.00"
Ministry of Justice,NOMS,5/19/2011,Specialist Contractors,Procurement Group,CAPGEMINI UK PLC,3948801,"43,005.00"
Ministry of Justice,NOMS,3/5/2011,Contracted-out Resettlement Services,NOMS CFO,SERCO LTD,3988444,"42,847.14"
Ministry of Justice,NOMS,5/24/2011,Electricity,Wandsworth,EDF ENERGY,4018882,"42,743.03"
Ministry of Justice,NOMS,5/26/2011,Inter-Unit Charge (IUC),Holme House,ESS SUPPORT SERVICES WORLDWIDE,3999201,"42,614.54"
Ministry of Justice,NOMS,5/5/2011,Contracted-out Probation Trusts,Wellingborough,NORTHAMPTONSHIRE PROBATION TRUST,3995264,"42,613.35"
Ministry of Justice,NOMS,5/25/2011,Inter-Unit Charge (IUC),Wormwood Scrubs,R A P T,4009756,"42,529.60"
Ministry of Justice,NOMS,5/25/2011,Inter-Unit Charge (IUC),National Operations Group,CARTUS LIMITED,4013886,"42,500.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Plant and Equipment Maintenance,Pentonville,BARDON CONTRACTS LTD,3971400,"42,157.38"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,LIVERPOOL CITY COUNCIL,3984633,"42,001.00"
Ministry of Justice,NOMS,5/5/2011,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,3995105,"41,779.20"
Ministry of Justice,NOMS,5/24/2011,Electricity,Birmingham,EDF ENERGY,4018939,"41,762.54"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,CHORLEY BOROUGH COUNCIL,3958208,"41,568.00"
Ministry of Justice,NOMS,3/5/2011,Raw Materials - Local Industries,Offender Employment Skills & Services Group,L & P (PSCS),3988274,"41,499.92"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,LANCASTER CITY COUNCIL,3958343,"41,352.00"
Ministry of Justice,NOMS,5/5/2011,Contracted-out Other Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3994739,"41,187.96"
Ministry of Justice,NOMS,6/5/2011,"New structural works, structural maintenance and equipment",Hull,OPEN CONTROL SOLUTIONS LTD,3963090,"41,170.64"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,THE EAST RIDING OF YORKSHIRE COUNCIL,3958289,"41,135.00"
Ministry of Justice,NOMS,5/25/2011,Contracted-out Probation Trusts,Highpoint,NORFOLK AND SUFFOLK PROBATION TRUST,4020351,"41,023.35"
Ministry of Justice,NOMS,5/17/2011,Gas,Sheppey Clustered Services,CORONA ENERGY RETAIL 4 LTD,4010533,"40,836.30"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,CITY OF WAKEFIELD,3958172,"40,702.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,WANDSWORTH BOROUGH COUNCIL,3958174,"40,544.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,LONDON BOROUGH OF HOUNSLOW,3958321,"40,544.00"
Ministry of Justice,NOMS,5/13/2011,Inventory A/P Accrual,Featherstone,NDC BRANSTON,,"40,463.78"
Ministry of Justice,NOMS,10/5/2011,In Cell TV Costs,Unallocated Budgets,COMPUTACENTER (U K) LTD,4000622,"40,020.21"
Ministry of Justice,NOMS,5/5/2011,Contracted-out Other Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3994738,"40,001.10"
Ministry of Justice,NOMS,5/19/2011,Inter-Unit Charge (IUC),Cookham Wood,MEDWAY PCT,3998559,"40,000.00"
Ministry of Justice,NOMS,5/26/2011,Professional Advice,South East DOMS Office,SURREY & SUSSEX PROBATION TRUST,4024440,"40,000.00"
Ministry of Justice,NOMS,3/5/2011,Gas,Frankland,CORONA ENERGY RETAIL 4 LTD,3986197,"39,971.76"
