Purchased quantities of household food & drink by income quintile Averages per person per week Quintile 1	Code	Description				Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	8401		Meat pies, pasties and puddings, frozen or not frozen			g	38	33	51	56	65	58	60	54	57	69	52	57	54
	8501		Burgers, frozen or not frozen			g	20	20	20	20	16	22	17	18	21	23	20	17	16
	8901			Complete meat-based ready meals, frozen or not frozen		g	84	96	98	93	93	84	96	88	90	124	85	92	91
	8902			Other convenience meat products, frozen or not frozen		g	51	55	56	50	48	51	51	67	61	69	72	70	76
	9301			Pate		g	3	3	3	3	3	4	4	4	2	4	3	3	3
	9302			Delicatessen type sausages		g	6	8	10	10	8	7	10	8	7	13	9	9	12
	9403		Meat pastes and spreads			g	2	3	2	2	2	2	2	2	1	1	1	1	1
	9501			Takeaway meat pies and pasties		g	4	4	3	3	4	3	3	3	2	2	1	1	2
	9502			Takeaway burger and bun		g	6	5	6	5	4	4	6	4	3	4	3	5	4
	9503			Takeaway kebabs		g	6	6	8	8	7	6	6	7	6	6	7	6	5
	9504			Takeaway sausages and saveloys		g	2	3	2	2	2	2	2	3	1	2	3	1	1
	9505			Takeaway meat based meals		g	25	24	29	31	29	25	28	25	28	25	26	22	26
	9506			Takeaway miscellaneous meats		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	10201			White fish, fresh or chilled		g	24	25	23	19	21	28	18	21	15	16	12	14	13
	10202			White fish, frozen		g	23	22	15	9	10	12	8	10	15	8	5	14	9
	10601			Herrings and other blue fish, fresh or chilled		g	6	4	12	4	8	6	5	5	5	6	4	3	3
	10602			Herrings and other blue fish, frozen		g	0	1	0	0	0	0	0	2	1	1	1	0	0
	10701			Salmon, fresh or chilled		g	8	6	9	9	10	9	9	9	10	10	9	9	9
	10702			Salmon, frozen		g	0	2	1	1	1	1	2	2	1	1	2	2	1
	10801		Blue fish, dried or salted or smoked			g	5	4	6	6	6	8	6	6	6	8	6	6	5
	11401		White fish, dried, salted or smoked			g	4	5	4	5	5	4	5	6	3	6	3	3	3
	11702			Shellfish, fresh or chilled		g	4	2	7	5	5	4	6	6	6	5	6	4	6
	11703			Shellfish, frozen		g	5	6	4	5	6	7	6	6	6	5	4	3	4
	11801		Takeaway fish			g	14	12	12	12	12	12	10	9	10	9	8	8	9
	11901		Salmon, tinned			g	9	9	9	7	8	8	7	6	5	5	6	3	3
	12001		Other tinned or bottled fish			g	26	26	30	26	36	29	28	27	25	25	21	24	23
	12103		Ready meals and other fish products - frozen or not frozen			g	38	39	47	50	54	55	55	56	56	54	57	56	59
	12304			Takeaway fish products		g	1	1	1	1	1	1	1	0	1	1	1	0	0
	12305			Takeaway fish based meals		g	1	2	1	1	1	1	1	1	1	1	2	2	2
	12901	Eggs				no.	2	2	2	2	2	2	2	2	2	2	2	2	2
	13501		Butter			g	51	42	41	38	43	45	46	45	43	50	41	44	39
	13801			Soft margarine		g	16	18	17	9	22	22	19	19	24	25	21	23	22
	13802			Other margarine		g	2	1	1	4	3	3	3	3	3	3	3	4	3
	13901		Lard, cooking fat			g	8	9	8	5	7	5	5	5	5	5	3	4	2
	14304			Olive oil		ml	7	7	9	11	11	11	11	12	10	12	15	13	15
	14305			Other vegetable and salad oils		ml	63	54	69	56	62	52	70	49	66	53	47	50	51
	14802			Reduced fat spreads		g	65	61	68	48	47	47	45	49	41	46	36	34	33
	14803			Low fat spreads		g	17	16	15	28	21	17	14	12	14	12	15	12	14
	14805			Suet and dripping		g	2	2	1	3	2	1	2	2	1	3	2	2	1
	14807			Imitatation cream		g	6	10	10	10	8	9	8	9	9	7	9	8	7
	15001		Sugar			g	149	154	132	133	119	110	124	115	114	110	117	98	118
	15101		Jams and fruit curds			g	20	18	19	18	18	18	20	19	17	21	14	18	17
	15201		Marmalade			g	15	14	15	14	16	14	12	15	13	14	12	9	9
	15301		Syrup, treacle			g	3	2	2	3	3	2	3	2	3	4	4	6	4
	15401		Honey			g	6	5	6	7	7	8	7	8	6	11	8	8	8
	15505			Fresh new potatoes (f)		g				120	115	114	102	95	78	93	74	75	76
	15506			Fresh baking potatoes (f)		g				53	60	65	54	52	50	63	54	44	48
	15504			Other fresh potatoes (f)		g				491	518	506	424	480	430	452	440	430	403
	19702				Chips - frozen or not frozen	g	107	105	106	95	109	115	101	102	116	119	134	109	111
	19703				Takeaway chips	g	45	50	50	42	41	43	45	35	35	34	32	31	33
	19801			Instant potato		g	2	2	2	2	4	2	3	2	2	2	1	1	1
	19901			Canned potatoes		g	12	8	12	6	6	9	5	6	4	4	4	2	4
	20002			Crisps and potato snacks		g	53	57	53	53	54	51	52	54	57	56	54	51	55
	20101			Other potato products, frozen or not frozen		g	46	49	50	51	50	42	44	46	43	43	46	50	54
	16201			Fresh cabbages		g	60	60	60	56	63	49	49	47	44	47	39	36	36
	16301			Fresh brussels sprouts		g	20	22	19	19	19	19	15	17	14	16	14	13	10
	16401			Fresh cauliflower		g	78	78	84	77	88	84	73	77	62	57	63	59	58
	16701				Lettuce and leafy salads	g	60	44	46	44	44	47	42	36	36	39	37	33	32
	16702				Prepared lettuce salads	g		11	13	14	13	12	15	12	12	15	14	12	16
	16801			Fresh peas		g	5	4	7	3	5	7	5	5	5	4	8	4	5
	16901			Fresh beans		g	31	26	30	24	24	19	26	26	18	19	20	25	19
	17101			Other fresh green vegetables		g	4	5	4	5	6	5	6	6	5	3	5	6	6
	17201			Fresh carrots		g	108	103	112	101	107	118	108	108	102	114	98	99	103
	17301			Fresh turnips and swede		g	26	26	37	29	27	29	19	24	20	22	20	22	19
	17401			Other fresh root vegetables		g	29	30	26	34	41	38	34	35	32	42	36	39	38
	17501			Fresh onions, leeks and shallots		g	98	106	102	103	109	111	100	107	109	100	107	122	115
	17601			Fresh cucumbers		g	33	36	34	35	40	40	36	33	35	40	39	38	42
	17701			Fresh mushrooms		g	28	30	32	31	30	34	31	28	29	30	30	32	31
	17801			Fresh tomatoes		g	111	93	105	102	102	107	101	94	89	99	96	86	90
	18301				Fresh vegetable stewpack, stirfry pack etc.	g	14	13	15	19	25	26	25	24	29	30	24	28	25
	18302				Fresh stem vegetables	g	22	23	22	23	23	22	27	19	20	24	18	22	17
	18303				Fresh marrow, courgettes, aubergine, pumpkin and other vegetables	g	38	30	35	46	41	44	41	39	39	47	45	61	62
	18304				Fresh herbs	g	3	3	3	3	3	3	4	4	3	3	4	5	4
	18401			Tomatoes, canned or bottled		g	39	45	40	38	39	45	51	45	43	46	42	46	46
	18501			Peas, canned		g	46	47	38	38	36	29	29	32	27	28	22	25	25
	18802				Baked beans in sauce	g	99	100	92	93	92	98	92	103	86	95	94	89	92
	18803				Other canned beans and pulses	g	12	13	8	12	12	12	13	9	15	11	14	15	20
	19101			Other canned vegetables		g	25	28	25	22	23	22	24	25	22	24	14	15	13
	19201			Dried pulses other than air-dried		g	4	8	8	7	9	7	8	6	9	3	6	15	9
	19501			Air-dried vegetables		g	0	0	1	0	0	0	0	0	0	0	1	0	0
	19602				Tomato puree and vegetable purees	ml	3	3	2	2	3	4	4	4	3	3	3	3	3
	19603				Vegetable juices eg tomato juice, carrot juice	ml	4	6	5	9	4	8	11	5	4	8	6	6	3
	20301			Peas, frozen		g	32	28	36	28	30	31	23	30	27	31	35	32	26
	20401			Beans, frozen		g	7	7	7	6	5	4	4	7	6	5	4	6	6
	20601				Ready meals and other vegetable products, frozen or not frozen	g	41	45	43	43	45	43	43	44	42	46	52	47	51
	20604				All vegetable takeaway products	g	12	7	9	11	14	9	7	6	10	7	12	5	6
	20801			Other frozen vegetables		g	37	46	49	41	43	41	38	38	48	34	44	45	44
	21001			Fresh oranges		g	62	66	81	69	66	68	61	59	45	53	53	64	50
	21401			Other fresh citrus fruits		g	74	89	87	82	86	86	81	75	67	67	69	75	67
	21701			Fresh apples		g	165	168	177	165	170	172	176	170	133	153	136	123	127
	21801			Fresh pears		g	54	43	58	56	53	57	51	45	47	44	49	45	38
	22101			Fresh stone fruit		g	61	66	74	64	75	67	61	57	67	54	56	56	59
	22201			Fresh grapes		g	51	48	58	58	73	66	61	55	58	62	45	52	48
	22701			Other fresh soft fruit		g	28	33	29	35	39	38	45	47	42	48	43	47	39
	22801			Fresh bananas		g	217	213	235	227	235	240	253	226	204	224	228	213	218
	22901			Fresh melons		g	32	45	38	31	37	39	32	27	24	31	33	31	40
	23101			Other fresh fruit		g	19	20	17	26	27	31	38	32	35	39	38	42	36
	23301			Tinned peaches, pears and pineapples		g	24	24	25	19	20	23	18	20	19	17	15	18	10
	23601			All other tinned or bottled fruit		g	27	27	35	27	28	26	28	26	20	27	22	20	19
	24001			Dried fruit		g	26	20	25	21	22	23	25	26	22	25	19	24	21
	24101			Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits		g	2	1	1	1	1	2	1	4	1	1	2	2	3
	24502				Nuts and edible seeds	g	15	16	19	19	20	22	23	22	21	20	25	23	24
	24503				Peanut butter	g	3	3	3	2	3	3	3	3	2	3	3	4	4
	24801			Pure fruit juices (g)		ml	258	266	266	227	287	277	276	258	275	252	242	237	237
	25102			White bread, standard, unsliced		g	74	60	54	69	51	53	41	38	28	34	24	29	30
	25202			White bread, standard, sliced		g	379	403	406	317	329	298	301	314	308	316	263	296	260
	25701			White bread, premium, sliced and unsliced		g	41	27	6	14	12	5	3	3	1	3	1	2	0
	25801			White bread, soft grain, sliced and unsliced		g	6	7	2	3	4	5	1	2	1	1	2	1	3
	25901			Brown bread, sliced and unsliced		g	44	46	51	56	44	43	36	44	39	37	44	38	31
	26001			Wholemeal and granary bread, sliced and unsliced		g	114	103	116	124	151	172	131	130	139	139	139	123	146
	26302			Rolls - white, brown or wholemeal		g	77	74	72	72	69	73	71	64	63	63	55	48	65
	26303			Malt bread and fruit loaves		g	11	8	10	11	12	10	13	11	10	8	8	9	9
	26304			Vienna and french bread		g	24	26	22	21	27	28	27	22	23	26	22	24	26
	26305			Starch reduced bread and rolls		g	14	13	17	14	16	18	15	17	11	15	13	9	7
	26308			Other breads		g	27	29	32	34	35	36	39	44	43	39	50	50	66
	26309			Sandwiches		g	7	7	6	8	9	9	7	9	9	10	11	8	11
	26310			Sandwiches from takeaway		g	2	4	4	4	2	3	2	3	3	3	2	3	3
	26311			Takeaway breads		g	1	1	1	1	1	1	2	1	1	1	2	2	1
	26401	Flour				g	71	70	73	70	69	48	63	70	62	64	89	71	54
	27001			Cakes and pastries, not frozen		g	147	134	133	132	139	135	131	126	120	119	120	107	111
	27002			Takeaway pastries		g	1	2	1	2	2	1	1	1	2	1	2	1	1
	26701		Buns, scones and teacakes			g	42	47	51	52	57	50	47	47	50	49	41	48	54
	27702		Chocolate biscuits			g	69	74	68	61	64	60	52	60	56	54	48	54	54
	27402			Sweet biscuits (not chocolate) and cereal bars		g	92	101	97	100	103	101	106	111	104	108	100	104	104
	27403			Cream crackers and other unsweetened biscuits		g	14	14	13	15	13	15	16	13	14	15	13	12	12
	27101		Crispbread			g	5	6	6	7	7	8	5	6	5	6	6	7	9
	28101		Oatmeal and oat products			g	16	12	19	19	21	19	21	22	22	21	23	31	31
	28202			Muesli		g	15	12	17	14	20	17	18	16	14	18	13	14	15
	28203			High fibre breakfast cereals		g	56	56	55	56	58	58	57	56	54	51	46	44	45
	28204			Sweetened breakfast cereals		g	28	34	26	26	27	26	24	29	31	27	29	29	30
	28205			Other breakfast cereals		g	33	29	33	27	27	31	28	28	27	29	33	31	31
	28502			Canned or fresh carton custard		g	15	15	20	14	18	19	18	20	18	16	16	17	16
	28503			All canned milk puddings		g	21	23	24	17	19	17	17	17	19	17	14	14	15
	28601		Puddings			g	12	8	9	13	13	12	13	12	12	13	12	9	10
	28702			Dried rice		g	70	60	56	52	83	45	68	64	79	39	47	49	57
	28703			Cooked rice		g	4	3	3	3	3	4	6	9	9	10	9	13	14
	28704			Takeaway rice		g	17	13	15	15	13	12	12	11	10	11	12	12	13
	29001		Invalid foods, slimming foods and sports foods			g	1	3	3	5	3	1	2	3	3	2	1	1	4
	29101		Infant cereal foods			g	1	1	1	1	1	0	1	2	1	0	1	1	2
	29402		Cakes and pastries - frozen			g	16	14	14	9	8	11	11	13	11	11	9	10	11
	29501			Canned pasta		g	31	29	25	24	26	22	28	29	28	26	22	23	19
	29502			Dried and fresh pasta		g	44	44	48	43	49	42	46	61	54	53	54	50	60
	29503			Takeaway pasta and noodles		g	0	1	0	1	1	1	1	1	0	0	0	0	1
	29601			Pizzas, frozen and not frozen		g	37	35	41	37	38	36	38	37	43	49	48	46	51
	29602			Takeaway pizza		g	15	16	15	16	21	18	18	12	14	13	20	18	17
	29907			Cake, pudding and dessert mixes		g	11	13	5	6	6	6	5	7	6	10	7	8	6
	29909			Cereal snacks		g	15	22	14	14	15	14	14	14	16	21	24	16	21
	29915			Quiches and flans, frozen and not frozen		g	11	11	11	13	14	12	11	12	10	11	9	8	11
	29916			Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers		g	1	0	1	1	1	1	0	1	0	1	1	0	1
	29919			Other cereal foods, frozen and not frozen		g	27	26	31	26	31	33	34	37	38	41	35	32	38
	30101		Other cereals			g	3	4	3	3	5	4	7	4	3	6	6	6	3
	30401		Tea			g	42	41	40	39	43	36	37	36	33	34	30	30	30
	30701		Coffee beans and ground coffee			g	3	2	4	3	2	2	2	2	2	4	2	4	4
	30801		Instant coffee			g	14	14	14	15	15	15	16	16	18	15	17	14	16
	30901		Coffee essences			ml	0	0	0	0	1	0	0	0	0	0	0	0	0
	31001		Tea and coffee from takeaway			ml	0	0	1	0	0	0	0	0	0	0	0	0	0
	31201		Cocoa and chocolate drinks			g	6	6	4	5	5	5	5	5	5	5	6	4	5
	31301		Malt drinks and chocolate versions of malted drinks			g	5	4	6	6	6	5	4	4	3	3	4	4	2
	31401		Mineral or spring waters			ml	130	180	168	198	215	243	165	170	161	182	188	222	310
	31501		Baby foods			g	5	8	5	6	4	5	15	8	11	5	7	11	8
	31801		Soups - canned or cartons			g	85	91	85	82	85	80	80	85	74	85	67	78	84
	31901		Soups - dehydrated or powdered			g	4	3	4	4	4	4	5	4	5	6	5	5	3
	32001		Soups - from takeaway			g	1	0	0	0	0	0	1	0	1	1	0	0	0
	32302			Salad dressings		g	21	24	24	29	28	27	36	30	28	34	32	32	36
	32303			Other spreads and dresssings		g	2	5	3	5	5	5	6	5	9	5	7	8	7
	32702			Pickles		g	21	21	16	16	14	17	14	13	15	17	17	14	13
	32703			Sauces		g	87	95	91	92	95	101	94	95	100	108	102	101	114
	32704			Takeaway sauces and mayonnnaise		g	0	0	1	1	1	1	1	0	0	0	0	1	1
	32801		Stock cubes and meat and yeast extracts			g	4	4	4	5	4	5	3	4	5	6	4	5	5
	32901		Jelly squares or crystals			g	4	3	5	5	4	5	4	5	5	5	4	5	6
	33203		Ice cream tub or block			ml	129	138	142	111	106	129	134	117	108	111	113	113	103
	33302			Ice cream cornets, choc-ices, lollies with ice cream		ml	49	54	46	51	52	53	53	55	54	50	41	44	51
	33303			Ice lollies, sorbet, frozen mousse, frozen yoghurt		ml	14	15	18	20	23	23	18	22	27	23	40	20	32
	33304			Takeaway ice cream, ice cream products, milkshakes		ml	1	2	1	3	2	2	2	1	1	1	1	1	1
	33901		Soya and novel protein foods			g	3	3	2	3	3	3	5	5	5	5	5	4	7
	33401		Salt			g	15	13	15	11	15	10	11	11	12	18	10	14	8
	32101		Other takeaway food brought home			g	0	0	0	0	0	0	0	1	0	0	0	0	0
	32201		Meals on wheels - items not specified			g	0	4	2	3	4	1	0	1	2	0	0	1	0
	34001		Soft drinks, concentrated, not low calorie (h)			ml	522	564	617	594	564	521	496	500	569	623	387	314	317
	34101		Soft drinks, not concentrated,  not low calorie			ml	616	706	712	757	692	648	621	677	633	647	571	555	552
	34301		Soft drinks, concentrated, low calorie (h)			ml	148	92	147	112	116	125	126	164	135	210	232	295	316
	34401		Soft drinks, not concentrated, low calorie			ml	271	287	295	264	264	307	307	278	280	283	362	389	365
	35001		Chocolate bars - solid			g	28	28	30	31	30	33	34	31	28	31	31	33	33
	35101		Chocolate bars - filled			g	59	59	62	58	52	49	58	61	54	57	58	49	55
	35202		Chewing gum			g	2	2	2	2	2	2	2	3	2	2	2	2	1
	35301			Mints		g	5	8	6	5	6	6	5	6	5	6	4	2	2
	35302			Boiled sweets		g	35	36	40	35	32	30	36	39	38	37	36	37	33
	35401		Fudges, toffees, caramels			g	5	5	5	5	5	5	5	6	6	5	5	5	4
	35501		Takeaway confectionery			g	0	0	0	0	0	0	0	0	0	0	0	0	0
	38102		Beers			ml	140	119	111	111	75	77	98	68	76	121	68	51	67
	38202		Lagers and continental beers			ml	170	255	249	234	236	239	202	212	188	218	194	196	236
	38302		Ciders and perry			ml	55	43	44	53	42	55	100	58	90	65	66	55	77
	38402			Champagne, sparkling wines and wine with mixer		ml	6	7	14	13	5	7	7	5	4	9	6	5	4
	38403			Table wine		ml	143	126	172	170	184	168	161	176	157	170	153	163	143
	38501		Spirits with mixer			ml	0	1	0	0	0	0	0	1	0	1	1	2	0
	38601		Fortified wines			ml	18	20	19	17	14	11	17	12	9	7	11	10	5
	38701		Spirits			ml	41	36	41	41	38	39	46	40	41	42	31	29	33
	38801		Liqueurs and cocktails			ml	6	5	6	3	4	6	7	6	5	9	9	5	6
	38901		Alcopops			ml	10	11	13	9	5	5	7	6	5	13	8	4	4
Purchased quantities of household food & drink by income quintile Averages per person per week Quintile 3	Code	Description				Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	501			School milk (d)		ml													
	601			Welfare milk(i)		ml	5	6	11	7	8	6	3	5	3				
	402				UHT milk	ml	8	6	23	11	8	5	17	10	5	10	3	5	3
	403				Sterilised	ml	22	16	3	0	5	2	3	2	4	1	1	3	0
	404				Pasteurised/ homogenised	ml	647	547	594	459	483	495	420	399	408	349	377	323	312
	1502				Fully skimmed milk	ml	168	160	191	147	172	139	170	185	169	179	180	136	153
	1503				Semi-skimmed milk	ml	896	937	911	1,014	1,028	964	954	1,060	959	1,022	960	1,014	983
	901			Condensed or evaporated milk		eq ml	20	17	12	24	20	12	26	17	16	12	16	19	17
	1102				Infant or baby milks - ready to drink	eq ml	0	1	1	3	4	1	5	2	5	5	8	8	3
	1103				Infant or baby milks - dried	eq ml	50	42	36	49	35	53	59	32	82	41	95	60	81
	1201			Instant dried milk		eq ml	6	24	7	9	5	6	3	6	9	3	10	5	6
	1301				Yoghurt	ml	139	132	151	169	171	167	162	180	174	166	181	168	179
	1302				Fromage frais	ml	20	23	20	23	19	22	23	25	21	19	21	24	19
	1603				Dairy desserts - not frozen	ml	40	45	42	48	44	40	42	42	43	41	42	46	38
	1605				Dried milk products	ml	5	13	11	4	2	1	1	1	0	0	10	6	0
	1607				Milk drinks and other milks (e)	ml	24	33	40	23	26	24	23	31	33	34	26	30	27
	1608				Non-dairy milk substitutes (e)	ml				29	27	30	35	24	29	21	20	23	30
	1701			Cream		ml	17	16	17	17	20	20	18	20	21	24	23	21	23
	2201			Hard cheese - cheddar type		g	61	62	63	60	64	65	67	66	68	69	66	63	68
	2202			Hard cheese - other uk or foreign equivalent		g	16	12	12	11	12	10	9	11	10	8	9	7	7
	2203			Hard cheese - edam or other foreign		g	5	5	6	9	6	5	6	6	7	7	7	7	7
	2205			Cottage cheese		g	5	6	7	4	6	5	8	4	3	5	5	4	5
	2206			Soft natural cheese		g	7	8	11	10	13	14	12	11	15	18	19	15	18
	2301		Processed cheese			g	12	14	14	14	11	13	13	13	13	12	11	11	12
	3102			Beef joints - on the bone		g	2	1	2	1	2	2	0	0	0	2	0	1	0
	3103			Beef joints - boned		g	35	29	29	25	25	28	28	26	20	21	22	18	12
	3104			Beef steak - less expensive		g	17	16	16	17	19	20	20	18	18	21	20	17	15
	3105			Beef steak - more expensive		g	24	23	25	27	25	23	22	21	19	20	16	16	19
	3106			Minced beef		g	44	46	49	51	49	54	58	57	47	55	53	52	44
	3107			All other beef and veal		g	2	1	2	1	1	0	0	0	1	0	1	0	1
	3601			Mutton		g	0	0	0	4	2	0	1	1	0	3	2	0	0
	3602			Lamb joints		g	24	27	24	28	21	23	30	21	21	25	20	15	20
	3603			Lamb chops		g	14	12	15	12	14	16	14	15	13	16	11	9	8
	3604			All other lamb		g	5	7	7	4	5	8	4	14	3	9	8	4	8
	4101			Pork joints		g	20	22	20	21	16	21	22	34	20	21	21	16	14
	4102			Pork chops		g	20	21	15	14	14	15	13	13	16	9	10	10	8
	4103			Pork fillets and steaks		g	16	14	11	12	11	10	16	13	12	13	15	15	15
	4104			All other pork		g	7	2	10	10	11	10	11	8	11	13	11	12	13
	4603			Ox liver		g	0	0	1	0	0	0	0	0	0	0	0	0	1
	4604			Lambs liver		g	2	1	2	2	2	2	2	2	2	2	1	2	1
	4605			Pigs liver		g	1	1	1	1	1	1	1	1	1	1	1	0	1
	4607			All other liver		g	1	1	1	0	1	0	1	0	1	1	0	0	0
	5101		All offal other than liver			g	3	2	2	3	1	1	1	2	2	2	1	2	1
	5502			Bacon and ham joints, uncooked		g	19	19	20	16	23	19	16	21	24	24	21	22	20
	5505			Bacon and ham rashers, uncooked		g	47	49	48	48	50	49	45	46	48	48	45	45	42
	5801		Bacon and ham, cooked			g	45	46	47	45	43	43	44	48	44	41	46	42	40
	5903			Chicken and turkey, cooked		g	40	37	43	45	42	44	33	35	42	31	36	32	30
	5904			Takeaway chicken		g	5	5	6	6	7	7	6	6	7	8	6	8	7
	6201		Corned beef, canned or sliced			g	14	12	13	14	15	13	12	13	11	11	9	7	7
	6601		Other cooked meat			g	11	10	13	11	13	13	14	12	11	13	13	16	16
	7102		Other canned meat and canned meat products			g	35	37	46	42	33	35	26	31	31	25	25	25	22
	7401		Chicken, uncooked - whole chicken or chicken pieces			g	168	162	165	157	178	171	182	182	177	195	195	184	196
	7703			Turkey, uncooked - whole turkey or turkey pieces		g	30	23	24	24	25	25	24	23	14	17	15	17	15
	7704			Poultry other than chicken or turkey, uncooked		g	2	2	5	3	7	4	3	3	5	4	4	3	4
	7801		Other fresh, chilled and frozen meat			g	2	0	3	3	3	1	1	2	1	1	1	0	0
	7901		Sausages, uncooked - pork			g	51	53	59	58	57	58	60	58	64	60	60	60	53
	8001		Sausages, uncooked - beef and other sausages			g	12	9	7	6	7	6	4	3	3	4	4	3	5
	8302			Meat pies, ready to eat		g	35	40	24	24	14	15	12	10	12	12	12	12	13
	8303			Sausage rolls, ready to eat		g	11	11	11	14	13	11	14	15	12	13	12	12	9
	8401		Meat pies, pasties and puddings, frozen or not frozen			g	38	34	51	48	57	54	53	51	55	55	51	53	44
	8501		Burgers, frozen or not frozen			g	26	23	26	24	22	23	20	22	21	22	21	19	22
	8901			Complete meat-based ready meals, frozen or not frozen		g	81	90	94	93	90	89	83	83	95	79	82	85	75
	8902			Other convenience meat products, frozen or not frozen		g	57	60	54	61	62	58	64	67	66	89	72	74	79
	9301			Pate		g	3	3	4	4	3	3	3	4	3	4	4	3	3
	9302			Delicatessen type sausages		g	7	8	10	11	10	7	11	10	11	13	13	11	14
	9403		Meat pastes and spreads			g	2	2	1	2	2	2	2	1	1	1	1	1	1
	9501			Takeaway meat pies and pasties		g	4	3	3	3	3	3	2	4	2	2	2	1	2
	9502			Takeaway burger and bun		g	7	7	7	8	8	6	6	6	6	6	6	6	5
	9503			Takeaway kebabs		g	9	7	10	9	12	11	10	11	8	7	7	7	8
	9504			Takeaway sausages and saveloys		g	2	2	3	4	3	3	2	2	3	2	2	2	2
	9505			Takeaway meat based meals		g	35	36	36	37	39	39	41	32	28	33	31	32	28
	9506			Takeaway miscellaneous meats		g	0	0	0	0	0	0	0	0	1	0	0	0	0
	10201			White fish, fresh or chilled		g	15	14	14	14	16	14	15	12	15	14	13	11	16
	10202			White fish, frozen		g	17	18	10	6	8	9	10	12	10	7	6	6	5
	10601			Herrings and other blue fish, fresh or chilled		g	4	3	7	6	7	6	9	4	5	4	3	4	4
	10602			Herrings and other blue fish, frozen		g	3	1	0	0	0	1	0	1	0	0	0	1	0
	10701			Salmon, fresh or chilled		g	9	5	8	8	10	10	10	8	10	11	9	9	8
	10702			Salmon, frozen		g	1	1	0	1	1	1	1	2	1	1	1	1	1
	10801		Blue fish, dried or salted or smoked			g	5	4	3	5	5	5	5	7	7	6	7	5	6
	11401		White fish, dried, salted or smoked			g	3	3	5	4	4	4	5	5	7	3	3	3	4
	11702			Shellfish, fresh or chilled		g	2	3	5	5	4	6	7	5	8	7	5	4	4
	11703			Shellfish, frozen		g	6	7	5	5	5	6	6	7	5	6	5	4	3
	11801		Takeaway fish			g	12	10	10	12	11	11	10	10	11	9	8	7	7
	11901		Salmon, tinned			g	6	6	7	6	6	5	7	5	4	4	2	2	3
	12001		Other tinned or bottled fish			g	28	28	30	30	31	29	29	26	26	25	26	22	24
	12103		Ready meals and other fish products - frozen or not frozen			g	36	35	44	45	46	48	46	56	49	48	53	46	54
	12304			Takeaway fish products		g	1	1	1	1	1	1	0	1	1	0	1	1	0
	12305			Takeaway fish based meals		g	2	2	2	2	2	2	2	1	2	1	2	3	2
	12901	Eggs				no.	2	2	2	2	2	1	2	2	2	2	2	2	2
	13501		Butter			g	35	36	34	34	37	34	36	38	36	39	35	42	42
	13801			Soft margarine		g	13	12	14	7	21	17	19	23	22	23	19	26	23
	13802			Other margarine		g	1	1	1	4	2	2	2	2	3	2	3	3	3
	13901		Lard, cooking fat			g	6	7	5	4	4	4	4	4	3	4	2	3	2
	14304			Olive oil		ml	7	9	8	9	9	9	10	15	10	13	12	14	14
	14305			Other vegetable and salad oils		ml	52	46	45	48	52	43	51	53	56	44	42	57	52
	14802			Reduced fat spreads		g	62	56	61	48	42	47	42	42	37	43	36	32	32
	14803			Low fat spreads		g	16	16	14	24	15	14	13	11	12	10	14	12	10
	14805			Suet and dripping		g	1	1	1	1	1	1	1	1	1	2	2	1	1
	14807			Imitatation cream		g	6	7	7	8	6	6	7	7	7	7	5	6	5
	15001		Sugar			g	118	116	111	108	99	101	95	101	101	97	98	94	98
	15101		Jams and fruit curds			g	15	16	14	16	18	16	14	13	16	14	17	14	15
	15201		Marmalade			g	12	11	12	8	12	9	10	10	9	8	7	8	7
	15301		Syrup, treacle			g	2	3	2	2	3	3	3	3	5	4	4	4	4
	15401		Honey			g	5	4	5	4	5	5	5	7	7	6	5	6	7
	15505			Fresh new potatoes (f)		g				95	112	104	98	79	87	71	84	65	69
	15506			Fresh baking potatoes (f)		g				57	52	61	63	61	53	62	58	56	52
	15504			Other fresh potatoes (f)		g				394	435	409	377	405	389	365	381	396	333
	19702				Chips - frozen or not frozen	g	115	108	109	108	119	105	102	115	118	115	100	117	102
	19703				Takeaway chips	g	51	48	50	53	52	48	41	43	43	40	38	36	37
	19801			Instant potato		g	2	1	2	2	2	1	1	2	1	1	1	1	1
	19901			Canned potatoes		g	8	6	8	6	7	5	3	8	6	3	3	4	5
	20002			Crisps and potato snacks		g	60	63	61	66	63	62	59	57	57	62	53	56	55
	20101			Other potato products, frozen or not frozen		g	45	43	48	47	50	43	45	53	45	44	47	47	51
	16201			Fresh cabbages		g	49	43	46	45	48	41	48	43	41	36	32	33	30
	16301			Fresh brussels sprouts		g	16	15	13	15	14	15	16	13	14	13	13	13	11
	16401			Fresh cauliflower		g	71	72	79	74	80	66	74	64	63	57	63	58	57
	16701				Lettuce and leafy salads	g	57	38	47	46	43	41	36	38	34	39	34	32	30
	16702				Prepared lettuce salads	g		15	17	14	16	15	17	15	15	16	18	16	17
	16801			Fresh peas		g	4	4	6	3	6	5	5	5	3	5	4	4	5
	16901			Fresh beans		g	21	22	20	23	22	18	22	23	18	17	23	18	18
	17101			Other fresh green vegetables		g	4	2	4	5	5	4	5	5	5	6	6	7	5
