Expenditure on household and eating out food & drink by economic activity of household reference person Average pence per person per week Full time employee at work,Code,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
PURCHASES FOR CONSUMPTION OUTSIDE THE HOME,eo90003,Alcoholic drinks,,p,267,225,271,262,238,230,232,243,229,177,257,265,225
PURCHASES FOR HOUSEHOLD SUPPLIES,cat105,Food and non-alcoholic drinks,,p,1655,1635,1735,1729,1816,1811,1886,1982,1933,2133,2097,2200,2383
PURCHASES FOR HOUSEHOLD SUPPLIES,380389,Alcoholic drinks,,p,158,161,211,192,216,195,217,191,200,229,244,260,236
PURCHASES FOR HOUSEHOLD SUPPLIES,cat106,"Food and drink, excluding soft drinks, alcoholic drinks and confectionery",,p,1515,1498,1589,1575,1666,1647,1732,1813,1778,1950,1907,2003,2170
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat520,Milk and milk products excluding cheese,,p,135,131,140,140,147,141,150,169,174,167,176,163,167
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,22023,Cheese,,p,45,44,49,49,52,52,57,53,59,74,65,66,74
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,31041,Carcase meat,,p,91,89,96,95,102,98,113,112,114,114,107,124,118
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,46095,Non-carcase meat and meat products,,p,311,303,336,332,326,335,337,349,327,408,380,405,435
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,100123,Fish,,p,76,71,73,71,85,83,87,88,88,84,88,85,106
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,12901,Eggs,,p,16,18,18,17,19,17,19,24,23,23,24,25,28
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,135148,Fats,,p,33,32,34,34,36,35,35,42,41,46,46,46,47
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,150154,Sugar and preserves,,p,16,15,16,17,16,17,15,16,17,16,18,21,22
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,155155,,Fresh potatoes,p,35,29,31,30,31,31,36,34,31,33,30,32,41
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat710,,Processed potatoes,p,71,70,77,69,71,70,72,74,71,82,82,80,91
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,162171,,Fresh green vegetables,p,27,27,33,29,33,31,37,31,29,35,32,36,39
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,172183,,Other fresh vegetables,p,57,58,69,64,72,70,78,70,73,81,80,86,95
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat702,,Processed vegetables excluding processed potatoes,p,47,45,48,51,52,45,55,63,53,60,59,63,76
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat810,Fresh and processed fruit,,p,113,118,126,118,142,142,142,136,143,155,144,154,159
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,251263,Bread,,p,76,77,84,85,88,89,96,107,103,110,107,112,121
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,26401,Flour,,p,3,3,3,2,4,3,2,5,4,5,4,6,4
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,267270,"Cakes, buns and pastries",,p,41,43,40,43,48,48,49,54,46,52,48,55,62
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,271277,Biscuits and crispbreads,,p,41,48,42,46,43,45,44,51,54,59,55,59,68
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,281301,Other cereals and cereal products,,p,142,144,148,143,155,148,157,184,173,186,190,194,216
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,304313,Beverages,,p,46,39,35,36,39,37,38,39,39,44,46,57,54
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,314339,Other food and drink,,p,95,94,94,104,106,108,111,113,115,117,125,134,145
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,340344,Soft drinks,,p,67,73,81,79,86,93,80,84,79,100,101,106,110
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,350355,Confectionery,,p,73,64,64,76,64,71,74,85,77,83,90,90,104
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,380389,Alcoholic drinks,,p,158,161,211,192,216,195,217,191,200,229,244,260,236
