Bathing Water Classifications (BW2006/7/EC) - 2016 Classification,,,,,,
Individual bathing water classifications,,,,,,
See information worksheet for column heading descriptions.,,,,,,
Area,BW Ref,Name,2016 Classification,2015 Classification,2015_2016_Comparison,GridRef
Devon and Cornwall,31300,The Towans (Hayle),Excellent,Excellent,No change,SW5627039450
Devon and Cornwall,31400,The Towans (Godrevy),Excellent,Excellent,No change,SW5818041950
Devon and Cornwall,31500,Portreath,Excellent,Excellent,No change,SW6535045330
Devon and Cornwall,31600,Porthtowan,Excellent,Excellent,No change,SW6912748092
Devon and Cornwall,31650,Chapel Porth,Excellent,Excellent,No change,SW6972949503
Devon and Cornwall,31700,Trevaunance Cove,Excellent,Excellent,No change,SW7222051620
Devon and Cornwall,31800,Perranporth Village End,Excellent,Excellent,No change,SW7564054700
Devon and Cornwall,31900,Perranporth Penhale Sands,Excellent,Excellent,No change,SW7595055800
Devon and Cornwall,32000,Holywell Bay,Excellent,Excellent,No change,SW7652059400
Devon and Cornwall,32100,Crantock,Good,Excellent,Excellent to Good,SW7846060980
Devon and Cornwall,32200,Fistral,Excellent,Excellent,No change,SW7998062130
Devon and Cornwall,32300,Towan,Good,Excellent,Excellent to Good,SW8097761791
Devon and Cornwall,32310,Great Western,Excellent,Closed,,SW8153061870
Devon and Cornwall,32320,Tolcarne,Excellent,Excellent,No change,SW8176062050
Devon and Cornwall,32330,Lusty Glaze,Excellent,Excellent,No change,SW8238062480
Devon and Cornwall,32340,Porth,Sufficient,Sufficient,No change,SW8296062780
Devon and Cornwall,32400,Watergate Bay,Excellent,Excellent,No change,SW8407064860
Devon and Cornwall,32500,Mawgan Porth,Excellent,Excellent,No change,SW8483067470
Devon and Cornwall,32550,Porthcothan,Excellent,Excellent,No change,SW8572072060
Devon and Cornwall,32600,Treyarnon Bay,Excellent,Excellent,No change,SW8586073960
Devon and Cornwall,32700,Constantine Bay,Excellent,Excellent,No change,SW8589074750
Devon and Cornwall,32800,Mother Ivey`s Bay,Excellent,Excellent,No change,SW8645075940
Devon and Cornwall,32900,Harlyn Bay,Excellent,Excellent,No change,SW8772075460
Devon and Cornwall,33000,Trevone Bay,Excellent,Excellent,No change,SW8915076010
Devon and Cornwall,33200,Daymer Bay,Excellent,Excellent,No change,SW9283077600
Devon and Cornwall,33300,Polzeath,Excellent,Excellent,No change,SW9360079070
Devon and Cornwall,33350,Trebarwith Strand,Excellent,Excellent,No change,SX0485086450
Devon and Cornwall,33360,Crackington Haven,Excellent,Good,Good to Excellent,SX1427096900
Devon and Cornwall,33400,Widemouth Sand,Excellent,Excellent,No change,SS1984002400
Devon and Cornwall,33500,Bude Summerleaze,Excellent,Good,Good to Excellent,SS2038006620
Devon and Cornwall,33600,Bude Crooklets,Good,Good,No change,SS2026007140
Devon and Cornwall,33700,Bude Sandy Mouth,Excellent,Excellent,No change,SS2016009940
Devon and Cornwall,33800,Hartland Quay,Excellent,Excellent,No change,SS2230024850
Devon and Cornwall,33900,Westward Ho!,Excellent,Excellent,No change,SS4333829537
Devon and Cornwall,34000,Instow,Poor,Poor,No change,SS4717030440
Devon and Cornwall,34100,Saunton Sands,Excellent,Excellent,No change,SS4455037600
Devon and Cornwall,34200,Croyde Bay,Good,Good,No change,SS4347039300
Devon and Cornwall,34300,Putsborough,Excellent,Excellent,No change,SS4475040850
Devon and Cornwall,34400,Woolacombe Village,Excellent,Good,Good to Excellent,SS4562043700
Devon and Cornwall,34410,"Combesgate Beach, Woolacombe",Excellent,Excellent,No change,SS4545044440
Devon and Cornwall,34450,Ilfracombe Tunnels Beach,Excellent,Excellent,No change,SS5150847845
Devon and Cornwall,34500,Ilfracombe Wildersmouth,Poor,Poor,No change,SS5190947841
Devon and Cornwall,34600,Ilfracombe Hele,Good,Good,No change,SS5360247830
Devon and Cornwall,34700,Combe Martin,Sufficient,Good,Good to Sufficient,SS5772047320
Devon and Cornwall,34800,Lynmouth,Excellent,Excellent,No change,SS7271349638
Wessex,34900,Porlock Weir,Excellent,Excellent,No change,SS8652147903
Wessex,35000,Minehead Terminus,Good,Good,No change,SS9761446397
Wessex,35100,Dunster North West,Good,Good,No change,SS9970745647
Wessex,35200,Blue Anchor West,Sufficient,Good,Good to Sufficient,ST0216143509
Wessex,35300,Burnham Jetty North,Poor,Poor,No change,ST3032148972
Wessex,35500,Berrow North of Unity Farm,Good,Good,No change,ST2911454114
Wessex,35600,Brean,Excellent,Excellent,No change,ST2960058500
Wessex,35700,Weston-super-Mare Uphill Slipway,Sufficient,Sufficient,No change,ST3109258867
Wessex,35800,Weston Main,Sufficient,Good,Good to Sufficient,ST3160060700
Wessex,35900,Weston-super-Mare Sand Bay,Good,Good,No change,ST3283863267
Wessex,36000,Clevedon Beach,Good,Good,No change,ST3991471322
Wessex,36050,Henleaze Lake,Good,Good,No change,ST5804777472
Greater Manchester Merseyside and Cheshire,40750,West Kirby,Excellent,Excellent,No change,SJ2071086621
Greater Manchester Merseyside and Cheshire,40800,Meols,Excellent,Excellent,No change,SJ2300090600
Greater Manchester Merseyside and Cheshire,40900,Moreton,Excellent,Excellent,No change,SJ2570091800
Greater Manchester Merseyside and Cheshire,41000,Wallasey,Excellent,Good,Good to Excellent,SJ2852693518
Cumbria and Lancashire,41200,Formby,Excellent,Excellent,No change,SD2680006300
Cumbria and Lancashire,41300,Ainsdale,Good,Good,No change,SD2970012900
Cumbria and Lancashire,41500,Southport,Good,Good,No change,SD3220017900
Cumbria and Lancashire,41800,St Annes,Good,Good,No change,SD3149128585
Cumbria and Lancashire,41900,St Annes North,Good,Excellent,Excellent to Good,SD3081629775
Cumbria and Lancashire,42100,Blackpool South,Excellent,Excellent,No change,SD3032633222
Cumbria and Lancashire,42300,Blackpool Central,Good,Sufficient,Sufficient to Good,SD3053634556
Cumbria and Lancashire,42500,Blackpool North,Sufficient,Good,Good to Sufficient,SD3053436055
Cumbria and Lancashire,42600,Bispham,Good,Sufficient,Sufficient to Good,SD3070039700
Cumbria and Lancashire,42800,Cleveleys,Good,Poor,Poor to Good,SD3120043300
Cumbria and Lancashire,43000,Fleetwood,Good,Excellent,Excellent to Good,SD3312048310
Cumbria and Lancashire,43260,Morecambe South,Good,Sufficient,Sufficient to Good,SD4274664454
Cumbria and Lancashire,43550,Morecambe North,Good,Sufficient,Sufficient to Good,SD4378164956
Cumbria and Lancashire,44200,Walney Biggar Bank,Sufficient,Good,Good to Sufficient,SD1780067300
Cumbria and Lancashire,44300,Walney Sandy Gap,Sufficient,Good,Good to Sufficient,SD1750068100
Cumbria and Lancashire,44400,Walney West Shore,Sufficient,Good,Good to Sufficient,SD1698470183
Cumbria and Lancashire,44800,Haverigg,Sufficient,Sufficient,No change,SD1600077800
Cumbria and Lancashire,45200,Silecroft,Excellent,Excellent,No change,SD1200081200
Cumbria and Lancashire,45600,Seascale,Good,Good,No change,NY0340001000
Cumbria and Lancashire,45625,"Windermere, Lakeside YMCA",Excellent,Excellent,No change,SD3752889847
Cumbria and Lancashire,45650,"Windermere, Millerground Landing",Excellent,Excellent,No change,SD4017898749
Cumbria and Lancashire,45675,"Windermere, Rayrigg Meadow",Excellent,Excellent,No change,SD4017798465
Cumbria and Lancashire,45700,"Windermere, Fellfoot",Excellent,Excellent,No change,SD3799086960
Cumbria and Lancashire,45920,St Bees,Excellent,Good,Good to Excellent,NX9590011700
Cumbria and Lancashire,46000,Allonby South,Sufficient,Sufficient,No change,NY0633939751
Cumbria and Lancashire,46100,Allonby,Sufficient,Poor,Poor to Sufficient,NY0780042400
Cumbria and Lancashire,46300,Silloth,Sufficient,Poor,Poor to Sufficient,NY0965653195
