Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4020817,"£2,880.98"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4020818,"£1,917.05"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4020818,"£1,958.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Application Support Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FIVIUM LTD,4020820,"£1,592.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020821,"£10,558.08"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Others UK T&S (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020826,"£9,437.93"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4020828,"£3,198.86"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hotels Overseas,International Energy & Climate Change - International Climate Change Negotiations,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020833,£766.21
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hotels Overseas,DECC Private Office Group - DECC Private Office Group,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020833,"£1,619.47"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Other Overseas Travel & Subsistence,DECC Private Office Group - DECC Private Office Group,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020833,"£1,613.54"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hospitality - Overseas,International Energy & Climate Change - International Climate Change Negotiations,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020833,£704.61
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,XEROX FINANCE LTD,4020834,£847.00
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4020835,£884.25
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4020837,"£22,782.10"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,DOCTOR JOHN MOORE-GILLON,4020840,"£3,196.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE UNIVERSITY OF EDINBURGH,4020841,"£1,850.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ARTEMIS INTELLIGENT POWER LTD,4020845,"£137,441.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07/01/2011,Technical Services,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4020848,"£10,124.04"
Department of Energy and Climate Change,Department of Energy and Climate Change,10/01/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4020667,"£1,475,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,10/01/2011,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4020781,"£1,668.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,10/01/2011,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,HARTLEY ANDERSON LTD,4020862,"£91,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,10/01/2011,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4020864,"£10,739.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,10/01/2011,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4020865,"£24,631.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,10/01/2011,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4020866,"£31,617.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,10/01/2011,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4020867,"£1,650.52"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,PIELLE CONSULTING LTD,4020501,"£1,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,XAFINITY CONSULTING LTD T/A XAFINITY SKILL BASE,4020519,"£1,020.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4020526,£663.23
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4020526,£663.23
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4020809,"£2,050.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BIOTECHNOLOGY AND BIOLOGICAL SCIENCE RESEARCH COUNCIL,4020852,"£250,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020858,"£139,923.06"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020859,£892.24
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020860,£633.85
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020861,£520.18
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THRESHOLDS LTD,4020863,"£4,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4020868,"£1,458.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4020870,"£4,929.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020873,"£10,210.81"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020874,"£15,863.27"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4020875,"£3,319.38"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4020880,"£14,708.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4020880,"£14,742.14"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4020881,"£2,987.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4020882,"£2,655.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4020883,"£3,319.38"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020884,"£18,610.12"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Hire of Conference Facilities,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4020886,"£1,421.33"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Hire of Agency Staff (Professional/Management),DECC Private Office Group - DECC Private Office Group,DEPARTMENT OF HEALTH,4020888,"£2,247.94"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020890,"£48,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020892,"£11,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,External Training (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,STUART HALL TRAVEL & COMMUNICATIONS,4020894,"£2,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS PLC,4020900,£565.60
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS PLC,4020900,£565.50
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4020903,"£4,625.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020906,"£10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020909,"£19,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020910,"£4,227.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020911,"£2,547.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4020921,"£7,932.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,IT Services (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4020922,"£35,526.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,IT Services (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4020924,"£3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,ROCKFIELD SOFTWARE LTD,4020931,"£15,177.48"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4020935,"£112,952.55"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4020937,"£247,196.39"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4020939,"£2,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4020940,"£16,953.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020941,"£1,752,914.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11/01/2011,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4020941,"£1,751,914.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,THE STATIONERY OFFICE LTD,4020486,"£3,820.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,THE STATIONERY OFFICE LTD,4020486,"£1,725.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,THE STATIONERY OFFICE LTD,4020486,"£2,168.76"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,THE STATIONERY OFFICE LTD,4020486,"£1,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4020527,£832.89
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4020583,"£57,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020706,"£2,800.71"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020749,"£31,078.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Other IT Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4020830,"£12,191.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Minor Works,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4020850,"£37,281.87"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020869,"£319,039.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020869,"£319,039.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hospitality - UK (Programme),Energy Markets & Infrastructure - Energy Development Unit,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020876,"£1,043.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hospitality - UK (Programme),Energy Markets & Infrastructure - Energy Development Unit,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020876,"£1,226.23"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4020913,"£2,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020914,"£292,849.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020915,"£22,440.48"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020916,"£20,825.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020917,"£68,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020918,"£21,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020919,"£6,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4020920,"£52,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CWMCLYDACH COMMUNITY DEVELOPMENT TRUST,4020925,"£165,019.92"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4020932,"£1,312.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4020942,"£6,574.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020953,£581.90
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4020962,"£2,115.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,AETHER LTD,4020963,"£19,912.03"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020967,£553.65
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020967,£553.65
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Internal Training,National Climate Change & Consumer Support - Communications,NATIONAL SCHOOL OF GOVERNMENT,4020983,£825.00
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4020985,"£17,295.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4020985,"£1,536.07"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4020986,"£9,586.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4020988,"£2,418.93"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4020989,"£1,436.58"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4020990,"£3,916.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,4020996,"£300,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CLARKSON MANAGEMENT SERVICES LTD,4020998,"£10,802.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Hotels Overseas,DECC Private Office Group - DECC Private Office Group,FOREIGN AND COMMONWEALTH OFFICE (FCO),4021000,£565.94
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4021001,"£103,221.95"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4021002,"£333,856.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,12/01/2011,Government Procurement Card New Procedures,Corporate Payments,BARCLAYS BANK PLC,4021016,"£35,817.19"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Strategy - Strategy and Delivery Unit,OFFICE ANGELS LTD,4020716,£774.56
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4020819,"£2,070,280.18"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,SPARKE HELMORE,4020895,"£124,267.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,SPARKE HELMORE,4020897,"£145,965.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4020902,"£5,596.53"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4020904,"£12,142.57"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4020929,"£34,494.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Strategy - Strategy and Delivery Unit,OFFICE ANGELS LTD,4020972,£619.65
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4020982,"£1,210.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,CORNWALL ENERGY ASSOCIATES LTD,4021019,£500.00
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021020,"£551,762.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021021,"£90,828.57"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4021022,"£72,709.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,INFORMED SOLUTIONS,4021023,"£14,413.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,University of Northumbria at Newcastle t/a Northumbria University,4021025,£835.20
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EAST HAMPSHIRE DISTRICT COUNCIL,4021034,"£10,549.63"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Other IT Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,ORDNANCE SURVEY,4021035,"£14,407.85"
Department of Energy and Climate Change,Department of Energy and Climate Change,13/01/2011,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,WOOD MACKENZIE LTD,4021037,"£24,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,14/01/2011,IT Services (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4020746,£880.00
Department of Energy and Climate Change,Department of Energy and Climate Change,14/01/2011,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,BLOOMBERG FINANCE L.P.,4020856,"£3,612.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,14/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4020959,£526.54
Department of Energy and Climate Change,Department of Energy and Climate Change,14/01/2011,International Subscriptions,Energy Markets & Infrastructure - Security and resilience,INTERNATIONAL ATOMIC ENERGY AGENCY,4020961,"£411,124.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,14/01/2011,Printing (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4021006,"£3,765.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,14/01/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CAPITA BUSINESS SERVICES LTD,4021026,£899.00
