Posted Date,Merchant Name,Amount,Description
02-Jun-11,RS HYDRO LTD             BROMSGROVE   ,"2,456.00",Data loggers and water level monitoring equipment
02-Jun-11,NIGEL FARR FARM SERVICES SHREWSBURY   ,746.40,Fencing materials
02-Jun-11,G BRYAN JONES LTD        BISHOPS CASTL,840.00,Purchase of pallet forks
02-Jun-11,ROYAL MAIL GROUP         BOLTON       ,643.93,Pre-paid postage
02-Jun-11,FARM SERVICES&DMS TRIA   WAKEFIELD    ,800.00,Purchase of mower and collector
02-Jun-11,FARM SERVICES&DMS TRIA   WAKEFIELD    ,"2,000.00",Purchase of mower and collector
02-Jun-11,FARM SERVICES&DMS TRIA   WAKEFIELD    ,"2,500.00",Purchase of mower and collector
02-Jun-11,FARM SERVICES&DMS TRIA   WAKEFIELD    ,"2,500.00",Purchase of mower and collector
02-Jun-11,GOVNET COMMUNICATI       MANCHESTER   ,510.00,Training course
06-Jun-11,SHROPSHIRE COUNCIL       SHREWSBURY   ,"2,025.50",Business rates
06-Jun-11,WWW.NEOPOST.CO.UK        0845 880 0000,"2,060.00",Franking machine Top Up
06-Jun-11,ROYAL MAIL GROUP         BOLTON       ,820.46,Postage collection and delivery costs
06-Jun-11,FIRST GTR WESTERN        BRISTOL      ,905.50,Rail travel cost
06-Jun-11,ROBINSONSRELO.COM        01256 465533 ,"1,612.08",Removal costs
06-Jun-11,ROBINSONSRELO.COM        01256 465533 ,"2,499.00",Removal costs
06-Jun-11,ROBINSONSRELO.COM        01256 465533 ,"2,499.00",Removal costs
06-Jun-11,GUARDIAN SECURITY        CANTERBURY   ,773.74,Security contract
06-Jun-11,BURLINGTON HOTEL         BIRMINGHAM   ,567.02,Staff training and subsistence costs for two day training event
06-Jun-11,HOL INN BIRM CITY        BIRMINGHAM   ,"2,803.00",Staff training and subsistence costs for two day training event
06-Jun-11,BRIT ASSOC SHOOTING      WREXHAM      ,805.00,Warden Contract Payment
08-Jun-11,WWW.ASHFORD.GOV.UK       01322330546  ,725.28,Business rates
08-Jun-11,BLOCKFREE SERVICES LTD   MARKET RASEN ,"1,320.00",Replacement toilet 
08-Jun-11,ROYAL YORK HOTEL         HARROGATE    ,836.00,Staff training and subsistence costs for two day event sixteen staff 
08-Jun-11,CHELFORD FARM            MACCLESFIELD ,"1,442.08",Supply of fencing materials
10-Jun-11,D M CHAINSAWS LTD        ARUNDEL      ,538.63,Chainsaw purchase
10-Jun-11,R A B D F                KENILWORTH   ,"1,771.20",Dairy event exhibition costs
10-Jun-11,DISCOUNT TYRE SERVICES   THORNE       ,564.00,New all terrain vehicle tyres
10-Jun-11,TEAM PM LTD              CALNE        ,500.00,Prince 2 Project Management training course
10-Jun-11,CORNTHWAITE AGRICULTUR   ORMSKIRK     ,"1,144.35",Red diesel
10-Jun-11,KWG LTD                  ASHFORD      ,501.45,Red diesel
10-Jun-11,IDEAL FIRE & SECURITY    SOUTHAMPTON  ,556.80,Security contract
10-Jun-11,CORNWALL ENTERPRISE      TRURO        ,"1,002.00",Soils for Profit Project event venue costs
14-Jun-11,PERTEMPS LTD             COVENTRY     ,"-1,324.66",Agency staff costs
14-Jun-11,PERTEMPS LTD             COVENTRY     ,"11,045.70",Agency staff costs
14-Jun-11,PERTEMPS LTD             COVENTRY     ,"12,633.31",Agency staff costs
14-Jun-11,PERTEMPS LTD             COVENTRY     ,"17,614.56",Agency staff costs
14-Jun-11,PERTEMPS LTD             COVENTRY     ,"52,207.32",Agency staff costs
14-Jun-11,RSPB                     SANDY        ,966.02,Contribution to project with RSPB
14-Jun-11,CHUBB FIRE LTD           TELEPHONE    ,503.23,Fire safety checks
14-Jun-11,CHUBB FIRE LTD           TELEPHONE    ,"1,072.92",Fire safety checks
14-Jun-11,WWW.NEOPOST.CO.UK        0845 880 0000,"2,060.00",Franking machine Top Up
14-Jun-11,WATSON PETROLEUM L       01666 511213 ,753.06,Red diesel
14-Jun-11,CHERWELL TOBACCO         WHITCHURCH   ,"1,106.19",Staff training and subsistence costs for all day training event
14-Jun-11,LEOPOLD HOTEL            SHEFFIELD    ,"1,065.25","Staff subsistence costs for overnight bed, breakfast and evening meal for fourteen staff"
14-Jun-11,ATKINS LIMITED           EPSOM        ,"2,132.00",Technical support for the Lydd Public Inquiry
14-Jun-11,ERNEST DOE POWER         RINGMER      ,565.61,Tractor service and minor repairs
14-Jun-11,LOG LOGIC ICS            CULLOMPTON   ,761.35,Vehicle repair and maintenance
16-Jun-11,THE OXFORD GROUP CONSU   OXON         ,"2,268.96",Provision of training course
16-Jun-11,OXFORD THAMES FOUR       OXFORD       ,"1,462.20",Staff training and subsistence costs for all day training event
16-Jun-11,PRIORY ROOMS (BULL STR   BMINGHAM B4  ,594.00,Staff training and subsistence costs for  all day training event for fifteen staff
20-Jun-11,PERTEMPS LTD             COVENTRY     ,520.13,Agency staff costs
20-Jun-11,PERTEMPS LTD             COVENTRY     ,564.52,Agency staff costs
20-Jun-11,WWW.PERTEMPS.CO.UK       01676 525307 ,507.17,Agency staff costs
20-Jun-11,ENVIRONMENT AGENCY       ROTHERHAM    ,"1,026.00",Discharge consent
20-Jun-11,IIA - UK & IRELAND       LONDON       ,"1,014.00",Membership of the Institute of Internal Auditors
20-Jun-11,HALL PLANT HIRE LT       CHESTERFIELD ,"1,102.00",Plant hire
20-Jun-11,JESSOPS 154              TAUNTON      ,"2,190.15",Purchase of photographic equipment
20-Jun-11,SOUTHERN HARVESTERS LT   WINCHESTER   ,"1,320.00",Silage wrap
20-Jun-11,POSTURITE (UK) LTD       POLEGATE     ,"1,108.05",Specialist office equipment and furniture for specific health and safety requirements
20-Jun-11,BURLINGTON HOTEL         BIRMINGHAM   ,720.00,Staff training and subsistence costs for all day training event
20-Jun-11,RAMADA ENCORE CREWE      CREWE        ,"1,175.00",Staff training and subsistence costs for Catchment Sensitive Programme induction event
20-Jun-11,RAMADA ENCORE CREWE      CREWE        ,"1,300.00",Staff training and subsistence costs for Catchment Sensitive Programme induction event
20-Jun-11,R HUNT LTD               SALISBURY    ,"1,104.50",Tractor service and minor repairs
24-Jun-11,CIVIL SOLUTIONS LTD      NEWTON ABBOT ,"1,999.47",Building materials
24-Jun-11,ADT LOUGHTON CC          0207 9418700 ,876.78,Fire & Intruder Alarms Maintenance & Monitoring
24-Jun-11,FORREST DEVON LTD        NEWTON ABBOT ,700.00,"Staff subsistence costs for overnight bed, breakfast and evening meal for two staff"
24-Jun-11,LONGMYND HOTEL           CHURCH STRETT,"1,013.50",Staff training and subsistence costs for all day training event
28-Jun-11,BWML                     SAWLEY       ,617.43,Protective clothing
28-Jun-11,BANNER BUSINESS SUPPL    NORWICH      ,"1,584.79",Stationery & equipment
