Newcastle City Council Invoices over £500 paid in July 2011,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,05 July 2011,Redacted Personal Data,5156540,Revenue,1MK34,Shared Lives - Adult Ld      M,"1,136.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169995,Revenue,1MG40,Elderly Direct PMTS          M,"1,155.60"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169934,Revenue,1MK40,Direct Pmts Ld               M,873.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170180,Revenue,1MG40,Elderly Direct PMTS          M,"1,504.56"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169806,Revenue,1MH40,Direct PmtsPd                M,"1,310.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169835,Revenue,1MH40,Direct PmtsPd                M,"1,379.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169841,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,559.72
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169955,Revenue,1MK40,Direct Pmts Ld               M,840.96
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169965,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"3,212.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170070,Revenue,1MG40,Elderly Direct PMTS          M,684.80
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169959,Revenue,1MK40,Direct Pmts Ld               M,802.16
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170164,Revenue,1MK40,Direct Pmts Ld               M,"8,421.12"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169969,Revenue,1MH40,Direct PmtsPd                M,"1,669.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169966,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,614.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169845,Revenue,1MK40,Direct Pmts Ld               M,997.55
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170206,Revenue,1MG40,Elderly Direct PMTS          M,925.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170102,Revenue,1MH40,Direct PmtsPd                M,"1,122.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170108,Revenue,1MH40,Direct PmtsPd                M,840.71
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170098,Revenue,1MG40,Elderly Direct PMTS          M,684.80
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169960,Revenue,1MK40,Direct Pmts Ld               M,"1,198.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170176,Revenue,1MG40,Elderly Direct PMTS          M,600.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170066,Revenue,1MK40,Direct Pmts Ld               M,"5,218.32"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169919,Revenue,1MK40,Direct Pmts Ld               M,"3,552.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170175,Revenue,1MG40,Elderly Direct PMTS          M,800.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169804,Revenue,1MH40,Direct PmtsPd                M,"1,840.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170184,Revenue,1MG40,Elderly Direct PMTS          M,"1,397.88"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169923,Revenue,1MG40,Elderly Direct PMTS          M,"2,905.72"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169904,Revenue,1MK40,Direct Pmts Ld               M,660.48
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170040,Revenue,1MK40,Direct Pmts Ld               M,770.40
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170087,Revenue,1MK40,Direct Pmts Ld               M,"1,183.16"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169805,Revenue,1MH40,Direct PmtsPd                M,"6,832.32"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170095,Revenue,1MK40,Direct Pmts Ld               M,"2,661.68"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169848,Revenue,1MH40,Direct PmtsPd                M,632.32
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170019,Revenue,1MG40,Elderly Direct PMTS          M,"1,070.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,05 July 2011,Redacted Personal Data,5156500,Revenue,1MK34,Shared Lives - Adult Ld      M,"1,420.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170143,Revenue,1MH40,Direct PmtsPd                M,599.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169858,Revenue,1MH40,Direct PmtsPd                M,"1,200.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169821,Revenue,1MH40,Direct PmtsPd                M,770.40
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169888,Revenue,1MG40,Elderly Direct PMTS          M,"1,587.52"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169839,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"1,465.76"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,05 July 2011,Redacted Personal Data,5156609,Revenue,1MK34,Shared Lives - Adult Ld      M,"1,252.28"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169882,Revenue,1MK40,Direct Pmts Ld               M,"1,250.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169882,Revenue,1MK50,Ind Supported Living - Ld    M,"1,250.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170076,Revenue,1MH40,Direct PmtsPd                M,"2,866.84"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170048,Revenue,1MH40,Direct PmtsPd                M,"1,027.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,05 July 2011,Redacted Personal Data,5156550,Revenue,1MG20,IND Res Care Elderly         M,"3,605.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,05 July 2011,Redacted Personal Data,5156461,Revenue,1MK34,Shared Lives - Adult Ld      M,"1,136.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170081,Revenue,1MM40,Direct Pmts Mh               M,"4,622.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169950,Revenue,1MG40,Elderly Direct PMTS          M,614.04
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169918,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,727.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169830,Revenue,1MH40,Direct PmtsPd                M,684.80
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169844,Revenue,1MG40,Elderly Direct PMTS          M,"1,806.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170171,Revenue,1MK40,Direct Pmts Ld               M,512.92
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169843,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,716.72
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170183,Revenue,1MG40,Elderly Direct PMTS          M,"2,882.77"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169854,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"1,821.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169964,Revenue,1MH40,Direct PmtsPd                M,"2,118.16"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169964,Revenue,3WH96,Continuing Care-Dom Payments M,"2,118.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169852,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,695.52
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169894,Revenue,1MH40,Direct PmtsPd                M,"1,284.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169973,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,664.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169956,Revenue,1MK40,Direct Pmts Ld               M,"1,517.76"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170027,Revenue,1MK40,Direct Pmts Ld               M,"2,610.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169976,Revenue,1MG40,Elderly Direct PMTS          M,"1,835.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169976,Revenue,3WH96,Continuing Care-Dom Payments M,"1,835.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170122,Revenue,1MG40,Elderly Direct PMTS          M,"1,265.60"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169906,Revenue,1MG40,Elderly Direct PMTS          M,700.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170190,Revenue,1MG40,Elderly Direct PMTS          M,700.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170005,Revenue,1MG40,Elderly Direct PMTS          M,"1,809.82"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169922,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"1,639.16"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170067,Revenue,1MK40,Direct Pmts Ld               M,"1,284.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170129,Revenue,1MG40,Elderly Direct PMTS          M,542.40
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170472,Revenue,1MG20,IND Res Care Elderly         M,"78,032.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170041,Revenue,1MG40,Elderly Direct PMTS          M,"1,402.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170026,Revenue,1MH40,Direct PmtsPd                M,"1,198.76"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169868,Revenue,1MK40,Direct Pmts Ld               M,"1,284.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169885,Revenue,1MK40,Direct Pmts Ld               M,385.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169885,Revenue,3WH96,Continuing Care-Dom Payments M,385.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170017,Revenue,1MM40,Direct Pmts Mh               M,"1,277.32"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170154,Revenue,1MG40,Elderly Direct PMTS          M,"1,134.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170018,Revenue,1MH40,Direct PmtsPd                M,804.36
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170112,Revenue,1MG40,Elderly Direct PMTS          M,513.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170103,Revenue,1MG40,Elderly Direct PMTS          M,743.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169909,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,739.21
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169994,Revenue,1MK40,Direct Pmts Ld               M,513.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169932,Revenue,1MK40,Direct Pmts Ld               M,"2,996.88"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169836,Revenue,1MH40,Direct PmtsPd                M,"1,160.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169917,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"1,888.28"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170083,Revenue,1MG40,Elderly Direct PMTS          M,"1,070.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170014,Revenue,1MG40,Elderly Direct PMTS          M,"1,236.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169944,Revenue,1MG40,Elderly Direct PMTS          M,"3,081.84"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170059,Revenue,1MH40,Direct PmtsPd                M,"3,851.24"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170147,Revenue,1MH40,Direct PmtsPd                M,"2,593.32"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170147,Revenue,3WH96,Continuing Care-Dom Payments M,"2,593.36"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169834,Revenue,1MH40,Direct PmtsPd                M,"2,731.24"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169834,Revenue,3WH96,Continuing Care-Dom Payments M,"2,731.24"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170045,Revenue,1MG40,Elderly Direct PMTS          M,"1,289.64"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170086,Revenue,1MK40,Direct Pmts Ld               M,"2,663.24"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170073,Revenue,1MK40,Direct Pmts Ld               M,642.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170104,Revenue,1MH40,Direct PmtsPd                M,"1,536.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170141,Revenue,1MG40,Elderly Direct PMTS          M,"1,822.04"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169951,Revenue,1MH40,Direct PmtsPd                M,780.84
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170177,Revenue,1MH40,Direct PmtsPd                M,800.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169878,Revenue,1MH40,Direct PmtsPd                M,"5,362.48"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169878,Revenue,3WH96,Continuing Care-Dom Payments M,"3,007.56"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169829,Revenue,1MH40,Direct PmtsPd                M,"1,650.64"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169829,Revenue,3WH96,Continuing Care-Dom Payments M,"1,650.64"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169832,Revenue,1MG40,Elderly Direct PMTS          M,813.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169815,Revenue,1MH40,Direct PmtsPd                M,"2,864.53"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170207,Revenue,1MK40,Direct Pmts Ld               M,"1,826.85"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170202,Revenue,1MK40,Direct Pmts Ld               M,"1,545.60"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169838,Revenue,1MK40,Direct Pmts Ld               M,"6,104.12"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169825,Revenue,1MH40,Direct PmtsPd                M,"1,679.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169825,Revenue,1MK40,Direct Pmts Ld               M,649.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169957,Revenue,1MK40,Direct Pmts Ld               M,586.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170138,Revenue,1MG40,Elderly Direct PMTS          M,"1,797.60"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169921,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,848.48
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169847,Revenue,1MK40,Direct Pmts Ld               M,898.80
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169938,Revenue,1MH40,Direct PmtsPd                M,"1,800.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169967,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"4,000.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169975,Revenue,1MG40,Elderly Direct PMTS          M,"1,754.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169853,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"1,112.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169981,Revenue,1MK40,Direct Pmts Ld               M,576.48
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170058,Revenue,1MG40,Elderly Direct PMTS          M,"1,816.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170069,Revenue,1MH40,Direct PmtsPd                M,"2,140.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170131,Revenue,1MK40,Direct Pmts Ld               M,"2,390.36"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169928,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"1,156.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169896,Revenue,1MH40,Direct PmtsPd                M,"7,344.72"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170114,Revenue,1MK40,Direct Pmts Ld               M,"1,444.70"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170034,Revenue,1MK40,Direct Pmts Ld               M,"7,092.14"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169861,Revenue,1MK40,Direct Pmts Ld               M,"1,926.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169953,Revenue,1MK40,Direct Pmts Ld               M,"1,217.68"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169849,Revenue,1MH40,Direct PmtsPd                M,"1,669.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170013,Revenue,1MK40,Direct Pmts Ld               M,558.76
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170082,Revenue,1MG40,Elderly Direct PMTS          M,961.64
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170148,Revenue,1MG40,Elderly Direct PMTS          M,642.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169958,Revenue,1MK40,Direct Pmts Ld               M,"1,712.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170173,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,678.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,05 July 2011,Redacted Personal Data,5156455,Revenue,1MK34,Shared Lives - Adult Ld      M,"2,272.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169900,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,709.96
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169820,Revenue,1MK40,Direct Pmts Ld               M,829.68
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169820,Revenue,1MK50,Ind Supported Living - Ld    M,829.68
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169987,Revenue,1MK40,Direct Pmts Ld               M,"1,027.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170093,Revenue,1MH40,Direct PmtsPd                M,"2,416.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169807,Revenue,1MG40,Elderly Direct PMTS          M,"1,593.92"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170149,Revenue,1MG40,Elderly Direct PMTS          M,"1,166.32"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169927,Revenue,1MH40,Direct PmtsPd                M,684.80
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169908,Revenue,1MK40,Direct Pmts Ld               M,"5,648.84"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169983,Revenue,1MG40,Elderly Direct PMTS          M,"1,326.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169992,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,823.28
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169903,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,513.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170523,Revenue,1MK34,Shared Lives - Adult Ld      M,"1,136.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169979,Revenue,1MK40,Direct Pmts Ld               M,"1,400.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170198,Revenue,1MG40,Elderly Direct PMTS          M,"1,600.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170146,Revenue,1MK40,Direct Pmts Ld               M,856.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170050,Revenue,1MD66,CHILDREN WITH DISABILITIES   E,"2,350.28"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169963,Revenue,1MK40,Direct Pmts Ld               M,"8,751.30"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169879,Revenue,1MH40,Direct PmtsPd                M,723.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170123,Revenue,1MG40,Elderly Direct PMTS          M,"1,822.04"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170132,Revenue,1MK40,Direct Pmts Ld               M,801.90
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169939,Revenue,3WH96,Continuing Care-Dom Payments M,"1,150.20"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169874,Revenue,1MK40,Direct Pmts Ld               M,535.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169877,Revenue,1MH40,Direct PmtsPd                M,"4,280.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169819,Revenue,1MH40,Direct PmtsPd                M,"1,751.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169931,Revenue,1MM40,Direct Pmts Mh               M,948.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170168,Revenue,1MG40,Elderly Direct PMTS          M,904.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170181,Revenue,1MK40,Direct Pmts Ld               M,"2,376.30"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5170197,Revenue,1MG40,Elderly Direct PMTS          M,910.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169831,Revenue,1MH40,Direct PmtsPd                M,"2,703.44"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169813,Revenue,1MH40,Direct PmtsPd                M,"2,782.00"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169913,Revenue,1MH40,Direct PmtsPd                M,856.28
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19 July 2011,Redacted Personal Data,5169857,Revenue,1MK40,Direct Pmts Ld               M,"1,198.40"
